,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-1.9999999999243e-05,-1.0000000003174e-05,-1.0000000003174e-05,-9.9999999960687e-06
2,40.0,-0.65539,-1.9999999999243e-05,-0.65283,0.65535000000001
3,60.0,-1.31075,-1.9999999999243e-05,-1.31074,0.65534
4,80.0,-1.31076,0.65534,-1.31075,0.65534
5,100.0,-1.96612,1.31069,-1.96611,0.65534
6,120.0,-1.96613,1.31069,-1.96612,0.65533
7,140.0,-2.62149,1.31068,-1.96612,0.65533
8,160.0,-2.6215,1.31067,-2.62148,0.65533
9,180.0,-2.6215,0.65532,-1.96612,0.65533
10,200.0,-1.96614,1.31068,-1.96613,1.31069
11,220.0,-1.96615,1.31069,-1.96613,0.65533
12,240.0,-2.62151,1.31069,-1.96613,1.31069
13,260.0,-1.96614,1.31068,-1.96613,1.31069
14,280.0,-2.62151,1.31068,-2.62149,1.96604
15,300.0,-2.6215,1.31067,-2.62149,1.31068
16,320.0,-2.6215,1.96604,-2.62149,1.96604
17,340.0,-1.96614,2.62139,2.62145,3.27678
18,360.0,3.27683,2.62139,3.27684,3.27676
19,380.0,2.62147,3.93213,2.62149,3.93213
20,400.0,1.96611,3.93212,1.96613,3.93213
21,420.0,1.31076,3.27676,1.96614,3.93213
22,440.0,1.96612,3.93212,1.31078,3.93213
23,460.0,0.6554,3.93213,0.65542,4.58749
24,480.0,0.65541,4.58748,0.65543,4.58749
25,500.0,5.000000000166e-05,4.58749,-0.65529,4.5875
26,520.0,-1.31066,5.24285,-1.31065,5.24287
27,540.0,-1.96602,5.89822,-1.31064,5.89823
28,560.0,-2.62138,6.55358,-2.62136,6.55359
29,580.0,-3.27673,7.20895,-2.62135,7.20896
30,600.0,-3.27673,7.86432,-3.27671,7.20896
31,620.0,0.00010000000000332,8.51968,7.86454,9.17506
32,640.0,9.83066,10.48576,9.83067,9.83041
33,660.0,9.83066,10.48577,10.48602,10.48577
34,680.0,11.14137,10.48576,11.79674,10.48576
35,700.0,12.45209,10.48576,11.79674,10.48577
36,720.0,12.45208,10.48576,13.10745,9.83042
37,740.0,12.45207,9.83042,13.10745,9.83042
38,760.0,13.10743,9.83042,13.10744,9.17506
39,780.0,12.45207,9.17505,12.45208,8.51969
40,800.0,12.45206,9.17505,12.45208,8.5197
41,820.0,12.45207,8.51969,12.45208,9.17506
42,840.0,11.7967,9.17506,11.79671,9.17507
43,860.0,11.7967,9.17506,12.45207,9.83043
44,880.0,16.38426,9.17506,24.90408,9.17506
45,900.0,29.49165,9.17502,32.76851,9.17507
46,920.0,32.11314,9.17505,32.11314,9.17507
47,940.0,32.76849,9.17506,32.76851,9.17507
48,960.0,33.42385,8.51969,33.42387,8.51971
49,980.0,33.42385,8.5197,34.07922,7.86434
50,1000.0,33.42385,8.5197,34.07922,7.86435
51,1020.0,34.07921,7.86434,34.73458,7.20899
52,1040.0,34.73456,7.20898,34.73458,7.20899
53,1060.0,34.73457,7.20898,34.73459,5.89826
54,1080.0,34.73457,5.89825,34.73458,5.2429
55,1100.0,34.07921,5.24289,36.70069,5.2429
56,1120.0,39.97753,5.24291,41.94365,5.24292
57,1140.0,41.94364,5.24292,41.28829,5.24293
58,1160.0,40.63291,5.24293,40.63293,4.58758
59,1180.0,40.63291,4.58757,40.63292,3.93222
60,1200.0,39.97754,3.93221,39.97756,3.27685
61,1220.0,39.97755,3.27684,39.3222,2.62149
62,1240.0,39.32218,2.62148,39.3222,2.6215
63,1260.0,39.32218,2.62149,38.66684,2.6215
64,1280.0,38.66682,2.6215,38.66684,1.96614
65,1300.0,38.66682,1.96613,38.66684,1.96614
66,1320.0,38.01147,1.96613,38.66684,1.31078
67,1340.0,38.66683,0.65541,39.32221,5.000000000166e-05
68,1360.0,38.66683,3.0000000002417e-05,39.3222,-0.65467
69,1380.0,39.97753,-0.65533,40.63291,-0.65533
70,1400.0,-43.25319,-1.3107,41.28826,-1.3107
71,1420.0,41.28825,-0.65534,41.28826,-1.3107
72,1440.0,45.87581,1.9999999999243e-05,60.9493,1.31078
73,1460.0,73.40134,1.96615,78.64434,2.62154
74,1480.0,79.29969,1.96617,79.2997,1.96619
75,1500.0,79.95504,1.31082,80.61041,0.65546000000001
76,1520.0,80.61294,0.65546,80.61041,0.00010000000000332
77,1540.0,81.26575,9.9999999996214e-05,81.26576,0.00010000000000332
78,1560.0,80.61038,9.9999999996214e-05,81.26575,0.00010000000000332
79,1580.0,80.61038,9.9999999996214e-05,81.92111,-0.65526
80,1600.0,81.26573,-0.65526,81.92111,-1.31062
81,1620.0,81.92109,-0.65527,82.57646,-1.31063
82,1640.0,82.57645,-1.31064,82.57646,-1.31064
83,1660.0,82.57645,-1.96601,77.98889,-1.96603
84,1680.0,70.77983,-1.31068,66.84763,5.000000000166e-05
85,1700.0,65.53689,5.9999999997729e-05,66.84762,6.0000000004834e-05
86,1720.0,66.84761,5.000000000166e-05,66.84762,6.0000000004834e-05
87,1740.0,66.8476,-0.65532,67.50297,-0.6553
88,1760.0,67.50296,-0.65531,68.15833,-1.31067
89,1780.0,67.50296,-0.65532,68.15834,-1.31067
90,1800.0,67.50296,-1.31068,68.15833,-1.31067
91,1820.0,68.15832,-1.31068,68.15833,-1.31067
92,1840.0,68.15832,-1.31067,68.15834,-1.31066
93,1860.0,67.50295,-1.31067,68.15833,-1.31066
94,1880.0,68.15832,-1.31067,68.15833,-1.96602
95,1900.0,67.50295,-1.96604,67.50297,-1.96602
96,1920.0,69.46905,-1.96604,82.57643,-1.31066
97,1940.0,93.06237,-1.31066,95.02851,8.0000000004077e-05
98,1960.0,94.37313,-0.65527,95.0285,0.00010000000000332
99,1980.0,95.02849,-0.65527,95.68387,-0.65526
100,2000.0,95.02849,-1.31063,95.02851,-1.96598
101,2020.0,95.02849,-1.96599,95.02851,-2.62135
102,2040.0,94.37313,-2.62136,95.02851,-2.62135
103,2060.0,104.85899,-1.31059,114.68956,-1.31055
104,2080.0,116.65566,0.00018000000000029,116.65566,-0.65517
105,2100.0,116.65565,-0.65518,117.31101,-0.65516
106,2120.0,117.96636,0.00018999999999636,117.96637,-0.65516
107,2140.0,117.96636,-0.65517,118.62174,-0.65516
108,2160.0,118.62172,-0.65517,119.27709,-0.65516
109,2180.0,118.62172,-1.31053,118.62173,-1.31052
110,2200.0,118.62171,-1.31054,119.27709,-1.31053
111,2220.0,119.27707,-1.31054,119.27708,-1.31053
112,2240.0,119.27707,-1.31054,119.93244,-1.31053
113,2260.0,119.93242,-1.31053,119.93244,-1.31053
114,2280.0,119.27707,-1.31053,119.93244,-1.31052
115,2300.0,119.27706,-1.31054,119.93244,-1.31052
116,2320.0,119.93242,-1.31054,119.93243,-1.31053
117,2340.0,119.93242,-1.31054,119.93243,-1.9659
118,2360.0,119.27706,-1.96591,111.41266,-2.62125
119,2380.0,81.92112,-3.93204,45.87588,-5.89815
120,2400.0,17.03971,-4.58745,4.58772,-1.966
121,2420.0,5.24308,-0.65528,6.55383,-0.65528
122,2440.0,6.5538,7.0000000000903e-05,7.86454,-0.65529
123,2460.0,7.86452,-0.65531,8.51989,-0.6553
124,2480.0,8.51987,3.9999999998486e-05,8.51988,-0.65531
125,2500.0,8.51986,-1.31068,9.17524,-1.31068
126,2520.0,9.17522,-1.31069,9.17523,-1.96605
127,2540.0,9.17522,-1.96607,9.17523,-2.62142
128,2560.0,9.17522,-2.62143,9.17523,-3.27679
129,2580.0,9.17521,-3.27679,9.83059,-3.93216
130,2600.0,9.83058,-3.93216,9.83059,-3.93215
131,2620.0,9.83057,-3.93217,10.48595,-4.58753
132,2640.0,18.35035,-4.58753,24.90406,-3.93215
133,2660.0,29.49163,-3.93215,34.73458,-3.93213
134,2680.0,37.35605,-5.24285,36.70071,-5.24285
135,2700.0,36.70069,-5.89821,37.35607,-6.55357
136,2720.0,36.70069,-7.20893,36.70071,-7.20893
137,2740.0,36.70069,-7.86429,36.7007,-7.86429
138,2760.0,36.04533,-8.51966,36.04534,-8.51965
139,2780.0,36.04533,-8.51966,36.04534,-9.17501
140,2800.0,35.38997,-9.17502,35.38998,-9.83037
141,2820.0,35.38996,-9.83038,36.04533,-10.48574
142,2840.0,38.66677,-10.48576,49.15267,-9.83038
143,2860.0,57.67248,-10.48574,58.98324,-9.175
144,2880.0,58.98322,-9.83036,59.63859,-9.83034
145,2900.0,59.63857,-9.83035,60.29395,-10.4857
146,2920.0,60.29393,-10.48571,60.9493,-11.14107
147,2940.0,60.29393,-11.14108,60.9493,-11.79644
148,2960.0,60.29393,-11.79644,60.9493,-12.45115
149,2980.0,60.94928,-11.79645,61.60465,-11.79644
150,3000.0,61.60464,-12.45181,61.60465,-12.45181
151,3020.0,61.60464,-12.45181,62.26001,-13.10717
152,3040.0,61.60463,-12.45182,62.26001,-13.10717
153,3060.0,62.25999,-12.45181,62.26001,-13.10717
154,3080.0,62.25999,-13.10717,62.26001,-13.10716
155,3100.0,62.26,-13.10718,62.91537,-12.45181
156,3120.0,62.25999,-13.10718,62.91537,-13.10717
157,3140.0,62.25999,-13.10718,64.88147,-13.10717
158,3160.0,76.67808,-11.79644,87.8194,-11.14107
159,3180.0,93.06237,-9.83034,94.37312,-10.48568
160,3200.0,93.71775,-11.14104,94.37312,-11.14103
161,3220.0,94.3731,-11.14103,95.02848,-11.79639
162,3240.0,95.02847,-12.45176,95.68384,-12.45175
163,3260.0,95.02847,-12.45176,95.68384,-13.10711
164,3280.0,95.68383,-13.10712,95.68384,-13.76248
165,3300.0,95.68383,-13.76249,95.68384,-14.41784
166,3320.0,95.02846,-14.41785,95.02848,-14.41785
167,3340.0,95.02846,-15.07321,95.68384,-15.07321
168,3360.0,95.68382,-15.72858,95.68383,-15.07321
169,3380.0,95.68382,-15.72858,96.33919,-15.72857
170,3400.0,95.68381,-15.72857,96.99456,-16.38393
171,3420.0,104.20359,-15.72854,112.7234,-15.07315
172,3440.0,116.00026,-15.72852,116.65565,-15.72851
173,3460.0,115.3449,-15.7285,116.65564,-16.38386
174,3480.0,116.65562,-17.03923,116.65564,-17.03922
175,3500.0,116.65562,-17.03923,116.65563,-17.69459
176,3520.0,116.65562,-18.34996,116.65563,-18.34995
177,3540.0,116.65562,-18.34996,116.65564,-18.34995
178,3560.0,116.65562,-19.00531,104.20366,-18.34994
179,3580.0,72.09064,-19.66073,38.01153,-20.97147
180,3600.0,15.72901,-19.66079,11.14146,-17.69471
181,3620.0,13.10754,-15.72863,13.7629,-15.72864
182,3640.0,13.76287,-15.72865,15.0736,-15.72865
183,3660.0,15.72893,-15.0733,15.72894,-15.07331
184,3680.0,15.72891,-15.07331,16.38428,-15.07331
185,3700.0,17.03962,-15.07332,17.03963,-15.72867
186,3720.0,17.69498,-15.72868,17.69499,-15.72868
187,3740.0,17.69497,-15.72869,18.35035,-15.72869
188,3760.0,18.35032,-15.7287,18.35034,-16.38406
189,3780.0,18.35032,-16.38407,19.00569,-15.7287
190,3800.0,19.00568,-15.72871,19.00569,-16.38407
191,3820.0,19.00822,-16.38408,19.00568,-17.03943
192,3840.0,19.00567,-17.03944,25.55934,-15.7287
193,3860.0,38.01133,-14.41797,49.808,-13.10723
194,3880.0,54.39559,-13.76258,54.3956,-14.41793
195,3900.0,55.05094,-15.72866,55.70632,-15.72865
