,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-3.9322,-1.31072,-12.45202,-0.65537
2,40.0,-11.14127,-1.31072,-7.86444,1.31072
3,60.0,-9.17516,2.62146,-9.17516,2.62145
4,80.0,-9.17515,3.27682,-9.17515,3.27681
5,100.0,-9.17515,2.62146,-8.51979,3.27681
6,120.0,-8.51978,2.62145,-8.51978,2.62144
7,140.0,-8.51978,2.62144,-7.86442,1.96607
8,160.0,-7.86442,1.31071,-7.86442,1.96606
9,180.0,-7.86443,1.31071,-7.86444,1.96606
10,200.0,-7.86444,1.31071,-7.20908,1.3107
11,220.0,-7.20909,0.65534,-5.24299,1.31069
12,240.0,-2.9999999995312e-05,1.31071,-0.65539,1.96605
13,260.0,-1.31076,1.31069,-0.65541,2.62141
14,280.0,-0.65541,2.62142,-0.65541,2.6214
15,300.0,-0.65541,1.96605,-1.31077,2.6214
16,320.0,-0.65541,2.62141,-1.31077,2.6214
17,340.0,-0.65541,2.62141,-1.31077,3.27677
18,360.0,-0.65541,3.27677,-0.65541,3.27676
19,380.0,-1.31077,2.6214,-1.31077,3.27676
20,400.0,-1.31077,2.6214,-0.6554,3.27676
21,420.0,-1.31076,2.62139,-0.6554,1.96603
22,440.0,-0.6554,1.31067,-0.6554,1.31066
23,460.0,-3.9999999998486e-05,0.6553,-0.65539,1.31066
24,480.0,-0.6554,1.31066,-0.6554,1.31065
25,500.0,-0.6554,1.31065,-3.9999999998486e-05,1.31065
26,520.0,-0.6554,1.31065,-0.6554,1.31064
27,540.0,-0.6554,0.65529,-2.9999999995312e-05,1.31064
28,560.0,-2.9999999995312e-05,1.31064,-3.9999999998486e-05,1.966
29,580.0,-0.6554,1.31064,0.65532,1.31063
30,600.0,-3.9999999998486e-05,1.966,-3.9999999998486e-05,1.96599
31,620.0,-2.9999999995312e-05,1.96599,-3.9999999998486e-05,1.96598
32,640.0,-3.9999999998486e-05,1.96598,0.65532,1.96598
33,660.0,0.65532,1.96598,0.65532,1.96598
34,680.0,0.65532,1.96598,1.31068,1.96597
35,700.0,1.31068,1.96597,1.31068,1.96597
36,720.0,1.31068,1.96597,1.96604,1.96596
37,740.0,2.6214,1.96596,2.6214,1.96596
38,760.0,2.6214,1.96596,3.27677,2.62131
39,780.0,3.27677,1.96595,3.27677,2.6213
40,800.0,3.27678,2.6213,3.93214,3.27666
41,820.0,3.27678,3.27666,3.93215,3.27665
42,840.0,3.93215,3.27665,4.58751,3.932
43,860.0,4.58751,3.27664,5.24286,2.62127
44,880.0,4.5875,2.62127,5.24286,2.62126
45,900.0,5.24286,2.62126,5.89822,2.62125
46,920.0,5.24285,1.96589,5.89821,2.62124
47,940.0,5.24285,2.62124,5.8982,3.27659
48,960.0,5.8982,2.62123,5.8982,2.62122
49,980.0,5.8982,2.62122,5.89821,2.62121
50,1000.0,5.89821,1.96586,6.55357,1.96586
