,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,-0.65537,0.0,-0.65537
2,40.0,0.0,-1.31074,0.0,-0.65538
3,60.0,0.0,-1.31074,0.0,-1.31074
4,80.0,-1.0000000003174e-05,-1.9661,0.0,-1.96611
5,100.0,0.65535,-1.96612,0.65536,-1.96611
6,120.0,1.31071,-2.62148,1.31071,-2.62148
7,140.0,1.96606,-2.62148,1.96606,-2.62148
8,160.0,1.96605,-3.27685,2.62395,-2.62149
9,180.0,2.62395,-3.27685,3.27676,-2.62149
10,200.0,2.6214,-3.27686,2.6214,-3.27686
11,220.0,3.93212,-3.27686,3.93212,-3.27686
12,240.0,3.93212,-3.93222,3.93212,-3.93222
13,260.0,3.93212,-3.93223,4.58748,-3.27686
14,280.0,4.58747,-3.27687,4.58747,-3.93223
15,300.0,4.58748,-3.27687,4.58748,-3.27686
16,320.0,4.58747,-3.27687,4.58748,-2.62149
17,340.0,5.24284,-2.6215,5.24283,-1.96613
18,360.0,4.58748,-1.96613,5.24284,-1.96613
19,380.0,5.24284,-1.31077,5.24284,-1.31076
20,400.0,5.24539,-1.31076,5.24284,-3.9999999998486e-05
21,420.0,5.24284,-0.6554,5.24284,-0.6554
22,440.0,5.8982,-0.6554,5.24284,-3.9999999998486e-05
23,460.0,5.24284,-3.9999999998486e-05,5.24284,0.65532
24,480.0,5.24284,-3.9999999998486e-05,5.24283,0.65533
25,500.0,5.24284,0.65533,5.24284,0.65532
26,520.0,5.24284,0.65533,5.24284,0.65532
27,540.0,5.24284,0.65532,5.24285,0.65533
28,560.0,4.58748,0.65532,5.24284,1.31069
29,580.0,4.58749,0.65532,4.58748,1.31068
30,600.0,5.24284,0.65532,4.58748,1.31069
31,620.0,9.83043,1.96605,20.97176,2.62142
32,640.0,22.28254,2.62142,21.62716,3.27679
33,660.0,21.62715,3.27678,20.9718,3.93215
34,680.0,20.97179,5.24288,20.97179,5.24288
35,700.0,20.31642,5.89823,20.97179,6.5536
36,720.0,20.97178,7.20896,20.97178,7.86433
37,740.0,22.28249,7.20895,22.93785,7.20895
38,760.0,22.93786,6.55358,22.28249,6.55358
39,780.0,22.28249,5.89821,22.28249,5.89822
40,800.0,22.28249,5.89821,22.28249,6.55357
41,820.0,22.28249,6.55357,20.97177,6.55358
42,840.0,21.62713,6.55357,20.97177,7.20894
43,860.0,20.97177,7.20893,20.31642,7.8643
44,880.0,20.31642,7.20894,20.31642,7.20894
45,900.0,20.31642,7.20894,20.31642,7.8643
46,920.0,20.31642,7.20894,27.52546,7.86431
47,940.0,42.59904,9.83043,46.53134,11.14118
48,960.0,45.87596,11.79655,45.2206,12.45192
49,980.0,46.53131,13.76265,45.87596,14.41802
50,1000.0,46.53131,15.07338,47.18667,15.07339
51,1020.0,47.18667,15.72874,47.84203,16.38411
52,1040.0,47.84203,15.72875,48.49739,16.38411
53,1060.0,48.49738,15.72875,49.15275,15.72876
54,1080.0,49.8081,15.72875,49.8081,15.72876
55,1100.0,49.15274,15.72875,49.80809,15.72876
56,1120.0,53.08493,15.0734,65.53699,15.07341
57,1140.0,74.71222,15.72878,74.71225,17.03951
58,1160.0,74.05686,17.03952,73.4015,18.35026
59,1180.0,73.40149,19.00563,72.74612,19.00564
60,1200.0,72.09075,19.66101,72.09074,20.97175
61,1220.0,71.43538,21.62712,71.43538,22.2825
62,1240.0,70.78,22.2825,70.78,23.59324
63,1260.0,70.12462,23.59325,69.46925,24.24862
64,1280.0,70.77997,23.59326,79.29979,24.24863
65,1300.0,83.88744,24.90399,85.19819,25.55937
66,1320.0,84.54282,25.55938,84.54281,26.87011
67,1340.0,84.5428,27.52547,83.88744,28.18084
68,1360.0,83.88744,28.18083,83.88744,28.18083
69,1380.0,84.5428,28.18082,84.5428,28.18083
70,1400.0,85.19816,28.18082,84.5428,28.18082
71,1420.0,85.19816,27.52545,85.19816,27.52545
72,1440.0,85.85352,26.87008,85.85352,26.21472
73,1460.0,85.85352,25.55936,85.85352,25.55936
74,1480.0,86.50887,25.55935,86.50888,25.55936
75,1500.0,87.16423,24.90399,87.16423,24.90399
76,1520.0,92.40716,24.24863,107.48072,22.28256
77,1540.0,114.68989,22.28256,113.37918,23.5933
78,1560.0,112.72381,22.93793,113.37917,23.5933
79,1580.0,113.37918,23.5933,114.03454,23.5933
80,1600.0,114.6899,22.28257,114.6899,22.28257
81,1620.0,114.68989,21.6272,115.34525,21.62719
82,1640.0,115.34524,20.97182,116.0006,19.66109
83,1660.0,115.34523,19.00572,115.34523,19.0057
84,1680.0,115.34521,17.69497,115.34521,17.69496
85,1700.0,115.3452,17.03959,115.34519,17.03958
86,1720.0,114.68982,16.3842,114.68981,16.3842
87,1740.0,114.6898,15.72882,114.03443,15.07346
88,1760.0,113.37906,14.41808,114.03441,15.07344
89,1780.0,114.0344,13.76271,113.37903,13.76271
90,1800.0,114.03438,13.10734,114.03438,13.10733
91,1820.0,114.03437,12.45197,106.8253,11.14123
92,1840.0,72.09072,1.96609,32.11308,-5.89829
93,1860.0,-3.9999999998486e-05,-8.51973,-7.2091,-5.24291
94,1880.0,-5.24297,-2.62146,-4.5876,-0.65536
95,1900.0,-4.58761,0.65537,-3.93224,2.62147
96,1920.0,-2.62152,3.93219,-1.96616,5.24292
97,1940.0,-1.3108,5.89829,-0.65545,7.20902
98,1960.0,-0.65546,7.86438,-9.0000000000146e-05,9.17511
99,1980.0,0.65526,9.83048,0.65527,11.14121
100,2000.0,1.96598,10.48584,3.27671,11.79657
101,2020.0,3.93208,11.1412,3.93208,12.45192
102,2040.0,0.65525,13.76267,-0.00010000000000332,14.41803
103,2060.0,1.31064,15.07339,1.96602,15.72875
104,2080.0,1.96603,15.72874,2.6214,15.72875
105,2100.0,3.27676,15.07338,3.93214,15.07338
106,2120.0,4.5875,13.76265,4.5875,13.76265
107,2140.0,4.5875,12.45192,4.5875,12.45193
108,2160.0,5.24285,11.79656,14.41802,11.1412
109,2180.0,28.18084,10.48584,32.1131,10.48584
110,2200.0,31.45774,9.83048,30.14701,9.83049
111,2220.0,29.49164,9.8305,28.18091,9.17514
112,2240.0,26.87018,7.86441,25.55943,7.20905
113,2260.0,24.24869,5.89833,22.93795,5.24297
114,2280.0,22.28256,3.93225,21.62717,3.93226
115,2300.0,20.31643,3.27689,19.66104,2.62153
116,2320.0,26.21471,1.96618,38.66678,3.27691
117,2340.0,43.25441,3.27691,42.59906,4.58765
118,2360.0,41.94367,4.58764,41.2883,5.24301
119,2380.0,41.28828,5.89837,40.63293,5.89837
120,2400.0,39.97756,6.55373,39.97756,6.55373
121,2420.0,39.97755,6.55372,39.32219,7.20908
122,2440.0,39.32219,7.20908,39.32219,7.20908
123,2460.0,39.32219,7.20908,39.97756,7.20908
124,2480.0,39.97756,7.20908,39.97756,7.20908
125,2500.0,40.63292,6.55372,40.63294,7.20908
126,2520.0,41.2883,6.55372,41.28831,7.20908
127,2540.0,42.59903,6.55372,42.59904,7.20907
128,2560.0,52.42957,6.55372,70.12461,7.20911
129,2580.0,77.98915,7.86448,76.67844,8.51984
130,2600.0,76.67842,8.51984,77.98916,9.17521
131,2620.0,77.98915,9.17521,77.98916,9.83057
132,2640.0,78.64451,9.83057,77.98915,10.48594
133,2660.0,78.64452,9.83057,78.64451,11.1413
134,2680.0,79.29987,10.48594,79.95523,11.1413
135,2700.0,79.95523,11.14129,80.61059,11.79665
136,2720.0,80.61058,11.14129,81.26594,11.79665
137,2740.0,81.26594,11.79665,81.26594,11.79666
138,2760.0,81.26593,11.79665,80.61057,12.45201
139,2780.0,83.23202,11.79665,93.71797,11.79666
140,2800.0,100.2717,11.14131,100.27172,11.79668
141,2820.0,98.96098,11.79669,98.96097,13.10742
142,2840.0,98.96098,13.10742,98.96097,13.76279
143,2860.0,98.96097,13.76279,98.30561,13.7628
144,2880.0,98.30561,13.76279,98.96097,13.7628
145,2900.0,98.96097,13.76279,98.96097,13.7628
146,2920.0,98.96097,13.76279,98.96097,14.41816
147,2940.0,99.61633,14.41816,98.96097,14.41816
148,2960.0,99.61633,15.07352,99.61634,15.72889
149,2980.0,100.2717,15.72888,100.92706,15.72888
150,3000.0,100.92707,15.72888,100.27171,15.72889
151,3020.0,101.58243,15.72888,101.58244,16.38425
152,3040.0,101.58244,16.38425,101.58245,16.38425
153,3060.0,102.89316,15.72889,102.89316,16.38425
154,3080.0,102.89316,15.72888,103.54852,15.72888
155,3100.0,103.54852,15.07352,104.20387,15.07352
156,3120.0,104.20387,14.41816,104.20386,14.41816
157,3140.0,104.85923,14.41815,104.85923,14.41815
158,3160.0,105.51458,13.76279,105.51459,13.76279
159,3180.0,105.51458,13.76278,105.51459,13.76278
160,3200.0,106.82531,13.10742,106.82531,13.76278
161,3220.0,106.82531,13.10741,106.82531,13.10741
162,3240.0,106.82531,12.45204,107.48067,13.1074
163,3260.0,107.48066,11.79667,107.48066,12.45204
164,3280.0,107.48066,11.79667,106.8253,12.45203
165,3300.0,107.48066,11.79667,106.8253,12.45203
166,3320.0,106.16993,11.79666,89.78573,9.83055
167,3340.0,76.02293,8.51982,77.33367,9.17519
168,3360.0,79.29982,9.17518,79.2998,9.83055
169,3380.0,79.2998,9.83054,79.2998,10.48591
170,3400.0,79.95516,9.83054,79.2998,9.83055
171,3420.0,79.95516,9.83054,79.95517,9.83054
172,3440.0,77.98909,9.83053,76.67841,9.17517
173,3460.0,79.29982,9.17517,77.98913,9.83052
174,3480.0,77.33378,9.17516,77.98914,8.51979
175,3500.0,77.98914,5.89831,78.6445,4.58757
176,3520.0,79.29986,3.27684,79.29986,3.9322
177,3540.0,79.29986,3.9322,79.29985,3.93302
178,3560.0,79.95521,3.27684,79.9552,3.27684
179,3580.0,85.85348,3.27685,98.96093,3.27688
180,3600.0,103.54859,3.2769,102.8932,4.58762
181,3620.0,102.89319,5.24298,104.20391,5.89835
182,3640.0,104.20391,5.24299,104.85926,5.89835
183,3660.0,105.51463,5.89834,106.16999,5.89834
184,3680.0,106.82534,5.24298,106.82534,5.89835
185,3700.0,106.82534,5.89834,107.48069,6.55371
186,3720.0,107.48069,6.55371,107.48069,7.20908
187,3740.0,107.48069,7.20907,107.48069,7.20908
188,3760.0,108.13604,7.20907,108.13605,7.86444
189,3780.0,95.02867,4.58761,58.32795,-1.31067
190,3800.0,22.9379,-7.20895,1.31071,-7.8643
191,3820.0,1.96609,-3.9321,2.62149,-1.31064
192,3840.0,2.62146,-0.65527,3.27683,1.31082
193,3860.0,2.62146,1.96618,3.27682,3.27691
194,3880.0,3.93218,4.58764,3.93217,5.89837
195,3900.0,3.93216,6.55373,3.93216,7.2091
196,3920.0,3.93215,7.2091,3.27679,7.86446
197,3940.0,3.93214,7.20909,3.27678,7.86445
198,3960.0,0.6553,7.86445,-4.58766,7.86446
199,3980.0,-5.24303,8.51981,-4.58766,9.17518
200,4000.0,-4.58766,8.52054,-5.24303,8.51981
201,4020.0,-4.58767,7.20909,-4.58767,7.86444
202,4040.0,-4.58767,6.55372,-4.58767,5.89836
203,4060.0,-3.93232,5.24298,-3.93231,5.24298
204,4080.0,-3.93231,3.93225,-3.27695,4.58761
205,4100.0,-3.27694,3.27688,-2.62159,3.27687
206,4120.0,-2.62158,1.96614,-2.62159,1.96614
207,4140.0,-1.96623,1.31077,-2.62158,0.65541
208,4160.0,-1.96623,3.9999999998486e-05,-2.62159,3.9999999998486e-05
209,4180.0,-1.96623,-0.65533,-2.62159,-1.31069
210,4200.0,-1.96623,-1.96606,-2.6216,-1.96606
211,4220.0,-2.6216,-2.62143,1.3106,-3.2768
212,4240.0,17.03953,-4.58754,26.21477,-4.58754
213,4260.0,25.55942,-4.58754,24.90404,-3.93218
214,4280.0,25.5594,-4.58754,25.55939,-4.58754
215,4300.0,25.55939,-4.58755,25.55939,-5.2429
216,4320.0,26.21474,-5.24292,25.55938,-5.24291
217,4340.0,25.55938,-5.24292,25.55938,-5.89828
218,4360.0,25.55938,-5.89829,25.55938,-5.89829
219,4380.0,30.14695,-6.55366,42.59902,-7.20902
220,4400.0,48.4974,-7.20903,47.84204,-7.20902
221,4420.0,47.84203,-6.55367,48.49739,-7.20902
222,4440.0,48.49738,-7.20903,48.49738,-7.20903
223,4460.0,49.15274,-7.20903,49.15273,-7.20903
224,4480.0,49.80808,-7.20904,49.80808,-7.20903
225,4500.0,50.46343,-7.8644,49.80807,-7.8644
226,4520.0,50.46343,-7.8644,50.46343,-7.8644
227,4540.0,50.46343,-7.86441,51.11878,-8.51977
228,4560.0,53.74024,-9.17514,64.22618,-8.51976
229,4580.0,71.43529,-8.51882,71.4353,-7.8644
230,4600.0,71.43529,-8.51976,71.43529,-7.8644
231,4620.0,72.09064,-8.51977,72.09065,-8.51976
232,4640.0,72.09064,-8.51977,72.09064,-8.51977
233,4660.0,72.09063,-9.17514,72.09064,-9.17513
234,4680.0,72.74599,-9.17513,72.74599,-9.17513
235,4700.0,72.74599,-9.8305,72.74599,-9.8305
236,4720.0,73.40134,-9.83051,72.74598,-9.8305
237,4740.0,72.74598,-10.48587,73.40134,-11.14123
238,4760.0,73.40134,-11.14124,73.40133,-11.14124
239,4780.0,73.40133,-11.7966,73.40133,-11.14124
240,4800.0,73.40133,-11.79661,73.40134,-11.79661
241,4820.0,73.40133,-11.79661,73.40133,-12.45197
242,4840.0,73.40133,-12.45198,73.40133,-12.45198
243,4860.0,73.40133,-13.10735,74.05669,-13.10735
244,4880.0,74.05669,-13.76271,74.05669,-13.10735
245,4900.0,72.74596,-13.76272,58.32786,-16.38418
246,4920.0,39.32208,-17.69491,35.38988,-17.03954
247,4940.0,38.66674,-16.38417,38.01138,-15.72881
248,4960.0,38.66673,-15.72882,38.66673,-15.72882
249,4980.0,38.66673,-16.38418,38.66673,-16.38419
250,5000.0,38.66672,-17.03955,38.66672,-17.03955
251,5020.0,39.32208,-17.69492,39.32208,-17.69492
252,5040.0,39.32208,-17.69493,39.32208,-17.69492
253,5060.0,39.32208,-18.35029,38.66672,-17.69492
254,5080.0,38.66672,-17.69493,38.66673,-17.69493
255,5100.0,38.66672,-18.35029,38.01136,-17.69493
256,5120.0,38.01136,-17.69493,38.01136,-17.69492
257,5140.0,38.01136,-17.69493,38.01136,-18.3503
258,5160.0,38.66671,-19.00567,48.49722,-19.00566
259,5180.0,76.02282,-19.00458,100.27163,-17.69489
260,5200.0,104.85933,-16.38416,103.54859,-15.07342
261,5220.0,103.54857,-13.76269,104.20394,-12.45196
262,5240.0,104.20392,-12.45196,104.85928,-11.14123
263,5260.0,105.51463,-11.79659,105.51464,-10.48587
264,5280.0,104.85927,-10.48587,105.51463,-9.8305
265,5300.0,106.16998,-10.48587,106.16998,-9.8305
266,5320.0,106.16998,-9.83051,106.16997,-9.17514
267,5340.0,106.82533,-9.83051,109.4468,-9.17514
268,5360.0,117.96664,-9.8305,119.9328,-9.17512
269,5380.0,119.93279,-8.51976,119.93278,-7.8644
270,5400.0,120.58814,-7.8644,119.93278,-7.20904
271,5420.0,119.93277,-7.20904,120.58813,-7.20904
272,5440.0,119.93277,-7.20904,119.93277,-6.55367
273,5460.0,120.58813,-7.20904,120.58813,-6.55367
274,5480.0,120.58813,-7.20903,120.58812,-6.55367
275,5500.0,120.58812,-6.55368,120.58812,-7.20903
276,5520.0,119.93276,-7.20904,120.58812,-6.55367
