,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.0000000003174e-05,9.9999999960687e-06,0.0,0.65537
2,40.0,0.0,9.9999999960687e-06,0.0,0.65537
3,60.0,-0.65535999999999,9.9999999960687e-06,0.0,0.65536
4,80.0,-0.65535999999999,9.9999999960687e-06,0.0,0.65537
5,100.0,-0.65535999999999,0.65537,-0.65535999999999,0.65537
6,120.0,-1.31072,0.65538,-1.31072,0.65537
7,140.0,-0.65535999999999,0.65537,-0.65535999999999,1.31073
8,160.0,-1.31072,0.65537,-1.31072,1.31073
9,180.0,-1.31072,0.65538,-1.31072,1.31073
10,200.0,-1.31072,9.9999999960687e-06,1.31083,9.9999999960687e-06
11,220.0,9.1753,-0.65534,10.48604,9.9999999960687e-06
12,240.0,9.1753,1.9999999999243e-05,9.1753,9.9999999960687e-06
13,260.0,9.1753,9.9999999960687e-06,9.1753,9.9999999960687e-06
14,280.0,9.83066,9.9999999960687e-06,9.83066,0.0
15,300.0,9.83066,9.9999999960687e-06,9.83065,9.9999999960687e-06
16,320.0,9.1753,-0.65535000000001,9.83066,0.0
17,340.0,9.1753,-0.65535000000001,9.1753,0.0
18,360.0,9.1753,-0.65535000000001,9.1753,0.0
19,380.0,9.1753,-0.65536,9.83066,0.0
20,400.0,9.17529,-0.65536,9.83064,0.0
21,420.0,9.83064,-0.65536,10.486,0.0
22,440.0,11.14136,0.0,11.14135,0.0
23,460.0,11.14135,0.0,11.79671,0.65536
24,480.0,12.45208,0.0,13.10744,0.65536
25,500.0,13.76281,0.65537,14.41817,1.31073
26,520.0,14.41818,0.65537,15.7289,1.31072
27,540.0,16.38426,9.9999999960687e-06,16.38426,0.65536
28,560.0,16.38426,9.9999999960687e-06,17.03962,0.65536
29,580.0,17.03962,9.9999999960687e-06,16.38425,0.65536
30,600.0,16.38425,0.65537,17.03961,0.0
31,620.0,9.17524,1.31073,1.31079,3.27682
32,640.0,3.0000000002417e-05,3.93219,0.6554,4.58755
33,660.0,0.6554,3.9322,0.6554,4.58755
34,680.0,0.6554,4.58755,3.0000000002417e-05,5.24291
35,700.0,3.0000000002417e-05,4.58755,3.0000000002417e-05,5.2429
36,720.0,-0.65532,4.58755,3.0000000002417e-05,4.58754
37,740.0,-0.65532,4.58755,-0.65533,5.2429
38,760.0,4.0000000005591e-05,4.58755,-0.65532,5.24291
39,780.0,-0.65532,4.58755,-0.65532,5.2429
40,800.0,-1.31068,4.58754,-0.65532,4.58754
41,820.0,2.6216,3.27682,15.72897,3.27682
42,840.0,17.69508,3.27682,16.38434,3.93218
43,860.0,16.38434,3.27682,16.38434,3.27682
44,880.0,17.0397,2.62146,16.38434,2.62146
45,900.0,16.38434,2.62146,16.38433,3.27681
46,920.0,15.72898,2.62146,15.72898,2.62145
47,940.0,15.72898,2.62145,15.72898,3.27681
48,960.0,15.72898,1.9661,15.07362,3.27681
49,980.0,15.07362,1.96609,15.07361,3.27681
50,1000.0,15.07362,2.62145,15.72898,2.62145
51,1020.0,15.72898,1.96609,15.72898,2.62145
52,1040.0,15.07362,1.9661,15.72898,1.96609
53,1060.0,15.07362,1.31073,15.07362,1.96609
54,1080.0,15.07362,1.31073,17.03971,1.31073
55,1100.0,28.83627,9.9999999960687e-06,40.63284,0.65537
56,1120.0,40.63286,9.9999999960687e-06,39.97748,0.65537
57,1140.0,40.63285,9.9999999960687e-06,41.28821,0.65537
58,1160.0,41.94357,-0.65535000000001,41.28821,0.0
59,1180.0,41.94357,9.9999999960687e-06,42.59893,-0.65535
60,1200.0,-51.11755,-1.31071,43.25429,-0.65536
61,1220.0,43.25429,-1.31071,43.90964,-0.65536
62,1240.0,43.90964,-1.31071,43.90964,-1.31072
63,1260.0,43.90964,-1.96607,50.46327,-1.31008
64,1280.0,64.8813,-1.3107,71.43496,-0.65534
65,1300.0,72.09033,-0.65534,71.43496,-0.65534
66,1320.0,72.09032,-0.65533,72.09032,-0.65534
67,1340.0,72.74568,-1.31069,72.09032,-0.65534
68,1360.0,72.09031,-1.96606,72.74567,-0.65534
69,1380.0,72.74567,-1.96605,72.74567,-1.3107
70,1400.0,72.0903,-1.96606,72.0903,-1.3107
71,1420.0,71.43493,-1.31069,72.0903,-1.3107
72,1440.0,72.0903,-1.31069,71.43494,-1.3107
73,1460.0,79.95467,-1.96605,93.06202,-0.65532
74,1480.0,97.64961,-1.31068,97.64961,-0.65532
75,1500.0,96.99423,-0.65532,97.64959,-0.65533
76,1520.0,97.6496,-1.31068,98.30495,-1.31069
77,1540.0,98.30495,-1.31068,97.64959,-1.31068
78,1560.0,98.30495,-1.31068,98.30495,-1.31069
79,1580.0,98.30495,-1.96604,97.64959,-1.31069
80,1600.0,96.99423,-1.31068,97.64959,-1.31069
81,1620.0,96.99423,-1.31069,96.99423,-1.31069
82,1640.0,102.89254,-1.96604,113.37846,-0.65531
83,1660.0,117.3107,-0.65531,116.65533,-0.65531
84,1680.0,115.99996,-1.31067,115.99996,-0.65531
85,1700.0,115.99996,-1.31067,116.65531,-0.65532
86,1720.0,115.34459,-1.31067,115.99995,-1.31068
87,1740.0,115.99995,-0.65531,115.34458,-0.65532
88,1760.0,115.34459,-1.31068,115.34459,-1.31068
89,1780.0,115.34459,-1.31068,115.34458,-0.65532
90,1800.0,114.68923,-1.31068,114.68921,-0.65531
91,1820.0,114.03386,-1.31067,114.68921,-0.65531
92,1840.0,114.68922,-0.65532,114.68921,-0.65532
93,1860.0,114.03386,-1.31067,114.03385,-0.65532
94,1880.0,114.03385,-1.31067,114.03385,-0.65532
95,1900.0,113.37849,-1.31067,113.37849,-1.31068
96,1920.0,113.37849,-1.96603,113.37849,-1.96604
97,1940.0,106.16945,-2.6214,98.30502,-2.6214
98,1960.0,97.64964,-2.6214,98.30502,-1.96604
99,1980.0,98.96037,-1.96604,99.61572,-1.96604
100,2000.0,99.61572,-1.96604,99.61571,-1.31069
101,2020.0,99.6157,-1.96604,100.27106,-1.31068
102,2040.0,100.27105,-1.96604,100.27105,-1.96605
103,2060.0,100.27105,-1.96604,100.27104,-1.96604
104,2080.0,100.27104,-2.6214,99.61568,-1.96604
105,2100.0,100.27104,-2.6214,100.27104,-1.96604
106,2120.0,99.61568,-2.6214,100.27103,-1.96604
107,2140.0,100.27103,-2.6214,100.27104,-2.6214
108,2160.0,100.27103,-2.62141,101.58176,-2.62141
109,2180.0,112.06767,-2.62139,125.17507,-1.31066
110,2200.0,128.45196,-1.31066,127.79659,-0.65531
111,2220.0,127.14122,-1.31066,127.79658,-0.65531
112,2240.0,127.79658,-1.31066,127.79657,-0.65531
113,2260.0,127.79657,-1.31067,128.45192,-1.31068
114,2280.0,127.79656,-1.31067,128.45191,-1.31068
115,2300.0,127.79655,-1.96603,127.79655,-1.31068
116,2320.0,127.79654,-1.31067,134.35023,-1.31068
117,2340.0,140.90395,-1.31067,141.55933,-0.65531
118,2360.0,141.55932,-1.31067,141.55931,-0.65532
119,2380.0,140.90394,-0.65531,140.90395,-0.65531
