,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-1.0000000003174e-05,-0.65537,0.65536,-0.65537
2,40.0,-1.0000000003174e-05,-0.65537,0.65536,-1.31073
3,60.0,0.65535,-1.31072,0.65537,-1.96609
4,80.0,0.0,-1.31072,0.65537,-1.96609
5,100.0,0.0,-1.31071,0.65538,-1.31072
6,120.0,0.65537,-1.31072,0.65539,-1.31072
7,140.0,0.65537,-1.31072,1.31075,-1.31073
8,160.0,0.65537,-1.31072,1.31074,-1.96609
9,180.0,1.31073,-1.31072,1.9661,-1.96608
10,200.0,1.31073,-1.96607,2.62146,-2.62145
11,220.0,2.62144,-1.96608,2.62145,-2.62144
12,240.0,2.62143,-1.96607,3.27681,-2.62144
13,260.0,2.62143,-2.62143,2.62144,-2.62143
14,280.0,2.62143,-1.96607,3.2768,-2.62143
15,300.0,2.62142,-1.96607,3.2768,-1.96607
16,320.0,3.27678,-2.62143,3.93215,-2.62144
17,340.0,3.93124,-2.62143,4.58751,-2.62144
18,360.0,4.58749,-3.2768,5.24286,-2.62144
19,380.0,5.24285,-2.62144,5.24286,-2.62144
20,400.0,5.24284,-2.62143,5.24286,-2.62144
21,420.0,5.89821,-2.62144,6.55358,-2.62144
22,440.0,5.24284,-2.62143,-6.55371,-0.65529
23,460.0,-12.45203,7.0000000000903e-05,-11.14131,-1.31065
24,480.0,-9.17522,-0.6553,-9.17522,-0.65531
25,500.0,-8.51988,-0.65531,-8.51986,-1.31067
26,520.0,-8.51988,-1.31067,-8.51986,-1.31067
27,540.0,-7.86452,-1.31066,-8.51986,-0.6553
28,560.0,-7.86451,-1.31066,-7.20914,-0.65531
29,580.0,-7.86452,-1.31066,-7.20914,-0.6553
30,600.0,-7.86451,-1.31066,-7.20914,-1.31066
31,620.0,-7.20916,-0.6553,-7.20914,-0.6553
32,640.0,-7.86451,-0.6553,-7.20914,-0.6553
33,660.0,-7.86452,-0.6553,-7.20915,-0.6553
34,680.0,-7.86452,-0.65529,-7.20915,-0.65531
