,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65538000000001,0.65537,2.0000000006348e-05,1.31073
2,40.0,3.0000000009522e-05,1.31073,-0.65532999999999,1.31073
3,60.0,5.000000000166e-05,1.9661,-0.65532999999999,1.31073
4,80.0,-0.65530999999999,1.96611,-1.31068,2.62147
5,100.0,-0.65530999999999,2.62147,-1.96603,2.62148
6,120.0,-1.96602,1.96613,-2.61884,1.96612
7,140.0,-1.96602,1.96613,-2.62138,1.96613
8,160.0,-1.96601,1.96613,-3.27675,2.62149
9,180.0,-1.96601,1.96613,-2.62138,1.96613
10,200.0,-1.966,1.96613,-2.62138,1.31077
11,220.0,-1.31066,1.96614,-1.31067,1.31078
12,240.0,-0.6553,1.31078,3.9999999998486e-05,1.31078
13,260.0,0.6554,1.31078,2.9999999995312e-05,1.31078
14,280.0,1.31076,1.31078,0.65538000000001,1.31078
15,300.0,0.6554,1.96615,0.65539,1.31078
16,320.0,0.6554,1.31078,-0.65532999999999,1.31078
17,340.0,4.0000000012697e-05,1.31078,2.9999999995312e-05,0.65543
18,360.0,-0.65530999999999,0.65542,-0.65532,6.0000000004834e-05
19,380.0,-0.65530999999999,0.65542,-1.31067,0.65542
20,400.0,5.000000000166e-05,6.0000000004834e-05,-1.31067,6.0000000004834e-05
21,420.0,-0.65528999999999,6.0000000004834e-05,-1.31066,6.0000000004834e-05
22,440.0,-0.65527999999999,6.0000000004834e-05,-1.31065,6.0000000004834e-05
23,460.0,-0.65527999999999,0.65542,-1.31065,6.0000000004834e-05
24,480.0,-0.65526999999999,0.65543,-1.31063,6.0000000004834e-05
25,500.0,-0.65526,0.65542,-0.65528,0.65542
26,520.0,-0.65526,0.65542,-0.65527,6.0000000004834e-05
27,540.0,0.00010000000000332,6.0000000004834e-05,-65.53591,6.0000000004834e-05
28,560.0,0.00012000000000967,0.65542,-1.31061,5.000000000166e-05
29,580.0,-0.65522999999999,6.0000000004834e-05,-1.3106,-0.6553
30,600.0,-0.65522,-0.6553,-1.31059,-0.65531
31,620.0,-1.31057,-0.6553,-1.31057,-0.6553
32,640.0,-1.31055,-0.6553,-7.20882,-1.31063
33,660.0,-10.48561,-1.96597,-9.83025,-1.96599
34,680.0,-9.17488,-1.31063,-9.83025,-1.31063
35,700.0,-9.83023,-1.31062,-10.48559,-1.31062
36,720.0,-10.48558,-1.31062,-10.48558,-1.96598
37,740.0,-10.48556,-1.31061,-10.48558,-1.96597
38,760.0,-9.83021,-1.96596,-9.83022,-2.62132
39,780.0,-9.17486,-2.62132,-9.83022,-3.27668
40,800.0,-9.17485,-2.62131,-9.83022,-3.27667
41,820.0,-9.17485,-2.62131,-10.48557,-2.62131
42,840.0,-9.8302,-1.96594,-11.14093,-1.96594
43,860.0,-10.48555,-1.96594,-11.14092,-1.96595
44,880.0,-11.1409,-1.31057,-9.83018,-0.65523
45,900.0,-2.62114,0.00012000000000256,-2.62113,-0.65525
46,920.0,-2.62112,0.65548,-2.62115,1.31083
47,940.0,-1.96578,1.31083,-2.62115,1.31083
48,960.0,-1.96577,1.9662,-2.62114,1.9662
49,980.0,-2.62112,3.27693,-3.2765,1.96621
50,1000.0,-2.62112,1.96621,-3.27649,1.96621
51,1020.0,-2.62112,1.96621,-3.93185,1.9662
52,1040.0,-3.27647,2.62157,-3.93184,2.62157
53,1060.0,-3.27647,2.62158,-3.93183,2.62157
54,1080.0,-3.93182,3.27693,-4.58719,3.27693
55,1100.0,-3.93182,3.9323,-4.58718,3.9323
56,1120.0,-4.58716,4.58766,-4.58717,4.58766
57,1140.0,-3.9318,5.24303,-4.58717,5.89839
58,1160.0,-4.58715,5.89839,-5.24252,6.55375
59,1180.0,-4.58715,6.55375,-4.58715,7.20911
60,1200.0,-4.58714,7.86447,-5.24251,7.86447
61,1220.0,-3.27641,9.83055,5.24335,11.79661
62,1240.0,9.83094,11.79661,7.86485,13.10733
63,1260.0,7.86485,14.41805,7.20948,14.41806
64,1280.0,8.52021,14.41806,7.86484,14.41807
65,1300.0,8.52021,14.41808,8.52019,14.41809
66,1320.0,9.17555,15.07346,8.52019,14.4181
67,1340.0,9.17556,15.72883,8.52019,15.72883
68,1360.0,9.17556,16.38419,8.52018,16.3842
69,1380.0,9.83091,17.69492,9.17555,17.69492
70,1400.0,9.83092,19.00565,9.17555,19.00564
71,1420.0,10.48628,19.66101,20.31675,24.24849
72,1440.0,34.73481,25.55918,38.01166,26.21453
73,1460.0,37.35628,27.52525,37.35626,27.52525
74,1480.0,38.01162,28.1806,38.0116,28.18061
75,1500.0,38.01161,28.18061,38.0116,28.18061
76,1520.0,38.66696,28.83598,38.01159,28.83598
77,1540.0,38.0116,29.49135,36.70087,28.836
78,1560.0,36.70087,29.49137,35.39014,28.83601
79,1580.0,35.39014,28.83602,34.07941,28.83602
80,1600.0,33.42406,28.83603,32.11333,28.83603
81,1620.0,34.07942,30.80211,45.87601,35.38961
82,1640.0,54.3958,35.38959,53.08508,36.70031
83,1660.0,53.74044,38.6664,53.74043,38.6664
84,1680.0,55.70652,39.97712,55.05115,40.63248
85,1700.0,56.36189,41.28784,55.70651,41.9432
86,1720.0,57.01725,42.59856,57.01724,43.25392
87,1740.0,57.67261,43.25393,57.01724,43.25393
88,1760.0,57.01725,43.25394,56.36188,43.25394
89,1780.0,56.36189,43.25395,55.70652,43.25395
90,1800.0,56.36189,43.25395,55.70651,43.25395
91,1820.0,55.70653,43.25396,55.05115,43.25396
