,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,-0.65535999999999,-1.0000000003174e-05
2,40.0,-0.65535999999999,-0.65536,-0.65535999999999,-1.0000000003174e-05
3,60.0,-0.65535,-0.65536,-0.65535,-1.0000000003174e-05
4,80.0,-0.65535,-0.65536,-0.65535,-1.0000000003174e-05
5,100.0,-0.65535,-0.65537,-0.65535,-1.0000000003174e-05
6,120.0,-0.65534,0.0,-0.65534,-1.0000000003174e-05
7,140.0,-1.3107,-0.65536,-1.31071,-1.0000000003174e-05
8,160.0,-1.3107,0.0,-1.3107,-1.0000000003174e-05
9,180.0,-1.3107,-0.65537,-1.3107,-1.0000000003174e-05
10,200.0,-1.3107,-0.65537,-0.65534,-1.0000000003174e-05
11,220.0,-1.3107,-0.65537,-1.3107,0.0
12,240.0,-1.3107,-1.0000000003174e-05,-1.3107,-1.0000000003174e-05
13,260.0,-1.31069,-1.0000000003174e-05,-1.31069,-1.0000000003174e-05
14,280.0,-1.31069,0.0,-1.31069,-1.0000000003174e-05
15,300.0,-1.31069,-0.65536,-1.96605,-1.0000000003174e-05
16,320.0,-1.96604,-0.65537,-1.96605,-1.0000000003174e-05
17,340.0,-1.31068,-1.0000000003174e-05,-1.96604,0.65535
18,360.0,-1.96604,-1.0000000003174e-05,-1.96604,-1.0000000003174e-05
19,380.0,-1.31068,-0.65536,-1.31068,0.65535
20,400.0,-1.31068,-1.0000000003174e-05,-1.96604,-1.9999999999243e-05
21,420.0,-1.96604,-1.0000000003174e-05,-1.96604,-1.9999999999243e-05
22,440.0,-1.96604,-1.0000000003174e-05,-1.96604,-1.0000000003174e-05
23,460.0,-1.96604,-1.0000000003174e-05,-1.96604,-1.0000000003174e-05
24,480.0,-1.96604,-0.65537,-2.6214,-1.9999999999243e-05
25,500.0,-1.96604,-1.0000000003174e-05,-1.96604,-1.9999999999243e-05
26,520.0,-1.96605,-0.65537,-1.96606,-0.65538
27,540.0,-1.3107,-1.31074,-0.65534,-1.31075
28,560.0,-0.65534,-1.31075,-0.65535,-0.65539
29,580.0,1.0000000003174e-05,-1.31075,-0.65535,-0.6554
30,600.0,-0.65534,-1.31075,-1.31071,-0.65539
31,620.0,-0.65535,-1.31075,-1.31071,-0.65539
32,640.0,-1.31071,-1.31074,-1.31071,-0.65539
33,660.0,-1.3107,-1.31075,-1.96606,-0.65539
34,680.0,-1.96606,-1.31075,-1.96605,-0.6554
35,700.0,3.9323,-1.31076,8.51992,-1.31076
36,720.0,7.86457,-0.6554,7.2092,1.31069
37,740.0,7.2092,1.3107,6.55384,2.62142
38,760.0,6.55384,2.62143,6.55383,3.27678
39,780.0,6.55384,2.62142,6.55385,2.62142
40,800.0,5.8985,1.96607,5.8985,1.96605
41,820.0,6.55387,1.3107,5.89851,1.31069
42,840.0,5.89851,0.65534,5.89851,1.31069
43,860.0,5.89851,-2.0000000006348e-05,-41.94276,-3.0000000002417e-05
44,880.0,5.24316,-0.65538,5.24315,-0.65539
45,900.0,4.5878,-0.65539,10.48613,-0.65541
46,920.0,27.52573,-1.31077,36.04555,-0.65542
47,940.0,34.73483,-4.0000000005591e-05,34.07947,1.31067
48,960.0,34.07947,0.65532,34.07947,0.65531
49,980.0,34.07947,0.65531,34.07947,1.31067
50,1000.0,34.07948,1.31067,34.07949,1.31067
51,1020.0,34.07949,1.31067,34.07949,1.31067
52,1040.0,34.07949,1.31067,34.07949,1.96602
53,1060.0,34.73485,0.6553,34.07949,1.31066
54,1080.0,34.07949,0.65531,34.0795,0.6553
55,1100.0,34.0795,0.6553,34.73486,0.65529
56,1120.0,34.73486,-7.0000000000903e-05,34.73487,0.65529
57,1140.0,34.07951,-0.65543,34.73487,-7.0000000000903e-05
58,1160.0,34.73488,-0.65543,34.73488,-8.0000000004077e-05
59,1180.0,34.73489,-1.31079,34.73489,-0.65544
60,1200.0,34.73489,-1.3108,34.73489,-1.31081
61,1220.0,47.18683,-1.96617,63.57102,-1.96618
62,1240.0,74.05693,-3.93228,74.05695,-3.27693
63,1260.0,73.40157,-2.62156,72.74621,-1.9662
64,1280.0,72.7462,-2.62155,72.09084,-2.62156
65,1300.0,72.74619,-2.62156,72.74619,-2.62156
66,1320.0,72.74619,-2.62155,72.09083,-2.62156
67,1340.0,72.09083,-3.27691,72.09084,-1.96619
68,1360.0,71.43547,-2.62155,72.09084,-2.62155
69,1380.0,72.09084,-2.62155,72.09084,-1.96619
70,1400.0,72.09084,-2.62155,72.09084,-1.96619
71,1420.0,72.09084,-2.62155,72.09084,-2.62156
72,1440.0,76.02306,-2.62155,87.16435,-1.31082
73,1460.0,90.44122,-1.96618,89.13049,-0.65546
74,1480.0,88.47513,-0.65545,88.47514,-0.65545
75,1500.0,88.47514,-1.31082,87.81979,-1.31082
76,1520.0,87.81979,-1.31081,88.47516,-1.31082
77,1540.0,87.8198,-1.31081,87.8198,-0.65546
78,1560.0,87.8198,-0.65545,87.8198,-0.65546
79,1580.0,87.8198,-0.65545,87.8198,-0.65546
80,1600.0,87.8198,-1.31081,87.8198,-0.65545
81,1620.0,87.16444,-1.31081,87.8198,-0.65546
