,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,0.0,0.0
2,40.0,9.9999999960687e-06,0.65537,0.65537,0.65537
3,60.0,9.9999999960687e-06,0.0,1.31073,0.65535999999999
4,80.0,0.65536999999999,0.0,1.31073,0.65535999999999
5,100.0,0.65536999999999,0.0,1.96609,0.0
6,120.0,1.96609,-0.65537,2.62144,0.0
7,140.0,1.96608,-0.65537,3.2768,0.0
8,160.0,2.62143,-0.65537,3.27679,0.0
9,180.0,2.62143,-0.65536,3.27679,9.9999999960687e-06
10,200.0,2.62142,0.0,3.27678,9.9999999960687e-06
11,220.0,2.62142,-0.65536,3.93214,0.0
12,240.0,3.27678,-0.65535,3.27678,9.9999999960687e-06
13,260.0,2.62142,-0.65536,3.27678,9.9999999960687e-06
14,280.0,2.62142,-0.65536,3.27678,0.0
15,300.0,3.27678,-0.65536,3.27678,-0.65536
16,320.0,3.27678,-0.65536,3.27677,0.0
17,340.0,3.27677,-0.65535,3.93213,9.9999999960687e-06
18,360.0,3.27677,-0.65536,3.93212,0.0
19,380.0,3.27676,-0.65536,4.58748,0.0
20,400.0,3.93212,-0.65536,4.58748,-0.65535000000001
21,420.0,3.93212,-0.65536,4.58748,0.0
22,440.0,4.58748,-0.65536,5.24283,9.9999999960687e-06
23,460.0,4.58748,-0.65535,5.24283,9.9999999960687e-06
24,480.0,4.58747,9.9999999960687e-06,5.24283,9.9999999960687e-06
25,500.0,5.24283,9.9999999960687e-06,5.24282,9.9999999960687e-06
26,520.0,5.24282,9.9999999960687e-06,5.89818,0.65537
27,540.0,5.24282,9.9999999960687e-06,5.24282,0.65537
28,560.0,4.58746,9.9999999960687e-06,5.24282,0.65537
29,580.0,5.24282,0.65537,5.24282,0.65538
30,600.0,4.58746,9.9999999960687e-06,5.24282,0.65538
31,620.0,4.58747,0.65538,7.86429,1.96609
32,640.0,16.38412,4.58754,19.66101,5.89826
33,660.0,17.69492,5.2429,19.00562,5.24291
34,680.0,19.00562,5.2429,19.66098,5.2429
35,700.0,19.00562,5.2429,20.31634,5.2429
36,720.0,19.66098,4.58754,20.31634,4.58754
37,740.0,19.00562,4.58753,19.66098,4.58754
38,760.0,19.66098,3.93218,19.66098,3.93302
39,780.0,19.00563,3.27681,19.66099,3.93218
40,800.0,18.35282,3.27681,19.00563,3.27682
41,820.0,18.35028,3.27681,19.00563,3.27682
42,840.0,18.35028,3.27681,19.00563,3.27681
43,860.0,18.35027,2.62145,19.00563,2.62145
44,880.0,19.00563,2.62144,19.661,3.2768
45,900.0,19.00564,2.62144,19.661,2.62145
46,920.0,19.00564,2.62144,19.00564,3.2768
47,940.0,19.00564,2.62144,19.00564,2.62144
48,960.0,19.66101,2.62143,29.49153,6.5536
49,980.0,38.66673,8.51968,40.63289,9.17504
50,1000.0,39.32215,7.86432,40.63285,8.51969
51,1020.0,41.2882,7.86431,41.94356,7.20895
52,1040.0,41.2882,7.20895,41.94355,7.20895
53,1060.0,41.28819,6.55358,41.94355,6.55358
54,1080.0,41.94355,5.89823,42.59891,6.55358
55,1100.0,41.94355,5.89822,42.5989,5.89822
56,1120.0,42.5989,5.24285,43.25427,5.89821
57,1140.0,41.94354,5.89821,41.28819,5.89822
58,1160.0,39.97746,5.89821,41.28818,6.55358
59,1180.0,41.28817,5.89821,41.28817,5.89822
60,1200.0,40.63281,5.24285,41.28817,5.89822
61,1220.0,40.6328,5.24285,41.28817,5.89822
62,1240.0,40.6328,5.24285,41.28817,5.24285
63,1260.0,49.80796,8.51965,64.88149,13.76255
64,1280.0,67.50304,13.76255,66.84766,12.45182
65,1300.0,66.84763,11.79647,69.46906,11.79647
66,1320.0,68.8137,11.1411,68.81369,10.48574
67,1340.0,68.15834,9.83037,68.81369,10.48573
68,1360.0,68.81369,9.83037,69.46905,9.83037
69,1380.0,68.81368,9.17501,69.46904,9.83037
70,1400.0,68.81368,9.17501,69.46904,9.83037
71,1420.0,68.81368,9.17501,68.81368,9.17501
72,1440.0,68.15831,8.51965,70.77977,9.83036
73,1460.0,81.2657,13.10717,91.75163,17.69471
74,1480.0,92.40705,17.69472,92.40703,17.03936
75,1500.0,93.06237,16.384,94.37309,16.384
76,1520.0,95.02843,15.72863,95.68379,15.72863
77,1540.0,95.68378,15.07326,96.9945,15.07326
78,1560.0,96.33913,14.4179,97.64985,14.4179
79,1580.0,96.33912,13.76254,97.64984,14.4179
80,1600.0,96.99447,13.76254,97.64983,13.76254
81,1620.0,97.64983,13.76253,98.30518,13.76254
82,1640.0,97.64982,13.10717,98.96054,13.76254
83,1660.0,97.64982,13.10717,99.61591,13.76253
84,1680.0,102.89277,14.41789,102.89278,15.07326
85,1700.0,101.58203,14.41789,102.89274,15.07326
86,1720.0,102.89274,14.41789,103.5481,14.41789
87,1740.0,102.89274,13.76253,103.54809,14.41789
88,1760.0,102.89273,13.76253,103.54809,13.76253
89,1780.0,102.89273,13.76252,103.54809,13.76253
90,1800.0,103.54808,13.76252,104.20344,14.41789
91,1820.0,103.54809,13.76252,104.20345,13.76253
92,1840.0,103.54808,13.10716,104.20344,13.76253
93,1860.0,103.54808,13.76253,104.20344,13.76253
94,1880.0,102.89272,13.10716,104.20344,13.76253
95,1900.0,103.54807,13.76253,104.20344,14.4179
96,1920.0,102.89272,13.76253,103.54808,14.41789
97,1940.0,102.89272,13.76253,103.54809,14.41789
98,1960.0,104.85885,15.07326,104.85886,15.72863
99,1980.0,104.20348,15.07327,104.85883,16.38486
100,2000.0,104.85884,15.72863,104.85884,15.72863
101,2020.0,103.54812,15.72863,104.85883,15.72863
102,2040.0,104.20347,15.72863,104.20347,15.72863
103,2060.0,104.20347,15.07327,104.85883,15.72863
104,2080.0,104.20347,15.07327,104.85883,15.72864
105,2100.0,104.20347,15.72863,104.85883,16.384
106,2120.0,104.20347,15.07327,93.71765,14.41794
107,2140.0,61.60483,11.79655,28.18124,11.14125
108,2160.0,1.31131,9.17517,-9.82991,10.48591
109,2180.0,-9.1746,11.14126,-5.24245,11.79661
110,2200.0,-4.58712,11.14124,-2.62108,10.48587
111,2220.0,-2.62109,9.8305,-0.65503,9.83049
112,2240.0,-0.65504,9.17512,0.65566,8.51976
113,2260.0,1.31101,7.86438,1.96635,8.51974
114,2280.0,1.96634,7.20901,2.62169,7.86437
115,2300.0,0.65559999999999,5.89829,-5.24267,5.8983
116,2320.0,-6.55339,5.8983,-3.93196,7.20902
117,2340.0,-3.93196,5.89829,-3.27662,5.89829
118,2360.0,-3.93199,5.24292,-3.27663,5.89828
119,2380.0,-3.27664,5.24292,-2.62128,5.89828
120,2400.0,-3.27665,4.58755,-2.62129,5.24291
121,2420.0,-3.27665,4.58754,-2.6213,4.58755
122,2440.0,-3.27666,4.58754,-2.62129,4.58754
123,2460.0,-2.6213,3.93218,-2.6213,4.58755
124,2480.0,-3.27666,3.93217,-2.6213,3.93218
125,2500.0,-3.27666,3.93217,-1.96594,3.93217
126,2520.0,-2.6213,3.27681,-2.6213,3.93217
127,2540.0,-2.62131,3.2768,-2.62131,3.27681
128,2560.0,-2.62131,3.2768,-1.96595,3.93217
129,2580.0,-5.89813,3.27682,-6.55351,4.58755
130,2600.0,-5.89813,4.58755,-3.93205,5.24291
131,2620.0,-5.24278,4.58755,-3.93207,4.58755
132,2640.0,-5.24278,4.58754,-4.58742,4.58755
133,2660.0,-5.24278,3.93218,-4.58742,3.93219
134,2680.0,-5.24278,3.93218,-4.58742,3.93219
135,2700.0,-5.24278,3.27682,-4.58742,3.93218
136,2720.0,-5.24278,3.93218,-4.58742,3.27683
137,2740.0,-5.24278,3.27682,-4.58742,3.27683
138,2760.0,-5.24278,3.27682,-5.24277,3.27682
139,2780.0,-5.89814,2.62146,-4.58742,3.27682
140,2800.0,-5.89813,2.62146,-5.24277,3.27683
141,2820.0,-5.89813,2.62146,-5.24277,3.27682
142,2840.0,0.65554999999999,4.58753,15.72906,9.17506
143,2860.0,23.59355,10.48578,26.21505,10.48578
144,2880.0,26.21504,8.5197,26.87039,7.86433
145,2900.0,27.52573,7.20897,28.83644,7.20897
146,2920.0,28.83644,6.5536,29.49179,6.5536
147,2940.0,29.49178,5.89823,30.80505,5.89823
148,2960.0,30.14712,5.24286,31.45784,5.24286
149,2980.0,30.80248,4.5875,32.1132,5.24286
150,3000.0,31.45784,4.5875,32.1132,4.5875
151,3020.0,31.45783,3.93213,32.1132,3.93214
152,3040.0,32.11319,3.93214,32.76855,3.93214
153,3060.0,31.45782,3.27677,32.11319,3.27677
154,3080.0,24.9042,1.96607,9.83083,2.62146
155,3100.0,3.27718,2.62147,5.89864,3.93218
156,3120.0,7.20936,3.27682,7.20933,3.93218
157,3140.0,7.20932,3.27681,7.86468,3.27681
158,3160.0,7.86468,2.62144,8.52003,2.62144
159,3180.0,7.86467,1.96608,9.17538,1.96608
160,3200.0,8.52002,1.96607,9.17538,1.96608
161,3220.0,8.52001,1.31071,9.17537,1.96608
162,3240.0,8.52001,1.31071,9.83072,1.96607
163,3260.0,9.17536,0.65535,9.83072,1.31071
164,3280.0,9.17536,0.65535,9.83072,1.31071
165,3300.0,9.17536,0.65535,9.83071,1.31071
166,3320.0,9.83072,0.65534,9.83072,0.65535
167,3340.0,9.17536,-1.9999999999243e-05,9.83072,0.65534
168,3360.0,9.17536,-1.9999999999243e-05,9.83071,-1.9999999999243e-05
169,3380.0,9.83072,-1.9999999999243e-05,9.83072,-1.9999999999243e-05
170,3400.0,9.17535,-0.65538,9.8307,-1.9999999999243e-05
171,3420.0,9.17535,-0.65537,9.83071,-0.65538
172,3440.0,9.83072,-0.65539,20.97196,2.62142
173,3460.0,30.80253,5.24287,32.76868,6.5536
174,3480.0,30.80258,4.58751,32.11327,4.58752
175,3500.0,32.76863,3.93215,34.07934,3.93215
176,3520.0,33.42398,2.62142,34.73469,3.27678
177,3540.0,34.73468,2.62141,36.0454,2.62141
178,3560.0,35.39003,1.96605,36.70074,1.96605
179,3580.0,36.04538,1.96604,36.70074,1.31068
180,3600.0,36.04538,1.31068,37.35609,1.31068
181,3620.0,36.70073,1.31067,37.35609,1.31068
182,3640.0,36.70072,0.65532,37.35609,1.31068
183,3660.0,36.70073,0.65531,37.35609,0.65531
184,3680.0,36.70073,-5.000000000166e-05,35.39,-5.000000000166e-05
185,3700.0,31.45782,-0.65541,33.42391,0.65532
186,3720.0,34.07927,0.65531,34.73462,0.65532
187,3740.0,34.07925,0.65531,34.73462,0.65532
188,3760.0,34.07926,-5.000000000166e-05,35.38998,0.65531
189,3780.0,34.73462,-5.000000000166e-05,35.38997,-5.000000000166e-05
190,3800.0,34.73461,-0.65542,35.38997,-0.65542
191,3820.0,34.7346,-0.65542,36.04532,-5.000000000166e-05
192,3840.0,41.94364,1.96603,53.08494,5.8982
193,3860.0,55.70646,6.55356,54.39572,5.89821
194,3880.0,54.39568,5.24285,56.36175,5.89821
195,3900.0,56.36175,4.58748,56.36174,4.58748
196,3920.0,54.39566,3.27675,55.70638,2.62139
197,3940.0,55.05103,1.31066,55.05103,1.31066
198,3960.0,54.39567,0.6553,55.05103,0.6553
199,3980.0,54.39567,0.65529,55.05102,0.6553
200,4000.0,54.39566,0.65529,55.05102,0.6553
201,4020.0,54.39566,0.65529,55.05102,0.6553
202,4040.0,54.39566,-7.0000000000903e-05,57.67248,1.96694
203,4060.0,70.12453,6.55355,77.33365,9.17501
204,4080.0,76.02294,7.86428,76.0229,7.20892
205,4100.0,77.98897,7.20892,79.29968,7.20892
206,4120.0,77.98895,6.55356,79.29967,5.89819
207,4140.0,79.29966,5.89819,80.61037,5.89819
208,4160.0,80.61037,5.24282,81.92108,5.89819
209,4180.0,81.92108,5.24282,82.57643,5.24282
210,4200.0,81.92106,5.24282,83.23178,5.24282
211,4220.0,82.57641,5.24282,83.23177,5.24282
212,4240.0,79.29959,4.58746,78.64421,5.8982
213,4260.0,78.64421,5.24283,79.95493,5.89819
214,4280.0,79.29956,5.24283,79.95492,5.89819
215,4300.0,79.29956,5.24282,79.95492,5.24283
216,4320.0,79.29955,5.24282,79.95492,5.24282
217,4340.0,78.64419,5.24282,79.29956,5.24283
218,4360.0,79.29956,5.24282,79.29956,5.89819
219,4380.0,78.64419,5.24283,79.29955,5.89819
220,4400.0,78.64419,5.24283,79.29955,5.89818
221,4420.0,78.64419,5.24283,79.29955,5.89819
222,4440.0,78.64419,5.24282,79.29955,5.89819
223,4460.0,78.6442,5.24282,79.29955,5.89819
224,4480.0,79.29955,5.24282,86.50862,8.51963
225,4500.0,93.71771,11.14109,95.02847,12.45182
226,4520.0,93.06236,11.1411,95.02841,11.1411
227,4540.0,95.68377,11.1411,96.33912,11.1411
228,4560.0,95.0284,9.83037,96.33911,10.48575
229,4580.0,95.68372,9.8304,96.33907,9.83042
230,4600.0,95.6837,9.17506,96.33905,9.17507
231,4620.0,95.02834,8.51971,95.02834,8.5197
232,4640.0,86.50862,7.20899,79.95498,7.20899
233,4660.0,77.98889,7.20898,77.33351,8.51971
234,4680.0,76.67814,7.86434,77.98886,8.51969
235,4700.0,77.98886,7.86433,77.98886,8.51968
236,4720.0,77.3335,7.20895,77.98886,7.86431
237,4740.0,77.3335,7.20895,77.98886,7.20895
238,4760.0,77.33351,6.55359,77.98887,7.20895
239,4780.0,77.33351,6.55358,78.64422,6.55358
240,4800.0,78.64422,6.55358,84.54252,8.51966
241,4820.0,91.75163,10.48575,93.06238,11.14112
242,4840.0,91.75164,9.83039,93.7177,10.48576
243,4860.0,94.37306,9.8304,95.02842,9.8304
244,4880.0,93.71769,9.17503,95.02841,9.17504
245,4900.0,95.02841,9.17503,95.68376,9.17503
246,4920.0,95.0284,9.17503,96.33912,9.17503
247,4940.0,95.68376,9.17503,95.68375,9.17503
248,4960.0,95.68375,8.51967,96.33911,8.51967
249,4980.0,95.68375,8.51967,95.68374,8.51967
250,5000.0,95.02838,8.51966,96.3391,8.51967
251,5020.0,95.02838,8.51967,95.68374,8.51967
252,5040.0,95.02838,7.8643,95.68374,8.51966
253,5060.0,95.02838,7.86431,95.68374,8.51967
254,5080.0,95.02838,7.8643,95.68374,8.51967
255,5100.0,95.02838,7.8643,95.68374,8.51967
256,5120.0,95.02838,7.8643,95.6816,7.8643
257,5140.0,95.02839,7.86431,95.68374,7.86431
258,5160.0,95.02839,7.20894,95.02839,7.8643
259,5180.0,94.37303,7.20894,95.0284,7.20895
260,5200.0,93.06232,6.55359,83.23186,5.89824
261,5220.0,76.02286,5.24288,75.36749,6.5536
262,5240.0,76.67821,5.89823,77.98891,5.89824
263,5260.0,77.33355,5.24287,77.98891,5.24288
264,5280.0,77.33355,4.58751,77.33355,5.24286
265,5300.0,76.6782,3.93213,60.94948,1.96611
266,5320.0,22.28306,-1.31065,-9.17442,-1.31062
267,5340.0,-26.21391,-0.65522,-27.52468,0.65551
268,5360.0,-25.55864,0.65549,-22.93721,0.65549
269,5380.0,-22.93725,0.00012000000000256,-21.62655,0.00010999999999939
270,5400.0,-20.97121,-0.65527,-19.66051,-0.65526000000001
271,5420.0,-19.66053,-1.31063,-18.34982,-1.966
272,5440.0,-18.34983,-1.96601,-17.03912,-1.96601
273,5460.0,-15.7284,-1.96601,-9.83012,1.3108
274,5480.0,-8.51936,1.31079,-8.51939,1.31078
275,5500.0,-7.86405,5.9999999997729e-05,-6.55334,0.65542
276,5520.0,-7.2087,5.000000000166e-05,-6.55334,4.9999999994554e-05
277,5540.0,-6.55334,-0.65532,-5.89799,-0.65532
278,5560.0,-6.55335,-1.31068,-5.89799,-1.31068
279,5580.0,-5.89799,-1.31069,-5.24263,-1.31068
280,5600.0,-5.89799,-1.96605,-5.24264,-1.96605
281,5620.0,-5.898,-1.96605,-5.24264,-1.96605
282,5640.0,-5.89799,-2.62142,-5.89799,-1.96606
283,5660.0,-5.89799,-2.62142,-5.24263,-2.62142
284,5680.0,-6.55335,-3.27678,-5.24263,-2.62142
285,5700.0,-5.89798,-3.27678,-5.89798,-2.62142
286,5720.0,-5.89799,-3.27678,-5.24263,-2.62142
287,5740.0,-5.89799,-3.27679,-5.24263,-3.27678
288,5760.0,-5.89799,-3.93215,-5.24263,-3.27678
289,5780.0,-6.55334,-3.93215,-1.9658,-2.62143
290,5800.0,9.17552,0.65537,17.69535,2.62145
291,5820.0,17.69539,1.96609,18.35073,1.31073
292,5840.0,18.35071,0.65537,20.97214,0.0
293,5860.0,20.31678,0.0,20.97214,0.0
294,5880.0,20.31677,-1.31072,20.97213,-1.31072
295,5900.0,20.97212,-1.96609,21.62748,-1.31073
296,5920.0,21.62747,-1.96609,22.28283,-1.96609
297,5940.0,21.62747,-2.62145,16.38456,-2.62144
298,5960.0,7.86483,-2.62143,6.55408,-1.96606
299,5980.0,7.20944,-2.62143,9.17551,-1.96607
300,6000.0,8.52013,-2.62143,9.17549,-1.96607
301,6020.0,8.52013,-2.62144,8.52013,-2.62144
302,6040.0,8.52012,-3.2768,9.17548,-2.62144
303,6060.0,8.52011,-3.27681,9.17548,-3.2768
304,6080.0,8.52012,-3.93217,9.17547,-3.27681
305,6100.0,9.17546,-3.93217,9.83083,-3.93217
306,6120.0,13.10765,-3.27682,22.93818,-0.65538
307,6140.0,26.21506,-1.0000000003174e-05,25.5597,-0.65538
308,6160.0,24.90431,-1.96611,26.21503,-1.9661
309,6180.0,26.21504,-3.27683,25.55968,-3.27683
310,6200.0,25.55967,-3.9322,26.21503,-3.93219
311,6220.0,24.24894,-5.24291,13.76312,-4.58752
312,6240.0,5.24336,-4.58751,5.89872,-3.27678
313,6260.0,7.20944,-3.93215,8.52014,-3.93215
314,6280.0,7.86476,-4.58752,8.52013,-4.58752
315,6300.0,7.2094,-5.24288,1.31112,-5.24286
316,6320.0,0.00039999999999907,-4.58751,3.27723,-3.93215
317,6340.0,3.27723,-4.58752,3.93512,-4.58751
318,6360.0,3.2772,-5.24289,3.93256,-5.24288
319,6380.0,3.2772,-5.89825,3.93256,-5.89825
320,6400.0,3.27719,-6.55361,3.93255,-5.89825
321,6420.0,3.27718,-6.55361,3.93254,-5.89825
322,6440.0,3.93254,-6.55361,4.58789,-5.24289
323,6460.0,3.93253,-5.89825,4.58789,-5.89825
324,6480.0,14.41842,-2.62146,31.45808,2.62143
325,6500.0,41.94402,4.58751,44.56555,3.93216
326,6520.0,45.22088,2.62143,45.87621,1.96607
327,6540.0,46.53154,0.65535,47.1869,0.65534
328,6560.0,47.18689,-0.65539,47.84224,-0.65539
329,6580.0,47.84224,-1.31076,48.49759,-1.31076
330,6600.0,48.49758,-1.96612,49.15294,-1.96612
331,6620.0,48.49758,-2.62149,49.15293,-1.96613
332,6640.0,49.15293,-2.62149,49.15293,-2.62149
333,6660.0,49.15292,-2.62149,49.80828,-1.96613
334,6680.0,49.80828,-2.6215,50.46364,-2.62149
335,6700.0,49.80828,-3.27685,49.80828,-2.62149
336,6720.0,49.15292,-3.27685,49.80828,-3.27685
337,6740.0,49.15293,-3.27686,49.80829,-2.6215
338,6760.0,49.80829,-3.27685,49.80829,-3.27686
339,6780.0,49.80829,-3.93223,58.98344,-0.65542
340,6800.0,70.78012,3.93212,79.9553,6.55358
341,6820.0,79.95532,5.24286,80.61065,4.5875
342,6840.0,81.26599,3.27677,82.5767,3.93213
343,6860.0,82.5767,3.27676,83.23205,3.27677
344,6880.0,82.57668,2.6214,83.23204,3.27676
345,6900.0,82.57668,2.6214,83.23203,2.6214
346,6920.0,83.23203,2.6214,83.88739,2.62139
347,6940.0,83.23203,1.96603,83.23202,2.62139
348,6960.0,83.23202,1.96603,83.88738,1.96603
349,6980.0,83.23202,1.96603,83.88738,1.96604
350,7000.0,83.88737,1.96603,83.88737,2.62139
351,7020.0,82.57665,1.96603,83.88737,2.62139
352,7040.0,83.23201,1.96603,83.88736,1.96603
353,7060.0,83.232,1.96603,83.88736,2.62139
354,7080.0,83.232,0.65531,78.64447,0.65531
355,7100.0,76.67839,-5.9999999997729e-05,77.33375,1.31067
356,7120.0,77.9891,0.65531,77.9891,0.65531
357,7140.0,77.33373,-5.9999999997729e-05,78.64445,0.65531
358,7160.0,77.98909,-5.9999999997729e-05,78.64445,0.65531
359,7180.0,77.98909,-5.000000000166e-05,78.64445,0.65531
360,7200.0,77.98909,0.6553,78.64445,0.65531
361,7220.0,77.98909,-5.9999999997729e-05,78.64445,0.65531
362,7240.0,77.98909,0.6553,78.64446,0.65531
363,7260.0,77.9891,-5.9999999997729e-05,77.9891,0.65531
364,7280.0,77.98909,-5.000000000166e-05,78.64445,0.65531
365,7300.0,77.9891,-5.9999999997729e-05,82.57665,1.96603
366,7320.0,89.78574,4.58748,95.02871,7.20894
367,7340.0,93.718,7.20895,95.02869,7.20895
368,7360.0,96.33939,6.55359,97.6501,6.55359
369,7380.0,97.65009,5.89822,98.30545,6.55358
370,7400.0,98.30545,5.89822,98.96079,5.89822
371,7420.0,98.30544,5.89822,98.30543,5.89822
372,7440.0,77.3338,3.27682,41.28877,1.31081
373,7460.0,7.2098,-0.65524,-13.76189,0.00014999999999787
374,7480.0,-20.31557,0.00014000000000181,-16.38346,1.31085
375,7500.0,-13.76203,0.65548,-11.79599,0.65546
376,7520.0,-11.79602,9.0000000000146e-05,-9.82996,-0.65528
377,7540.0,-9.82998,-0.65529,-8.51927,-1.31066
378,7560.0,-8.51929,-1.96603,-7.20858,-1.96604
379,7580.0,-7.20859,-2.6214,-5.89788,-2.62141
380,7600.0,-6.55325,-3.27677,-5.24254,-3.27678
381,7620.0,-5.8979,-3.27679,-5.24255,-3.27678
382,7640.0,-5.89792,-4.58751,-5.24256,-3.93215
383,7660.0,-5.24256,-4.58752,-4.5872,-4.58752
384,7680.0,-5.24257,-4.58752,-4.5872,-4.58753
385,7700.0,-5.24256,-5.24289,-4.5872,-4.58753
386,7720.0,-5.24256,-5.24289,-4.5872,-4.58753
387,7740.0,-5.24256,-5.89825,-5.24256,-5.24289
388,7760.0,-5.24256,-5.89825,-5.24255,-5.89826
389,7780.0,-8.51936,-7.20897,-10.48545,-6.55362
390,7800.0,-11.14081,-7.20898,-9.83009,-6.55362
391,7820.0,-10.48546,-7.20897,-9.8301,-6.55361
392,7840.0,-10.48546,-7.20898,-9.8301,-6.55361
393,7860.0,-10.48546,-7.20898,-9.8301,-6.55362
394,7880.0,-10.48546,-7.20898,-10.48546,-6.55361
395,7900.0,-10.48546,-6.55362,-10.48545,-6.55362
396,7920.0,-10.48545,-7.20898,-10.48546,-6.55361
397,7940.0,-10.48545,-7.20898,-9.83009,-6.55362
398,7960.0,-11.14082,-7.20898,-10.48546,-6.55362
399,7980.0,-11.14081,-7.20898,-10.48545,-7.20898
400,8000.0,-11.14081,-7.86434,-10.48544,-7.20898
401,8020.0,-11.14081,-7.86434,-10.48545,-7.20898
402,8040.0,-11.14081,-7.20898,-11.1408,-7.20898
403,8060.0,-11.1408,-7.20898,-11.1408,-7.20898
404,8080.0,-11.79616,-7.20898,-11.1408,-7.20898
405,8100.0,-11.79616,-7.86434,-11.1408,-7.20897
406,8120.0,-7.86396,-6.55363,1.96661,-3.27682
407,8140.0,4.58815,-1.96609,3.93277,-2.62145
408,8160.0,3.93274,-3.93218,6.55417,-3.27681
409,8180.0,7.20952,-3.93218,7.86487,-3.27682
410,8200.0,7.2095,-4.58755,7.86486,-3.93218
411,8220.0,7.86485,-4.58755,8.5202,-3.93218
412,8240.0,8.5202,-4.58755,9.17555,-3.93219
413,8260.0,8.52019,-4.58755,9.17554,-4.58755
414,8280.0,8.52018,-5.24291,9.17554,-4.58755
415,8300.0,9.17554,-5.24292,15.72923,-2.62148
416,8320.0,20.97224,-2.62149,20.97226,-1.96612
417,8340.0,19.66151,-3.27684,21.62757,-3.27684
418,8360.0,22.28293,-3.27685,22.93828,-3.27684
419,8380.0,22.28291,-3.27685,23.59362,-2.62149
420,8400.0,22.93825,-3.27685,24.24896,-2.62149
421,8420.0,23.5936,-3.27685,24.90432,-2.6215
422,8440.0,24.24895,-3.27686,24.90431,-3.27686
423,8460.0,24.24895,-3.27686,24.90431,-3.27686
424,8480.0,24.9043,-3.27686,24.9043,-3.27686
425,8500.0,24.9043,-3.27686,25.55966,-3.27686
426,8520.0,24.90429,-3.93222,25.55966,-3.27686
427,8540.0,24.9043,-3.93223,25.55966,-3.27686
428,8560.0,24.24893,-3.93223,32.11333,-1.31078
429,8580.0,39.97782,-7.0000000000903e-05,43.25469,1.31066
430,8600.0,41.28861,-7.0000000000903e-05,42.5993,-0.65542
431,8620.0,43.25465,-0.65543,43.91001,-0.65543
432,8640.0,42.59928,-1.31079,43.25464,-1.31079
433,8660.0,42.59928,-2.62152,43.25465,-1.96616
434,8680.0,42.59928,-2.62152,43.25464,-2.62152
435,8700.0,43.25464,-2.62152,43.91,-2.62152
436,8720.0,43.25464,-3.27689,43.25464,-2.62153
437,8740.0,43.25464,-3.93225,43.25464,-3.27689
438,8760.0,43.25463,-3.93225,43.90999,-3.93225
439,8780.0,42.59927,-3.93225,43.25464,-3.93225
440,8800.0,42.59927,-4.58761,43.25463,-3.93225
441,8820.0,43.25463,-4.58761,43.25463,-3.93225
442,8840.0,42.59927,-4.58761,43.25463,-4.58761
