,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.65536000000001,1.0000000003174e-05,0.65537
2,40.0,0.0,1.31073,-0.65535,1.31073
3,60.0,1.0000000003174e-05,1.9661,1.0000000003174e-05,1.9661
4,80.0,-0.65534,3.27682,1.0000000003174e-05,3.27683
5,100.0,-0.65535,3.27683,1.9999999999243e-05,3.27683
6,120.0,1.9999999999243e-05,3.93219,1.9999999999243e-05,3.27684
7,140.0,1.9999999999243e-05,3.9322,1.9999999999243e-05,3.9322
8,160.0,0.65538,3.9322,0.65538,3.27684
9,180.0,1.31074,3.9322,1.9661,3.9322
10,200.0,1.9661,4.58756,1.9661,3.93221
11,220.0,1.9661,4.58756,1.96611,4.58757
12,240.0,1.96611,5.24293,1.96611,5.24293
13,260.0,1.96611,5.89829,1.96611,5.8983
14,280.0,1.31075,6.55365,1.96611,5.8983
15,300.0,1.96611,6.55366,1.31075,6.55367
16,320.0,1.31075,7.20902,1.96611,7.20903
17,340.0,1.31075,7.20902,1.31075,7.20903
18,360.0,1.31074,7.86439,1.31075,7.8644
19,380.0,0.65538,8.51975,1.9999999999243e-05,7.8644
20,400.0,1.9999999999243e-05,8.51975,-0.65535,8.51976
21,420.0,-0.65535,7.86439,-1.31072,7.8644
22,440.0,-1.96608,7.86439,-1.96609,7.20904
23,460.0,-2.62145,7.86439,-1.9661,7.86439
24,480.0,-2.62146,7.86439,-1.96609,7.86439
25,500.0,-1.96609,8.51975,-1.96609,7.86439
26,520.0,-1.96609,7.86439,-1.31072,7.86438
27,540.0,-1.31072,8.51974,-0.65535,7.86438
28,560.0,-0.65535,8.51974,-0.65535,7.86438
29,580.0,1.0000000003174e-05,8.51973,1.9999999999243e-05,7.86437
30,600.0,1.0000000003174e-05,7.86437,1.9999999999243e-05,8.51973
31,620.0,0.65538,8.51973,0.65538,8.51973
32,640.0,1.9999999999243e-05,9.17509,1.9999999999243e-05,9.17509
33,660.0,1.9999999999243e-05,9.17509,0.65538,9.17509
34,680.0,1.9999999999243e-05,9.17509,0.65538,9.17509
35,700.0,7.86444,9.17508,13.10743,8.51969
36,720.0,13.10741,9.17505,12.45204,9.17506
37,740.0,12.45205,10.48579,13.10741,9.83042
38,760.0,13.10741,9.83042,-49.80715,9.17506
39,780.0,12.45205,9.83041,13.1074,9.17505
40,800.0,12.45204,9.17505,12.45205,8.51969
41,820.0,12.45205,9.17504,12.45205,8.51968
42,840.0,12.45205,8.51968,12.45205,7.86432
43,860.0,15.07352,7.20895,22.938,5.8982
44,880.0,24.24874,5.24283,23.59336,5.24284
45,900.0,23.59337,5.8982,23.59337,5.8982
46,920.0,24.24874,5.24283,24.24874,5.24284
47,940.0,24.24874,5.24283,24.24874,5.24283
48,960.0,24.90411,5.24283,24.90411,4.58747
49,980.0,24.90411,4.58747,24.90412,3.93211
50,1000.0,24.90412,4.58747,25.55948,4.58747
51,1020.0,24.90412,4.58747,24.90412,4.58747
52,1040.0,24.90413,5.24283,24.90413,4.58747
53,1060.0,24.90413,5.24283,24.24877,4.58747
54,1080.0,24.24877,5.89819,24.24877,5.24284
55,1100.0,24.24877,5.24283,26.87024,5.24283
56,1120.0,40.63304,7.86426,45.87605,7.20888
57,1140.0,45.22066,7.86424,44.56529,8.51961
58,1160.0,44.5653,9.17497,45.22066,9.17497
59,1180.0,45.22066,9.17497,45.87601,7.86425
60,1200.0,46.53137,7.86424,46.53136,8.51961
61,1220.0,47.18672,9.17496,47.18673,8.5196
62,1240.0,47.18673,9.17497,47.8421,9.17497
63,1260.0,47.8421,9.17497,48.49747,9.17497
64,1280.0,49.15283,9.17496,49.15284,9.17496
65,1300.0,49.80821,9.83032,49.80821,9.83032
66,1320.0,50.46358,9.83032,51.11895,8.51959
67,1340.0,57.01983,9.8303,61.60494,7.86421
68,1360.0,61.60491,8.51956,61.6049,8.51958
69,1380.0,61.6049,9.17494,62.26026,8.51958
70,1400.0,62.26026,9.17494,61.60489,8.51959
71,1420.0,61.60488,8.51959,-49.80633,8.51959
72,1440.0,60.29414,8.51959,60.9495,9.17496
73,1460.0,60.29413,9.17497,60.29412,9.83032
74,1480.0,60.29411,10.48569,60.29411,11.14105
75,1500.0,60.29411,11.79641,60.29412,11.79642
76,1520.0,60.29412,12.45177,60.29412,12.45178
77,1540.0,60.29411,12.45177,60.29412,12.45177
78,1560.0,60.94948,12.45177,60.29412,11.79641
79,1580.0,60.94948,11.79641,69.4693,13.76249
80,1600.0,82.5768,15.72855,85.85363,14.41782
81,1620.0,85.19824,15.07319,85.19823,14.41784
82,1640.0,85.19822,14.41784,85.85358,13.76248
83,1660.0,86.50894,13.10712,86.50893,12.45176
84,1680.0,86.50893,13.10711,86.50893,12.45177
85,1700.0,86.50893,12.45176,86.50893,12.45177
86,1720.0,86.50894,13.10711,86.50894,13.10713
87,1740.0,86.50894,14.41784,86.50895,13.76248
88,1760.0,87.16431,15.0732,87.81968,14.41784
89,1780.0,87.81968,14.41784,87.81968,13.76248
90,1800.0,88.47503,14.41783,88.47504,13.76247
91,1820.0,88.47503,14.41783,88.47503,13.76247
92,1840.0,93.71797,16.38392,104.85934,17.03927
93,1860.0,108.79158,17.69461,108.13619,17.69461
94,1880.0,107.48082,19.00534,107.48082,19.00535
95,1900.0,107.48081,19.6607,107.48081,19.00534
96,1920.0,106.82544,19.6607,106.17008,19.66071
97,1940.0,106.82543,20.31606,106.17007,19.6607
98,1960.0,106.17007,20.31606,106.17006,20.31607
99,1980.0,105.5147,20.97143,106.17007,20.97143
100,2000.0,105.5147,21.62679,105.51471,21.62679
101,2020.0,105.5147,21.62679,105.51471,22.28215
102,2040.0,106.17007,22.28215,106.17007,21.62679
103,2060.0,106.82542,22.28214,106.82542,21.62679
104,2080.0,106.82541,21.62679,106.8254,21.62679
105,2100.0,106.8254,21.62679,107.48076,20.97143
106,2120.0,117.31131,23.59287,136.31714,25.55894
107,2140.0,142.87088,26.86964,142.21549,26.86965
108,2160.0,141.5601,28.18037,141.56011,28.18038
109,2180.0,141.5601,29.4911,142.21545,29.49111
110,2200.0,141.56008,29.4911,142.21545,29.49111
111,2220.0,142.21545,30.14647,142.21545,30.14647
112,2240.0,142.21544,31.45719,142.21544,30.80183
113,2260.0,142.21544,30.80183,142.21545,30.80183
114,2280.0,142.21544,31.45719,141.56008,31.45719
115,2300.0,141.56008,32.11255,141.56007,31.4572
116,2320.0,141.56008,31.45719,141.56007,31.4572
117,2340.0,141.56007,31.45719,141.56007,30.80184
118,2360.0,141.56007,31.45719,141.56007,30.80184
119,2380.0,141.56006,31.4572,141.56007,31.4572
