,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-9.9999999960687e-06,-0.65537,1.31073,-1.31072
2,40.0,0.65536,-1.31073,1.31073,-1.96609
3,60.0,0.65536,-2.62147,1.9661,-3.93219
4,80.0,0.65536,-4.58757,2.62146,-5.89828
5,100.0,1.96609,-6.55366,3.27682,-7.20902
6,120.0,1.96608,-7.8644,3.27682,-8.51975
7,140.0,1.96608,-9.17512,3.27682,-9.17512
8,160.0,1.96608,-10.48586,2.62146,-10.48585
9,180.0,1.96608,-11.14122,3.27683,-11.14121
10,200.0,1.96609,-11.79659,3.27683,-11.79658
11,220.0,1.96609,-13.10732,3.27683,-13.10731
12,240.0,1.96609,-12.45196,3.27682,-13.10731
13,260.0,1.96609,-13.76268,2.62147,-13.76267
14,280.0,2.62145,-13.76268,1.96865,-13.76268
15,300.0,-0.6554,-12.45196,-1.9999999999243e-05,-12.45195
16,320.0,-2.9999999995312e-05,-12.45196,0.65534,-12.45195
17,340.0,-3.9999999998486e-05,-12.45196,0.65534,-13.10623
18,360.0,-0.6554,-12.45196,0.65534,-12.45195
19,380.0,-0.65539,-12.45196,0.65534,-12.45195
20,400.0,-0.6554,-12.45196,0.65534,-12.45195
21,420.0,-0.6554,-13.10732,-1.9999999999243e-05,-13.10731
22,440.0,-0.6554,-13.10732,-1.9999999999243e-05,-13.10731
23,460.0,-3.9999999998486e-05,-13.10732,0.65534,-13.10731
24,480.0,-0.65539,-13.10732,0.65534,-13.10731
25,500.0,-3.9999999998486e-05,-13.10731,0.65534,-13.10731
26,520.0,-3.9999999998486e-05,-12.45196,-1.9999999999243e-05,-13.10731
27,540.0,-3.9999999998486e-05,-12.45196,-1.9999999999243e-05,-13.1073
28,560.0,-3.9999999998486e-05,-13.10731,-1.9999999999243e-05,-13.10731
29,580.0,-3.9999999998486e-05,-13.10731,-1.9999999999243e-05,-13.10731
30,600.0,-0.6554,-12.45195,-1.9999999999243e-05,-12.45195
31,620.0,-0.6554,-12.45195,-2.9999999995312e-05,-12.45194
32,640.0,-0.6554,-12.45195,-1.9999999999243e-05,-12.45194
33,660.0,-2.9999999995312e-05,-11.79658,1.96611,-10.48584
34,680.0,1.31073,-10.48585,1.31075,-9.83048
