,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,-0.65535,0.0,0.65536
2,40.0,0.0,-9.9999999960687e-06,-0.65535,0.65536
3,60.0,0.0,-9.9999999960687e-06,-0.65535,0.65536
4,80.0,1.0000000003174e-05,-0.65537,-0.65535,0.65536
5,100.0,0.65537,-0.65536,-0.65534,0.65535000000001
6,120.0,1.0000000003174e-05,-9.9999999960687e-06,-0.65534,0.65536
7,140.0,1.9999999999243e-05,-9.9999999960687e-06,-0.65534,0.65536
8,160.0,1.9999999999243e-05,-9.9999999960687e-06,-0.65533,1.31071
9,180.0,1.9999999999243e-05,0.65535,-0.65533,1.31072
10,200.0,3.0000000002417e-05,0.65535,-1.31069,1.96608
11,220.0,3.0000000002417e-05,0.65535,-0.65533,1.96608
12,240.0,3.0000000002417e-05,0.65536,-1.31068,1.96608
13,260.0,-0.65533,1.31072,-1.31068,2.62145
14,280.0,-0.65533,1.96608,-1.96604,2.62145
15,300.0,-0.65533,1.96608,-1.31068,3.27681
16,320.0,-1.31068,1.96609,-1.96604,3.27681
17,340.0,-1.31068,1.96609,-1.96603,2.62145
18,360.0,-1.31068,1.96609,-1.96603,3.27681
19,380.0,-0.65532,1.96609,-1.96604,1.96609
20,400.0,-0.65533,1.31072,-1.96605,1.31072
21,420.0,1.9999999999243e-05,0.0,-0.65534,0.65536
22,440.0,1.9999999999243e-05,-0.65537,-1.3107,0.65535000000001
23,460.0,1.31074,-9.9999999960687e-06,6.55371,-1.9999999999243e-05
24,480.0,7.2091,-0.65539,4.58762,0.65533000000001
25,500.0,5.89835,-1.9999999999243e-05,5.243,0.65533000000001
26,520.0,5.24299,-2.9999999995312e-05,4.58764,-1.9999999999243e-05
27,540.0,5.243,-0.65539,4.58764,0.65533000000001
28,560.0,5.89836,-0.65539,4.58764,0.65533000000001
29,580.0,5.243,-0.65539,4.58764,-2.9999999995312e-05
30,600.0,5.243,-1.31075,4.58764,-2.9999999995312e-05
31,620.0,5.243,-0.65539,13.10744,-0.65539
32,640.0,22.28262,-1.31076,22.28266,-3.9999999998486e-05
33,660.0,22.28265,-0.6554,21.62729,0.65533000000001
34,680.0,22.28265,-0.6554,20.97192,-0.6554
35,700.0,22.28265,-0.6554,20.97193,-2.9999999995312e-05
36,720.0,21.62729,-0.6554,20.97193,-2.9999999995312e-05
37,740.0,21.62728,-0.6554,20.97194,-3.9999999998486e-05
38,760.0,21.62729,-0.6554,20.97194,-2.9999999995312e-05
39,780.0,21.6273,-0.6554,20.31658,-2.9999999995312e-05
40,800.0,21.6273,-2.9999999995312e-05,20.31658,0.65533000000001
41,820.0,20.97194,-2.9999999995312e-05,20.31659,0.65533000000001
42,840.0,20.31658,-3.9999999998486e-05,20.31659,0.65533000000001
43,860.0,30.14711,0.65533,39.32232,0.65533000000001
44,880.0,43.25454,0.65533,41.28846,1.31069
45,900.0,41.94381,0.65534,41.28846,1.96606
46,920.0,41.28845,-2.9999999995312e-05,40.6331,1.31069
47,940.0,41.28846,-2.9999999995312e-05,40.6331,0.65533000000001
