,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,0.0,0.0,0.65537
2,40.0,0.65536,1.0000000003174e-05,9.9999999960687e-06,1.0000000003174e-05
3,60.0,0.65536,0.65536,3.93222,0.65537
4,80.0,6.55371,0.65537,5.89835,0.65537
5,100.0,5.89834,1.31073,5.89835,1.31073
6,120.0,5.89834,1.31073,5.24298,1.9661
7,140.0,5.89834,1.96609,4.58763,1.96609
8,160.0,5.24298,1.96609,3.93226,1.96609
9,180.0,3.93225,1.31073,2.62153,1.9661
10,200.0,2.62152,1.31073,1.96616,1.31074
11,220.0,1.31078,1.31073,0.65543,1.31073
12,240.0,0.65541,1.31073,-2.62143,1.31073
13,260.0,-2.62144,1.31073,-3.27679,1.9661
14,280.0,-1.96606,1.9661,-2.62142,1.9661
15,300.0,-1.3107,1.9661,-2.62141,2.62146
16,320.0,-1.31069,2.62146,-1.96605,2.62146
17,340.0,-1.31069,2.62146,-1.96604,2.62146
18,360.0,-1.96605,2.62146,-2.6214,2.62146
19,380.0,-1.96605,2.62146,-3.27676,2.62146
20,400.0,-2.62141,2.62146,-1.96604,2.62146
21,420.0,12.45205,2.62145,32.76853,2.62145
22,440.0,39.97767,1.31071,36.04549,2.62144
23,460.0,35.39008,2.62144,34.73474,2.62145
24,480.0,35.39009,2.62145,34.73472,2.62145
25,500.0,34.73471,2.62145,34.07935,2.62145
26,520.0,34.7347,2.62145,34.07935,2.62145
27,540.0,34.7347,2.62145,34.7347,2.62146
28,560.0,35.39006,2.62145,32.7686,2.62146
29,580.0,27.52564,2.62146,24.90416,3.27683
30,600.0,25.55952,3.27683,25.55953,3.27684
31,620.0,26.21488,3.27684,25.55952,3.9322
32,640.0,26.21488,3.27684,26.21489,3.27684
33,660.0,27.52561,3.27684,26.87025,3.27685
34,680.0,28.18097,3.27685,26.21489,3.27685
35,700.0,19.00582,3.93222,15.729,3.27686
36,720.0,17.03973,3.27686,16.38438,3.93223
37,740.0,17.69509,3.93224,17.03974,3.93224
38,760.0,18.35045,3.27688,17.6951,3.27688
39,780.0,19.00583,3.27687,19.00583,2.62151
40,800.0,19.6612,3.27687,19.66121,3.27687
41,820.0,19.66121,3.27687,19.00586,3.27687
42,840.0,19.66122,3.27687,18.3505,3.27687
43,860.0,18.35049,3.27688,17.03977,3.27688
44,880.0,17.03976,3.27688,16.3844,3.27689
45,900.0,17.03974,3.27689,16.38438,3.27689
46,920.0,16.38437,2.62153,15.729,3.2769
47,940.0,16.38436,2.62153,15.729,3.2769
48,960.0,16.38436,3.2769,16.38437,3.2769
49,980.0,17.03972,3.93226,16.38438,3.93226
50,1000.0,16.38438,3.93226,17.03975,4.58762
51,1020.0,27.52565,4.58762,37.35623,4.58763
52,1040.0,41.94382,4.58763,40.63309,4.58763
53,1060.0,41.28844,4.58763,39.97772,4.58763
54,1080.0,41.28843,4.58763,39.97771,4.58763
55,1100.0,40.63306,4.58762,40.63306,4.58763
56,1120.0,40.63306,3.93226,39.9777,4.58763
57,1140.0,40.63306,4.58762,40.63307,3.93226
58,1160.0,41.28842,3.93226,40.63307,4.58762
59,1180.0,41.28842,3.93226,40.63307,3.93226
60,1200.0,41.28843,3.93225,40.63307,3.93226
61,1220.0,40.63307,4.58762,40.63307,4.58762
62,1240.0,41.28842,3.93226,40.63308,4.58762
