,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-1.31072,0.65538,-1.31072,0.65537
2,40.0,-1.96608,1.31075,-1.96608,1.31076
3,60.0,-2.62144,1.96613,-2.62145,2.62149
4,80.0,-3.93218,1.96614,-3.93219,2.6215
5,100.0,-4.58755,3.27687,-4.58757,3.27687
6,120.0,-5.24293,3.27687,-4.58759,3.93223
7,140.0,-5.24295,3.93223,-4.58761,3.93223
8,160.0,-5.24297,3.93223,-4.58761,4.58759
9,180.0,-5.24298,4.5876,-5.24298,4.58759
10,200.0,-5.24298,4.5876,-47.84139,5.24295
11,220.0,-5.89834,4.5876,-5.24299,5.24295
12,240.0,-5.243,4.58759,-4.58765,5.24294
13,260.0,-5.243,5.24295,-4.58765,5.24294
14,280.0,-5.24301,5.24294,-4.58765,5.89829
15,300.0,-5.24301,5.8983,-4.58766,5.89829
16,320.0,-5.24302,5.8983,-4.58767,6.55365
17,340.0,-5.24303,5.8983,-4.58768,6.55366
18,360.0,-5.24303,6.55366,-5.24303,6.55366
19,380.0,-5.24303,6.55366,-4.58768,6.55365
20,400.0,-5.24304,6.55366,-4.58769,7.20901
21,420.0,-5.24305,7.20901,-4.5877,7.20901
22,440.0,-5.24306,7.86437,-4.58771,7.86437
23,460.0,-4.5877,7.86437,-3.93235,7.86436
24,480.0,-5.24307,7.86436,-3.93236,8.51971
25,500.0,-4.58771,8.51972,-4.58773,8.51971
26,520.0,-4.58772,9.17507,-4.58773,9.17507
27,540.0,-5.24309,9.17507,-3.93238,9.17506
28,560.0,-4.58774,9.83043,-4.58774,9.83042
29,580.0,-5.2431,9.83043,-4.58775,9.83042
30,600.0,-5.24311,9.17507,-4.58775,9.83043
31,620.0,-5.2431,9.83043,-4.58775,9.83042
32,640.0,-5.24311,10.48579,-4.58776,10.48578
33,660.0,-5.89848,10.48579,-5.24312,10.48579
34,680.0,-5.24311,11.14115,-5.24312,11.79651
35,700.0,-5.89848,11.14116,-5.24312,11.14115
36,720.0,-5.24312,11.79652,-4.58777,11.79651
37,740.0,-5.24313,11.79652,-4.58778,12.45187
38,760.0,-4.58779,12.45188,-3.93244,12.45188
39,780.0,-4.58781,12.45188,-3.93246,12.45188
40,800.0,-4.58782,12.45188,-3.93247,12.45188
41,820.0,-4.58783,12.45189,-3.93246,12.45189
42,840.0,-4.58782,12.4519,-3.93247,13.10725
43,860.0,-4.58783,13.10726,-4.58783,13.10725
44,880.0,-5.24319,13.10726,-4.58783,13.76261
45,900.0,-4.58782,13.76262,-3.93247,13.76262
46,920.0,-5.24319,13.76262,-4.58784,13.76261
47,940.0,-5.24319,13.76262,-5.24319,13.76261
48,960.0,-5.89854,13.76262,-5.24318,14.41798
49,980.0,-5.89853,13.76262,-5.89853,13.76261
50,1000.0,-5.89853,13.10726,-3.27708,14.41797
51,1020.0,-1.96632,15.7287,-1.96631,15.07333
52,1040.0,-1.96631,15.07334,-0.65558,15.07333
53,1060.0,-1.96629,15.07333,-47.8415,14.41797
54,1080.0,-1.96629,14.41798,-1.31093,14.41797
55,1100.0,-2.62164,14.41798,-1.96627,14.41798
56,1120.0,-2.62162,14.41799,-1.96626,13.76262
57,1140.0,-2.62162,13.10727,-2.62162,13.10726
58,1160.0,-3.27697,13.10727,-2.62162,12.4519
59,1180.0,-3.27697,12.45191,-2.62161,11.79654
60,1200.0,-3.27697,11.79655,-3.27697,11.79654
61,1220.0,-3.27697,10.48583,-2.62161,10.48582
62,1240.0,-3.27697,10.48583,-2.62161,10.48582
