,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-0.65536,9.9999999960687e-06,0.65536
2,40.0,0.0,0.0,9.9999999960687e-06,0.65537
3,60.0,0.65536,0.0,0.0,0.65537
4,80.0,-1.31075,1.0000000003174e-05,-5.24295,-0.65534
5,100.0,-3.27686,-0.65535,-3.27685,1.31076
6,120.0,-3.93221,1.96612,-3.93221,2.62149
7,140.0,-3.27685,1.96611,-3.93221,1.96612
8,160.0,-3.27685,1.31075,-3.27684,1.96612
9,180.0,-3.27685,1.31074,-3.93221,1.31075
10,200.0,-3.27685,0.65538,-3.27684,0.65539
11,220.0,-2.62149,0.65538,-3.27685,1.31075
12,240.0,-3.27685,1.9999999999243e-05,-3.27685,0.65538
13,260.0,-3.93221,0.65538,-3.93221,0.65539
14,280.0,-3.93221,1.0000000003174e-05,-4.58756,1.0000000003174e-05
15,300.0,-4.58757,1.0000000003174e-05,-4.58756,1.0000000003174e-05
16,320.0,-4.58756,-0.65535,-5.24292,1.0000000003174e-05
17,340.0,-4.58756,-0.65535,-5.24292,1.9999999999243e-05
18,360.0,-4.58756,-0.65535,-4.58756,-0.65535
19,380.0,-4.58756,-1.31072,-4.58757,1.0000000003174e-05
20,400.0,-3.93221,-0.65535,-3.93222,-0.65535
21,420.0,-3.93222,-0.65535,-3.93222,1.0000000003174e-05
22,440.0,-3.93223,-0.65536,-3.93222,1.0000000003174e-05
23,460.0,-3.93223,-0.65536,-3.93222,-1.31071
24,480.0,-3.93223,-1.31072,-3.93222,-1.31072
25,500.0,-3.27687,-1.31072,-3.93223,-1.31072
26,520.0,-3.27687,-1.31072,-3.93223,-0.65535
27,540.0,-3.93223,-0.65536,-3.93223,-0.65535
28,560.0,-3.93223,-1.31072,-3.93223,-0.65535
29,580.0,-3.93223,-0.65536,-3.93223,-0.65535
30,600.0,-3.93224,-1.31072,-3.93223,-1.31071
31,620.0,-3.93224,-1.96609,-3.93223,-1.31072
32,640.0,-3.93223,-1.31072,-3.93223,-1.96608
33,660.0,-3.27688,-1.96609,-3.27687,-1.96609
34,680.0,-3.27688,-2.62145,-3.27687,-1.96609
35,700.0,-3.27687,-2.62146,-3.27687,-2.62146
36,720.0,-2.62151,-3.27683,-2.62151,-3.93218
37,740.0,-2.62151,-3.27683,-2.62151,-3.27682
38,760.0,-2.62151,-3.93219,-2.62151,-3.93219
39,780.0,-2.62151,-4.58755,-2.62151,-3.93219
40,800.0,-2.62151,-3.93219,-3.27687,-3.27682
41,820.0,-2.62151,-3.93219,-2.62151,-2.62145
42,840.0,-2.62151,-1.96609,-3.27686,-1.31072
43,860.0,-3.27687,-1.31072,-2.62149,1.96611
44,880.0,3.27684,6.55368,3.93224,10.48589
45,900.0,3.27687,14.41808,2.62151,17.69493
46,920.0,2.6215,20.31639,1.96615,22.93785
47,940.0,1.96615,22.93786,1.96615,22.93786
48,960.0,1.96615,22.28249,1.96616,22.28249
49,980.0,1.96616,20.97175,1.96616,20.97176
50,1000.0,1.3108,20.31639,1.3108,20.31639
51,1020.0,1.96616,19.66102,1.96616,19.66102
52,1040.0,2.62152,19.00564,5.24299,18.35028
53,1060.0,9.83058,18.35027,10.48596,19.00564
54,1080.0,9.83058,19.661,9.83059,20.31637
55,1100.0,10.48595,19.00564,10.48595,19.00564
56,1120.0,11.14131,17.69491,10.48595,17.6949
57,1140.0,10.48595,17.03953,10.48595,16.38417
58,1160.0,10.48595,15.72879,10.48595,15.7288
59,1180.0,10.48595,15.07342,10.48595,15.07342
60,1200.0,11.14131,13.76269,10.48596,13.76269
61,1220.0,10.48595,13.10732,18.35037,14.41806
62,1240.0,31.45777,15.07341,39.32226,16.38415
63,1260.0,39.32227,17.03951,38.6669,17.69488
64,1280.0,39.32225,17.03951,39.32226,16.38415
65,1300.0,39.97762,15.07341,39.97761,13.76267
66,1320.0,40.63297,12.45194,40.63298,12.45194
67,1340.0,40.63298,11.79656,40.63298,11.79657
68,1360.0,40.63297,10.48583,40.63298,11.1412
69,1380.0,41.28833,11.14119,40.63298,11.1412
70,1400.0,40.63298,10.48583,40.63298,10.48583
71,1420.0,40.63298,9.1751,40.63298,9.1751
72,1440.0,49.80815,9.1751,61.60484,10.48583
73,1460.0,64.22636,11.79657,62.91562,13.76268
74,1480.0,62.26023,14.41805,62.26025,15.72878
75,1500.0,62.26024,15.72877,62.26024,15.72879
76,1520.0,62.9156,15.72878,62.26025,15.72879
77,1540.0,61.60488,15.72878,62.26024,15.72879
78,1560.0,62.26024,14.41805,61.60488,14.41806
79,1580.0,61.60488,14.41805,61.60488,14.41806
80,1600.0,66.19246,15.07342,68.81398,15.72879
81,1620.0,68.81397,16.38415,68.1586,17.69489
