,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-0.6545,0.65536,-0.65537
2,40.0,-9.9999999960687e-06,-0.65537,1.31071,-0.65537999999999
3,60.0,0.65534,-1.31075,1.31071,-1.96611
4,80.0,0.65533,-1.96612,1.96605,-1.96612
5,100.0,1.31068,-1.96613,1.96605,-2.62149
6,120.0,1.96604,-3.27686,2.6214,-3.27687
7,140.0,1.96603,-3.27687,2.62139,-3.27688
8,160.0,2.62138,-3.93224,3.27675,-3.93224
9,180.0,2.62137,-4.58761,3.27674,-4.58761
10,200.0,3.27672,-5.24298,3.93209,-5.24298
11,220.0,3.27672,-5.89835,4.58744,-5.24299
12,240.0,3.93207,-5.89836,3.93208,-5.89836
13,260.0,3.93207,-6.55373,4.58743,-5.89837
14,280.0,4.58742,-7.2091,5.24279,-7.20909
15,300.0,4.58741,-7.2091,5.24278,-7.20911
16,320.0,4.58741,-7.86447,5.89813,-7.20912
17,340.0,5.24276,-7.86448,5.89813,-7.86449
18,360.0,5.89812,-8.51986,6.55348,-9.17522
19,380.0,6.55347,-9.83059,7.20883,-9.17524
20,400.0,6.55346,-9.8306,7.86418,-9.83061
21,420.0,7.86416,-10.48598,8.51953,-10.48598
22,440.0,7.86416,-11.14135,8.51952,-11.14135
23,460.0,8.51951,-11.79671,8.51952,-11.14136
24,480.0,8.51951,-11.79672,9.17488,-11.14136
25,500.0,9.17486,-11.79672,9.83023,-11.14136
26,520.0,9.17486,-11.79673,10.48559,-11.79673
27,540.0,9.83021,-11.79674,9.83023,-11.14138
28,560.0,9.83021,-11.79674,10.48558,-11.79674
29,580.0,9.83021,-11.79675,10.48558,-11.79675
30,600.0,9.83021,-12.45211,10.48557,-11.79675
31,620.0,9.83021,-11.79675,10.48558,-11.79675
32,640.0,9.17485,-11.79675,9.83022,-11.79675
33,660.0,9.17485,-11.79675,9.17486,-11.79675
34,680.0,8.51949,-11.79675,8.51951,-11.79675
35,700.0,7.86414,-12.45211,12.45171,-11.79675
36,720.0,17.6947,-12.45211,20.97155,-12.45212
37,740.0,20.31617,-12.45212,20.97153,-11.79676
38,760.0,20.97152,-12.45213,22.28225,-11.79677
39,780.0,20.97151,-11.79677,22.28224,-12.45213
40,800.0,21.62687,-12.45213,22.28224,-11.79678
41,820.0,21.62687,-11.79678,21.62687,-11.79679
42,840.0,20.9715,-12.45215,20.97151,-11.79679
43,860.0,20.31614,-12.45215,20.9715,-12.45215
44,880.0,20.31613,-12.45216,20.9715,-13.10751
45,900.0,20.31613,-13.10752,24.90371,-13.10752
46,920.0,32.1128,-13.76286,35.38968,-13.76286
47,940.0,34.7343,-14.41823,35.38966,-14.41823
48,960.0,34.73429,-15.0736,36.04502,-15.0736
49,980.0,34.73429,-15.72896,35.38966,-15.0736
50,1000.0,34.73429,-15.72897,35.38967,-15.07361
51,1020.0,34.7343,-15.72897,34.7343,-15.07362
52,1040.0,34.07893,-16.38434,34.7343,-15.72898
53,1060.0,34.07893,-16.38435,34.07895,-16.38435
54,1080.0,33.42357,-16.38436,34.7343,-16.38436
55,1100.0,34.07893,-17.03972,34.7343,-17.03973
56,1120.0,34.07892,-17.69509,34.73429,-17.03973
57,1140.0,34.73428,-17.69509,35.38965,-17.6951
58,1160.0,34.07891,-18.35046,34.73428,-18.35046
59,1180.0,34.07891,-19.00583,35.38963,-19.00583
60,1200.0,34.73426,-19.66119,35.38963,-19.00583
61,1220.0,34.73425,-20.31656,35.38962,-19.6612
62,1240.0,34.73425,-20.31657,35.38962,-20.31657
63,1260.0,34.07889,-20.97194,34.73425,-20.97195
64,1280.0,36.04499,-22.28267,42.5987,-21.62731
65,1300.0,43.90948,-22.93803,44.56484,-22.28268
66,1320.0,43.25411,-22.93804,44.56484,-22.28269
67,1340.0,43.90947,-22.93806,44.56484,-22.93806
68,1360.0,43.90946,-23.59343,44.56483,-22.93807
69,1380.0,43.90946,-23.59344,45.22019,-23.59345
70,1400.0,44.56482,-24.24881,45.87554,-24.24881
71,1420.0,44.56481,-24.90417,45.87554,-24.90417
72,1440.0,45.22017,-24.90418,46.53089,-24.90418
73,1460.0,45.87553,-25.55954,47.18626,-25.55955
74,1480.0,45.87552,-26.21492,51.11846,-26.21491
75,1500.0,57.01682,-26.87026,60.29369,-27.52563
76,1520.0,59.63832,-28.181,60.29368,-27.52564
77,1540.0,60.29367,-28.18101,61.6044,-28.18102
78,1560.0,61.60439,-28.83638,62.25976,-28.18103
79,1580.0,62.25975,-29.49176,62.91512,-29.49176
80,1600.0,62.91511,-30.80249,63.57048,-30.8025
81,1620.0,62.9151,-30.8025,64.22583,-30.80251
82,1640.0,62.91509,-31.45788,63.57047,-32.11324
83,1660.0,63.57046,-32.11325,64.88119,-32.11326
84,1680.0,64.22583,-32.76862,64.22584,-32.11326
85,1700.0,63.57047,-32.76863,64.22584,-32.11328
86,1720.0,63.57048,-32.76865,63.57048,-32.11329
87,1740.0,62.91511,-32.76865,62.91512,-32.11329
88,1760.0,62.25975,-32.76865,62.91512,-32.11329
89,1780.0,62.25975,-32.76865,62.25976,-32.76865
90,1800.0,60.94903,-32.76865,61.6044,-32.11329
91,1820.0,60.94903,-32.76865,61.6044,-32.11329
92,1840.0,60.94903,-32.76866,60.94904,-32.76866
93,1860.0,60.94903,-33.42403,61.6044,-32.76867
94,1880.0,60.94903,-32.76868,61.6044,-32.76868
95,1900.0,60.94904,-33.42405,68.15811,-32.76867
96,1920.0,76.02259,-32.76863,79.29947,-32.76864
97,1940.0,78.64409,-33.424,79.29945,-32.76864
98,1960.0,79.29944,-33.42401,79.9548,-33.42401
99,1980.0,79.29943,-33.42401,80.61016,-33.42401
100,2000.0,80.61014,-34.07937,81.26551,-34.07937
101,2020.0,81.2655,-34.07937,82.57623,-34.73474
102,2040.0,81.92086,-34.73474,83.23159,-34.73473
103,2060.0,82.57622,-34.73474,83.23159,-34.73474
104,2080.0,83.23158,-35.3901,83.23159,-35.3901
105,2100.0,85.19768,-36.04547,87.16379,-36.04547
106,2120.0,86.50842,-36.04547,86.50843,-36.04547
107,2140.0,85.85306,-36.70083,86.50843,-36.04547
108,2160.0,85.1977,-36.04547,85.19771,-35.39011
109,2180.0,84.54234,-36.04547,84.54235,-35.39011
110,2200.0,83.88698,-36.04547,83.88699,-35.39011
111,2220.0,83.23162,-35.39011,83.88699,-35.39011
112,2240.0,83.23162,-35.39012,83.23163,-35.39012
113,2260.0,82.57625,-35.39012,83.23163,-35.39012
114,2280.0,82.57625,-35.39012,83.23162,-35.39012
115,2300.0,82.57625,-35.39012,83.23162,-35.39012
116,2320.0,84.54235,-36.04548,86.50847,-35.39011
117,2340.0,85.85309,-36.04548,86.50846,-35.39012
118,2360.0,85.85308,-36.04548,87.16381,-35.39012
119,2380.0,86.50844,-35.39012,87.16381,-35.39012
120,2400.0,86.50844,-35.39012,87.16381,-35.39012
121,2420.0,87.1638,-34.73475,87.81917,-34.73475
122,2440.0,87.1638,-34.73475,88.47452,-34.73475
