,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-6.55405,0.65552,-9.17531,0.65544
2,40.0,-10.4862,1.31087,-7.20918,0.65542
3,60.0,-10.48621,0.65551,-7.20919,0.65542
4,80.0,-9.83084,1.31087,-6.55383,0.65542
5,100.0,-9.83085,1.31087,-6.55384,0.65543
6,120.0,-9.1755,0.65551,-6.55385,0.65543
7,140.0,-9.83087,1.31088,-6.55386,1.3108
8,160.0,-9.83087,1.96625,-7.20922,1.96616
9,180.0,-9.83088,2.62161,-7.20922,3.27689
10,200.0,-10.48624,3.93233,-7.20923,3.93225
11,220.0,-10.48624,4.5877,-7.20923,3.93225
12,240.0,-9.83088,4.58769,-7.20923,4.58761
13,260.0,-10.48625,4.5877,-7.20923,4.58761
14,280.0,-10.48625,4.5877,-7.20923,4.58761
15,300.0,-10.48625,5.24306,-7.20923,4.58762
16,320.0,-10.48625,5.24306,-7.20924,5.24298
17,340.0,-10.48625,5.24306,-7.20923,5.24297
18,360.0,-10.48625,5.24306,-7.20924,5.24298
19,380.0,-10.48625,5.24306,-7.20924,5.24298
20,400.0,-9.83089,5.24306,-7.20924,5.24297
21,420.0,-9.83089,5.24306,-6.55388,5.24297
22,440.0,-9.83089,5.24306,-41.28796,5.24297
23,460.0,-9.8309,5.89842,-0.65558,5.24295
24,480.0,-5.89853,5.243,-2.62146,5.2429
25,500.0,-6.55383,5.24299,-3.93219,5.2429
26,520.0,-6.55384,5.24298,-3.93219,5.24289
27,540.0,-7.2092,5.89834,-3.93219,5.89826
28,560.0,-7.2092,5.24298,-4.58755,5.24289
29,580.0,-7.20919,5.24298,-4.58754,5.24289
30,600.0,-7.86455,5.24297,-4.58754,5.24289
31,620.0,-7.86455,5.24298,-4.58754,5.24289
32,640.0,-7.86455,5.24297,-4.58754,5.24289
33,660.0,-7.86455,5.24297,-5.24289,5.24288
34,680.0,-0.00010999999999939,5.89828,34.7344,6.5535
35,700.0,39.97716,5.89821,41.28809,5.24276
36,720.0,38.66643,5.24285,43.25416,5.24276
37,740.0,40.63251,4.58748,43.90953,3.93203
38,760.0,41.28789,3.93212,44.5649,3.27667
39,780.0,41.94325,3.27675,44.56491,2.6213
40,800.0,41.94325,1.96603,45.87562,1.96594
41,820.0,42.59861,1.31066,45.87562,1.31057
42,840.0,43.25397,1.31066,45.87563,1.31057
43,860.0,43.90934,0.65528999999999,57.01681,1.96591
44,880.0,65.53643,3.2767,71.43494,2.62124
45,900.0,68.15792,3.27669,70.77957,3.2766
46,920.0,68.15792,3.27669,71.43493,3.2766
47,940.0,68.15791,3.27669,71.43492,3.93196
48,960.0,68.15791,3.93205,71.43492,3.27661
49,980.0,68.1579,3.93206,70.77955,3.27661
50,1000.0,68.1579,3.93206,71.43491,3.93197
51,1020.0,68.1579,3.93205,71.43492,3.93197
52,1040.0,75.36696,3.93204,83.88694,4.58731
53,1060.0,81.2653,4.58739,83.88694,3.93195
54,1080.0,80.60993,3.93203,84.5423,3.93195
55,1100.0,81.2653,4.58739,83.88695,3.93195
56,1120.0,81.26529,3.93203,84.54231,4.58731
57,1140.0,81.2653,3.93204,83.88695,3.93195
58,1160.0,81.2653,3.93204,84.54232,3.2766
59,1180.0,81.2653,3.93203,83.88696,3.2766
60,1200.0,81.26531,3.93204,83.88696,3.2766
61,1220.0,80.60995,3.93204,83.88696,3.27659
62,1240.0,80.60995,3.27668,83.88696,3.27659
63,1260.0,81.26531,3.93204,83.88697,3.2766
64,1280.0,80.60995,3.27668,83.88696,3.27659
65,1300.0,81.26531,3.27668,83.88697,2.62123
66,1320.0,81.26532,3.27667,91.09601,3.27657
67,1340.0,91.75122,3.27665,94.37287,2.62121
68,1360.0,91.09585,2.62129,94.37286,3.27656
69,1380.0,91.09586,2.62129,94.37288,2.62121
70,1400.0,91.09587,1.96593,94.37289,0.65512
71,1420.0,91.75124,0.65519999999999,94.37291,-0.65561
72,1440.0,91.75128,-1.96625,95.0283,-1.96633
73,1460.0,91.09592,-1.96624,94.37294,-1.96633
74,1480.0,90.44056,-1.31087,93.06221,-1.31096
75,1500.0,89.78519,-0.65551000000001,92.40684,-0.65559
76,1520.0,89.12982,-0.00015000000000498,92.40684,-0.6556
77,1540.0,89.12982,-0.00015000000000498,92.40938,-0.00023999999999802
78,1560.0,89.12981,0.65521,91.75147,-0.00023999999999802
79,1580.0,95.02809,1.31056,110.10175,1.96581
80,1600.0,110.10161,1.96589,112.06788,2.62117
81,1620.0,108.13549,1.96589,112.06787,1.9658
82,1640.0,109.44621,1.96589,112.72321,1.31044
83,1660.0,109.44619,1.96589,112.7232,1.31044
84,1680.0,110.10155,1.31053,113.37856,1.31044
85,1700.0,110.10154,1.31052,113.37856,0.65507
86,1720.0,110.10154,1.31052,113.37855,1.31043
87,1740.0,110.10154,1.31052,113.37855,1.31043
88,1760.0,109.44618,1.31052,112.72319,1.31043
89,1780.0,110.10154,0.65516,113.37854,1.31043
90,1800.0,109.44618,1.31052,112.72319,1.31043
91,1820.0,110.10153,1.31051,113.37855,1.31043
92,1840.0,110.10153,1.31052,113.37855,0.65507
93,1860.0,110.7569,1.31051,113.37855,0.65507
94,1880.0,96.33881,-1.31088,67.50267,-5.24304
95,1900.0,4.58739,-7.86428,-2.62165,-7.86427
96,1920.0,-9.17557,-7.20882,-5.24317,-6.55356
97,1940.0,-7.20945,-6.55348,-4.5878,-6.55356
98,1960.0,-7.86481,-6.55348,-4.5878,-5.89821
99,1980.0,-7.20945,-5.89812,-4.5878,-5.89821
100,2000.0,-7.20945,-5.24276,-4.5878,-5.89821
101,2020.0,-7.8648,-5.24276,-4.58779,-5.89821
102,2040.0,-7.8648,-5.89812,-4.58779,-5.89821
103,2060.0,-7.8648,-5.89812,-4.58778,-5.89821
104,2080.0,-7.20944,-5.89812,-9.83073,-5.24283
105,2100.0,-16.38457,-5.24274,-11.79682,-5.89819
106,2120.0,-14.41846,-5.24275,-11.14145,-5.89819
107,2140.0,-13.7631,-5.24275,-11.14145,-5.89819
108,2160.0,-13.7631,-5.89811,-11.14145,-5.89819
109,2180.0,-14.41846,-5.89811,-10.48608,-5.89819
110,2200.0,-13.76309,-5.89811,-10.48608,-5.8982
111,2220.0,-14.41845,-5.89811,-11.14144,-6.55356
112,2240.0,-13.76309,-6.55347,-10.48607,-6.55356
113,2260.0,-13.10772,-7.20884,-4.58772,-7.86433
114,2280.0,-9.1753,-7.8643,-5.24288,-8.51976
115,2300.0,-9.17526,-7.86431,-5.89825,-8.51975
116,2320.0,-9.17526,-8.51967,-5.89825,-8.51976
117,2340.0,-9.83062,-8.51967,-5.89825,-8.51976
118,2360.0,-9.17526,-8.51968,-6.5536,-8.51976
119,2380.0,-9.17526,-8.51967,-5.89825,-8.51976
120,2400.0,-9.17525,-9.17504,-6.5536,-9.17513
121,2420.0,-9.83061,-8.51968,-6.5536,-9.17513
122,2440.0,-5.8984,-8.51971,21.62711,-7.86448
123,2460.0,39.97713,-7.20905,45.22027,-7.86451
124,2480.0,41.94325,-7.86442,45.87562,-7.86451
125,2500.0,43.25397,-7.20906,47.18634,-7.86451
126,2520.0,43.90933,-7.86443,47.8417,-7.20915
127,2540.0,44.56468,-7.86443,47.8417,-7.86452
128,2560.0,44.56469,-7.86443,48.49706,-7.86451
129,2580.0,44.56468,-7.20907,47.8417,-7.20916
130,2600.0,44.56469,-7.20908,47.8417,-7.86452
131,2620.0,44.56469,-7.20907,47.8417,-7.86452
132,2640.0,44.56468,-7.86444,54.39534,-7.86453
133,2660.0,60.29347,-7.86447,64.88123,-8.51992
134,2680.0,61.60422,-7.86447,64.88122,-8.51991
135,2700.0,61.60421,-8.51983,64.88122,-8.51991
136,2720.0,61.60421,-8.51983,64.88122,-8.51992
137,2740.0,61.6042,-7.86446,64.22586,-8.51991
138,2760.0,61.60421,-7.86446,64.22586,-7.86455
139,2780.0,60.94885,-8.51983,64.22586,-8.51991
140,2800.0,60.94885,-7.86447,64.22586,-8.51991
141,2820.0,60.94885,-8.51982,64.22586,-8.51991
142,2840.0,60.94885,-7.86446,63.5705,-8.51991
143,2860.0,66.19178,-7.20912,80.6101,-5.8985
144,2880.0,83.8868,-5.89843,87.16382,-6.55388
145,2900.0,83.88679,-5.89843,87.1638,-6.55387
146,2920.0,84.54215,-6.55379,87.16381,-6.55387
147,2940.0,83.8868,-6.55379,87.16381,-7.20924
148,2960.0,83.88679,-7.20915,87.16381,-7.20923
149,2980.0,83.8868,-6.55379,87.16381,-7.20924
150,3000.0,83.8868,-7.20915,86.50845,-7.20924
151,3020.0,83.8868,-7.20915,87.16382,-7.20924
152,3040.0,83.88681,-7.20915,87.16382,-7.8646
153,3060.0,83.23145,-7.20915,86.50846,-7.20925
154,3080.0,83.88681,-6.5538,95.02823,-6.55301
155,3100.0,104.20322,-5.89847,112.72322,-6.55393
156,3120.0,108.79084,-5.89848,111.41248,-5.89857
157,3140.0,108.79082,-5.24313,112.06783,-5.24321
158,3160.0,108.79082,-5.24313,112.06783,-5.24322
159,3180.0,108.13546,-5.24313,111.41247,-5.24322
160,3200.0,108.13546,-4.58777,110.7571,-5.24322
161,3220.0,107.48009,-4.58777,110.7571,-5.24321
162,3240.0,107.48009,-4.58777,110.10174,-4.58785
163,3260.0,106.16936,-4.58777,109.44637,-5.24322
164,3280.0,105.514,-4.58777,97.64976,-5.89853
165,3300.0,66.84719,-8.51981,20.97174,-12.45197
166,3320.0,-9.83065,-13.10718,-5.24296,-12.45191
167,3340.0,-7.20922,-11.79647,-3.93223,-11.79655
168,3360.0,-7.86461,-11.14111,-4.5876,-10.48583
169,3380.0,-7.86462,-9.17503,-5.24298,-9.17511
170,3400.0,-7.86463,-9.17502,-5.24298,-8.51975
171,3420.0,-8.51999,-8.51966,-5.24299,-8.51975
172,3440.0,-9.17536,-8.51967,-5.89835,-8.51975
173,3460.0,-9.17536,-7.8643,-5.24299,-8.51975
174,3480.0,-5.89866,-7.86425,-12.45221,-7.8643
175,3500.0,-19.66141,-7.86422,-14.41828,-7.20895
176,3520.0,-17.03994,-7.20886,-13.76293,-7.86431
177,3540.0,-17.03993,-7.20886,-13.10756,-7.86431
178,3560.0,-15.72921,-7.20886,-12.4522,-7.86431
179,3580.0,-15.72921,-7.20887,-11.79684,-7.86431
180,3600.0,-15.07385,-7.86423,-11.79683,-7.86431
181,3620.0,-14.41849,-7.86423,-11.79684,-7.86431
182,3640.0,-15.07385,-7.86423,-11.79683,-7.86431
183,3660.0,-14.41849,-7.86423,-11.79683,-7.86431
184,3680.0,-15.07384,-7.86423,-12.45219,-7.86431
185,3700.0,-15.07384,-7.86423,-6.55389,-8.51971
186,3720.0,-9.17541,-8.51965,-5.89835,-8.51975
187,3740.0,-9.83073,-8.51966,-7.20908,-9.17511
188,3760.0,-10.48608,-9.17503,-7.20908,-9.17511
189,3780.0,-10.48609,-9.17502,-7.20908,-9.17512
190,3800.0,-10.48608,-9.17503,-7.20907,-9.17511
191,3820.0,-10.48608,-9.17503,-7.86443,-9.17512
192,3840.0,-10.48608,-9.17503,-7.86443,-9.83048
193,3860.0,-10.48608,-9.17503,-7.86443,-9.83048
