,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-7.20906,-0.65535999999999,-1.96611,-1.9999999999243e-05
2,40.0,-6.5537,-9.9999999960687e-06,-1.96611,-1.9999999999243e-05
3,60.0,-6.5537,-9.9999999960687e-06,-1.31076,0.65534
4,80.0,-6.5537,-9.9999999960687e-06,-1.31075,-2.9999999995312e-05
5,100.0,-5.89834,-0.65537999999999,-0.65539,-0.65539
6,120.0,-5.89834,-0.65539,-0.65539,-0.6554
7,140.0,-5.89833,-1.96611,-0.65539,-1.31076
8,160.0,-6.55369,-1.96612,-0.65539,-1.96612
9,180.0,-6.55369,-2.62148,-1.31074,-2.62149
10,200.0,-6.55368,-3.27685,-0.65538,-2.6215
11,220.0,-6.55368,-3.27685,-0.65537,-3.27686
12,240.0,-5.89832,-3.93222,-0.65538,-3.93222
13,260.0,-5.89832,-4.58759,-0.65537,-3.93223
14,280.0,-5.24296,-4.58759,-1.9999999999243e-05,-4.5876
15,300.0,-5.24296,-5.24296,-9.9999999960687e-06,-4.58761
16,320.0,-4.5876,-5.24296,0.65535000000001,-4.58761
17,340.0,-4.58759,-5.89833,0.65535000000001,-5.24297
18,360.0,-4.58759,-5.24297,1.31071,-5.24298
19,380.0,-3.93223,-5.89833,1.31072,-5.24298
20,400.0,-3.93222,-6.5537,1.96608,-6.55372
21,420.0,-3.27686,-7.86444,-3.93222,-8.5198
22,440.0,-17.69495,-9.17517,-13.76274,-9.17519
23,460.0,-17.69495,-9.83056,-11.79664,-9.17521
24,480.0,-17.0396,-9.1752,-11.79665,-7.86449
25,500.0,-17.0396,-9.1752,-12.45201,-7.86448
26,520.0,-17.0396,-8.51983,-12.45201,-7.86448
27,540.0,-17.69495,-9.17519,-12.452,-8.51982
28,560.0,-17.69494,-9.17518,-13.10736,-8.51982
29,580.0,-18.35031,-9.83053,-12.452,-9.17518
30,600.0,-17.69494,-10.48589,-11.79664,-9.83054
31,620.0,-17.03958,-11.14125,-11.14128,-10.48589
32,640.0,-16.38423,-11.14125,-11.14128,-9.83053
33,660.0,-15.72888,-10.48588,-10.48593,-9.83052
34,680.0,-15.72888,-9.83052,-9.83057,-9.83053
35,700.0,-15.07352,-10.48588,-9.83058,-9.17517
36,720.0,-15.07352,-9.83053,-9.83058,-9.17517
37,740.0,-14.41816,-9.83053,-9.17522,-9.83054
38,760.0,-14.41816,-11.14126,-9.83058,-10.48591
39,780.0,-14.41816,-11.79663,-9.17521,-10.48591
40,800.0,-14.41816,-12.45199,-9.17522,-11.79664
41,820.0,-14.41816,-13.10735,-9.17522,-12.452
42,840.0,-12.45207,-13.76272,5.89827,-11.14127
43,860.0,13.10739,-9.83049,20.97186,-9.17512
44,880.0,15.72889,-8.51976,20.31646,-7.20904
45,900.0,16.38423,-6.55367,21.62717,-5.89832
46,920.0,16.38422,-5.8983,21.62717,-5.24296
47,940.0,16.38422,-5.24295,21.62716,-4.5876
48,960.0,16.38422,-5.24295,21.62716,-4.5876
49,980.0,17.03957,-5.24295,22.28251,-4.5876
50,1000.0,17.03957,-5.24295,22.93787,-4.5876
51,1020.0,17.69492,-4.5876,23.59322,-4.5876
52,1040.0,18.35028,-5.24296,23.59323,-4.58761
53,1060.0,18.35028,-5.24295,23.59323,-4.5876
54,1080.0,19.66101,-5.24295,34.07914,-3.27686
55,1100.0,36.0453,-3.27682,41.28827,-2.62146
56,1120.0,36.04531,-2.62145,40.63289,-1.31074
57,1140.0,35.38995,-1.96608,40.63289,-1.31073
58,1160.0,35.38994,-1.96609,41.28825,-1.96609
59,1180.0,35.38994,-1.96609,40.63289,-1.31073
60,1200.0,36.0453,-2.62145,41.28824,-1.9661
61,1220.0,35.38993,-2.62145,41.28824,-1.9661
62,1240.0,35.38993,-2.62146,41.28824,-2.62147
63,1260.0,36.04529,-3.27682,41.28824,-3.27684
64,1280.0,39.32213,-4.58756,54.39565,-4.58755
65,1300.0,52.42959,-6.55362,57.67253,-6.55363
66,1320.0,52.42957,-6.55364,58.32787,-5.89829
67,1340.0,53.08492,-7.209,58.98322,-5.89828
68,1360.0,54.39562,-6.55364,59.63856,-5.89829
69,1380.0,54.39561,-6.55364,59.63856,-5.89828
70,1400.0,54.39561,-5.89827,58.9832,-5.24293
71,1420.0,53.74025,-5.89828,58.98319,-4.58757
72,1440.0,53.74025,-5.89828,58.9832,-5.24293
73,1460.0,53.08489,-6.55365,58.9832,-5.8983
74,1480.0,58.9832,-6.55366,64.22616,-7.20902
75,1500.0,58.98321,-7.20902,64.22614,-6.55366
76,1520.0,58.9832,-6.55366,64.22614,-5.8983
77,1540.0,58.32783,-5.8983,62.91542,-5.24294
78,1560.0,57.01712,-5.24293,62.26007,-5.24294
79,1580.0,57.01712,-5.89829,62.26007,-5.24295
80,1600.0,57.01712,-5.89829,62.26006,-4.58759
81,1620.0,57.01712,-5.8983,60.94932,-5.89831
82,1640.0,39.32218,-8.51973,15.07357,-11.79654
83,1660.0,-19.66096,-17.6948,-34.07908,-19.00554
84,1680.0,-46.53111,-17.03945,-38.66671,-13.1073
85,1700.0,-43.25429,-11.14121,-37.35601,-7.8644
86,1720.0,-41.9436,-6.55367,-36.04531,-3.93223
87,1740.0,-39.97754,-1.96613,-33.42388,0.65531
88,1760.0,-38.01147,0.65533000000001,-31.45782,3.27677
89,1780.0,-36.0454,3.27678,-30.80246,5.24287
90,1800.0,-35.39004,5.89824,-30.1471,7.86432
91,1820.0,-35.39004,8.5197,-30.80246,10.48579
92,1840.0,-36.70076,10.4858,-32.11318,11.79653
93,1860.0,-37.35612,11.79654,-32.76854,13.10725
94,1880.0,-38.01148,12.4519,-32.76854,13.10726
95,1900.0,-32.76856,13.76263,-15.72891,16.38409
96,1920.0,-17.03959,15.07339,-12.452,16.3841
97,1940.0,-17.69497,16.38411,-13.76274,17.03946
98,1960.0,-19.00568,16.38411,-14.4181,17.03946
99,1980.0,-19.66105,16.38409,-14.4181,16.38408
100,2000.0,-19.66105,15.07337,-13.76275,15.72871
101,2020.0,-19.0057,14.418,-13.76277,14.41799
102,2040.0,-26.21478,12.45191,-22.28259,12.45189
103,2060.0,-26.21481,11.14117,-20.31651,11.79652
104,2080.0,-25.55947,11.14117,-20.31653,11.14116
105,2100.0,-25.55948,10.48581,-20.31653,10.4858
106,2120.0,-25.55948,8.51971,-19.66118,8.5197
107,2140.0,-24.90412,7.86435,-9.83064,9.17507
108,2160.0,-0.65539,9.83047,9.83056,9.17511
109,2180.0,4.5876,8.51976,9.17516,9.83046
110,2200.0,4.58758,9.17512,9.83053,9.83047
111,2220.0,5.24294,9.17511,10.48588,9.1751
112,2240.0,5.24293,8.51975,11.14124,9.1751
113,2260.0,5.24293,8.51975,11.14124,8.51973
114,2280.0,5.8983,7.86438,11.14124,9.17509
115,2300.0,5.89829,7.86438,10.48587,8.51972
116,2320.0,5.24293,7.86437,9.83051,8.51973
117,2340.0,4.58757,7.86437,9.83051,8.51972
118,2360.0,4.58756,7.20901,13.10735,9.17508
119,2380.0,13.76275,8.51974,19.66108,8.51974
120,2400.0,14.41811,7.86438,19.0057,8.51974
121,2420.0,14.41811,7.86438,19.0057,8.51973
122,2440.0,13.76275,7.20902,19.0057,7.209
123,2460.0,13.76276,5.89828,19.0057,5.2429
124,2480.0,14.41811,3.93218,24.90399,4.58754
125,2500.0,34.07921,5.8983,50.4635,6.55369
126,2520.0,45.22058,5.24298,50.46349,6.55368
127,2540.0,45.87589,5.89832,51.7742,6.55368
128,2560.0,46.53125,5.89832,52.42955,6.55366
129,2580.0,47.84196,5.24293,53.08491,6.55364
130,2600.0,48.49732,7.86437,54.39563,10.4858
131,2620.0,49.80804,11.14116,55.05098,13.10724
132,2640.0,49.80804,13.76261,55.05098,15.07333
133,2660.0,50.46339,15.07333,54.39561,15.72869
134,2680.0,49.15267,14.41797,55.05097,15.07332
135,2700.0,49.15266,14.41797,54.39561,15.07333
136,2720.0,49.15266,13.76261,52.42951,13.76262
137,2740.0,39.32214,13.10728,41.28824,13.76263
138,2760.0,36.04529,13.10726,41.9436,13.76262
139,2780.0,36.70065,13.10727,41.94614,13.76262
140,2800.0,36.70064,13.10727,42.59894,13.76262
141,2820.0,38.01136,13.10727,43.2543,13.76262
142,2840.0,38.01135,13.10726,43.90966,13.76261
143,2860.0,38.01136,13.10726,43.90966,13.10725
144,2880.0,39.32208,12.45189,51.11874,13.10725
145,2900.0,49.15266,12.45191,56.36172,13.10727
146,2920.0,51.11876,12.45192,56.3617,13.10727
147,2940.0,51.77412,13.10729,57.01707,14.418
148,2960.0,51.11877,13.76265,56.36172,14.418
149,2980.0,51.77414,13.10729,57.67246,13.10728
150,3000.0,53.08488,12.45192,58.32782,12.45191
151,3020.0,53.08488,11.79656,53.74024,10.48583
152,3040.0,27.52551,5.24296,5.24298,-0.65531
153,3060.0,-22.93788,-5.89821,-30.14696,-5.24286
154,3080.0,-34.73456,-4.58751,-27.52552,-2.62145
155,3100.0,-32.76848,-1.96608,-26.87018,-9.9999999960687e-06
