,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-1.9999999999243e-05,-9.9999999960687e-06,0.65535,-2.0000000006348e-05
2,40.0,1.3107,-0.65537,1.31071,-1.31074
3,60.0,-45.87521,-1.31074,2.62144,-1.96611
4,80.0,2.62144,-1.9661,3.27682,-1.96611
5,100.0,3.93218,-1.31074,3.9322,-1.96612
6,120.0,4.58756,-1.96611,5.24293,-1.96612
7,140.0,5.89829,-1.96612,5.24294,-1.96612
8,160.0,6.55365,-2.62147,6.55366,-3.27684
9,180.0,7.20901,-3.27684,7.20901,-3.9322
10,200.0,7.209,-4.58756,7.86437,-4.58756
11,220.0,7.86435,-4.58756,7.86436,-5.24292
12,240.0,8.51971,-5.24292,7.86437,-5.24292
13,260.0,9.17508,-5.24291,8.51973,-5.24292
14,280.0,9.1751,-5.24292,9.1751,-5.89828
15,300.0,9.83046,-6.55364,10.48583,-6.55364
16,320.0,10.48582,-7.20901,10.48583,-7.20901
17,340.0,10.48582,-7.86437,10.48583,-8.51973
18,360.0,10.48582,-8.51973,10.48582,-8.51973
19,380.0,10.48581,-8.51973,9.83046,-8.51973
20,400.0,9.83044,-8.51973,9.83044,-7.86437
21,420.0,9.17507,-7.86437,8.51972,-7.20901
22,440.0,8.51971,-7.209,7.86435,-7.20901
23,460.0,8.5197,-7.20901,7.86435,-7.20902
24,480.0,7.86433,-7.86437,7.86434,-7.86438
25,500.0,9.83042,-8.51975,12.45189,-9.17514
26,520.0,12.45187,-9.17514,11.79651,-9.17513
27,540.0,12.45186,-9.17513,11.79651,-9.17514
28,560.0,11.14113,-9.83048,11.14113,-10.48585
29,580.0,10.48575,-10.48585,9.83038,-11.14121
30,600.0,9.83036,-11.79657,9.175,-12.45193
31,620.0,8.51961,-13.10729,8.5196,-13.10729
32,640.0,8.51958,-13.76265,8.51958,-13.76265
33,660.0,8.51956,-13.76265,8.51956,-13.76265
34,680.0,8.51954,-13.10729,7.86418,-12.45193
35,700.0,7.86415,-10.48584,6.55343,-9.83048
36,720.0,7.2088,-9.83048,6.55345,-9.17512
37,740.0,7.20879,-9.17511,6.55345,-8.51976
38,760.0,7.2088,-8.51975,6.55345,-8.51976
39,780.0,7.2088,-8.51976,7.20882,-8.51977
40,800.0,7.2088,-9.17512,7.20882,-9.17513
41,820.0,7.20881,-9.17512,7.20882,-9.83049
42,840.0,7.86418,-9.83049,7.20883,-9.83049
43,860.0,7.86418,-9.83049,7.86419,-9.83049
44,880.0,7.86419,-10.48585,7.8642,-9.8305
45,900.0,7.86419,-9.8305,7.86421,-9.83051
46,920.0,7.8642,-9.17514,7.20885,-9.17515
47,940.0,7.20884,-8.51978,7.20885,-8.51979
48,960.0,7.20885,-7.86442,6.55349,-8.51979
49,980.0,6.55348,-7.86443,7.20886,-7.86443
50,1000.0,7.20885,-7.86443,6.5535,-7.86443
51,1020.0,6.55349,-7.86443,7.20886,-7.86444
52,1040.0,6.55349,-7.86443,6.5535,-7.86444
53,1060.0,7.20885,-7.86443,6.5535,-7.86444
54,1080.0,6.55349,-7.86444,6.5535,-8.5198
55,1100.0,7.20884,-7.86443,7.20885,-7.86443
56,1120.0,7.20884,-7.86443,7.20884,-7.86443
57,1140.0,7.20883,-7.20906,7.20884,-7.20907
58,1160.0,7.20883,-7.20906,7.86422,-6.55371
59,1180.0,11.79646,-7.20905,11.79648,-7.20906
60,1200.0,11.79645,-7.86442,11.79646,-7.86442
61,1220.0,12.45181,-8.51978,12.45182,-9.17515
62,1240.0,12.45181,-9.8305,12.45181,-10.48587
63,1260.0,13.10716,-9.83051,13.10716,-10.48587
64,1280.0,13.10715,-10.48587,13.10716,-10.48587
65,1300.0,13.10714,-10.48588,12.45179,-10.48587
66,1320.0,12.45178,-10.48588,12.45179,-10.48588
67,1340.0,12.45177,-10.48588,12.45177,-10.48589
68,1360.0,12.45176,-10.48588,11.79641,-11.14124
69,1380.0,12.45176,-11.14125,11.79641,-11.14125
70,1400.0,12.45176,-10.48589,11.79641,-10.48589
71,1420.0,11.7964,-10.48589,11.79641,-10.48589
72,1440.0,11.7964,-10.48589,11.79641,-10.48589
73,1460.0,11.7964,-9.83053,11.79641,-9.83053
74,1480.0,11.79641,-10.48589,11.79642,-10.48589
75,1500.0,11.79641,-9.83052,11.14106,-9.83053
76,1520.0,11.79642,-9.83053,11.14107,-9.83053
77,1540.0,11.14106,-9.83052,10.48571,-9.17517
78,1560.0,10.4857,-8.51981,10.4857,-8.51981
79,1580.0,10.4857,-7.86444,9.83035,-8.51981
80,1600.0,9.83034,-7.86445,9.17499,-7.86445
81,1620.0,9.17498,-7.86444,9.17499,-7.86445
82,1640.0,9.17424,-7.86445,8.51963,-7.20909
83,1660.0,8.51963,-7.20909,8.51963,-7.20909
84,1680.0,7.86426,-6.55373,7.86427,-7.20909
85,1700.0,7.86427,-6.55373,7.86427,-6.55373
86,1720.0,7.86426,-6.55373,7.20891,-6.55373
87,1740.0,7.2089,-6.55372,7.20891,-6.55373
88,1760.0,7.20891,-5.89836,5.8982,-5.89836
89,1780.0,6.55354,-5.89836,6.55355,-5.89836
90,1800.0,6.55354,-5.89836,6.55354,-6.55372
91,1820.0,7.20889,-6.55371,6.55354,-6.55371
92,1840.0,6.55353,-6.55371,6.55354,-6.55372
93,1860.0,6.55352,-7.20907,6.55353,-6.55371
94,1880.0,6.55352,-7.20907,6.55353,-6.55371
