,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,0.0,0.0
2,40.0,0.0,0.0,0.0,0.0
3,60.0,0.0,0.0,0.0,0.65536
4,80.0,0.0,0.0,-0.65536,0.65536
5,100.0,0.0,0.0,0.0,0.65536
6,120.0,-0.65536,0.65536,-0.65536,0.65536
7,140.0,-0.65536,0.65536,-0.65535,0.65536
8,160.0,-0.65535,0.65537,-0.65535,1.31073
9,180.0,-0.65534,1.31073,-0.65534,1.31073
10,200.0,-0.65534,1.31073,1.9999999999243e-05,1.31073
11,220.0,1.9999999999243e-05,1.31073,-0.65534,1.31073
12,240.0,-0.65534,1.31073,1.9999999999243e-05,1.96609
13,260.0,-0.65533,1.9661,2.9999999995312e-05,2.62146
14,280.0,2.9999999995312e-05,1.9661,2.9999999995312e-05,2.62147
15,300.0,1.9999999999243e-05,1.96611,1.9999999999243e-05,2.62147
16,320.0,9.9999999960687e-06,2.62148,0.65537,2.62149
17,340.0,9.9999999960687e-06,2.62149,9.9999999960687e-06,3.27686
18,360.0,9.9999999960687e-06,3.93222,0.65537,4.58759
19,380.0,0.65537,4.5876,0.65538,5.89833
20,400.0,0.65538,6.5537,0.65539,7.86443
21,420.0,0.6554,8.5198,0.6554,9.17517
22,440.0,3.9999999998486e-05,9.83054,0.65541,11.14128
23,460.0,0.65541,11.14128,5.9999999997729e-05,11.79665
24,480.0,0.65541,12.45201,0.65542,12.45202
25,500.0,5.9999999997729e-05,13.10738,2.9999999995312e-05,12.45203
26,520.0,-0.65534,11.79667,-0.65532,13.1074
27,540.0,-0.65532,13.1074,-0.65532,14.41814
28,560.0,-0.65532,14.41814,-0.65531,14.41814
29,580.0,-0.65532,14.41814,-0.65531,14.41814
30,600.0,-0.65532,13.76278,-0.65532,13.76278
31,620.0,-0.65532,13.76278,-0.65531,14.41814
32,640.0,-1.31067,14.41814,-0.65531,14.41815
33,660.0,-1.31067,14.41814,-1.31067,15.07351
34,680.0,-1.31067,15.07351,-1.31066,16.38424
35,700.0,-1.31066,16.38424,-1.31065,17.03961
36,720.0,-1.31065,17.03961,-1.31065,17.69498
37,740.0,-1.31065,18.35034,-1.31065,19.0057
38,760.0,-1.96601,18.35035,-1.966,19.00571
39,780.0,-1.96601,19.00571,-1.96601,19.66108
40,800.0,-1.96601,19.66108,-1.31063,20.9718
41,820.0,-0.65523,20.97179,-1.31059,20.9718
42,840.0,-1.31059,21.62716,-1.31059,22.28253
43,860.0,-1.31059,22.93789,-1.31059,22.9379
44,880.0,-1.31059,22.93789,-1.31059,23.59325
45,900.0,-1.96595,23.59325,-1.31059,23.59325
46,920.0,-1.31059,22.93789,-1.31059,23.59325
47,940.0,-1.31059,23.59325,-1.31058,23.59325
48,960.0,-1.31059,22.93788,-1.31059,22.28252
49,980.0,-1.31059,22.28251,-1.31059,22.28251
50,1000.0,-1.31059,20.97178,-1.3106,20.97177
51,1020.0,-1.3106,20.3164,-0.65525,20.3164
52,1040.0,-0.65526,20.31639,-0.65527,20.31639
53,1060.0,9.0000000000146e-05,19.66101,9.0000000000146e-05,19.66101
54,1080.0,7.9999999996971e-05,19.661,7.9999999996971e-05,19.66099
55,1100.0,7.0000000000903e-05,19.66098,0.65543,19.66096
56,1120.0,0.65543,19.00559,1.96616,20.97167
57,1140.0,7.86449,22.93775,10.48596,22.28237
58,1160.0,9.83059,22.28236,9.83059,22.28235
59,1180.0,9.83059,21.62699,9.83058,20.97162
60,1200.0,9.83058,20.31625,9.83058,19.66088
61,1220.0,9.83057,19.0055,9.83057,17.69478
62,1240.0,10.48592,17.0394,10.48592,16.38403
63,1260.0,10.48591,15.0733,10.48591,14.41793
64,1280.0,10.48591,13.1072,10.48591,12.45183
65,1300.0,10.4859,11.1411,10.4859,10.48573
66,1320.0,10.4859,9.83036,10.48589,9.17498
67,1340.0,10.48589,7.86426,10.48589,7.20888
68,1360.0,10.48588,5.89815,11.14124,5.24279
69,1380.0,10.48588,4.58741,10.48588,3.93204
70,1400.0,10.48587,2.62131,10.48588,1.96594
71,1420.0,10.48587,1.31058,10.48588,1.31057
72,1440.0,13.10734,1.96594,16.38419,1.96593
73,1460.0,17.03955,1.96592,17.03956,1.96592
74,1480.0,17.03956,1.31056,16.3842,1.31056
75,1500.0,16.38421,0.6552,16.3842,0.6552
76,1520.0,16.3842,-0.00016999999999712,15.72884,-0.65553
77,1540.0,15.72884,-0.65553999999999,15.72884,-1.3109
78,1560.0,15.72885,-1.96626,15.07349,-3.27698
79,1580.0,15.07348,-3.93235,14.41813,-4.58771
80,1600.0,14.41813,-5.24307,14.41812,-5.24307
81,1620.0,14.41813,-5.89843,14.41812,-6.5538
82,1640.0,13.76276,-7.20915,13.76276,-7.20916
83,1660.0,13.76276,-7.86452,15.72886,-7.20916
84,1680.0,17.03961,-7.20916,17.0396,-7.20916
85,1700.0,17.69496,-7.86452,17.03961,-7.20915
86,1720.0,17.0396,-7.86451,17.03961,-7.86451
87,1740.0,17.69496,-7.86452,17.69497,-8.51987
88,1760.0,17.69496,-8.51987,17.69495,-8.51988
89,1780.0,18.3503,-9.17524,18.3503,-9.17524
90,1800.0,18.35029,-9.8306,18.35028,-9.8306
91,1820.0,18.35028,-9.83061,18.35028,-10.48597
92,1840.0,18.35028,-10.48597,19.00564,-10.48597
93,1860.0,19.00564,-11.14133,13.10732,-13.76279
94,1880.0,7.20899,-16.38425,7.209,-15.72888
95,1900.0,8.51974,-15.07351,8.51974,-14.41814
96,1920.0,7.86438,-14.41814,8.51974,-14.41814
97,1940.0,8.51974,-14.41814,9.1751,-14.41814
98,1960.0,9.1751,-14.41814,8.51974,-14.41814
99,1980.0,8.51974,-14.41814,8.51974,-15.0735
100,2000.0,8.51973,-15.72887,8.51973,-15.07351
101,2020.0,8.51973,-15.72887,8.51973,-15.72887
102,2040.0,12.45191,-13.76279,24.90389,-14.41815
103,2060.0,28.83614,-16.38424,28.18077,-15.07352
104,2080.0,27.52541,-14.41814,27.52542,-13.76277
105,2100.0,26.87006,-13.1074,26.87005,-13.76276
106,2120.0,26.87005,-13.1074,26.21469,-12.45204
107,2140.0,26.21469,-13.1074,26.21468,-13.1074
108,2160.0,25.55932,-13.1074,25.55932,-13.1074
109,2180.0,25.55931,-13.1074,25.55931,-13.1074
110,2200.0,24.90395,-13.1074,24.90394,-13.1074
111,2220.0,24.90394,-13.76276,24.90393,-13.76276
112,2240.0,24.24857,-13.76277,24.24857,-13.76277
113,2260.0,23.59321,-13.76277,24.24857,-14.41813
114,2280.0,23.5932,-14.41813,23.5932,-14.41813
115,2300.0,23.5932,-15.0735,23.5932,-15.0735
116,2320.0,23.5932,-15.72886,22.93784,-15.0735
117,2340.0,23.5932,-15.72886,23.5932,-15.0735
118,2360.0,22.93784,-15.0735,22.93785,-15.72886
119,2380.0,23.5932,-15.72886,23.5932,-15.72886
120,2400.0,23.59321,-16.38422,23.59321,-15.72887
121,2420.0,23.59321,-15.72887,23.59322,-15.72887
122,2440.0,23.59321,-15.72887,23.59322,-15.72888
123,2460.0,24.24858,-15.72798,24.24858,-15.72887
124,2480.0,24.24858,-15.72887,24.24858,-16.38424
125,2500.0,24.24858,-16.38424,24.90393,-16.38424
126,2520.0,24.90392,-16.38425,24.90392,-17.03961
127,2540.0,24.90392,-17.69498,24.90392,-17.03962
128,2560.0,24.90392,-17.69497,24.90393,-17.69498
129,2580.0,22.28242,-18.35035,16.38409,-20.31644
130,2600.0,12.45188,-22.28254,11.79652,-21.62716
131,2620.0,12.45189,-20.97179,13.10726,-20.31643
132,2640.0,13.10726,-20.31643,13.10726,-19.66107
133,2660.0,13.76262,-20.31643,13.76262,-20.31643
134,2680.0,15.72871,-19.00572,28.83605,-17.69498
135,2700.0,34.73446,-20.31641,34.73449,-19.66105
136,2720.0,34.07911,-17.69497,34.07911,-17.03959
137,2740.0,34.07912,-17.03958,33.42376,-16.38422
138,2760.0,34.07912,-16.38422,34.07912,-15.72886
139,2780.0,34.07912,-15.72887,34.07912,-15.72887
140,2800.0,34.07912,-15.72887,34.07912,-15.72886
141,2820.0,34.07912,-15.72886,34.07913,-15.72887
142,2840.0,32.76837,-15.72889,30.80224,-17.03963
143,2860.0,30.14687,-16.38427,30.80224,-15.7289
144,2880.0,30.80224,-16.38425,30.80225,-15.72889
145,2900.0,30.80225,-15.7289,30.80225,-15.72889
146,2920.0,30.14689,-15.07354,30.80225,-15.07354
147,2940.0,30.80225,-15.07354,30.80225,-15.07354
148,2960.0,30.14689,-15.07353,30.14689,-15.07354
149,2980.0,30.14689,-15.72889,30.14689,-15.07354
150,3000.0,31.45764,-17.69498,36.04527,-21.62713
151,3020.0,36.70068,-22.2825,36.04531,-20.31641
152,3040.0,36.04531,-20.31641,35.38995,-19.66104
153,3060.0,36.04531,-19.66103,35.38995,-19.00567
154,3080.0,35.38995,-19.00567,36.04531,-19.00567
155,3100.0,35.38995,-19.66104,35.38995,-19.66104
156,3120.0,35.38995,-19.66104,35.38995,-19.00568
157,3140.0,35.38995,-20.3164,35.38995,-19.66104
158,3160.0,35.38995,-20.3164,35.38994,-20.3164
159,3180.0,35.38994,-20.97177,36.04529,-20.97177
160,3200.0,36.04529,-21.62713,36.04528,-21.62713
161,3220.0,36.04528,-22.28249,36.04528,-22.28249
162,3240.0,36.04528,-22.28249,36.04528,-22.28249
163,3260.0,36.70064,-22.28249,36.70064,-22.28249
164,3280.0,36.70064,-22.93786,36.04529,-22.93785
165,3300.0,36.04528,-22.93786,36.04528,-22.93786
166,3320.0,36.04528,-23.59322,36.04528,-23.59322
167,3340.0,35.38992,-23.59323,36.04528,-24.90395
168,3360.0,38.01144,-27.52537,39.3222,-28.18073
169,3380.0,39.3222,-27.52537,39.3222,-26.87001
170,3400.0,39.3222,-26.87001,39.3222,-26.21464
171,3420.0,39.32219,-26.87,39.3222,-26.21464
172,3440.0,39.32219,-26.87,39.32219,-26.87001
173,3460.0,39.32219,-26.87001,39.32219,-26.87001
174,3480.0,39.32219,-26.87002,39.32219,-26.87001
175,3500.0,39.32219,-26.87001,39.32219,-26.87002
176,3520.0,39.32219,-26.87002,39.32218,-26.21466
177,3540.0,39.32219,-26.21466,39.32218,-26.21466
178,3560.0,38.66683,-26.21465,39.32219,-26.21465
179,3580.0,39.32219,-26.21466,39.32219,-26.21466
180,3600.0,38.66683,-26.21465,39.32218,-26.21466
181,3620.0,39.32218,-26.21466,39.32218,-25.5593
182,3640.0,39.32217,-25.5593,39.32217,-25.5593
183,3660.0,39.32217,-25.5593,39.32217,-25.55931
184,3680.0,39.32216,-26.87004,39.32217,-27.52541
185,3700.0,39.32217,-28.83615,38.66681,-29.49151
186,3720.0,38.66682,-30.80224,38.66682,-31.45761
187,3740.0,38.01147,-32.11298,38.01148,-32.11299
188,3760.0,38.01148,-32.11299,38.01149,-31.45763
189,3780.0,38.0115,-32.113,38.01148,-30.80229
190,3800.0,36.7007,-30.14695,36.70069,-28.83623
191,3820.0,36.70069,-28.83623,36.70069,-27.52549
192,3840.0,37.35605,-26.87012,37.35604,-25.55939
193,3860.0,37.35604,-24.90402,37.35603,-24.24865
194,3880.0,37.35602,-24.24864,36.70066,-23.59328
195,3900.0,36.70065,-24.24863,36.70064,-24.24863
196,3920.0,36.70064,-24.90399,36.70064,-24.90399
197,3940.0,36.04527,-25.55935,36.04527,-26.21471
198,3960.0,36.04527,-26.87007,35.38991,-26.87006
199,3980.0,34.73455,-27.52542,34.73455,-27.52542
200,4000.0,34.73455,-27.52542,34.73455,-28.18078
201,4020.0,34.73454,-28.18078,35.3899,-28.18078
202,4040.0,35.38989,-28.18078,35.38989,-28.18078
203,4060.0,35.38989,-28.83614,35.38989,-28.18078
204,4080.0,35.38988,-28.83614,35.38988,-28.18078
205,4100.0,35.38988,-28.18078,35.38988,-28.18079
206,4120.0,36.04526,-30.80223,38.01141,-32.7683
207,4140.0,38.01141,-32.76831,37.35604,-32.11295
208,4160.0,38.0114,-31.45759,38.01141,-31.45758
209,4180.0,38.0114,-30.80222,38.01141,-30.80222
210,4200.0,37.35604,-30.80222,38.01141,-30.80222
211,4220.0,38.01141,-30.80222,38.01141,-30.80222
212,4240.0,38.01141,-30.14686,38.01141,-30.14686
213,4260.0,37.35605,-30.14686,37.35605,-30.14687
214,4280.0,36.70069,-30.14686,36.7007,-29.4915
215,4300.0,37.35606,-29.4915,36.7007,-28.83614
216,4320.0,36.7007,-29.4915,36.7007,-28.83613
217,4340.0,36.7007,-28.83614,36.7007,-28.83613
218,4360.0,36.7007,-28.83614,36.04534,-28.83613
219,4380.0,36.04534,-28.83613,37.3561,-31.45756
220,4400.0,41.28836,-34.079,41.28837,-34.079
221,4420.0,41.28836,-32.76828,40.63301,-32.76827
222,4440.0,40.633,-32.11291,40.63301,-32.11291
223,4460.0,40.633,-32.76827,41.28836,-32.76827
224,4480.0,40.633,-32.76828,40.633,-32.76828
225,4500.0,40.633,-32.76828,41.28835,-32.76828
226,4520.0,41.28835,-33.42364,41.28834,-33.42364
227,4540.0,41.28833,-33.42364,41.28832,-33.42365
228,4560.0,41.28832,-33.42365,41.28832,-33.42365
229,4580.0,41.28832,-33.42365,41.28832,-33.42365
230,4600.0,41.28832,-33.42365,41.28832,-32.76828
231,4620.0,41.28832,-33.42364,41.28832,-33.42364
232,4640.0,41.28832,-32.76829,41.28832,-32.11293
233,4660.0,41.94368,-32.76829,50.46344,-35.38971
234,4680.0,73.4012,-37.35578,82.57633,-38.6665
235,4700.0,79.95488,-38.01114,79.29952,-37.35578
236,4720.0,78.64418,-37.35577,78.64416,-37.35577
237,4740.0,78.64415,-38.01115,78.64413,-39.32189
238,4760.0,78.64411,-40.63264,78.6441,-40.63266
239,4780.0,78.64407,-41.28806,79.29942,-41.94342
240,4800.0,79.2994,-41.94343,79.95475,-41.94342
241,4820.0,80.61011,-41.94343,80.61011,-41.28805
242,4840.0,80.61011,-41.28805,80.61011,-41.28804
243,4860.0,80.61011,-41.28804,81.26547,-40.63269
244,4880.0,81.92083,-41.28805,81.92084,-39.97732
245,4900.0,82.57621,-39.97732,83.23159,-39.97731
246,4920.0,78.64404,-39.97733,57.67235,-40.63271
247,4940.0,45.87575,-40.63273,43.90965,-40.63273
248,4960.0,43.90967,-39.32199,43.90969,-38.01126
249,4980.0,43.9097,-37.35588,43.90971,-36.04516
250,5000.0,43.90971,-35.38979,43.90972,-35.38979
251,5020.0,43.90973,-34.73443,43.90973,-34.73443
252,5040.0,43.25438,-34.07906,43.90974,-34.07906
253,5060.0,43.25439,-34.07906,43.90976,-33.4237
254,5080.0,43.90976,-34.07905,43.90977,-33.42369
255,5100.0,43.90977,-33.42369,43.90978,-33.42369
256,5120.0,43.90978,-33.42369,43.90979,-33.42369
257,5140.0,43.9098,-33.42369,43.90981,-33.42368
258,5160.0,43.9098,-33.42369,43.90981,-33.42369
259,5180.0,43.90981,-33.42368,43.90981,-33.42368
260,5200.0,44.56518,-33.42368,44.56518,-33.4227
261,5220.0,44.56517,-33.42368,44.56517,-33.42367
262,5240.0,44.56517,-33.42367,44.56516,-33.42367
263,5260.0,45.22052,-33.42367,44.56517,-33.42367
264,5280.0,44.56516,-34.07903,43.25441,-33.42368
265,5300.0,43.25441,-34.07905,43.90978,-34.07904
266,5320.0,43.90979,-33.42368,43.90979,-33.42367
267,5340.0,43.90979,-32.76831,43.90979,-32.76831
268,5360.0,43.90979,-32.76831,43.9098,-33.42367
269,5380.0,43.90979,-32.76831,43.90979,-32.76831
270,5400.0,44.56515,-32.76831,43.90979,-32.76831
271,5420.0,43.90979,-33.42366,43.90979,-32.76831
272,5440.0,43.90979,-33.42367,43.9098,-32.7683
273,5460.0,43.9098,-32.7683,43.9098,-32.7683
274,5480.0,43.9098,-33.42366,43.90979,-32.7683
275,5500.0,43.9098,-33.42366,43.9098,-33.42366
276,5520.0,43.90979,-32.7683,43.9098,-32.7683
277,5540.0,45.8759,-34.07902,55.7064,-35.38973
278,5560.0,58.32787,-34.73437,57.01714,-33.42364
279,5580.0,56.36177,-33.42363,56.36178,-32.76826
280,5600.0,56.36178,-32.76826,55.70642,-32.1129
281,5620.0,55.70641,-32.76826,55.70642,-32.1129
282,5640.0,55.05106,-32.1129,55.05105,-32.1129
283,5660.0,54.39569,-32.76826,53.74033,-32.76826
284,5680.0,54.39569,-32.76826,53.74033,-32.76827
285,5700.0,53.74033,-33.42363,53.08497,-33.42363
286,5720.0,53.08497,-33.42363,52.4296,-33.42363
287,5740.0,47.84204,-33.42364,45.87594,-32.76828
288,5760.0,45.87594,-32.76828,45.87595,-32.11291
289,5780.0,45.87594,-32.11291,45.87595,-32.11291
290,5800.0,45.87594,-32.11291,45.22058,-32.11291
291,5820.0,45.22058,-32.76828,45.22058,-32.11291
292,5840.0,45.22058,-32.76828,45.22058,-32.76828
293,5860.0,45.22058,-32.76828,45.22058,-32.76828
294,5880.0,45.22057,-33.42363,45.22057,-32.76828
295,5900.0,45.22056,-33.42364,45.22055,-32.76828
296,5920.0,44.56519,-33.42364,45.22055,-33.42364
297,5940.0,45.22055,-33.42364,45.22056,-32.76827
298,5960.0,45.22055,-32.76828,45.22056,-32.76827
299,5980.0,45.22056,-32.76827,44.5652,-32.76827
300,6000.0,45.87592,-32.76827,47.18665,-34.07899
301,6020.0,67.50292,-38.01117,84.5424,-39.3219
302,6040.0,85.19778,-38.66654,83.23168,-37.35581
303,6060.0,83.23168,-36.04508,83.88705,-36.04507
304,6080.0,83.23169,-34.73434,83.23169,-34.73434
305,6100.0,83.88705,-34.73434,83.88706,-34.73434
306,6120.0,83.2317,-34.73434,83.88706,-34.73434
307,6140.0,83.23169,-34.73434,83.88705,-34.73434
308,6160.0,83.2317,-34.73434,83.88705,-34.07898
309,6180.0,83.88705,-34.07898,83.88705,-34.73434
310,6200.0,83.88705,-34.73434,83.88706,-34.73434
311,6220.0,83.23169,-34.73435,83.23169,-34.73434
312,6240.0,83.23169,-34.73435,83.23169,-34.73435
313,6260.0,83.23169,-34.73435,83.23169,-34.73435
314,6280.0,83.23169,-35.38971,83.23169,-34.73435
315,6300.0,82.57633,-34.73435,82.57633,-34.73436
316,6320.0,83.23169,-35.38971,83.23169,-34.73436
317,6340.0,83.23169,-35.38972,82.57633,-35.38972
318,6360.0,83.23169,-35.38972,83.23169,-35.38972
319,6380.0,83.23169,-35.38972,83.23169,-35.38973
320,6400.0,82.57633,-35.38973,82.57633,-35.38972
321,6420.0,82.57633,-36.04508,81.92097,-35.38972
322,6440.0,82.57633,-36.04508,82.57633,-36.04508
323,6460.0,81.92096,-36.04509,82.57633,-36.04508
324,6480.0,82.57633,-36.04509,80.61024,-36.04509
325,6500.0,77.98877,-35.38973,79.29951,-35.38972
326,6520.0,79.29952,-35.38972,79.29951,-34.73435
327,6540.0,79.29951,-34.73435,79.95487,-34.73434
328,6560.0,79.95486,-34.73435,79.95486,-34.73435
329,6580.0,79.95485,-35.38971,79.29949,-35.38971
330,6600.0,79.29949,-36.04508,79.95484,-36.04508
331,6620.0,79.95484,-36.04508,79.95484,-36.04508
332,6640.0,79.95484,-36.04509,79.95485,-36.04509
333,6660.0,79.95485,-36.70045,80.61021,-36.70044
334,6680.0,80.61021,-36.04508,80.61021,-36.70044
335,6700.0,79.29948,-36.04509,73.40119,-36.04509
336,6720.0,72.09046,-36.0451,72.74583,-35.38973
337,6740.0,73.40119,-36.04508,72.74583,-34.73436
338,6760.0,72.74583,-35.38972,72.74583,-35.38972
339,6780.0,72.09047,-36.04508,72.74583,-35.38972
340,6800.0,72.74583,-35.38973,72.74583,-35.38972
341,6820.0,72.74583,-36.04509,72.74583,-35.38972
342,6840.0,72.74583,-36.04509,72.74583,-35.38973
343,6860.0,72.74583,-36.04508,72.74583,-36.04508
344,6880.0,72.74583,-36.04509,72.74583,-36.70045
345,6900.0,72.74583,-36.70045,72.09047,-36.70045
346,6920.0,72.74583,-36.70045,72.09047,-36.04509
347,6940.0,72.74583,-36.70046,81.92091,-39.3219
348,6960.0,89.7853,-41.28798,89.78532,-40.63262
349,6980.0,88.47458,-39.97726,89.12994,-38.66653
350,7000.0,89.12995,-38.66652,89.12996,-38.01116
351,7020.0,89.12996,-37.3558,88.4746,-37.35579
352,7040.0,89.12996,-37.35579,89.12997,-36.70043
353,7060.0,89.12996,-36.70043,89.78533,-36.04507
354,7080.0,89.78534,-36.04506,90.4407,-35.3897
355,7100.0,90.44071,-35.3897,91.09608,-34.73434
356,7120.0,91.09864,-34.73434,91.75146,-34.07898
357,7140.0,91.75147,-34.73434,93.0622,-34.07898
358,7160.0,93.0622,-34.73435,78.64411,-36.04512
359,7180.0,43.90972,-36.70054,34.07908,-31.45767
360,7200.0,28.1807,-30.14695,26.86994,-28.18086
361,7220.0,21.62695,-30.80231,17.69473,-30.14695
362,7240.0,20.31621,-27.52549,22.28232,-25.55939
363,7260.0,22.93769,-24.24866,24.24843,-22.28257
364,7280.0,24.9038,-20.97185,25.55919,-20.31649
365,7300.0,26.21457,-19.66113,27.5253,-18.3504
366,7320.0,27.52531,-18.3504,28.18068,-17.69503
367,7340.0,28.18069,-17.69503,28.1807,-17.03967
368,7360.0,28.1807,-16.38431,28.1807,-16.38431
369,7380.0,28.1807,-16.3843,28.1807,-16.3843
370,7400.0,27.52534,-17.69503,22.9377,-25.55942
371,7420.0,15.07324,-32.76845,15.72862,-32.76846
372,7440.0,16.384,-30.80235,16.384,-29.49161
373,7460.0,16.384,-29.49161,16.38401,-28.18087
374,7480.0,16.38401,-28.18087,16.38401,-27.5255
375,7500.0,16.38401,-27.5255,17.03938,-26.87013
376,7520.0,17.03937,-26.87013,17.03938,-26.21477
377,7540.0,17.03938,-25.5594,17.69475,-26.21476
378,7560.0,15.07328,-26.87012,11.14106,-26.21475
379,7580.0,10.4857,-26.21475,10.4857,-25.55938
380,7600.0,10.4857,-25.55937,10.4857,-24.904
381,7620.0,10.4857,-24.90399,10.4857,-24.90399
382,7640.0,10.48569,-24.904,9.83033,-25.55935
383,7660.0,9.83033,-25.55936,9.83033,-25.55936
384,7680.0,9.17497,-26.21472,9.17497,-26.21472
385,7700.0,9.17497,-26.21472,9.17496,-26.87009
386,7720.0,9.17497,-27.52545,9.17496,-26.87009
387,7740.0,8.5196,-27.52545,8.5196,-27.52545
388,7760.0,8.5196,-28.18082,8.5196,-28.18082
389,7780.0,8.5196,-28.18082,8.5196,-28.18083
390,7800.0,8.5196,-28.83619,7.86424,-28.83619
391,7820.0,7.20887,-30.14692,5.24276,-30.14693
392,7840.0,5.24275,-30.80229,5.89812,-30.14692
393,7860.0,5.89812,-30.14692,5.89812,-30.14692
394,7880.0,5.89812,-30.80229,5.24275,-30.80229
395,7900.0,5.89811,-31.45765,5.8981,-31.45765
396,7920.0,5.8981,-32.11302,5.89809,-31.45766
397,7940.0,5.24273,-32.11302,5.24273,-32.76839
398,7960.0,5.24272,-32.76839,5.24272,-32.76839
399,7980.0,5.24272,-33.42375,5.24273,-33.42376
400,8000.0,5.24272,-33.42376,5.24273,-33.42376
401,8020.0,5.24272,-33.42376,5.24273,-33.42376
402,8040.0,5.24273,-34.07913,5.24272,-34.07913
403,8060.0,4.58736,-34.07913,5.24273,-34.73449
404,8080.0,4.58736,-34.73449,4.58736,-34.73449
405,8100.0,4.58736,-35.38986,4.58736,-35.38986
406,8120.0,3.93199,-35.38986,3.93199,-35.38986
407,8140.0,3.93199,-36.04522,3.93199,-36.04522
408,8160.0,3.93198,-36.04522,3.93199,-36.70058
409,8180.0,3.93198,-36.70059,3.93199,-36.70059
410,8200.0,3.93198,-36.70059,3.93198,-36.70059
411,8220.0,3.93199,-37.35596,3.93198,-36.7006
412,8240.0,3.93198,-37.35596,3.27663,-37.35595
413,8260.0,3.27662,-38.01132,3.27662,-38.01133
414,8280.0,3.27662,-38.66669,4.58736,-37.35597
415,8300.0,13.76251,-36.70061,19.66082,-36.04525
416,8320.0,22.28229,-36.70061,20.97156,-36.04524
417,8340.0,20.31621,-34.73451,19.66086,-34.07914
418,8360.0,19.66085,-34.07914,19.66085,-33.42377
419,8380.0,19.66085,-33.42378,19.0055,-32.76841
420,8400.0,18.35014,-32.76841,19.0055,-32.11305
421,8420.0,18.35013,-32.11305,18.35013,-32.11305
422,8440.0,18.35014,-32.11305,18.35014,-32.11304
423,8460.0,18.35013,-32.11304,17.69478,-31.45768
424,8480.0,18.35014,-32.11304,17.69478,-32.11305
425,8500.0,17.69478,-32.11305,18.35014,-32.11305
426,8520.0,17.69478,-32.11305,18.35014,-32.76841
427,8540.0,18.35014,-32.76842,18.35015,-32.11306
428,8560.0,18.35014,-32.76842,18.35014,-32.76841
429,8580.0,18.35013,-32.76842,18.35013,-32.76842
430,8600.0,18.35012,-33.42378,18.35012,-33.42378
431,8620.0,18.35012,-33.42378,18.35011,-33.42379
432,8640.0,17.69475,-34.07915,18.35011,-33.42379
433,8660.0,18.35011,-34.07915,18.35011,-34.07915
434,8680.0,18.35012,-34.07915,17.03939,-34.07915
435,8700.0,15.72864,-34.07916,16.38402,-33.42379
436,8720.0,17.03938,-33.42378,17.03938,-32.76841
437,8740.0,17.03938,-33.42377,17.03938,-32.76842
