,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,9.9999999960687e-06,-1.0000000003174e-05,-0.65535,-0.65537
2,40.0,-0.65535,-1.0000000003174e-05,-0.65534,-0.65537
3,60.0,-0.65534,0.65535,-0.65533,0.65535000000001
4,80.0,-1.31069,1.96608,-1.31069,1.96608
5,100.0,-1.31069,2.62144,-1.96605,1.96608
6,120.0,-1.96605,2.62144,-2.6214,1.96608
7,140.0,-2.62141,2.62143,-2.6214,2.62144
8,160.0,-1.96605,3.27679,-1.96604,2.62143
9,180.0,-1.96605,2.62142,-1.96604,1.96606
10,200.0,-1.31069,1.96605,-1.96605,1.96605
11,220.0,-1.96604,1.96605,-1.96604,1.31069
12,240.0,-1.96604,1.31068,-2.6214,1.31068
13,260.0,-2.62141,1.31067,-3.27676,0.65532
14,280.0,-3.27676,1.31067,-2.6214,-4.9999999994554e-05
15,300.0,-2.6214,0.65531,-3.27676,0.65531
16,320.0,-3.27677,0.65531,-3.93212,0.65531
17,340.0,-3.27677,1.96603,-3.93212,1.96604
18,360.0,-3.27677,3.27675,-3.93212,2.62139
19,380.0,-3.93212,3.27675,-3.93212,3.27675
20,400.0,-3.93212,3.93211,-1.96602,3.27675
21,420.0,5.89842,5.24283,14.41824,6.55355
22,440.0,17.03973,7.2089,15.72901,6.55355
23,460.0,16.38437,7.86428,15.72901,7.86428
24,480.0,16.38437,9.175,15.72901,9.17501
25,500.0,16.38437,10.48573,15.72901,10.48573
26,520.0,15.72901,11.14109,15.72902,11.79646
27,540.0,15.72902,13.10719,15.07366,13.76255
28,560.0,15.07366,14.41791,15.07367,14.41791
29,580.0,15.07366,15.07327,15.07367,15.07328
30,600.0,15.07367,16.384,15.07368,17.03937
31,620.0,15.07367,18.35009,15.07368,19.00546
32,640.0,15.07367,20.31618,14.41832,20.31619
33,660.0,14.41831,22.28227,14.41831,22.28228
34,680.0,14.41832,23.593,14.41832,23.59301
35,700.0,14.41831,25.55909,13.76296,25.55911
36,720.0,14.41832,26.21446,14.41832,26.86983
37,740.0,13.76295,28.18054,1.96634,28.18056
38,760.0,-13.76254,26.86987,-22.93773,26.86989
39,780.0,-22.28239,28.83599,-22.28238,30.14672
40,800.0,-22.28239,30.80208,-22.28239,29.49135
41,820.0,-21.62703,28.83597,-21.62702,28.83597
42,840.0,-21.62703,28.83596,-21.62703,28.1806
43,860.0,-21.62704,27.52523,-21.62704,26.86986
44,880.0,-21.62704,26.86986,-21.62704,26.2145
45,900.0,-21.62704,26.86985,-22.2824,26.86986
46,920.0,-22.2824,26.21449,-22.2824,25.55914
47,940.0,-21.62704,25.55913,-21.62703,24.90377
48,960.0,-21.62703,24.90376,-21.62703,24.24841
49,980.0,-21.62703,24.2484,-21.62702,23.59304
50,1000.0,-22.28238,23.59304,-22.28238,22.28231
51,1020.0,-22.28238,22.93767,-22.93774,22.28231
52,1040.0,-23.59311,22.28231,-22.93774,22.28231
53,1060.0,-22.93774,23.59302,-23.5931,22.93767
54,1080.0,-23.59311,23.59303,-24.24846,22.93767
55,1100.0,-24.24847,23.59302,-24.90382,23.59301
56,1120.0,-25.55919,24.24837,-24.90382,23.59301
57,1140.0,-24.90383,24.90372,-25.55918,24.24837
58,1160.0,-25.55919,24.24835,-25.55919,23.59299
59,1180.0,-25.55919,23.59299,-26.21454,23.59299
60,1200.0,-26.86991,24.24835,-26.8699,23.59299
61,1220.0,-26.21455,24.24835,-26.8699,23.59299
62,1240.0,-26.21455,24.90371,-26.86991,24.24835
63,1260.0,-26.86991,24.24835,-26.86991,23.59299
64,1280.0,-27.52527,24.24834,-26.8699,23.59298
65,1300.0,-28.18064,24.90371,-32.11286,27.52519
66,1320.0,-34.73433,28.18057,-34.73432,26.86985
67,1340.0,-34.07896,28.18057,-34.73431,27.5252
68,1360.0,-34.07896,27.52519,-34.07895,26.21448
69,1380.0,-34.07895,26.21447,-34.07896,24.24839
70,1400.0,-34.07896,24.24838,-34.07896,23.59301
71,1420.0,-34.07897,22.93764,-34.07897,22.28229
72,1440.0,-34.07897,22.28228,-34.73432,22.28228
73,1460.0,-34.07897,22.28228,-34.07897,21.62691
74,1480.0,-34.73433,20.97155,-34.73433,20.31619
75,1500.0,-34.07897,20.31618,-34.07897,19.66083
76,1520.0,-34.07897,19.66082,-34.73433,19.00546
77,1540.0,-34.73433,19.00545,-34.73433,19.00546
78,1560.0,-34.73433,19.66081,-33.4236,19.66081
79,1580.0,-28.18064,21.62689,-26.86987,22.28225
80,1600.0,-27.52524,23.59297,-28.1806,23.59299
81,1620.0,-28.1806,24.90371,-28.18059,25.55907
82,1640.0,-28.1806,26.21443,-28.83595,25.55907
83,1660.0,-28.83596,25.55907,-29.49132,25.55907
84,1680.0,-30.14669,25.55906,-30.80204,21.62688
85,1700.0,-31.45741,20.97151,-32.76813,14.41789
86,1720.0,-32.76815,10.48571,-34.07886,10.48572
87,1740.0,-34.07887,12.45181,-33.42351,14.4179
88,1760.0,-32.76815,17.69472,-31.45741,19.00545
89,1780.0,-21.62687,21.62688,-13.10703,23.59295
90,1800.0,-11.79628,26.2144,-13.107,28.1805
91,1820.0,-13.10701,29.49123,-13.76236,29.49124
92,1840.0,-13.76236,30.14659,-13.76236,29.49123
93,1860.0,-13.76236,30.14659,-14.41771,29.49123
94,1880.0,-14.41771,28.83585,-15.07307,26.86976
95,1900.0,-15.72843,27.52511,-16.38379,26.86976
96,1920.0,-15.72843,27.52512,-15.07307,28.18049
97,1940.0,-15.07307,28.83585,-15.07306,28.83585
98,1960.0,-14.41771,29.49121,-15.07306,29.49122
99,1980.0,-15.07306,30.14657,-15.07306,30.80193
100,2000.0,-15.07306,30.80193,-15.07306,30.80194
101,2020.0,-13.10697,30.80194,-6.55325,30.80193
102,2040.0,-1.96565,30.80192,-1.96564,30.80193
