,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65535999999999,0.0,-9.9999999960687e-06,0.0
2,40.0,-1.0000000003174e-05,0.0,-0.65537,-0.65537
3,60.0,0.65535999999999,0.0,0.0,-0.65537
4,80.0,-1.0000000003174e-05,0.0,-9.9999999960687e-06,-0.65536
5,100.0,0.0,0.0,0.0,-0.65537
6,120.0,0.0,0.65536,0.0,0.0
7,140.0,0.65535999999999,0.65536,0.0,0.0
8,160.0,0.65535,0.65537,-0.65535999999999,0.0
9,180.0,1.31072,1.31073,1.96611,1.31073
10,200.0,2.62148,1.9661,1.31076,1.9661
11,220.0,1.96612,3.27683,1.31075,2.62146
12,240.0,1.96611,2.62146,1.31075,1.9661
13,260.0,2.62148,2.62146,1.31076,1.9661
14,280.0,1.96612,2.62146,1.31076,1.9661
15,300.0,1.96612,3.27682,1.31076,2.62145
16,320.0,1.96612,2.62146,1.31076,1.96609
17,340.0,1.31076,1.96609,0.6554,1.31073
18,360.0,1.31077,1.31073,1.31077,0.65536
19,380.0,1.31077,1.31073,0.65541,1.31072
20,400.0,1.96613,1.31072,0.65541,1.31072
21,420.0,1.31077,1.31072,0.65541,0.65536
22,440.0,1.31077,0.65536,0.65541,0.65535
23,460.0,1.31078,0.65536,6.0000000004834e-05,0.65536
24,480.0,0.65542,0.65536,6.0000000004834e-05,-1.0000000003174e-05
25,500.0,0.65542,0.0,6.0000000004834e-05,-1.9999999999243e-05
26,520.0,0.65542,-1.0000000003174e-05,-0.6553,-0.65537
27,540.0,5.9999999997729e-05,-1.0000000003174e-05,-0.6553,-0.65537
28,560.0,7.0000000000903e-05,-0.65537,7.0000000000903e-05,-1.31073
29,580.0,0.65544,-0.65537,-0.65528999999999,-0.65537
30,600.0,7.9999999996971e-05,-0.65536,-0.65528,-0.65537
31,620.0,7.9999999996971e-05,0.0,-0.65528,-0.65536
32,640.0,9.0000000000146e-05,0.0,-0.65526999999999,-0.65536
33,660.0,-0.65526000000001,0.0,-1.31063,-0.65536
34,680.0,-1.31063,-0.65536,-1.96598,-1.31072
35,700.0,-1.31062,-0.65536,-1.96598,-1.31072
36,720.0,-1.31062,-0.65535,-1.31062,-1.31072
37,740.0,-0.65526000000001,-1.31072,-1.31062,-1.31073
38,760.0,-0.65527,-1.31073,-0.65528,-1.31073
39,780.0,7.9999999996971e-05,-0.65537,-0.65528999999999,-1.31073
40,800.0,7.0000000000903e-05,-0.65537,-0.65528999999999,-1.31074
41,820.0,7.0000000000903e-05,-0.65537,-0.6553,-1.31074
42,840.0,7.0000000000903e-05,-1.31074,-0.65528999999999,-1.31074
43,860.0,7.0000000000903e-05,-1.9661,7.0000000000903e-05,-1.96611
44,880.0,7.0000000000903e-05,-1.31074,-0.6553,-2.62147
45,900.0,5.9999999997729e-05,-2.62147,13.1074,-3.93221
46,920.0,23.59335,-3.93221,20.97191,-3.27686
47,940.0,20.97188,-1.31076,20.97189,-1.31077
48,960.0,21.62725,-1.31076,20.97188,-1.31077
49,980.0,21.62724,-1.31077,20.97188,-1.31077
50,1000.0,21.62724,-0.6554,20.97188,-1.31077
51,1020.0,21.62724,-0.65541,20.97188,-1.31077
52,1040.0,21.62724,-0.65541,20.97188,-1.31077
53,1060.0,21.62724,-0.65541,20.97187,-0.65542
54,1080.0,22.2826,-0.65542,21.62724,-0.65542
55,1100.0,21.62724,-5.000000000166e-05,20.97187,-0.65542
56,1120.0,22.28259,-5.000000000166e-05,21.62723,-0.65542
57,1140.0,21.62724,-0.65542,21.62724,-1.96615
58,1160.0,22.2826,-1.31078,21.62724,-1.96615
59,1180.0,21.62724,-1.96615,21.62724,-2.62152
60,1200.0,22.2826,-2.62153,20.97188,-3.2769
61,1220.0,21.62725,-3.27689,20.97188,-3.93227
62,1240.0,21.62725,-3.93226,20.97444,-4.58763
63,1260.0,21.62725,-4.58763,20.97189,-5.24299
64,1280.0,21.62725,-5.24299,20.97189,-6.55372
65,1300.0,21.62725,-6.55372,20.97189,-7.20908
66,1320.0,21.62726,-7.20908,20.9719,-7.86445
67,1340.0,21.62726,-7.20909,21.62726,-7.86446
68,1360.0,22.28262,-7.86445,21.62727,-8.51982
69,1380.0,21.62727,-7.86446,20.97191,-9.17518
70,1400.0,21.62728,-8.51982,21.62728,-9.83054
71,1420.0,21.62728,-9.17518,21.62728,-9.83054
72,1440.0,21.62728,-9.83054,21.62729,-11.14127
73,1460.0,22.28265,-10.48591,21.62729,-11.14127
74,1480.0,22.28265,-10.48591,21.6273,-11.79664
75,1500.0,22.28266,-11.79664,21.6273,-12.452
76,1520.0,22.28266,-12.452,21.6273,-13.10737
77,1540.0,22.28267,-13.10738,21.62731,-13.76274
78,1560.0,22.28268,-13.76274,21.62732,-15.07347
79,1580.0,22.28268,-15.07346,21.62732,-16.3842
80,1600.0,21.62733,-16.3842,22.28269,-17.69492
81,1620.0,22.93805,-17.69492,22.28269,-17.69493
82,1640.0,23.5934,-17.69493,23.5934,-18.3503
83,1660.0,24.90411,-18.3503,24.24874,-19.00566
84,1680.0,24.9041,-18.3503,24.24874,-18.35031
85,1700.0,24.9041,-18.3503,24.90409,-19.00567
86,1720.0,25.55945,-19.66104,17.03966,-19.00566
87,1740.0,4.58763,-19.66102,1.3108,-19.00565
88,1760.0,3.93228,-17.03956,3.27692,-17.03955
89,1780.0,3.93227,-16.38419,3.27692,-16.3842
90,1800.0,3.93228,-16.3842,3.93227,-17.03957
91,1820.0,4.58763,-17.03957,3.93227,-17.69494
92,1840.0,4.58763,-17.69494,3.93227,-18.35031
93,1860.0,3.93227,-18.3503,3.93227,-17.69494
94,1880.0,4.58763,-17.03958,3.93227,-17.69495
95,1900.0,4.58763,-17.69495,3.93227,-17.03958
96,1920.0,4.58763,-16.38423,3.27691,-16.38422
97,1940.0,3.93227,-15.72886,3.27691,-14.41813
98,1960.0,3.27691,-12.45203,2.62155,-12.45203
99,1980.0,4.58764,-9.83058,8.51985,-10.48594
100,2000.0,8.51987,-9.17521,7.20916,-5.89838
101,2020.0,7.86452,-3.27692,7.20916,-3.93228
102,2040.0,7.86453,-3.93228,7.86453,-4.58765
103,2060.0,7.86453,-5.24301,7.86452,-5.24301
104,2080.0,8.51989,-4.58765,7.86453,-4.58765
105,2100.0,8.51989,-3.93228,7.86453,-3.93229
106,2120.0,8.51989,-3.27693,17.69504,-2.62156
107,2140.0,26.2149,-1.96618,23.59345,-0.00010000000000332
108,2160.0,22.93808,2.62137,22.93809,2.62136
109,2180.0,22.93809,2.62137,22.28272,2.62136
110,2200.0,22.93808,1.96599,22.28271,1.96599
111,2220.0,22.28271,1.96599,22.28271,1.31063
112,2240.0,22.93807,1.96599,21.62735,1.31062
113,2260.0,22.28271,1.31063,21.62735,1.31062
114,2280.0,21.62735,1.31063,21.62735,0.65526
115,2300.0,21.62735,1.31062,20.97199,0.65526
116,2320.0,21.62735,1.31062,20.972,-0.00010999999999939
117,2340.0,20.972,-0.00010000000000332,20.972,-0.65547
118,2360.0,34.07935,-1.31083,47.84217,-0.65547
119,2380.0,51.11905,1.31062,48.49759,2.62135
120,2400.0,49.15295,3.93208,49.15294,3.27671
121,2420.0,50.46364,3.93207,49.80828,3.2767
122,2440.0,50.46363,3.27671,50.46363,2.62133
123,2460.0,51.11898,2.62134,50.46362,2.62133
124,2480.0,51.11898,2.62133,50.46361,2.62132
125,2500.0,51.11897,2.62133,50.46361,1.96596
126,2520.0,51.77433,1.96596,50.46361,1.31059
127,2540.0,51.77433,1.96596,51.11897,1.31059
128,2560.0,51.11897,1.96595,50.4636,1.31059
129,2580.0,51.11897,1.96595,51.11896,1.31059
130,2600.0,51.77433,1.96595,51.11896,1.96594
131,2620.0,51.77432,1.96595,51.11897,1.31059
132,2640.0,51.77433,1.96595,51.77433,1.31058
133,2660.0,51.77433,1.31059,51.11896,0.65522
134,2680.0,52.42968,1.31059,51.77432,1.31058
135,2700.0,51.77432,1.31058,51.77432,0.65522
136,2720.0,52.42968,1.96595,51.77432,1.31058
137,2740.0,52.42968,1.31059,56.36188,1.96595
138,2760.0,70.12467,4.58742,74.71233,3.93206
139,2780.0,74.05695,6.55351,72.74623,7.20888
140,2800.0,74.05695,8.51961,73.40159,8.51962
141,2820.0,73.40159,9.17498,72.74622,9.17497
142,2840.0,73.40159,9.83034,72.74623,9.17497
143,2860.0,73.40159,9.17498,72.74623,9.17497
144,2880.0,73.40159,9.17498,72.74623,9.17497
145,2900.0,72.74623,9.17498,72.09087,8.51961
146,2920.0,72.74624,9.17497,72.09088,8.51961
147,2940.0,72.74624,8.51961,72.74624,7.86425
148,2960.0,72.74624,8.51961,72.09088,7.86425
149,2980.0,72.74624,7.86425,72.09088,7.20889
150,3000.0,72.74624,7.86425,72.09088,7.20889
151,3020.0,72.74625,7.20889,72.09088,6.55353
152,3040.0,73.40162,6.55353,77.33385,4.58743
153,3060.0,76.67849,5.2428,76.02313,6.55353
154,3080.0,76.6785,6.55354,76.02314,5.89817
155,3100.0,76.6785,5.89818,75.36778,5.24281
156,3120.0,76.6785,5.24281,76.02314,4.58744
157,3140.0,76.02315,4.58744,76.02315,3.27671
158,3160.0,76.67851,3.93208,76.02316,3.27671
159,3180.0,77.33387,3.27671,76.6785,2.62134
160,3200.0,77.98921,3.27671,77.33385,2.62134
161,3220.0,77.9892,3.27671,77.33383,1.96598
162,3240.0,77.98919,3.2767,77.98919,2.62134
163,3260.0,77.98919,3.27671,77.33382,2.62135
164,3280.0,77.98919,2.62136,77.33382,1.96599
165,3300.0,77.98918,2.62135,84.54287,5.24282
166,3320.0,98.30568,5.89822,102.89333,6.5536
167,3340.0,101.58259,9.83042,100.27187,11.79652
168,3360.0,101.5826,13.76262,100.92724,15.07334
169,3380.0,101.5826,15.72871,100.92723,15.72871
170,3400.0,101.5826,16.38408,100.27187,15.72872
171,3420.0,100.92724,16.38408,100.27188,15.72872
172,3440.0,100.92724,16.38408,100.27187,16.38408
173,3460.0,100.92724,16.38408,100.27188,16.38408
174,3480.0,100.92724,16.38408,100.27188,16.38408
175,3500.0,100.92724,17.03944,100.92723,16.38407
176,3520.0,101.5826,16.38408,100.92724,16.38407
177,3540.0,101.58259,16.38408,100.92723,15.72871
178,3560.0,101.58259,15.72871,100.92724,15.07334
179,3580.0,100.92723,15.07335,100.92723,15.07334
180,3600.0,100.92723,14.41799,100.92724,13.76262
181,3620.0,100.92724,14.41798,100.27188,13.76262
182,3640.0,100.92724,13.76262,100.92724,13.76262
183,3660.0,100.92724,13.76262,100.27189,13.10725
184,3680.0,100.92725,13.10726,100.27189,12.45189
185,3700.0,100.92725,13.10725,100.92725,11.79652
186,3720.0,100.92725,11.79653,100.27189,11.14117
187,3740.0,100.92725,11.79652,100.27189,11.14116
188,3760.0,100.92726,11.14116,99.61653,10.4858
189,3780.0,100.92726,9.83044,100.2719,9.17508
190,3800.0,100.92726,9.17508,100.2719,8.51971
191,3820.0,100.2719,8.51971,100.2719,7.86434
192,3840.0,100.27191,7.86435,100.27191,7.20899
193,3860.0,100.27191,7.20898,99.61654,5.89826
194,3880.0,100.27191,5.89825,104.20413,4.58753
195,3900.0,108.13637,3.93217,106.17027,3.93217
196,3920.0,106.82562,5.2429,106.17028,4.58754
197,3940.0,106.82563,5.2429,106.17027,3.93217
198,3960.0,106.82564,3.93217,106.82563,3.2768
199,3980.0,107.48099,3.93217,107.48099,3.2768
200,4000.0,108.13635,4.58753,107.48099,4.58753
201,4020.0,108.13634,5.24289,107.48097,5.24289
202,4040.0,108.13634,5.24289,108.13633,5.89825
203,4060.0,119.27759,7.20901,134.35117,7.20906
204,4080.0,139.59419,7.86443,137.62808,9.17516
