,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-1.31073,0.0,-0.65537
2,40.0,-1.31071,-1.96524,-0.65535,-1.96609
3,60.0,-1.3107,-3.27681,0.6554,-3.2768
4,80.0,7.2091,-6.5536,9.83061,-5.89822
5,100.0,9.17525,-6.55358,9.17525,-5.24285
6,120.0,9.17526,-5.24284,9.83063,-5.24283
7,140.0,9.83063,-5.89818,9.83064,-4.58745
8,160.0,9.83066,-3.27672,11.14139,-2.62134
9,180.0,10.48604,-3.27669,9.83069,-1.3106
10,200.0,9.8307,-1.96595,9.8307,0.00014000000000181
11,220.0,9.17535,0.65551,9.83071,1.96624
12,240.0,9.17536,1.96624,9.17535,3.27698
13,260.0,9.17535,2.62162,9.17534,3.93235
14,280.0,9.17534,3.93235,9.17534,5.24307
15,300.0,9.17534,5.24307,9.8307,5.89844
16,320.0,9.83071,4.58771,10.48607,5.24308
17,340.0,10.48608,4.58771,11.14144,5.89844
18,360.0,11.14144,4.58772,11.7968,5.24308
19,380.0,11.79681,5.24307,11.79682,6.55379
20,400.0,12.45219,6.55379,12.4522,7.86451
21,420.0,12.4522,7.20914,13.10757,7.8645
22,440.0,13.10757,7.86451,13.76293,8.51987
23,460.0,13.76293,8.51987,14.41828,9.8306
24,480.0,14.41827,9.17524,15.07362,10.48596
25,500.0,15.07362,11.14132,16.38434,12.45204
26,520.0,16.38434,13.76276,17.03969,16.38422
27,540.0,17.03968,16.38422,17.69502,17.69494
28,560.0,17.69501,18.35029,19.00571,19.00566
29,580.0,18.35034,19.00566,19.00569,19.66102
30,600.0,19.00567,19.66102,19.00565,20.97175
31,620.0,17.03954,20.97175,5.89823,21.62715
32,640.0,-1.96362,21.62715,-1.3108,23.59324
33,660.0,-1.31081,24.2486,-0.65546,24.24861
34,680.0,-1.31083,22.93789,-1.96622,20.97182
35,700.0,-3.27694,17.695,-3.9323,14.4182
36,720.0,-5.24303,12.45211,-5.24305,11.79675
37,740.0,-5.24306,11.14139,-4.58773,12.45211
38,760.0,-3.93239,12.45211,-2.62169,12.45212
39,780.0,-1.96635,10.48602,-0.00030999999999892,8.51994
40,800.0,1.31039,5.24311,3.9318,2.62165
41,820.0,4.58714,0.00019999999999953,6.5532,0.00020000000000664
42,840.0,7.86391,-2.62126,9.17463,-4.58735
43,860.0,9.82997,-7.20881,10.48532,-7.20881
44,880.0,11.79603,-9.1749,13.10675,-9.83026
45,900.0,13.76211,-11.141,15.07283,-12.45172
46,920.0,15.07284,-14.41782,16.38355,-16.3839
47,940.0,16.38356,-19.00536,17.69428,-17.69464
48,960.0,18.34965,-20.31609,18.34965,-24.24827
49,980.0,19.00501,-28.18046,20.31572,-28.83584
50,1000.0,20.31572,-30.80193,21.62642,-32.11266
51,1020.0,22.28179,-35.38948,22.93713,-36.70021
52,1040.0,24.24785,-39.32167,24.9032,-40.6324
53,1060.0,25.55853,-43.25385,26.21389,-44.56457
54,1080.0,27.5246,-47.84139,28.17994,-49.1521
55,1100.0,29.49065,-51.11819,30.14599,-50.46281
56,1120.0,30.80135,-51.77354,31.45669,-51.77353
57,1140.0,32.11205,-53.73962,33.42275,-53.08425
58,1160.0,33.42274,-55.05034,34.73345,-54.39497
59,1180.0,35.38881,-55.7057,37.35487,-55.70569
60,1200.0,37.35486,-56.36105,38.66558,-56.36104
61,1220.0,39.32093,-57.0164,40.63164,-57.0164
62,1240.0,40.63163,-57.67175,41.28697,-56.36102
63,1260.0,41.28695,-58.32709,42.59765,-58.32709
64,1280.0,41.94229,-59.63781,43.25299,-58.98244
65,1300.0,43.25299,-61.60388,43.90834,-61.60388
66,1320.0,43.25297,-62.9146,43.90832,-63.56995
67,1340.0,43.25295,-64.88068,43.25294,-64.22531
68,1360.0,43.25293,-64.2253,43.25293,-63.56993
69,1380.0,43.25293,-63.56993,43.25293,-62.91457
70,1400.0,43.25293,-63.56994,43.25293,-62.91458
71,1420.0,43.25293,-63.56994,43.90829,-61.60386
72,1440.0,43.25293,-62.25924,43.90829,-61.60388
73,1460.0,43.25293,-61.60389,43.25293,-60.94853
74,1480.0,42.59757,-60.29318,43.25293,-59.63782
75,1500.0,42.59757,-60.94855,42.59757,-60.94856
76,1520.0,42.59757,-61.60393,42.59757,-60.29321
77,1540.0,41.94221,-61.60394,41.94221,-60.29322
78,1560.0,41.28685,-60.29322,40.63149,-58.98249
79,1580.0,39.97613,-59.63787,39.32077,-59.63787
80,1600.0,38.66541,-58.98251,38.01005,-57.67178
81,1620.0,37.35469,-58.32715,37.35469,-57.01643
82,1640.0,36.04397,-57.01644,36.04397,-56.36107
83,1660.0,35.38861,-57.01644,34.73325,-55.05035
84,1680.0,34.73325,-55.05035,35.38861,-53.73963
85,1700.0,34.73325,-55.05036,35.38861,-54.39499
86,1720.0,36.04397,-55.70572,36.04397,-55.05036
87,1740.0,36.04397,-55.70572,36.69933,-55.05036
88,1760.0,36.69933,-54.395,36.69933,-53.08427
89,1780.0,36.69933,-53.73964,37.35469,-52.42891
90,1800.0,36.69933,-53.08427,37.35469,-51.77353
91,1820.0,36.69933,-52.42889,36.69933,-51.11816
92,1840.0,36.04397,-51.77352,36.04397,-51.11815
93,1860.0,36.04397,-51.77351,36.04398,-50.46278
94,1880.0,36.04398,-50.46279,36.69935,-49.15206
95,1900.0,36.69937,-48.49669,36.69938,-47.84132
96,1920.0,36.69939,-48.49669,37.35476,-47.18597
97,1940.0,36.69941,-47.84133,37.35477,-45.21987
98,1960.0,36.69943,-45.87524,36.69944,-44.5645
99,1980.0,36.69944,-44.5645,36.69945,-43.25377
100,2000.0,36.04409,-45.21986,36.04409,-44.5645
101,2020.0,35.38874,-44.56451,35.38874,-43.25378
102,2040.0,35.38874,-43.2538,34.73339,-41.94307
103,2060.0,34.07803,-41.28772,34.73338,-38.66629
104,2080.0,34.73338,-38.66629,34.73337,-36.70021
105,2100.0,35.38873,-37.35557,35.38871,-36.70022
106,2120.0,34.73335,-36.70022,35.38869,-36.04486
107,2140.0,34.73332,-37.35558,34.73331,-36.04486
108,2160.0,34.07794,-36.70021,34.07794,-36.04484
109,2180.0,33.42258,-36.69932,33.42257,-36.04482
110,2200.0,32.76721,-36.70019,32.76721,-36.70018
111,2220.0,32.11185,-37.35554,32.11185,-37.35554
112,2240.0,31.45649,-38.66627,33.42259,-39.32162
113,2260.0,45.8746,-39.3216,51.773,-39.32158
114,2280.0,50.46229,-40.6323,48.4962,-38.66622
115,2300.0,47.84084,-38.66622,49.15156,-38.01085
116,2320.0,47.84084,-39.32157,47.84084,-38.01084
117,2340.0,47.18548,-38.66621,47.18547,-38.01084
118,2360.0,46.53012,-38.66621,46.53012,-37.35549
119,2380.0,46.53012,-36.70013,46.53011,-34.73404
120,2400.0,45.87475,-34.73404,46.53011,-32.76795
121,2420.0,45.87475,-33.42331,46.53011,-32.76794
122,2440.0,45.87475,-33.42331,46.5301,-32.11258
123,2460.0,45.87474,-33.42331,45.87474,-31.45722
124,2480.0,45.87474,-32.11259,45.87474,-30.1465
125,2500.0,45.21939,-30.80186,45.87475,-30.1465
126,2520.0,45.21939,-30.80186,45.8773,-30.1465
127,2540.0,45.87476,-30.1465,45.87476,-30.14649
128,2560.0,45.2194,-30.80186,45.87476,-30.14649
129,2580.0,45.87477,-30.1465,45.87477,-29.49113
130,2600.0,50.46235,-28.83576,66.19125,-26.86963
131,2620.0,70.77894,-27.52498,69.46823,-24.90353
132,2640.0,68.15748,-24.24818,68.15748,-23.59282
133,2660.0,67.50212,-22.93745,67.50211,-20.97136
134,2680.0,66.84675,-20.97136,66.84675,-19.00527
135,2700.0,66.19138,-19.00527,66.19138,-17.69454
136,2720.0,65.53602,-17.69455,64.88066,-17.03918
137,2740.0,64.88066,-17.03919,64.2253,-16.38383
138,2760.0,64.22529,-17.0392,63.56994,-16.38383
139,2780.0,64.2253,-15.72847,63.56993,-15.07311
140,2800.0,63.56993,-15.72848,63.56993,-15.72847
141,2820.0,62.91456,-17.69456,62.91456,-16.38383
142,2840.0,62.25919,-17.69456,62.25918,-17.69456
143,2860.0,62.25918,-19.00528,68.15749,-17.69454
