,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-1.31071,-1.31072,-0.65535,-1.96607
2,40.0,-1.31071,-1.96608,-0.65535999999999,-1.96608
3,60.0,-1.31071,-1.96608,0.65537,-0.65535999999999
4,80.0,1.9999999999243e-05,-0.65535999999999,1.31073,0.65536
5,100.0,0.65537,1.31072,2.62144,1.96608
6,120.0,1.31074,2.62144,3.27681,3.93215
7,140.0,2.62145,3.93215,3.93216,3.93215
8,160.0,3.93218,6.55359,7.20902,9.17504
9,180.0,6.55369,9.83039,7.86439,11.14111
10,200.0,7.8644,12.45184,9.83048,14.41791
11,220.0,9.83048,15.72862,11.79655,18.35006
12,240.0,11.79656,19.66078,13.76263,21.62685
13,260.0,12.45192,22.93758,15.07335,24.2483
14,280.0,13.76264,24.90365,15.72872,26.21437
15,300.0,15.72872,27.52509,17.03944,28.18045
16,320.0,15.73128,28.83581,17.6948,29.49117
17,340.0,17.03946,30.14653,18.35017,31.45725
18,360.0,17.69482,32.76797,19.66089,33.42333
19,380.0,18.35018,34.73405,19.66089,34.73405
20,400.0,19.00554,34.73404,20.31625,36.04477
21,420.0,19.6609,36.04477,20.97162,37.35549
22,440.0,19.00552,36.70013,20.97161,38.01086
23,460.0,19.6609,39.32158,20.97162,40.6323
24,480.0,20.31627,41.28766,22.28235,42.59838
25,500.0,21.627,43.25374,22.93771,44.56447
26,520.0,22.28236,45.21983,23.59308,45.21982
27,540.0,22.28236,45.21983,23.59308,45.21983
28,560.0,22.93773,45.21983,24.24844,45.21982
29,580.0,22.28236,45.21982,23.59308,45.87518
30,600.0,22.93773,45.21982,24.24844,45.21982
31,620.0,22.93772,45.87518,24.24844,45.21981
32,640.0,22.93772,45.21981,24.24844,45.2198
33,660.0,22.28237,44.56444,24.24844,45.2198
34,680.0,22.93773,44.56444,24.24844,44.56443
35,700.0,23.59309,45.87514,27.52534,45.87514
36,720.0,28.83615,45.8751,29.49148,45.87511
37,740.0,28.18076,45.87512,29.49148,45.87512
38,760.0,28.18076,45.8751,28.83611,45.8751
39,780.0,28.18075,45.87509,29.49147,45.87509
40,800.0,28.18076,45.87508,29.49147,45.87508
41,820.0,28.18075,45.87507,30.14683,45.87507
42,840.0,26.87002,45.87507,26.86998,45.87507
43,860.0,25.55927,45.87506,27.52535,45.87507
44,880.0,25.55928,45.87507,26.86999,45.87506
45,900.0,24.90392,45.87506,26.21463,45.87505
46,920.0,24.90392,45.87505,26.21463,45.87505
47,940.0,24.90393,45.87504,26.21464,45.87504
48,960.0,24.90393,45.87503,26.21464,45.87503
49,980.0,24.90393,45.87502,26.21464,45.87501
50,1000.0,25.55929,45.875,26.21464,45.87501
51,1020.0,24.90393,45.875,26.87,45.875
52,1040.0,25.55929,45.87499,26.87001,45.87498
53,1060.0,24.24857,45.87498,24.24851,45.87498
54,1080.0,22.93779,45.87499,24.90389,45.87498
55,1100.0,23.59317,45.87498,24.90389,45.87497
56,1120.0,23.59318,45.87497,24.24854,45.87497
57,1140.0,23.59318,45.87496,24.90389,45.87496
58,1160.0,23.59318,45.87495,24.90389,45.87496
59,1180.0,23.59318,45.87494,24.24853,45.87495
60,1200.0,22.93782,45.87494,24.24854,45.87494
61,1220.0,22.93782,45.87494,24.24853,45.87494
62,1240.0,22.93782,45.87493,24.24853,45.87494
63,1260.0,22.93781,45.87492,24.24853,45.21957
64,1280.0,22.93781,45.21956,24.24853,45.21956
65,1300.0,22.28245,45.21956,23.59317,45.21956
66,1320.0,22.93782,45.21955,24.24853,45.21955
67,1340.0,22.93782,45.21956,23.59317,45.21956
68,1360.0,22.28246,45.21956,23.59318,45.21956
69,1380.0,22.28246,44.56419,23.59318,44.56419
70,1400.0,22.28247,44.56419,23.59318,44.56419
71,1420.0,21.62711,44.56419,23.59319,44.56419
72,1440.0,21.6271,44.56419,22.93783,44.56419
73,1460.0,21.62711,44.56419,22.93783,43.90882
74,1480.0,22.28247,43.90882,23.59319,43.90882
75,1500.0,21.62711,43.25346,23.59318,43.90882
76,1520.0,22.28246,43.25345,22.93781,43.25345
77,1540.0,21.6271,43.25345,22.93781,43.25344
78,1560.0,21.6271,42.59809,22.28245,42.59808
79,1580.0,21.6271,42.59808,22.28246,42.59808
80,1600.0,20.97174,42.59808,22.28245,41.94271
81,1620.0,20.97173,41.94271,22.28244,41.28735
82,1640.0,20.97173,41.28734,22.28244,41.28734
83,1660.0,20.97173,41.28734,24.90395,45.21949
84,1680.0,32.76844,45.87483,39.9775,45.87479
85,1700.0,38.01142,45.87479,39.32214,45.87481
