,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,9.9999999960687e-06,0.0,7.20902,0.0
2,40.0,20.97177,-1.3107,24.24863,-0.65533
3,60.0,22.9379,-0.65534,21.62718,2.0000000006348e-05
4,80.0,22.28254,-0.65534,21.62718,-0.65534
5,100.0,21.62719,-0.65534,20.97182,2.0000000006348e-05
6,120.0,21.62719,-0.65535,20.97182,-0.65534
7,140.0,21.62719,-0.65535,20.97183,-0.65535
8,160.0,20.97183,-1.31071,20.97183,-0.65535
9,180.0,20.97184,-1.31071,20.97183,-1.31071
10,200.0,20.97184,-1.31072,20.31647,-1.31071
11,220.0,20.31648,-1.96608,20.31648,-1.96608
12,240.0,19.66112,-1.96609,20.31647,-1.96608
13,260.0,19.66112,-2.62145,20.31647,-2.62145
14,280.0,19.66113,-2.62146,19.66112,-2.62145
15,300.0,19.00577,-2.62146,19.66112,-3.27682
16,320.0,19.66113,-3.27682,19.00577,-3.93219
17,340.0,19.66113,-4.58755,19.66114,-4.58755
18,360.0,19.66114,-5.24292,19.66114,-5.24292
19,380.0,19.66115,-5.24292,23.59332,-9.1751
20,400.0,29.49166,-17.03951,30.80236,-17.03951
21,420.0,30.14699,-15.07342,30.14698,-15.07341
22,440.0,31.4577,-15.07342,31.45769,-15.07342
23,460.0,32.11305,-15.07342,32.11305,-15.72878
24,480.0,32.11306,-15.72879,32.11306,-15.72879
25,500.0,30.80233,-15.07342,19.66104,-7.86436
26,520.0,9.1752,-4.58752,7.86447,-5.89826
27,540.0,9.83055,-5.24291,9.83055,-5.2429
28,560.0,9.83055,-5.24291,9.17519,-5.24291
29,580.0,9.17519,-5.24292,8.51983,-4.58755
30,600.0,8.51983,-4.58756,8.51983,-4.58756
31,620.0,8.51983,-4.58756,8.51983,-3.9322
32,640.0,8.51984,-3.9322,8.51983,-3.27684
33,660.0,8.51984,-3.93221,8.51983,-3.27684
34,680.0,8.51983,-3.27685,8.51983,-2.62148
35,700.0,3.27691,-0.65537,1.96617,0.0
36,720.0,2.62153,-0.65537999999999,2.62152,-0.65537
37,740.0,2.62152,-0.65537999999999,2.62151,-1.31073
38,760.0,2.62152,-1.31074,2.62152,-1.31074
39,780.0,2.62152,-1.31074,3.27688,-1.9661
40,800.0,2.62152,-1.96611,3.27688,-1.9661
41,820.0,3.27688,-1.96611,3.27689,-1.96611
42,840.0,3.27689,-1.96611,3.27689,-2.62147
43,860.0,3.27689,-2.62147,3.27689,-2.62147
44,880.0,3.27689,-2.62147,3.27688,-3.27683
45,900.0,3.27689,-3.9322,3.27688,-3.93219
46,920.0,3.27688,-3.9322,11.79662,-3.93219
47,940.0,21.62717,-4.58753,22.28256,-4.58752
48,960.0,20.97183,-4.58753,20.97183,-3.93217
49,980.0,21.62719,-3.93217,21.62718,-3.93217
50,1000.0,21.62719,-4.58754,21.62719,-4.58753
51,1020.0,21.62719,-4.58754,21.62719,-5.2429
52,1040.0,21.62719,-5.2429,22.28254,-5.2429
53,1060.0,22.28255,-5.24291,21.62718,-5.2429
54,1080.0,21.62719,-5.2429,21.62718,-4.58754
55,1100.0,21.62719,-5.2429,21.62718,-4.58754
56,1120.0,21.62719,-5.24291,22.28255,-5.2429
57,1140.0,22.28255,-5.24291,21.62719,-5.24291
58,1160.0,21.62719,-5.24291,21.62719,-5.89827
59,1180.0,21.6272,-5.89828,21.62719,-5.89827
60,1200.0,21.62719,-5.89828,22.28255,-6.55364
61,1220.0,22.28255,-6.55364,22.9379,-6.55364
62,1240.0,23.59325,-6.55364,24.2486,-7.209
63,1260.0,24.2486,-7.20901,24.90395,-7.209
64,1280.0,24.90396,-7.86437,24.90396,-7.86436
65,1300.0,25.55933,-7.86437,25.55932,-7.86437
66,1320.0,25.55933,-7.86437,25.55932,-7.86437
67,1340.0,25.55933,-8.51973,25.55933,-8.51973
68,1360.0,25.55934,-8.51973,26.21469,-8.51973
69,1380.0,25.55933,-9.1751,26.21469,-9.17509
70,1400.0,26.21469,-9.1751,25.55932,-9.1751
71,1420.0,25.55933,-9.83046,30.14688,-9.17509
72,1440.0,40.63282,-10.4858,45.87577,-11.14114
73,1460.0,44.56506,-10.48579,43.90969,-10.48579
74,1480.0,44.56505,-10.4858,44.56504,-11.14116
75,1500.0,44.56505,-11.14116,44.56504,-11.14116
76,1520.0,44.56505,-11.14117,45.22041,-11.14116
77,1540.0,45.22041,-11.14116,45.87577,-11.79653
78,1560.0,45.87578,-12.45189,45.87578,-12.45189
79,1580.0,46.53115,-13.10725,47.1865,-13.10725
80,1600.0,47.18651,-13.10725,47.84188,-13.76261
81,1620.0,48.49724,-14.41797,48.49725,-14.41797
82,1640.0,49.15261,-14.41797,49.80798,-15.07333
83,1660.0,50.46335,-15.07333,50.46335,-15.72869
84,1680.0,51.11872,-15.72869,51.77408,-16.38405
85,1700.0,52.42945,-16.38405,53.08481,-17.03846
86,1720.0,53.08482,-17.69477,53.74018,-17.69477
87,1740.0,56.36165,-17.69476,57.01702,-17.69475
88,1760.0,57.6724,-18.35012,58.32775,-18.35012
89,1780.0,58.32776,-18.35012,58.98312,-19.00548
90,1800.0,59.63849,-19.66084,59.63849,-19.00548
91,1820.0,59.6385,-19.66084,59.6385,-19.66084
92,1840.0,60.29387,-20.3162,60.29386,-20.97156
93,1860.0,60.29387,-20.97156,60.29387,-20.97156
94,1880.0,60.29387,-20.97156,59.63851,-20.97156
95,1900.0,59.63852,-20.97156,59.63852,-20.97155
96,1920.0,59.63852,-20.97155,59.63852,-20.97155
97,1940.0,58.98317,-20.97155,58.3278,-20.97155
98,1960.0,58.98316,-20.3162,58.98316,-20.31619
99,1980.0,58.98316,-20.3162,58.98314,-20.31619
100,2000.0,59.6385,-20.97156,60.29385,-20.97155
101,2020.0,59.63849,-20.97156,59.63848,-20.97155
102,2040.0,59.63849,-20.97156,59.63848,-20.97155
103,2060.0,65.53679,-19.66082,70.12438,-19.00545
104,2080.0,69.46903,-19.66081,69.46902,-19.00545
105,2100.0,68.81365,-19.00545,69.46901,-19.66081
106,2120.0,69.46902,-19.66081,68.81365,-19.66081
107,2140.0,68.81365,-19.66082,68.81364,-19.66081
108,2160.0,68.81364,-19.66082,68.81364,-19.66082
109,2180.0,68.81364,-19.66082,69.46899,-19.66082
110,2200.0,70.12435,-20.31618,68.81362,-21.62691
111,2220.0,69.46899,-22.28227,68.81362,-22.28227
112,2240.0,70.77971,-21.62691,81.26559,-21.62689
113,2260.0,85.1978,-21.62688,84.54244,-21.62688
114,2280.0,84.54243,-20.97152,83.88706,-20.97152
115,2300.0,84.54244,-21.62688,83.88707,-20.97152
116,2320.0,83.88708,-20.97152,83.88707,-21.62688
117,2340.0,83.88708,-21.62688,83.88707,-21.62688
118,2360.0,83.88707,-21.62688,83.88707,-21.62688
119,2380.0,83.23172,-22.28225,83.23171,-22.28225
120,2400.0,83.88708,-22.28225,83.23171,-22.28225
121,2420.0,83.23171,-22.28225,83.88707,-22.28224
122,2440.0,83.23171,-22.28225,83.23171,-22.28225
123,2460.0,83.23171,-22.28225,83.23171,-22.28225
124,2480.0,83.23171,-22.28225,82.57635,-22.28224
125,2500.0,83.23172,-22.28225,78.64415,-22.28225
126,2520.0,65.53677,-24.24833,58.32773,-22.93761
127,2540.0,-49.15127,-22.28225,59.63849,-22.28225
128,2560.0,59.63849,-22.93762,59.63849,-22.28226
129,2580.0,59.63849,-23.59299,58.98312,-22.93762
130,2600.0,59.63849,-22.93763,59.63849,-23.59299
131,2620.0,59.63849,-23.59299,59.63849,-23.59299
132,2640.0,59.63849,-23.59299,59.63849,-23.59299
133,2660.0,59.63849,-23.59299,59.63849,-23.59299
134,2680.0,59.6385,-23.593,60.29385,-23.593
135,2700.0,59.6385,-23.593,59.6385,-23.593
136,2720.0,59.63851,-23.593,59.6385,-23.59299
137,2740.0,59.63851,-23.593,58.98315,-23.593
138,2760.0,59.63851,-23.593,59.63851,-23.593
139,2780.0,59.63851,-24.24836,60.29385,-23.59299
140,2800.0,49.1526,-24.24834,32.76836,-22.28223
141,2820.0,28.83617,-21.62688,31.45763,-22.28224
142,2840.0,32.113,-21.62688,32.11299,-21.62688
143,2860.0,32.113,-21.62689,32.76835,-21.62689
144,2880.0,32.76836,-21.6269,32.76835,-21.6269
145,2900.0,32.76835,-22.28226,32.76835,-22.28226
146,2920.0,32.76836,-22.28227,32.76835,-22.93763
147,2940.0,32.76835,-22.28226,32.76835,-22.28227
148,2960.0,33.42371,-22.28227,32.76835,-22.28227
149,2980.0,33.42371,-22.28227,33.4237,-22.28227
150,3000.0,33.42371,-22.28227,32.76835,-22.28226
151,3020.0,32.76835,-22.28227,34.07908,-22.28227
152,3040.0,38.0113,-22.28226,38.66667,-22.93761
153,3060.0,39.32203,-22.28226,38.66666,-22.28226
154,3080.0,38.66667,-22.28226,38.66667,-22.28226
155,3100.0,38.66667,-22.28226,38.66666,-22.93762
156,3120.0,38.66667,-22.93762,38.66666,-22.28226
157,3140.0,38.66667,-22.28226,38.66667,-22.28226
158,3160.0,38.66667,-22.93762,38.66921,-22.93762
159,3180.0,38.66667,-22.93763,38.66667,-22.28226
160,3200.0,38.66667,-22.93763,38.66667,-22.93762
161,3220.0,38.66668,-22.93763,38.66667,-22.93762
162,3240.0,39.32204,-22.93763,38.66667,-23.59299
163,3260.0,38.66667,-22.93763,39.32203,-23.59299
164,3280.0,38.66667,-23.59299,38.66667,-23.59299
165,3300.0,39.32204,-23.59299,38.66667,-22.93763
166,3320.0,38.66668,-22.93763,38.66667,-23.59299
167,3340.0,38.66668,-23.59299,38.66668,-23.59299
168,3360.0,38.66668,-23.59299,38.01132,-23.59299
169,3380.0,38.66668,-23.593,38.01132,-24.24836
170,3400.0,38.01132,-24.24836,38.01132,-24.24836
171,3420.0,38.01133,-24.24836,37.35596,-24.90373
172,3440.0,44.56498,-24.24836,64.88137,-23.59296
173,3460.0,72.74584,-24.2483,70.12439,-23.59295
174,3480.0,68.81367,-22.93759,68.81366,-22.93759
175,3500.0,68.15831,-22.9376,68.1583,-22.93759
176,3520.0,68.15831,-22.28224,68.1583,-22.28224
177,3540.0,68.15831,-22.28225,67.50294,-22.28225
178,3560.0,67.50295,-22.28225,67.50294,-23.59297
179,3580.0,67.50295,-23.59298,66.84758,-23.59298
180,3600.0,66.84759,-22.93762,66.84758,-22.93762
181,3620.0,66.19222,-22.93762,66.19222,-22.93762
182,3640.0,68.15831,-22.28226,84.54245,-21.62686
183,3660.0,93.71763,-22.2822,91.09617,-22.2822
184,3680.0,90.44079,-20.97149,90.44078,-21.62684
185,3700.0,91.09614,-21.62685,90.44078,-20.97149
186,3720.0,90.44078,-20.9715,89.78542,-20.97149
187,3740.0,89.78543,-20.31613,89.78542,-20.31613
188,3760.0,89.78543,-19.66077,89.78542,-19.66077
189,3780.0,89.78543,-19.66078,89.13261,-19.00541
190,3800.0,89.78543,-19.66078,89.13007,-19.00542
191,3820.0,89.13007,-19.00542,89.13007,-19.00542
192,3840.0,89.13007,-19.66078,88.47471,-19.00542
193,3860.0,88.47471,-19.00542,90.44079,-19.66078
194,3880.0,100.92669,-19.66076,104.20355,-19.66074
195,3900.0,102.89283,-19.66075,102.89281,-19.00538
196,3920.0,102.89282,-19.00539,102.89282,-19.00538
197,3940.0,102.89283,-19.00539,102.89282,-18.35003
198,3960.0,102.89283,-18.35003,102.89282,-19.00538
199,3980.0,102.89283,-19.00539,102.89282,-18.35003
200,4000.0,102.89283,-18.35002,102.23746,-18.35002
201,4020.0,102.23747,-18.35002,102.23747,-18.35002
202,4040.0,102.89283,-19.00539,102.89283,-19.66074
203,4060.0,102.89283,-19.66075,102.23747,-19.66074
204,4080.0,102.89284,-19.66075,102.23748,-19.66074
205,4100.0,102.23747,-19.66075,102.23748,-19.66074
206,4120.0,102.23748,-19.66075,101.58213,-19.66074
207,4140.0,101.58213,-19.66075,101.58213,-19.66075
208,4160.0,101.58213,-19.66075,100.92678,-19.66075
209,4180.0,101.58214,-20.31611,100.27142,-20.31611
210,4200.0,100.92678,-20.31611,100.27142,-19.66075
211,4220.0,100.27143,-20.31611,100.27142,-20.31611
212,4240.0,99.61607,-20.31611,99.61608,-20.31611
213,4260.0,99.61608,-20.31611,98.96072,-19.66075
214,4280.0,98.96072,-19.66075,98.30536,-19.66074
215,4300.0,98.30537,-19.00539,98.30537,-19.00538
216,4320.0,98.30537,-19.00539,97.65001,-18.35002
217,4340.0,97.65001,-18.35003,97.65001,-18.35003
218,4360.0,97.65001,-18.35003,97.65,-18.35002
219,4380.0,97.65,-18.35002,97.65,-18.35002
220,4400.0,97.64999,-17.69467,97.64999,-18.35002
221,4420.0,98.30535,-18.35003,98.30535,-18.35003
222,4440.0,97.64999,-18.35003,98.30535,-17.69467
223,4460.0,97.64999,-17.69467,97.64998,-17.0393
224,4480.0,97.64999,-17.03931,98.30535,-17.03931
225,4500.0,100.92683,-17.03931,100.92682,-17.69467
226,4520.0,100.92681,-17.03931,101.58217,-17.03931
227,4540.0,102.23752,-16.38395,102.23751,-16.38395
228,4560.0,102.23751,-16.38395,102.23751,-16.38395
229,4580.0,101.58215,-16.38395,101.58214,-16.38394
230,4600.0,101.58215,-16.38396,101.58215,-16.38394
231,4620.0,101.58214,-16.38396,101.58214,-16.38395
232,4640.0,101.58214,-16.38396,101.58214,-16.38395
233,4660.0,102.23751,-16.38396,102.23749,-16.38396
234,4680.0,98.96066,-17.03931,96.99455,-15.72859
235,4700.0,96.99455,-15.7286,97.64991,-15.72859
236,4720.0,97.64991,-16.38395,97.64992,-15.7286
237,4740.0,97.64992,-16.38396,97.64992,-16.38395
238,4760.0,97.64992,-16.38396,97.64992,-17.03932
239,4780.0,98.30528,-16.38396,98.30528,-17.03932
240,4800.0,98.96064,-17.03932,98.30527,-17.03932
241,4820.0,98.96064,-17.03932,98.30527,-17.03932
242,4840.0,98.96064,-17.03932,98.30528,-17.03932
243,4860.0,98.96064,-17.03932,98.96064,-16.38396
244,4880.0,98.30528,-16.38397,97.64991,-16.38396
245,4900.0,98.30528,-16.38397,97.64991,-16.38397
