,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-1.0000000003174e-05,0.65536,0.0,0.0
2,40.0,0.0,1.31072,0.0,1.31072
3,60.0,0.0,3.27679,0.65536,1.96608
4,80.0,0.0,3.27679,0.0,1.96608
5,100.0,0.0,3.93215,0.65536,3.2768
6,120.0,0.65536,4.58751,0.65537,3.93216
7,140.0,1.31072,4.58751,0.65537,4.58752
8,160.0,1.31073,5.89823,1.31073,4.58751
9,180.0,1.96609,6.55359,1.96608,5.89823
10,200.0,2.62144,7.20894,1.96608,6.55359
11,220.0,2.62144,7.86431,2.62145,7.20895
12,240.0,2.62145,8.51967,2.62145,7.86431
13,260.0,2.62146,9.17503,2.62145,8.51967
14,280.0,3.27682,10.48575,2.62146,9.17504
15,300.0,3.27681,9.83039,3.27682,9.8304
16,320.0,3.27682,10.48575,3.27682,9.8304
17,340.0,3.27682,11.14112,3.27682,9.83039
18,360.0,3.93218,11.14111,3.93219,9.8304
19,380.0,3.93219,10.48575,3.27683,9.8304
20,400.0,3.93219,9.8304,3.27684,9.17504
21,420.0,3.9322,9.8304,3.9322,9.17504
22,440.0,4.58756,9.83039,3.9322,9.17504
23,460.0,4.58756,9.83039,4.58757,8.51967
24,480.0,5.24293,9.17503,5.24294,7.86431
25,500.0,5.24294,8.51967,5.24294,7.20895
26,520.0,5.8983,8.51967,5.24295,8.51967
27,540.0,6.55367,9.17502,5.89831,8.51967
28,560.0,6.55367,9.83038,6.55367,8.51967
29,580.0,6.55368,9.83038,6.55367,8.51966
30,600.0,7.20904,9.83037,6.55368,9.17501
31,620.0,7.20904,9.83037,7.20904,8.51965
32,640.0,7.20904,9.83037,7.20905,8.51965
33,660.0,7.20905,9.83036,7.20905,9.175
34,680.0,7.20906,9.83036,7.20906,9.175
35,700.0,7.20906,9.83036,7.20906,8.51964
36,720.0,7.20907,9.83035,7.20907,8.51964
37,740.0,7.86444,9.83035,7.20908,8.51963
38,760.0,7.86445,9.83035,7.86444,7.86427
39,780.0,7.86445,8.51963,7.20909,6.55355
40,800.0,5.9999999997729e-05,7.86431,-14.418,9.17511
41,820.0,-26.86996,9.8305,-32.76825,9.17515
42,840.0,-31.45752,11.79657,-30.14679,13.10729
43,860.0,-29.49143,15.07337,-28.83606,12.45192
44,880.0,-28.1807,12.45192,-27.52534,11.1412
45,900.0,-27.52533,12.45191,-27.52533,11.14119
46,920.0,-26.86997,12.45191,-26.86996,11.14119
47,940.0,-26.2146,12.45191,-26.21458,11.14119
48,960.0,-25.55922,12.45191,-25.55921,11.14119
49,980.0,-24.90385,12.4519,-24.90384,11.14119
50,1000.0,-24.24847,11.79654,-24.24846,11.14119
51,1020.0,-24.24846,11.79655,-24.24845,11.14119
52,1040.0,-24.24845,12.4519,-24.24844,11.14119
53,1060.0,-24.24844,12.4519,-23.59307,11.14119
54,1080.0,-24.24842,11.79655,-24.24842,11.14119
55,1100.0,-24.24842,11.79655,-24.24842,11.14119
56,1120.0,-24.24841,11.14119,-26.21448,6.55365
57,1140.0,-28.83592,5.89827,-30.802,7.209
58,1160.0,-29.49128,9.83043,-30.14664,10.48579
59,1180.0,-29.49127,11.79651,-30.14662,9.83043
60,1200.0,-29.49126,10.4858,-29.49127,8.51972
61,1220.0,-29.49127,9.17507,-28.83591,8.51972
62,1240.0,-28.83591,9.17508,-28.83591,7.86436
63,1260.0,-28.18055,9.17507,-28.83591,7.86435
64,1280.0,-27.52519,9.17508,-27.52518,7.86435
65,1300.0,-27.52519,8.51971,-26.86982,7.86435
66,1320.0,-26.86982,8.51971,-26.86982,7.86435
67,1340.0,-49.80741,8.51971,-25.5591,8.51971
68,1360.0,-24.90373,9.83042,-24.90373,8.51971
69,1380.0,-24.24837,10.48578,-24.24583,9.17507
70,1400.0,-23.59302,10.48579,-22.93766,9.17507
71,1420.0,-22.28231,10.48578,-22.2823,9.83043
72,1440.0,-21.62694,11.14114,-21.62693,9.83042
73,1460.0,-20.31622,11.7965,-19.66085,10.48578
74,1480.0,-19.66085,12.45186,-19.66085,11.79651
75,1500.0,-19.00549,13.10723,-18.35012,12.45187
76,1520.0,-17.69476,13.76258,-17.69476,13.10723
77,1540.0,-17.0394,14.41794,-17.0394,13.76259
78,1560.0,-17.0394,15.0733,-16.38404,13.76259
79,1580.0,-16.38404,15.07331,-16.38403,14.41795
80,1600.0,-16.38401,15.0733,-18.35006,13.76259
81,1620.0,-17.6947,15.0733,-18.35006,13.76259
82,1640.0,-18.35006,15.0733,-18.35005,13.76259
83,1660.0,-19.00541,13.76258,-19.66077,12.45187
84,1680.0,-19.0054,13.10723,-19.66076,11.79651
