,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.0000000003174e-05,-0.65536,-0.65535999999999,0.0
2,40.0,1.9999999999243e-05,-0.65534,-0.65535,-0.65535
3,60.0,3.0000000002417e-05,-0.65535,3.0000000002417e-05,-0.65534
4,80.0,4.0000000005591e-05,-0.65534,4.0000000005591e-05,-1.3107
5,100.0,-0.65531,-0.65533,5.000000000166e-05,-0.65533
6,120.0,6.0000000004834e-05,-0.65533,6.0000000004834e-05,-0.65533
7,140.0,6.0000000004834e-05,-0.65532,0.65542,-1.31068
8,160.0,7.0000000000903e-05,-1.31068,0.65543,-1.31068
9,180.0,0.65543,-0.65531,0.65543,-1.31067
10,200.0,1.31079,-1.31066,1.31078,-1.96603
11,220.0,1.31079,-1.31066,1.96614,-1.31067
12,240.0,2.62151,-1.96603,2.6215,-1.96603
13,260.0,2.62151,-1.31067,7.86443,3.9999999998486e-05
14,280.0,12.45203,0.65541,13.1074,0.65539
15,300.0,12.45204,0.6554,12.45203,0.6554
16,320.0,12.45203,0.65539,12.45202,3.0000000002417e-05
17,340.0,12.45203,3.9999999998486e-05,12.45202,3.0000000002417e-05
18,360.0,11.79667,3.0000000002417e-05,11.79666,3.0000000002417e-05
19,380.0,11.1413,1.9999999999243e-05,11.14129,1.0000000003174e-05
20,400.0,11.14128,0.0,11.14126,0.65535
21,420.0,11.14125,0.65535,11.14124,0.65535
22,440.0,11.14123,1.31071,11.14122,1.31071
23,460.0,11.14122,1.31071,11.14121,1.31072
24,480.0,11.1412,1.31073,11.79656,0.65537
25,500.0,11.79657,1.31073,11.14121,1.31074
26,520.0,11.14122,1.31074,11.14122,1.31074
27,540.0,11.14124,1.31074,17.03954,3.27682
28,560.0,19.00569,2.62148,19.00569,2.62146
29,580.0,19.00824,2.62147,19.66104,2.62147
30,600.0,19.66104,2.62147,19.66104,1.96611
31,620.0,19.66104,2.62148,20.31639,2.62147
32,640.0,20.3164,2.62148,20.97176,2.62148
33,660.0,20.97177,2.62148,20.97177,1.96612
34,680.0,20.97178,1.96613,20.97178,1.96612
35,700.0,20.97179,1.96613,20.97179,1.96613
36,720.0,21.62715,1.96614,22.28251,1.96613
37,740.0,22.28252,1.96613,22.28252,1.31077
38,760.0,22.28253,1.96614,22.28253,1.31078
39,780.0,22.9379,1.96614,22.9379,1.31078
40,800.0,23.59327,1.96614,23.59327,0.65542
41,820.0,23.59327,1.31078,23.59327,0.65542
42,840.0,23.59328,0.65542,23.59328,0.65542
43,860.0,19.00572,0.00010000000000332,14.41813,0.65545
44,880.0,13.76278,0.65544,14.41814,0.65543
45,900.0,14.41813,1.31079,14.41813,0.65542
46,920.0,14.41814,0.65542,14.41813,0.65541
47,940.0,14.41814,0.65541,15.07349,5.000000000166e-05
48,960.0,15.07349,0.65541,15.07348,3.9999999998486e-05
49,980.0,15.07349,3.0000000002417e-05,15.07348,3.0000000002417e-05
50,1000.0,14.41813,3.0000000002417e-05,14.41812,-0.65534
51,1020.0,14.41812,-0.65534,14.41812,-0.65534
52,1040.0,13.76276,-0.65534,13.76276,-1.3107
53,1060.0,13.76277,-1.3107,13.1074,-1.3107
54,1080.0,4.58765,-1.96594,-11.79654,-3.27665
55,1100.0,-20.31631,-1.96594,-19.66097,-1.96595
56,1120.0,-19.0056,-1.96597,-19.66099,-1.96598
57,1140.0,-20.31636,-1.96599,-19.66101,-1.96601
58,1160.0,-20.31638,-2.62137,-20.31639,-2.62138
59,1180.0,-20.97176,-2.62138,-20.97177,-3.27675
60,1200.0,-20.97177,-3.27675,-20.97178,-3.27676
61,1220.0,-20.97178,-3.93212,-20.97178,-3.27677
62,1240.0,-20.97178,-3.93213,-20.97178,-3.93213
63,1260.0,-20.97178,-3.93213,-21.62714,-4.58749
64,1280.0,-25.55937,-2.62138,-25.55939,-1.31067
65,1300.0,-25.55938,-1.96604,-25.55939,-1.96604
66,1320.0,-25.55939,-1.96604,-25.55939,-2.62141
67,1340.0,-25.55939,-2.6214,-25.5594,-2.62141
68,1360.0,-26.21475,-2.6214,-25.55939,-3.27676
69,1380.0,-25.55939,-3.27676,-25.5594,-3.27676
70,1400.0,-25.55939,-3.27676,-24.90404,-3.27676
71,1420.0,-24.90404,-3.27676,-24.90404,-3.93212
72,1440.0,-24.90403,-3.27676,-24.90404,-4.58747
73,1460.0,-28.18088,-3.27673,-28.18089,-3.27674
74,1480.0,-28.18088,-3.27674,-27.52553,-3.27674
75,1500.0,-28.18089,-3.27674,-27.52553,-3.9321
76,1520.0,-27.52552,-3.9321,-26.87017,-3.93211
77,1540.0,-27.52553,-3.9321,-27.52553,-3.9321
78,1560.0,-27.52552,-4.58745,-27.52553,-4.58746
79,1580.0,-26.87017,-4.58746,-26.87017,-4.58746
80,1600.0,-27.52553,-4.58746,-26.87017,-5.24282
81,1620.0,-27.52553,-4.58746,-26.87017,-5.24282
82,1640.0,-26.87017,-5.24282,-26.87018,-5.24282
83,1660.0,-26.87017,-5.24282,-26.21481,-5.89819
84,1680.0,-26.21481,-5.24283,-26.21482,-5.89819
85,1700.0,-26.21482,-5.24283,-25.55947,-5.24284
86,1720.0,-26.21483,-5.24284,-26.21483,-5.24284
87,1740.0,-26.21483,-5.24284,-25.55948,-5.24284
88,1760.0,-26.21483,-5.8982,-27.52556,-5.89819
89,1780.0,-30.80242,-4.58746,-30.14705,-4.58748
90,1800.0,-30.14704,-4.58748,-30.14705,-4.58748
91,1820.0,-30.14705,-4.58748,-30.14705,-4.58749
92,1840.0,-30.14705,-4.58749,-30.14705,-4.58749
93,1860.0,-30.80242,-4.58749,-30.80243,-4.5875
94,1880.0,-31.45778,-4.5875,-30.80243,-5.24287
95,1900.0,-30.80242,-4.58751,-30.80242,-5.24288
96,1920.0,-31.45778,-5.24288,-31.45778,-5.89824
97,1940.0,-32.11314,-5.24289,-26.21485,-3.27682
98,1960.0,-15.07355,-1.9661,-15.07351,-3.93219
99,1980.0,-17.03963,-2.62149,-17.69501,-2.62148
100,2000.0,-17.69501,-2.6215,-18.35038,-2.6215
101,2020.0,-19.00574,-2.6215,-18.3504,-3.27687
102,2040.0,-19.00576,-3.27687,-19.00577,-3.27687
103,2060.0,-19.00576,-3.93223,-19.00576,-3.27688
104,2080.0,-19.00576,-3.27688,-19.00577,-3.93224
105,2100.0,-19.00578,-3.27689,-19.00579,-3.27689
106,2120.0,-19.00578,-3.27688,-19.00579,-3.93225
107,2140.0,-19.66115,-3.27689,-19.66115,-3.93225
108,2160.0,-19.66115,-3.27689,-20.31652,-3.93225
109,2180.0,-20.31652,-3.27688,-20.31653,-3.93225
110,2200.0,-20.31653,-3.93225,-20.97189,-3.27689
111,2220.0,-15.0736,-1.96617,-12.45209,-3.27689
112,2240.0,-14.41819,-3.27691,-15.07357,-3.2769
113,2260.0,-15.07356,-2.62154,-15.07358,-3.27691
114,2280.0,-15.72894,-3.2769,-15.72894,-3.27691
115,2300.0,-15.72893,-3.27691,-15.72893,-3.27691
116,2320.0,-15.72893,-3.27691,-15.72893,-3.27691
117,2340.0,-16.38429,-3.27595,-15.72893,-3.93227
118,2360.0,-15.72892,-3.93226,-15.72893,-3.93227
119,2380.0,-15.72892,-4.58763,-15.72893,-4.58763
120,2400.0,-57.67196,-5.24299,-15.07357,-5.243
121,2420.0,-13.10747,-4.58765,-3.27695,-3.27694
122,2440.0,-0.65544999999999,-4.58767,-1.31082,-3.93233
123,2460.0,-1.96619,-3.93231,-1.9662,-4.58767
124,2480.0,-1.9662,-4.58768,-1.96621,-4.58767
125,2500.0,-3.27693,-4.58767,-2.62158,-4.58767
126,2520.0,-3.27693,-5.24303,-3.27693,-5.24303
127,2540.0,-3.27693,-5.89838,-3.9323,-5.89839
128,2560.0,-3.93229,-5.89839,-3.9323,-5.89839
129,2580.0,-3.93229,-5.89839,-3.9323,-6.55375
130,2600.0,-3.9323,-6.55375,-3.27695,-6.55375
131,2620.0,-3.9323,-6.55375,-3.93231,-6.55375
132,2640.0,-3.93231,-6.55375,-3.27695,-6.55375
133,2660.0,-3.27694,-6.55374,-2.62159,-6.55375
134,2680.0,-2.62159,-7.2091,-1.96623,-7.20911
135,2700.0,-1.96622,-7.2091,-1.96622,-7.2091
136,2720.0,-1.31085,-7.2091,-1.31086,-7.86446
137,2740.0,-1.31086,-7.86445,-1.31086,-7.86446
138,2760.0,-1.31086,-8.51981,-1.31087,-8.51982
139,2780.0,-0.65551,-7.86444,-0.65551,-8.51981
140,2800.0,-0.0001399999999947,-8.5198,-0.00014999999999787,-8.5198
141,2820.0,-0.00014999999999787,-8.5198,0.65521,-8.5198
142,2840.0,1.31057,-8.5198,1.96592,-9.17516
143,2860.0,2.62129,-8.5198,3.27664,-8.5198
144,2880.0,3.932,-8.51979,4.58734,-7.86444
145,2900.0,4.58735,-7.86444,5.2427,-7.20908
146,2920.0,4.58734,-7.20908,5.24269,-7.20909
147,2940.0,12.45174,-3.27693,16.38396,-3.9323
148,2960.0,15.07325,-3.93231,14.41786,-3.27694
149,2980.0,14.41787,-3.27694,14.41786,-3.27694
150,3000.0,13.7625,-3.93229,13.76249,-3.27694
151,3020.0,13.10714,-3.27693,13.10713,-3.27694
152,3040.0,12.45178,-3.27692,12.45177,-3.27693
153,3060.0,11.79641,-3.27692,11.79641,-3.27692
154,3080.0,11.79641,-2.62155,11.79641,-3.27692
155,3100.0,11.14106,-3.27691,11.14106,-3.27691
156,3120.0,10.4857,-3.27691,10.4857,-3.27691
157,3140.0,10.4857,-3.27691,11.14106,-3.93227
158,3160.0,11.14106,-3.93227,10.4857,-3.93228
159,3180.0,11.14106,-3.27691,11.14105,-3.93228
160,3200.0,11.14105,-3.93228,11.14104,-3.93228
161,3220.0,10.48569,-3.27692,11.14105,-3.93228
162,3240.0,10.48569,-3.27692,10.48569,-3.93228
163,3260.0,10.4857,-3.93228,10.4857,-3.93228
164,3280.0,10.4857,-4.58764,10.4857,-4.58764
165,3300.0,9.83034,-4.58764,9.83032,-4.58765
166,3320.0,9.83033,-3.93228,9.83032,-4.58765
167,3340.0,9.17495,-4.58765,9.17494,-4.58765
168,3360.0,8.51959,-4.58765,9.17494,-4.58765
169,3380.0,8.51958,-4.58765,8.51958,-4.58766
170,3400.0,8.51958,-4.58765,8.51957,-4.58765
171,3420.0,8.51958,-4.58765,8.51957,-4.58765
172,3440.0,8.51958,-4.58765,8.51957,-4.58765
173,3460.0,8.51958,-5.24301,8.51958,-4.58765
174,3480.0,8.51958,-4.58765,8.51957,-4.58765
175,3500.0,8.51957,-5.24301,8.51957,-4.58765
176,3520.0,9.17494,-3.93229,13.76252,-3.27693
177,3540.0,13.10717,-3.27693,12.45178,-3.27694
178,3560.0,11.14106,-1.96621,11.79642,-2.62159
179,3580.0,10.4857,-1.96622,10.4857,-1.96622
180,3600.0,9.83035,-1.96623,9.17498,-1.96623
181,3620.0,8.51963,-1.96623,7.86426,-1.96623
182,3640.0,7.20891,-1.96622,6.55355,-1.96623
183,3660.0,5.8982,-1.31087,5.24282,-1.96623
184,3680.0,4.58747,-1.31086,3.9321,-1.31087
185,3700.0,3.27675,-1.31086,3.27675,-1.96622
186,3720.0,2.6214,-1.31085,1.96603,-1.31085
187,3740.0,1.31069,-0.65549,1.31069,-1.31085
188,3760.0,0.65534,-1.31084,0.65534,-1.31084
189,3780.0,0.65535000000001,-0.65547,0.65535000000001,-0.65547
190,3800.0,0.0,-0.65547,-0.65537,-0.65546
191,3820.0,-0.65535999999999,-0.65546,-0.65538,-0.65546
192,3840.0,-1.31073,-0.65546,-5.24295,-0.65542
193,3860.0,-5.89831,-7.9999999996971e-05,-5.24295,-7.9999999996971e-05
194,3880.0,-5.24295,-7.9999999996971e-05,-5.24296,-7.9999999996971e-05
195,3900.0,-5.89832,-7.9999999996971e-05,-5.24298,-7.9999999996971e-05
196,3920.0,-5.89834,-0.65544,-5.89834,-0.65544
197,3940.0,-5.89834,-0.65544,-6.55372,-0.65544
198,3960.0,-7.20908,-7.9999999996971e-05,-6.55373,-7.0000000000903e-05
199,3980.0,-7.20909,-0.65543,-7.86446,-0.65543
200,4000.0,-8.51982,-7.0000000000903e-05,-8.51982,-0.65543
201,4020.0,-9.17519,-0.65543,-9.17519,-0.65544
202,4040.0,-9.83055,-0.65544,-9.83056,-1.96617
203,4060.0,-9.83056,-1.96619,-10.48595,-1.96622
204,4080.0,-10.48596,-2.62161,-10.48599,-2.62164
205,4100.0,-10.486,-2.62167,-10.48603,-3.27704
206,4120.0,-10.48605,-3.27705,-10.48607,-3.93242
207,4140.0,-11.14144,-4.58778,-11.14146,-5.8985
208,4160.0,-11.79684,-6.55386,-11.79687,-7.20921
209,4180.0,-12.45224,-7.86456,-13.10762,-8.51992
210,4200.0,-13.763,-8.51991,-13.76301,-8.51991
211,4220.0,-14.41837,-8.5199,-14.41839,-8.5199
212,4240.0,-14.41838,-7.86453,-13.76304,-7.20917
213,4260.0,-13.76303,-6.55381,-13.76303,-5.89844
214,4280.0,-13.10766,-4.58771,-12.45229,-4.58772
215,4300.0,-12.45227,-3.93235,-13.10763,-3.27699
216,4320.0,-13.76301,-1.3109,-11.7969,-0.65554
217,4340.0,-11.14152,-0.00018000000000029,-10.48616,-0.65554
218,4360.0,-10.48614,-0.00018000000000029,-9.83077,-0.65554
219,4380.0,-10.48612,-0.65553,-9.83075,-0.65553
