,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-1.0000000003174e-05,0.0,0.0
2,40.0,0.0,0.65535999999999,0.0,9.9999999960687e-06
3,60.0,-0.65536,0.65535999999999,-0.65536,9.9999999960687e-06
4,80.0,-0.65536,0.65535999999999,-0.65536,0.0
5,100.0,-0.65536,0.65535,-0.65536,0.65535999999999
6,120.0,-0.65536,0.65535999999999,-1.31072,0.65535999999999
7,140.0,-1.31072,1.31072,-1.31072,1.31073
8,160.0,-1.31072,1.31072,-1.31071,0.65535999999999
9,180.0,-1.31071,0.65535999999999,-1.31072,1.31073
10,200.0,-1.31072,1.31072,-1.31072,0.65537
11,220.0,-1.31072,1.96608,-1.31072,1.31072
12,240.0,-0.65536,1.96608,-1.31072,1.31073
13,260.0,-1.31072,1.31072,-1.31073,1.31073
14,280.0,-0.65537,1.96608,-1.31072,1.31073
15,300.0,-0.65536,1.96609,-0.65536,1.96609
16,320.0,-1.31072,1.96608,-1.31072,1.96609
17,340.0,-0.65536,2.62144,-0.65536,1.96609
18,360.0,-0.65535,2.62145,-1.31072,1.96609
19,380.0,-0.65536,2.62145,-1.31072,3.27682
20,400.0,-0.65535,2.62145,-0.65535,3.27682
21,420.0,-1.31071,3.27681,-1.31071,3.27682
22,440.0,-1.31072,3.93217,-1.96607,3.27683
23,460.0,-1.96607,3.27682,-2.62143,3.93219
24,480.0,-2.62143,3.93218,-1.96606,3.93218
25,500.0,-1.96607,4.58754,-2.62142,4.58754
26,520.0,-2.62142,4.58754,-2.62142,4.58755
27,540.0,-2.62143,4.58754,-2.62142,4.58755
28,560.0,-2.62142,5.24291,-2.62142,4.58756
29,580.0,-2.62142,5.89827,-3.27678,4.58756
30,600.0,-2.62142,5.24291,-3.27678,4.58756
31,620.0,-3.27679,5.24291,-3.9296,4.58756
32,640.0,-3.27679,5.24292,-3.93215,5.24292
33,660.0,-3.93215,5.24292,-4.58751,3.93221
34,680.0,-4.58753,1.31078,-5.24293,-4.58741
35,700.0,-3.93227,-9.83022,-4.58772,-15.07296
36,720.0,-11.14132,-20.31566,-24.90396,-22.93694
37,740.0,-37.35585,-24.24766,-43.25403,-23.5923
38,760.0,-47.18609,-22.93694,-48.49669,-21.62622
39,780.0,-51.11811,-20.3155,-49.15205,-18.34942
40,800.0,-40.63241,-15.07262,-30.80204,-12.45126
41,820.0,-22.93777,-9.17458,-17.6949,-6.55322
42,840.0,-13.76275,-4.58722,-11.79668,-3.9319
43,860.0,-9.83062,-1.96587,-9.17524,-1.31053
44,880.0,-8.51988,0.65551,-8.51987,0.6555
45,900.0,-8.51986,1.9662,-8.51985,2.62156
46,920.0,-8.51985,3.93226,-8.51984,3.93226
47,940.0,-9.1752,4.58761,-9.17519,5.24296
48,960.0,-9.83055,5.24295,-9.83055,5.89831
49,980.0,-10.48591,6.55366,-10.48591,6.55367
50,1000.0,-10.48591,6.55365,-11.14126,7.20902
51,1020.0,-11.14127,7.20901,-11.14127,7.20901
52,1040.0,-9.83053,7.86436,-3.27681,7.86437
53,1060.0,8.0000000004077e-05,8.51971,-1.31066,8.51972
54,1080.0,-1.31067,9.17507,-1.31067,9.17507
55,1100.0,-1.31067,9.83042,-1.31067,9.83044
56,1120.0,-1.31067,9.83043,-1.31067,9.83044
57,1140.0,-1.31067,9.83043,-1.31067,9.17508
58,1160.0,-0.65531,9.17507,-0.65531,9.17508
59,1180.0,-0.65531,9.17507,-1.31067,9.17509
60,1200.0,-0.65531,9.17508,-0.65531,8.51973
61,1220.0,-0.65531,43.90916,-0.65531,8.51973
62,1240.0,-0.65531,9.17509,-0.6553,8.51974
