,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,-0.65537,1.0000000003174e-05,-0.65537
2,40.0,0.65537,-0.65537,0.65537,-0.65536
3,60.0,0.65538,-0.65537,0.65538,-0.65536
4,80.0,1.0000000003174e-05,-0.65536,1.9999999999243e-05,0.0
5,100.0,1.9999999999243e-05,-0.65536,-0.65533,1.0000000003174e-05
6,120.0,-0.65533,0.0,-0.65533,1.0000000003174e-05
7,140.0,-0.65532,-0.65535,-0.65533,1.0000000003174e-05
8,160.0,-0.65533,-0.65536,3.9999999998486e-05,-0.65535
9,180.0,3.0000000002417e-05,-0.65536,3.9999999998486e-05,-0.65536
10,200.0,0.6554,-1.31072,1.31075,-0.65536
11,220.0,1.31075,-1.31073,1.31075,-1.31073
12,240.0,1.31075,-1.96609,1.31074,-1.9661
13,260.0,1.96611,-2.62145,1.9661,-1.96609
14,280.0,1.31073,-1.96609,1.31074,-1.31073
15,300.0,1.31073,-1.9661,0.65538,-1.31074
16,320.0,1.31074,-1.96611,0.65539,-1.96611
17,340.0,0.65539,-2.62147,0.65538,-2.62147
18,360.0,0.65537,-2.62147,1.9999999999243e-05,-1.31075
19,380.0,0.65537,-1.31075,1.0000000003174e-05,-1.31074
20,400.0,0.65536,-1.96611,0.65536,-1.96611
21,420.0,1.31071,-1.96611,0.65535,-1.31075
22,440.0,1.3107,-1.31075,0.65535,-0.65538
23,460.0,0.65535,-0.65538,0.65535,-9.9999999960687e-06
24,480.0,0.65535,0.65535,0.65535,0.65535
25,500.0,0.65535,1.31072,0.65535,1.96609
26,520.0,0.65535,1.96609,-1.0000000003174e-05,2.62145
27,540.0,-1.0000000003174e-05,3.27682,-0.65536,3.27682
28,560.0,-0.65537,3.27683,-0.65537,4.58755
29,580.0,-1.31073,3.9322,-1.31074,4.58755
30,600.0,-0.65538,4.58755,-1.31073,5.24291
31,620.0,-1.31074,5.24292,-0.65539,5.89828
32,640.0,-0.65539,5.24291,-3.0000000002417e-05,5.89828
33,660.0,-3.0000000002417e-05,5.89828,-3.9999999998486e-05,5.89828
34,680.0,-3.0000000002417e-05,6.55364,-3.0000000002417e-05,7.20901
35,700.0,-3.0000000002417e-05,7.20901,-3.0000000002417e-05,7.20902
36,720.0,-3.0000000002417e-05,7.20901,-3.0000000002417e-05,7.20902
37,740.0,-3.0000000002417e-05,7.20901,-1.0000000003174e-05,7.86438
38,760.0,-1.0000000003174e-05,7.86438,-0.65537,8.51975
39,780.0,-0.65537,7.86439,-0.65537,8.51975
40,800.0,-0.65537,7.86439,-0.65537,8.51976
41,820.0,-0.65537,8.51975,-1.31073,8.51975
42,840.0,-0.65537,8.51975,-1.31073,8.51976
43,860.0,-0.65539,7.86439,-3.0000000002417e-05,7.86439
44,880.0,0.65533,6.55365,0.65531,6.55365
45,900.0,0.65532,6.55363,0.65531,7.209
46,920.0,0.65531,7.20901,-5.000000000166e-05,7.86437
47,940.0,-0.65542,7.86438,-0.65542,8.51974
48,960.0,-1.31078,8.51974,-1.31078,9.1751
49,980.0,-1.31077,8.51974,-1.96613,9.1751
50,1000.0,-1.96613,9.1751,-1.96613,9.1751
51,1020.0,-1.96613,9.1751,-1.96612,9.83046
52,1040.0,-1.31077,9.83046,-1.31076,10.48582
53,1060.0,-1.31076,10.48582,-1.31076,10.48582
54,1080.0,-1.31076,9.83046,-1.31076,10.48581
55,1100.0,-0.6554,9.83045,-3.0000000002417e-05,9.83046
56,1120.0,-3.0000000002417e-05,8.51972,-3.9999999998486e-05,8.51972
57,1140.0,0.65532,7.86435,0.65531,7.86435
58,1160.0,0.65531,7.86435,0.65531,8.51971
59,1180.0,0.6553,7.20898,0.65529,7.20898
60,1200.0,3.93211,7.20897,17.03945,8.51969
61,1220.0,23.59313,9.17506,22.93775,9.83042
62,1240.0,22.28238,9.83042,22.28238,10.48578
63,1260.0,23.5931,9.17506,23.5931,9.83041
64,1280.0,23.5931,8.51968,24.24846,8.51969
65,1300.0,24.24846,8.51968,24.90382,9.17503
66,1320.0,24.90382,7.86431,24.90382,8.51967
67,1340.0,24.90382,8.51966,24.24846,8.51967
68,1360.0,24.24846,8.51967,23.5931,8.51967
69,1380.0,22.93774,8.51966,22.28238,8.51967
70,1400.0,21.62702,8.51967,21.62702,8.51967
71,1420.0,25.55922,8.51965,28.83608,9.17502
72,1440.0,28.18072,9.83038,26.86999,10.48575
73,1460.0,26.21462,9.83039,26.21462,9.17502
74,1480.0,26.21462,8.51966,26.21462,8.51965
75,1500.0,26.21461,7.86428,26.86997,7.86427
76,1520.0,26.86997,7.20891,26.86997,7.86427
77,1540.0,26.86997,7.2089,26.86997,7.86427
78,1560.0,26.86996,7.86426,26.2146,7.86426
79,1580.0,26.86996,8.51962,25.55924,8.51963
80,1600.0,26.2146,7.86426,25.55924,7.86426
81,1620.0,24.90388,7.86425,27.52533,8.51961
82,1640.0,36.04515,10.48569,41.94352,11.14106
83,1660.0,41.9435,11.14105,40.63275,11.14105
84,1680.0,40.63274,11.14105,41.28811,11.14105
85,1700.0,41.94346,9.83032,41.94345,9.83032
86,1720.0,41.94346,9.83031,41.94345,9.83031
87,1740.0,42.59881,9.17495,42.59882,9.17495
88,1760.0,42.59881,8.51959,42.5988,9.17496
89,1780.0,42.5988,9.83032,42.5988,9.83032
90,1800.0,42.5988,9.17496,42.5988,9.83032
91,1820.0,42.5988,9.17497,42.5988,9.17497
92,1840.0,42.59879,9.83033,41.94343,9.17497
93,1860.0,42.59879,9.17497,41.94342,9.17497
94,1880.0,42.59878,8.51961,42.59878,8.51961
95,1900.0,42.59878,8.51961,41.94342,8.51962
96,1920.0,42.59878,8.51961,41.94342,8.51962
97,1940.0,41.94343,8.51961,42.59879,8.51962
98,1960.0,42.59879,7.20889,41.94344,7.86425
99,1980.0,42.5988,7.20889,41.94344,6.55352
100,2000.0,41.94344,5.24279,41.94344,3.93206
101,2020.0,41.94344,2.62133,41.94346,-0.00011999999999546
102,2040.0,41.94346,-3.27696,41.28812,-8.51987
103,2060.0,41.28815,-16.38427,41.28818,-26.21473
104,2080.0,41.28821,-34.0791,41.94363,-45.22027
