,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.65535,1.0000000003174e-05,0.65536
2,40.0,0.0,0.65535999999999,1.0000000003174e-05,0.0
3,60.0,0.0,0.65535999999999,1.0000000003174e-05,0.0
4,80.0,0.0,0.65535,1.0000000003174e-05,0.0
5,100.0,0.0,0.65535,-0.65535,-9.9999999960687e-06
6,120.0,-0.65536,-1.0000000003174e-05,1.0000000003174e-05,-0.65537
7,140.0,-0.65536,-1.9999999999243e-05,-0.65535,-9.9999999960687e-06
8,160.0,-0.65536,-1.9999999999243e-05,-0.65535999999999,-1.9999999999243e-05
9,180.0,-0.65536,-1.9999999999243e-05,-0.65535999999999,-1.9999999999243e-05
10,200.0,-0.65537,0.65534,-0.65535999999999,0.65535000000001
11,220.0,-0.65538,-1.9999999999243e-05,-0.65537,-1.9999999999243e-05
12,240.0,-1.9999999999243e-05,-3.0000000002417e-05,-9.9999999960687e-06,-1.9999999999243e-05
13,260.0,-0.65538,-3.0000000002417e-05,-0.65537,-0.65539
14,280.0,-1.9999999999243e-05,-0.65539,-0.65537,-0.65537999999999
15,300.0,-1.9999999999243e-05,-3.0000000002417e-05,-9.9999999960687e-06,-0.65539
16,320.0,-0.65538,-0.65539,-0.65537,-0.65539
17,340.0,-0.65538,-3.0000000002417e-05,-1.9999999999243e-05,-0.65539
18,360.0,-0.65538,-0.65539,-1.31073,-2.62147
19,380.0,-0.65538,-0.65539,-0.65537,-0.65539
20,400.0,-0.65538,-0.65539,-0.65537,-0.65539
21,420.0,-0.65538,-3.0000000002417e-05,-0.65537,-0.65537999999999
22,440.0,-0.65538,-1.9999999999243e-05,-0.65537,-0.65537
23,460.0,-0.65538,-1.9999999999243e-05,-0.65537,-9.9999999960687e-06
24,480.0,-0.65538,-1.0000000003174e-05,-0.65535999999999,-0.65537
25,500.0,-0.65537,-1.9999999999243e-05,-1.31072,-0.65537
26,520.0,-0.65537,-0.65537,-0.65535999999999,-0.65537
27,540.0,-0.65537,-0.65537,-0.65535999999999,-0.65535999999999
28,560.0,-0.65537,-0.65537,-1.31072,-0.65537
29,580.0,-1.31073,-1.0000000003174e-05,-1.31072,-0.65537
30,600.0,-1.31073,-0.65537,-1.31072,-0.65537
31,620.0,0.6554,9.9999999960687e-06,1.31079,0.65538
32,640.0,1.31078,1.31074,0.65542000000001,1.31075
33,660.0,1.31077,1.96611,0.65542000000001,1.96611
34,680.0,1.31077,2.62146,1.31078,1.31074
35,700.0,0.65541,1.9661,1.31078,1.9661
36,720.0,0.65541,2.62145,0.65542000000001,1.96609
37,740.0,0.65541,2.62145,0.65542000000001,1.96609
38,760.0,0.65541,2.62145,0.65542000000001,2.62145
39,780.0,0.65541,2.62145,0.65542000000001,2.62145
40,800.0,0.65541,2.62145,5.000000000166e-05,1.96609
41,820.0,5.000000000166e-05,2.62144,5.000000000166e-05,1.96608
42,840.0,-0.65531,2.62144,-0.65531,1.96607
43,860.0,-0.65532,2.62143,-0.65531,1.96607
44,880.0,-0.65532,2.62142,-0.65531,1.96606
45,900.0,-0.65532,2.62141,-0.65531,1.96606
46,920.0,-1.31067,2.62141,-0.65531,1.31068
47,940.0,-1.31067,1.31067,-1.31066,1.31067
48,960.0,-1.31067,1.31067,-1.96602,1.31067
49,980.0,-1.96603,1.31066,-1.96602,0.6553
50,1000.0,-1.96603,0.65529,-1.96602,0.65529
51,1020.0,-2.6214,0.65527,-4.58753,-1.31082
52,1040.0,-5.89828,-1.31082,-5.24291,-0.65546
53,1060.0,-4.58754,-0.65545,-5.2429,-1.31082
