,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65535,1.0000000003174e-05,1.0000000003174e-05,0.0
2,40.0,-0.65534,1.0000000003174e-05,2.0000000006348e-05,0.0
3,60.0,-0.65534,-0.65537,-0.65534,-1.9999999999243e-05
4,80.0,-0.65534,-9.9999999960687e-06,2.0000000006348e-05,-0.65538
5,100.0,-1.3107,-0.65535999999999,-0.65534,-0.65536
6,120.0,-0.65534,-0.65535999999999,-0.65535,-0.65536
7,140.0,-0.65535,-0.65534,1.0000000003174e-05,-0.65535
8,160.0,-0.65535,-0.65534,1.0000000003174e-05,-0.65535
9,180.0,1.0000000003174e-05,1.9999999999243e-05,0.65536,9.9999999960687e-06
10,200.0,1.0000000003174e-05,0.65538,1.31073,1.31074
11,220.0,1.0000000003174e-05,1.9661,0.65537,2.62146
12,240.0,0.0,1.9661,0.65537,2.62146
13,260.0,-0.65536,2.62148,0.65537,3.27682
14,280.0,1.9999999999243e-05,2.62147,0.65538,3.27683
15,300.0,1.9999999999243e-05,3.27683,0.65538,3.27684
16,320.0,1.9999999999243e-05,2.62148,0.65538,3.27683
17,340.0,1.9999999999243e-05,3.27684,0.65538,3.27683
18,360.0,3.0000000002417e-05,3.27683,2.0000000006348e-05,3.93219
19,380.0,-1.3107,3.9322,-2.62146,5.24291
20,400.0,-3.27682,4.58756,-2.62144,4.58755
21,420.0,-3.27682,3.9322,-2.62145,4.58753
22,440.0,-3.27681,5.24288,-2.62145,6.55357
23,460.0,-3.93217,7.8643,-3.27681,9.83035
24,480.0,-3.2768,11.14107,-2.62144,12.45177
25,500.0,-3.27682,13.76251,-2.62145,15.07322
26,520.0,-3.27681,16.38395,-1.9661,18.35002
27,540.0,-2.62145,18.35001,-1.31073,19.66072
28,560.0,-1.96609,20.31607,-1.31073,22.28213
29,580.0,-1.96609,22.93749,-1.31073,24.24818
30,600.0,5.8983,28.83571,20.97178,32.76792
31,620.0,24.24868,32.11258,24.90401,31.45722
32,640.0,23.59328,31.45724,23.59329,30.14653
33,660.0,22.93793,29.49118,22.28257,30.14654
34,680.0,21.6272,30.14655,22.28256,31.45726
35,700.0,22.28257,33.42334,22.93792,34.73406
36,720.0,22.28256,35.38944,23.59328,35.38944
