,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-1.0000000003174e-05,0.65535,-1.31074
2,40.0,-2.0000000006348e-05,-1.96613,0.65534,-2.62149
3,60.0,-2.0000000006348e-05,-2.6215,1.3107,-5.24296
4,80.0,1.3107,-7.20907,1.31069,-9.17517
5,100.0,1.31069,-9.83054,1.96606,-10.48589
6,120.0,0.65534,-10.48589,1.96606,-10.48588
7,140.0,0.65534,-10.48587,1.96606,-10.48587
8,160.0,1.3107,-9.8305,1.96606,-9.83051
9,180.0,1.96606,-9.17515,2.62142,-9.17516
10,200.0,1.96606,-8.51979,3.27678,-8.5198
11,220.0,2.62142,-7.86444,3.27678,-7.86445
12,240.0,2.62142,-8.51982,2.62141,-10.48594
13,260.0,2.6214,-11.14132,3.27676,-11.79668
14,280.0,2.6214,-11.79668,2.6214,-11.79668
15,300.0,1.96604,-12.45204,2.62139,-13.76277
16,320.0,1.96603,-14.41815,2.62138,-15.07353
17,340.0,1.96602,-14.41816,1.96603,-13.76279
18,360.0,1.96603,-13.76278,1.96603,-13.10742
19,380.0,1.31066,-13.76278,1.96602,-14.41816
20,400.0,1.31065,-17.03963,0.65527,-29.49158
21,420.0,-7.8643,-65.53672,-19.00512,-137.62709
22,440.0,-28.83492,-237.89824,-20.96966,-281.80824
23,460.0,-24.24548,-281.80834,-39.97454,-281.80784
24,480.0,-42.59653,-281.80733,-41.28588,-281.80754
25,500.0,-13.76021,-281.80795,3.27939,-281.80807
26,520.0,3.93446,-281.80796,4.58917,-271.32192
27,540.0,3.27766,-242.48578,0.6558,-212.99428
28,560.0,-4.58735,-186.12424,-6.55357,-161.2203
29,580.0,-9.1751,-138.28244,-8.51978,-118.62142
30,600.0,-7.86446,-102.23723,-6.55377,-87.81916
31,620.0,-5.89841,-75.36718,-4.5877,-66.19201
32,640.0,-4.5877,-57.67223,-3.27697,-52.42928
33,660.0,-3.27697,-46.53099,-2.6216,-42.59879
34,680.0,-2.6216,-38.6666,-1.96623,-34.7344
35,700.0,-1.96622,-32.11293,-1.31086,-30.14683
36,720.0,-1.31086,-28.18074,-0.00014999999999787,-28.83612
37,740.0,-0.65551,-28.83613,-0.00016000000000105,-29.49151
38,760.0,-0.00016000000000105,-29.49151,0.65519,-28.83615
39,780.0,-0.00017000000000422,-27.52542,1.31054,-26.87007
40,800.0,0.65517999999999,-24.90397,0.65516,-22.93788
41,820.0,-0.00019999999999953,-20.97179,0.65516,-19.0057
42,840.0,-0.00021000000000271,-17.69497,0.65514,-17.0396
43,860.0,-0.00023000000000195,-15.72888,-0.00023000000000195,-15.72888
44,880.0,-0.65559,-15.72888,-0.00023000000000195,-15.72888
45,900.0,-0.65559,-15.07352,-0.00023000000000195,-15.0735
46,920.0,-0.65558,-14.41813,-0.00021000000000271,-14.41812
47,940.0,-0.00019999999999953,-13.76276,1.31053,-13.76274
48,960.0,-0.00017000000000422,-12.452,1.31056,-11.79662
49,980.0,1.31057,-10.48588,2.6213,-9.8305
50,1000.0,1.96596,-9.17513,2.62133,-8.51976
51,1020.0,2.62133,-7.20903,3.2767,-7.20903
52,1040.0,2.62134,-5.89831,3.2767,-5.89831
53,1060.0,1.96597,-5.89832,2.62133,-5.24297
54,1080.0,1.3106,-3.93224,2.62132,-4.5876
55,1100.0,1.3106,-3.93225,1.96596,-3.93225
56,1120.0,1.31061,-3.93225,1.96597,-5.24298
57,1140.0,9.83038,-3.93227,23.5932,-3.93227
58,1160.0,25.55937,-2.62155,24.24863,-1.31082
59,1180.0,23.59327,1.31065,24.24864,1.96601
60,1200.0,23.59329,2.62139,24.24865,3.27675
61,1220.0,23.59328,3.93211,24.24865,3.93212
62,1240.0,23.59329,3.93212,23.59329,3.93212
63,1260.0,22.93792,3.93212,23.59328,3.93212
64,1280.0,22.93793,3.93212,23.59328,3.93212
65,1300.0,22.28256,4.58748,22.93792,4.58747
66,1320.0,22.28256,4.58747,23.59327,3.93209
