,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-0.65536,-1.0000000003174e-05,0.0
2,40.0,-0.65538,-0.65537,-0.65536,0.0
3,60.0,-0.65537,-1.0000000003174e-05,2.62148,1.31073
4,80.0,13.1074,2.62147,19.00574,3.27685
5,100.0,19.00572,3.93222,18.35036,5.24295
6,120.0,18.35034,4.58758,19.00571,4.58758
7,140.0,19.0057,3.27685,19.0057,3.93221
8,160.0,19.00569,2.62148,19.00569,3.27684
9,180.0,19.00569,2.62148,19.66105,2.62147
10,200.0,19.00569,2.62147,19.0057,3.27684
11,220.0,19.00569,2.62147,19.0057,3.27684
12,240.0,19.00569,2.62147,19.0057,3.27683
13,260.0,18.35032,2.62212,18.35034,3.27684
14,280.0,18.35033,2.62148,18.35034,3.9322
15,300.0,17.69497,2.62148,17.69498,3.27684
16,320.0,17.69497,3.27683,17.69499,3.9322
17,340.0,17.03962,2.62147,17.03962,2.62147
18,360.0,20.97181,3.27683,36.04534,5.89832
19,380.0,43.9098,5.89832,43.25444,7.20907
20,400.0,42.59906,7.20908,43.25443,7.86444
21,420.0,43.25443,7.20907,43.90979,7.20907
22,440.0,43.90978,6.55369,44.56514,7.20905
23,460.0,45.22048,5.89831,45.87584,5.89831
24,480.0,45.87582,5.24294,46.53118,4.58758
25,500.0,47.18653,3.93221,47.18653,3.93221
26,520.0,47.18652,3.93221,47.18653,3.93221
27,540.0,47.18652,3.93221,47.84188,3.27686
28,560.0,47.84188,2.62149,47.84188,3.27685
29,580.0,47.18652,2.62149,47.84189,3.27685
30,600.0,47.84189,2.62148,47.84189,2.62149
31,620.0,47.84188,1.96612,47.8419,2.62149
32,640.0,47.84188,1.96613,47.84189,2.62148
33,660.0,47.18653,1.31076,26.2148,0.00010999999999939
34,680.0,-27.5252,-4.58734,-55.05076,-3.9319
35,700.0,-55.05088,-2.6212,-55.05087,0.00019999999999953
36,720.0,-55.05088,0.00016000000000105,-55.05087,0.00012999999999863
37,740.0,-55.05088,-1.96599,-55.05087,-2.62138
38,760.0,-55.05088,-3.27677,-55.05087,-3.27677
39,780.0,-55.05088,-4.58751,-55.05087,-3.93215
40,800.0,-55.05088,-5.89824,-55.05087,-5.24288
41,820.0,-55.05088,-5.89825,-55.05087,-5.89826
42,840.0,-55.05088,-6.55362,-55.05087,-6.55362
43,860.0,-55.05088,-7.20899,-55.05087,-6.55363
44,880.0,-55.05088,-7.20899,-55.05087,-6.55363
45,900.0,-55.05088,-7.86436,-55.05087,-7.209
46,920.0,-55.05088,-8.51972,-55.05087,-7.86436
47,940.0,-55.05088,-8.51973,-55.05087,-7.86437
48,960.0,-55.05088,-8.51973,-55.05087,-8.51973
49,980.0,-55.05088,-9.1751,-55.05087,-8.51974
50,1000.0,-55.05088,-9.17511,-55.05087,-8.51974
51,1020.0,-55.05088,-8.51974,-55.05087,-7.86438
52,1040.0,-55.05088,-7.86439,-55.05087,-8.51975
53,1060.0,-55.05088,-8.51976,-55.05087,-8.51975
54,1080.0,-55.05088,-9.17512,-55.05087,-9.17511
55,1100.0,-55.05088,-10.48585,-55.05087,-9.17512
56,1120.0,-55.05088,-9.17512,-55.05087,-9.17512
57,1140.0,-55.05088,-10.48584,-55.05087,-10.48585
58,1160.0,-55.05088,-11.14122,-55.05087,-10.48586
59,1180.0,-55.05088,-11.14122,-55.05087,-11.14122
60,1200.0,-55.05088,-11.79659,-55.05087,-11.79659
61,1220.0,-55.05088,-12.45196,-55.05087,-11.79659
62,1240.0,-55.05088,-12.45196,-55.05087,-11.7966
63,1260.0,-55.05088,-13.10733,-55.05087,-13.10733
64,1280.0,-55.05088,-13.10734,-55.05087,-11.79662
65,1300.0,-52.42932,-11.14127,-51.11858,-11.14125
66,1320.0,-51.77397,-11.14125,-51.77397,-11.14125
67,1340.0,-51.11862,-12.45198,-51.11862,-13.10734
68,1360.0,-51.11863,-13.76272,-50.46327,-13.76273
69,1380.0,-51.11864,-14.41809,-50.46328,-14.41809
70,1400.0,-50.46329,-15.07346,-50.46329,-15.07345
71,1420.0,-51.11866,-15.07347,-50.4633,-15.07346
72,1440.0,-51.11866,-15.72883,-51.11866,-15.07347
73,1460.0,-51.11866,-15.72883,-51.11866,-15.07347
74,1480.0,-51.11867,-15.72883,-51.11866,-15.72883
75,1500.0,-46.53108,-15.07347,-36.70051,-13.76275
76,1520.0,-34.07904,-15.07348,-34.7344,-14.4181
77,1540.0,-34.73442,-14.4181,-34.07906,-14.4181
78,1560.0,-34.73443,-15.07347,-34.73443,-15.07347
79,1580.0,-34.73444,-15.72884,-34.07907,-15.72884
80,1600.0,-34.07908,-16.38421,-34.07908,-16.38421
81,1620.0,-34.07909,-17.03958,-34.07908,-17.03957
82,1640.0,-34.07909,-17.69494,-34.07908,-17.03958
83,1660.0,-34.73445,-17.69494,-34.07908,-17.69494
84,1680.0,-34.07909,-18.35031,-34.73445,-17.69494
85,1700.0,-34.73445,-18.35031,-34.0791,-17.69495
86,1720.0,-34.73446,-19.00567,-34.0791,-19.00567
87,1740.0,-34.07912,-19.66105,-32.76839,-19.66104
88,1760.0,-32.11304,-20.97178,-32.11303,-20.31641
89,1780.0,-32.11304,-20.97178,-31.45767,-20.97177
