,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-0.65536,-0.65536,-0.65536
2,40.0,0.0,-0.65535,-0.65536,-0.65535
3,60.0,0.0,-1.31071,-0.65536,-0.65535
4,80.0,0.0,-1.31071,-0.65536,-1.96607
5,100.0,0.65536,-1.96606,0.0,-1.96607
6,120.0,1.0000000003174e-05,-1.96606,0.0,-2.62143
7,140.0,0.65537,-3.27679,0.65538,-2.62143
8,160.0,1.31075,-3.27679,1.31075,-2.62143
9,180.0,2.62148,-3.27679,2.62149,-3.27679
10,200.0,3.93223,-3.27679,3.27687,-2.62143
11,220.0,4.5876,-3.27679,3.93224,-3.27679
12,240.0,4.58761,-3.27679,3.93224,-3.93215
13,260.0,4.5876,-3.93215,3.93224,-3.93216
14,280.0,4.5876,-5.24287,3.93224,-4.58752
15,300.0,4.5876,-5.24287,5.24296,-5.24288
16,320.0,7.2091,-5.24287,7.2091,-5.89824
17,340.0,7.20909,-5.89824,6.55374,-5.24288
18,360.0,6.55374,-4.58751,6.55374,-4.58752
19,380.0,7.2091,-3.93215,5.89838,-4.58672
20,400.0,7.20911,-5.24287,6.55374,-5.24287
21,420.0,7.2091,-5.89822,5.89838,-6.55358
22,440.0,6.55374,-6.55357,5.89838,-6.55357
23,460.0,6.55374,-7.20894,5.24302,-7.20894
24,480.0,6.55375,-7.8643,14.41819,-5.89823
25,500.0,20.97195,-7.20895,20.31659,-7.86433
26,520.0,19.00586,-6.55361,18.35051,-5.89826
27,540.0,19.00588,-6.55362,18.35051,-7.20899
28,560.0,18.3505,-6.55362,17.69513,-7.20899
29,580.0,18.3505,-7.86434,17.69512,-7.86434
30,600.0,17.69512,-8.5197,16.38439,-9.17506
31,620.0,16.38439,-9.17505,15.07365,-9.17506
32,640.0,15.07364,-9.17506,13.76291,-9.83041
33,660.0,13.10754,-10.48577,12.45216,-11.14113
34,680.0,12.45217,-11.14113,11.79679,-11.79649
35,700.0,11.79679,-12.45185,11.14142,-12.45185
36,720.0,11.79678,-12.45185,11.14141,-11.79649
37,740.0,19.6612,-10.48579,32.11326,-9.83044
38,760.0,34.73481,-10.48579,32.7687,-9.83044
39,780.0,33.42406,-9.17507,32.76869,-9.17508
40,800.0,33.42404,-9.17508,32.76867,-9.17507
41,820.0,33.42403,-9.83043,32.76865,-9.83042
42,840.0,33.42401,-10.48579,32.76864,-10.48578
43,860.0,33.424,-11.14114,32.76864,-11.14114
44,880.0,33.42401,-11.14114,32.76864,-11.14114
45,900.0,34.07937,-11.14113,34.07937,-11.7965
46,920.0,36.04547,-11.79649,34.07937,-12.45185
47,940.0,34.73473,-13.10722,35.39011,-13.10722
48,960.0,38.01157,-12.45185,38.01158,-11.7965
49,980.0,39.32232,-11.79648,39.32232,-11.14113
50,1000.0,39.9777,-11.79648,39.97769,-11.79648
51,1020.0,40.63305,-11.79648,40.63304,-12.45183
52,1040.0,40.63304,-13.10719,39.97767,-13.10719
53,1060.0,39.97767,-13.10719,46.53135,-11.79647
54,1080.0,57.67268,-11.14109,58.98347,-11.79646
55,1100.0,58.3281,-10.48574,57.67272,-9.83038
56,1120.0,58.98344,-10.48574,58.32808,-10.48574
57,1140.0,58.32808,-10.48574,57.6727,-10.48574
58,1160.0,58.32806,-11.1411,57.67269,-11.1411
59,1180.0,57.67268,-11.14109,57.67267,-11.1411
60,1200.0,57.67266,-11.79646,56.36193,-11.79646
61,1220.0,56.36192,-12.45181,55.05118,-11.79646
62,1240.0,54.39581,-12.45181,53.74043,-13.10718
63,1260.0,53.74042,-13.10718,58.32801,-11.79646
64,1280.0,64.88175,-12.45181,65.53714,-12.45182
65,1300.0,64.88177,-11.79645,64.2264,-11.14109
66,1320.0,64.88177,-10.48574,64.22639,-11.1411
67,1340.0,64.88174,-10.48574,63.57102,-9.83038
68,1360.0,63.57102,-10.48573,62.91565,-9.83038
69,1380.0,62.91565,-9.83037,62.26028,-9.83038
70,1400.0,62.26028,-9.17502,60.94955,-9.17502
71,1420.0,60.94956,-9.17502,59.63882,-9.17502
72,1440.0,60.29419,-9.17502,59.63882,-9.17503
73,1460.0,60.29417,-9.17503,59.6388,-9.17503
74,1480.0,65.53713,-8.51967,76.02309,-7.20894
75,1500.0,79.95537,-7.86429,77.98927,-7.20894
76,1520.0,78.64463,-5.24285,79.29999,-5.89822
77,1540.0,79.95536,-5.89822,79.95535,-6.55358
78,1560.0,80.61072,-6.55358,80.6107,-6.55359
79,1580.0,81.26607,-6.55358,80.61071,-6.55358
80,1600.0,81.92144,-6.55358,81.26608,-6.55358
81,1620.0,81.92144,-7.20893,81.92144,-7.20894
82,1640.0,81.92144,-7.20893,81.92144,-6.55358
83,1660.0,82.5768,-7.20894,81.92144,-6.55358
84,1680.0,83.23217,-6.55358,82.57681,-6.55358
85,1700.0,84.54291,-5.89822,86.50904,-5.89822
86,1720.0,87.8198,-5.89821,86.50906,-5.24286
87,1740.0,86.50907,-5.24286,86.50907,-5.24286
88,1760.0,87.16444,-5.24286,86.50907,-5.24287
89,1780.0,87.16443,-5.89823,86.50906,-5.24287
90,1800.0,87.16443,-5.89823,87.16442,-5.89823
91,1820.0,87.81979,-5.89823,87.81978,-5.89823
92,1840.0,87.81979,-5.89823,87.81978,-6.5536
93,1860.0,88.47515,-6.5536,88.47514,-7.20897
94,1880.0,89.13051,-6.5536,88.47514,-7.20897
95,1900.0,89.13051,-7.20897,87.81977,-7.86433
96,1920.0,77.3338,-9.17503,53.08502,-11.14111
97,1940.0,38.66693,-13.10721,38.66696,-12.45186
98,1960.0,41.28844,-11.14114,39.9777,-11.14115
99,1980.0,40.63305,-11.14114,40.63305,-11.14115
100,2000.0,41.28841,-11.14115,41.28841,-11.14116
101,2020.0,41.94377,-11.14115,41.28839,-11.14116
102,2040.0,41.94376,-11.14115,41.94375,-11.79652
103,2060.0,41.94375,-11.79652,41.28838,-11.79653
104,2080.0,41.94374,-12.45189,41.28837,-12.45189
105,2100.0,43.25447,-11.79653,46.53135,-9.83043
106,2120.0,49.15283,-9.83043,48.49746,-9.83044
107,2140.0,49.15282,-9.83043,48.49745,-9.17508
108,2160.0,49.80818,-9.83045,49.15281,-10.48581
109,2180.0,49.80817,-10.4858,49.80817,-11.14116
110,2200.0,49.80817,-11.14117,49.80817,-11.14116
111,2220.0,50.46353,-11.14116,49.80816,-11.14117
112,2240.0,50.46353,-11.14117,49.80816,-11.79653
113,2260.0,50.46352,-11.79653,49.80816,-11.79654
114,2280.0,50.46353,-11.79653,47.84205,-12.4519
115,2300.0,40.63297,-13.10724,35.39,-12.4519
116,2320.0,36.04538,-12.4519,36.04539,-11.14119
117,2340.0,36.70075,-11.14119,36.04538,-11.79655
118,2360.0,37.3561,-12.45191,36.70074,-12.45192
119,2380.0,37.3561,-12.45192,36.70073,-13.10728
120,2400.0,37.35609,-13.10728,37.35608,-13.10729
121,2420.0,38.01145,-13.76264,37.35607,-13.10729
122,2440.0,38.01145,-13.10728,37.35608,-13.10729
123,2460.0,37.35608,-13.76265,30.80239,-13.76264
124,2480.0,25.55942,-13.76263,23.59332,-14.418
125,2500.0,24.90406,-14.418,24.24868,-13.76265
126,2520.0,24.90404,-13.76265,24.24868,-13.76265
127,2540.0,24.90404,-13.76265,24.24868,-13.76265
128,2560.0,24.90404,-13.76266,24.24867,-14.41802
129,2580.0,24.90403,-14.41802,23.5933,-13.76266
130,2600.0,24.24866,-13.76266,23.59329,-14.41802
131,2620.0,23.59329,-14.41802,22.93792,-13.76265
132,2640.0,23.59329,-14.41801,22.93791,-14.41802
133,2660.0,22.93791,-14.41802,30.14695,-13.10731
134,2680.0,47.18659,-11.79658,55.7065,-10.48585
135,2700.0,57.01729,-11.14122,55.05117,-9.17513
