,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,-0.65536,0.0,-0.65535999999999
2,40.0,0.65536,0.0,9.9999999960687e-06,-0.65535999999999
3,60.0,0.65536,0.0,0.0,0.0
4,80.0,0.65535,-0.65537,0.0,-0.65535999999999
5,100.0,0.65536,-1.0000000003174e-05,0.65535999999999,-0.65535999999999
6,120.0,0.65535,0.0,9.9999999960687e-06,-0.65535
7,140.0,1.31072,0.0,0.0,1.0000000003174e-05
8,160.0,0.65536,0.0,9.9999999960687e-06,1.0000000003174e-05
9,180.0,0.65536,0.0,9.9999999960687e-06,1.0000000003174e-05
10,200.0,0.65537,0.0,9.9999999960687e-06,0.0
11,220.0,0.65537,0.65536,1.96613,1.9661
12,240.0,3.93223,2.62147,3.27688,2.62148
13,260.0,3.27687,3.27683,2.62151,3.27684
14,280.0,3.27687,3.93219,1.96616,3.93221
15,300.0,3.27687,4.58756,2.62152,4.58757
16,320.0,2.62152,4.58757,1.96616,4.58758
17,340.0,2.62152,5.24293,1.96617,5.24294
18,360.0,2.62152,5.89829,1.31081,5.89831
19,380.0,1.96617,6.55366,1.31081,6.55367
20,400.0,1.31081,6.55366,0.65544999999999,6.55367
21,420.0,1.31081,6.55366,0.65544999999999,7.20904
22,440.0,0.65546,7.20903,9.9999999996214e-05,7.20904
23,460.0,0.65545,7.86439,-0.65526000000001,7.8644
24,480.0,9.9999999996214e-05,7.8644,-0.65526000000001,7.86441
25,500.0,9.9999999996214e-05,8.51976,-1.31061,8.51977
26,520.0,-0.65526,8.51977,-1.31061,8.51977
27,540.0,-0.65525,9.17513,-1.96597,9.17514
28,560.0,-0.65525,9.17513,-1.31061,9.17514
29,580.0,9.9999999996214e-05,9.17512,-0.65526000000001,8.51977
30,600.0,0.65546,9.17512,9.9999999996214e-05,8.51977
31,620.0,1.31081,9.17512,0.65546,9.17512
32,640.0,1.96617,8.51975,1.31082,9.17513
33,660.0,8.51985,11.1412,17.69503,11.79658
34,680.0,22.28261,11.79656,20.31652,11.79657
35,700.0,20.97187,12.45192,20.31652,12.45193
36,720.0,20.97187,13.10729,20.97187,12.45193
37,740.0,20.97187,12.45193,20.31651,12.45194
38,760.0,20.97187,12.45193,20.31651,12.45193
39,780.0,20.97186,12.45192,20.31651,12.45193
40,800.0,20.97187,12.45193,20.31651,12.45194
41,820.0,20.31651,12.45193,19.66115,12.45194
42,840.0,20.3165,12.45193,19.66115,12.45193
43,860.0,20.31651,12.45192,19.66115,11.79657
44,880.0,20.31651,12.45192,19.00579,11.1412
45,900.0,20.3165,11.14119,19.00578,11.1412
46,920.0,19.66114,11.1412,19.00578,10.48584
47,940.0,20.3165,10.48583,19.66115,11.1412
48,960.0,28.83629,15.07337,36.04539,15.72876
49,980.0,38.66687,15.72875,36.70078,15.07339
50,1000.0,37.35613,15.07338,36.70078,15.07339
51,1020.0,37.35613,15.07338,36.04541,15.07338
52,1040.0,36.70077,15.07337,36.04541,14.41802
53,1060.0,36.04541,14.41801,35.39005,14.41802
54,1080.0,36.04541,14.41801,35.39005,13.76266
55,1100.0,36.04541,14.41801,35.39005,13.76266
56,1120.0,36.04541,13.76265,34.73469,13.76266
57,1140.0,36.04541,13.76265,34.73469,13.1073
58,1160.0,34.73469,13.10728,34.7347,12.45193
59,1180.0,35.39005,13.10729,34.07934,12.45193
60,1200.0,34.73469,12.45193,33.42398,12.45193
61,1220.0,34.73469,12.45192,33.42398,11.79657
62,1240.0,34.07933,11.79656,33.42398,11.79657
63,1260.0,34.07933,11.79656,33.42398,11.79657
64,1280.0,33.42398,11.79656,32.76862,11.14121
65,1300.0,33.42398,11.1412,32.76862,11.14121
66,1320.0,34.07933,11.1412,33.42397,10.48584
67,1340.0,34.73468,10.48582,34.07932,10.48583
68,1360.0,35.39004,9.83045,35.39003,9.1751
69,1380.0,36.04539,9.17509,35.39003,9.17509
70,1400.0,36.70075,9.17508,36.04539,8.51973
