,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.0000000003174e-05,2.62146,-0.65536,1.31074
2,40.0,-1.31071,3.27683,-1.31072,1.31075
3,60.0,-1.31071,3.93221,-1.96607,2.62148
4,80.0,-1.96606,4.58759,-2.62143,3.93222
5,100.0,-2.62142,5.24296,-3.27678,3.93224
6,120.0,-3.27677,5.89833,-3.27679,5.24296
7,140.0,-2.62142,7.20906,-1.96608,6.55368
8,160.0,-1.96607,7.86442,-1.96609,7.20905
9,180.0,-1.31072,9.17515,-1.31073,7.20906
10,200.0,-1.96608,9.17515,-13.10734,8.51979
11,220.0,-28.1808,11.14126,-34.07912,11.14127
12,240.0,-33.42373,13.76274,-32.76837,13.10737
13,260.0,-32.76836,15.72883,-32.76836,14.41811
14,280.0,-32.76835,17.03956,-32.113,15.72883
15,300.0,-32.11299,17.69492,-32.113,17.03956
16,320.0,-32.76834,19.00565,-32.76836,18.35028
17,340.0,-32.76835,20.31638,-32.76835,19.66101
18,360.0,-32.76833,22.28248,-33.4237,21.62711
19,380.0,-33.42369,24.24857,-33.4237,22.93784
20,400.0,-34.07905,25.55931,-34.07906,25.5593
21,420.0,-34.07905,27.5254,-34.73442,26.87003
22,440.0,-34.07904,28.83614,-34.07905,28.83612
23,460.0,-34.7344,30.14687,-35.38977,29.4915
24,480.0,-35.38975,30.80224,-35.38976,29.49151
25,500.0,-35.38975,31.45761,-35.38976,30.14687
26,520.0,-36.0451,32.11297,-36.04511,30.80224
27,540.0,-36.04509,32.11297,-36.0451,30.80224
28,560.0,-36.04509,32.76834,-36.0451,31.4576
29,580.0,-36.70044,33.4237,-36.70045,31.45761
30,600.0,-36.70044,33.42371,-36.70044,31.45761
31,620.0,-36.70043,32.76834,-36.04508,31.45761
32,640.0,-36.70043,32.11298,-36.04508,30.80224
33,660.0,-36.04507,31.45762,-36.04508,30.14688
34,680.0,-36.04506,31.45761,-36.04507,29.49152
35,700.0,-36.04505,30.80225,-36.04507,29.49151
36,720.0,-36.04505,30.80224,-36.04506,28.83615
37,740.0,-36.04505,30.14688,-36.04505,28.83615
38,760.0,-33.42359,29.49152,-17.69479,28.18079
39,780.0,-7.20887,29.49153,-4.58739,28.83615
40,800.0,-4.58738,30.80225,-3.93204,29.49151
41,820.0,-3.27668,30.80225,-3.2767,29.49151
42,840.0,-3.27669,30.80224,-2.62134,30.14687
43,860.0,-3.27669,31.4576,-2.62135,30.14687
44,880.0,-3.2767,30.80224,-2.62135,28.83615
45,900.0,-3.2767,30.80224,-3.27672,29.49151
46,920.0,-3.27671,30.14688,-3.27672,28.83615
47,940.0,-3.93208,30.14688,-3.27673,28.83614
48,960.0,-3.27672,30.14688,-3.27673,28.18078
49,980.0,-3.93208,29.49152,-3.27674,28.18077
50,1000.0,-3.27672,29.49151,-3.27673,28.18077
51,1020.0,-3.27672,29.4915,-3.27673,27.52541
52,1040.0,-3.93207,28.83614,-3.27673,26.87004
53,1060.0,-3.27671,28.18078,-3.27672,26.87004
54,1080.0,-3.27672,28.18078,-3.27673,26.21468
55,1100.0,-3.27672,27.52541,-3.27673,26.21468
56,1120.0,-3.27672,27.52541,-3.27673,26.21468
57,1140.0,-2.62136,27.52541,-2.62136,25.55932
58,1160.0,-3.27671,27.52541,-2.62136,25.55932
59,1180.0,-0.65524,26.87005,5.89846,26.21468
60,1200.0,9.83072,27.52542,11.14145,26.21469
61,1220.0,10.4861,27.52543,9.83072,26.2147
62,1240.0,10.48611,27.52543,10.4861,26.2147
63,1260.0,10.48612,27.52543,10.48611,25.55933
64,1280.0,9.83076,26.87006,10.48611,25.55933
65,1300.0,9.83077,26.87006,10.48611,24.90397
66,1320.0,14.41835,25.55934,20.97206,24.24861
67,1340.0,22.28285,24.90398,22.28282,24.24862
68,1360.0,22.28284,26.21471,22.28283,24.24862
69,1380.0,21.62748,25.55935,21.62746,24.24861
70,1400.0,20.97212,25.55935,21.62747,23.59325
71,1420.0,21.62748,24.90398,21.62747,22.93789
72,1440.0,20.97213,24.24862,21.62748,23.59325
73,1460.0,20.97213,24.24863,21.62747,22.93789
74,1480.0,22.28283,24.90398,23.59354,22.93788
75,1500.0,23.59354,24.90397,24.24888,22.93788
76,1520.0,24.24889,24.90397,24.24888,22.93788
77,1540.0,24.24889,24.90397,24.24888,23.59324
78,1560.0,24.24889,24.90397,24.90424,22.93787
79,1580.0,24.2489,24.24861,24.90424,23.59324
80,1600.0,26.87035,24.90397,38.66701,24.24863
81,1620.0,53.08519,26.21475,58.98354,24.90403
82,1640.0,58.98355,27.52549,58.32816,25.55939
83,1660.0,58.32818,27.52549,58.32816,26.21476
84,1680.0,58.32817,27.52548,58.32815,25.55939
85,1700.0,58.32817,27.52548,58.32816,26.21475
86,1720.0,57.67281,27.52548,58.32815,26.87011
87,1740.0,58.32817,28.18085,58.32815,26.87011
88,1760.0,58.32816,28.18085,59.63888,26.87012
89,1780.0,65.53722,28.18086,68.81407,26.87013
90,1800.0,69.46946,28.18087,69.46944,26.87014
91,1820.0,69.46945,28.83624,69.46944,27.5255
92,1840.0,68.81409,28.83624,68.81408,27.5255
93,1860.0,68.15873,28.18088,68.81407,26.87014
94,1880.0,68.81409,28.18087,68.81407,26.87014
95,1900.0,68.15873,27.52551,68.16126,26.21478
96,1920.0,68.15873,27.52551,68.15871,26.21478
97,1940.0,67.50337,28.18087,67.50336,26.21478
98,1960.0,67.50337,28.18087,68.15872,26.87014
99,1980.0,68.81411,27.52552,79.95536,26.21483
100,2000.0,95.02891,28.18096,101.5826,27.5256
101,2020.0,100.92726,29.4917,100.92724,28.18096
102,2040.0,100.27189,29.4917,100.27188,28.18097
103,2060.0,100.27189,29.4917,99.61652,27.5256
104,2080.0,99.61653,28.83634,98.96115,27.5256
105,2100.0,98.96117,28.83634,98.96115,27.52561
106,2120.0,98.96117,28.83634,98.3058,26.87025
107,2140.0,97.65045,28.18098,98.96116,26.87025
108,2160.0,98.30581,28.83634,99.61651,27.52561
109,2180.0,100.27188,28.83634,100.27185,27.52561
110,2200.0,100.92722,29.49169,101.58257,27.52561
111,2220.0,100.92722,29.4917,101.58257,28.18096
112,2240.0,101.58258,29.4917,101.58256,28.18097
113,2260.0,101.58257,29.4917,100.9272,28.18097
114,2280.0,90.44133,30.14706,62.9158,28.83629
115,2300.0,29.49193,28.1809,-0.65513,25.55943
116,2320.0,-14.4179,28.83624,-13.76254,28.83625
117,2340.0,-13.10714,31.45771,-13.10716,31.4577
118,2360.0,-13.10714,33.4238,-12.45179,32.76843
119,2380.0,-12.45179,34.07916,-11.79644,33.42378
120,2400.0,-12.45178,34.73452,-12.45179,33.42379
121,2420.0,-12.45178,35.38988,-12.45179,33.42378
122,2440.0,-12.45178,35.38988,-12.45179,34.07915
123,2460.0,-12.45178,35.38987,-12.45179,34.07914
124,2480.0,-12.45178,36.04524,-12.45179,34.07914
125,2500.0,-12.45178,36.04523,-21.62693,35.38987
126,2520.0,-32.11283,36.70061,-34.07897,35.38988
127,2540.0,-34.07895,36.70061,-33.42359,35.38988
128,2560.0,-34.07893,36.70061,-33.42359,35.38987
129,2580.0,-33.42357,36.7006,-33.42357,35.38987
130,2600.0,-33.42356,36.04524,-33.42357,34.7345
131,2620.0,-33.42355,36.04523,-33.42356,34.7345
132,2640.0,-34.07891,35.38987,-33.42356,34.07913
133,2660.0,-33.42354,34.73451,-33.42356,32.7684
134,2680.0,-34.07891,34.07914,-33.42356,32.7684
135,2700.0,-33.42354,34.07913,-33.42356,32.11303
136,2720.0,-33.42354,33.42377,-33.42356,31.45767
137,2740.0,-33.42354,32.7684,-33.42356,30.8023
138,2760.0,-33.42354,32.11303,-32.76819,30.8023
139,2780.0,-32.76817,31.45767,-32.76818,29.49157
140,2800.0,-32.76817,30.80231,-33.42353,29.49157
141,2820.0,-32.76816,30.14694,-32.76817,28.8362
142,2840.0,-33.42351,30.14693,-32.76817,27.52547
143,2860.0,-32.76815,28.18084,-32.76816,26.8701
144,2880.0,-33.42351,27.52547,-32.1128,26.21473
145,2900.0,-32.76815,26.8701,-32.11281,24.90401
146,2920.0,-31.45745,26.87009,-30.80211,24.904
147,2940.0,-30.80211,26.21473,-30.80212,24.24863
148,2960.0,-30.80212,25.55936,-30.14677,24.24862
149,2980.0,-30.14676,24.90399,-29.49142,22.93789
150,3000.0,-24.24847,24.24863,-11.79644,21.62718
151,3020.0,-3.93196,22.93791,-1.96586,21.62718
152,3040.0,-2.62121,23.59328,-1.96587,21.62718
153,3060.0,-1.96585,22.93792,-1.96587,21.62718
154,3080.0,-1.96586,22.93791,-1.31052,21.62717
155,3100.0,-1.3105,22.9379,-1.31052,21.62717
156,3120.0,-1.31051,22.28254,-1.31052,20.9718
157,3140.0,-1.31051,22.28253,-1.31052,20.31644
158,3160.0,-1.3105,21.62717,2.62168,20.31644
159,3180.0,16.3845,22.28255,26.87043,21.6272
160,3200.0,30.14731,23.59329,30.1473,21.6272
161,3220.0,29.49195,23.59359,30.1473,22.28257
162,3240.0,30.80267,23.59329,30.80266,21.6272
163,3260.0,30.80267,22.93793,31.45802,21.62719
164,3280.0,31.45803,22.28256,31.45801,20.97183
165,3300.0,31.45803,22.28256,31.45801,20.31646
166,3320.0,30.80267,21.62719,31.45801,20.31646
167,3340.0,31.45803,21.62719,31.45801,19.6611
168,3360.0,31.45803,20.97182,31.45801,19.00572
169,3380.0,25.55971,20.97182,13.76304,20.31644
170,3400.0,10.48619,20.97181,11.14155,19.66109
171,3420.0,11.14157,20.97182,11.79692,19.66108
172,3440.0,11.79693,20.97182,11.14156,19.00572
173,3460.0,11.14158,20.97182,11.14156,19.00572
174,3480.0,11.14158,20.31646,11.14157,19.00573
175,3500.0,11.14159,20.97182,11.14157,19.00573
176,3520.0,11.14159,20.97183,11.14158,19.00573
177,3540.0,10.48623,20.31647,10.48622,19.00574
178,3560.0,10.48624,20.31647,10.48623,19.00574
179,3580.0,10.48624,20.31648,10.48624,19.00575
180,3600.0,10.48625,20.31648,10.48624,19.00575
181,3620.0,10.48626,20.31649,10.48624,18.35039
182,3640.0,10.48626,19.66112,11.1416,18.35039
183,3660.0,12.45233,19.00575,22.28284,16.3843
184,3680.0,38.01174,17.69504,49.15302,15.72895
185,3700.0,51.77452,17.69505,51.11914,15.07359
186,3720.0,51.77451,15.72896,51.7745,14.41822
187,3740.0,51.77451,15.07359,51.7745,13.76286
188,3760.0,51.77451,15.07359,51.7745,13.10749
189,3780.0,51.77451,14.41823,51.7745,13.10749
190,3800.0,51.77451,15.07359,51.77449,13.76285
191,3820.0,51.11915,15.07358,51.77449,13.76285
192,3840.0,51.77451,15.07358,51.77449,13.76285
193,3860.0,51.77451,16.3843,51.77449,14.41821
194,3880.0,51.7745,16.38431,51.77449,15.07357
195,3900.0,51.77451,16.3843,51.11913,15.72893
196,3920.0,51.11914,17.03967,51.11912,15.72894
197,3940.0,51.77449,17.69503,51.11912,15.72894
198,3960.0,51.11914,17.69503,47.18692,16.38431
199,3980.0,32.76882,18.3504,22.28287,17.03966
200,4000.0,18.35065,19.00576,17.69529,17.69503
201,4020.0,18.35068,19.66112,18.35066,18.35039
202,4040.0,17.69531,19.66112,17.69531,18.35039
203,4060.0,17.69533,19.66113,17.69532,18.35039
204,4080.0,17.69533,19.66112,17.69532,18.35039
205,4100.0,17.03998,19.66112,17.69532,17.69503
206,4120.0,17.69534,19.00575,17.69533,17.03965
207,4140.0,17.69534,18.35039,17.69533,17.03965
208,4160.0,17.69535,18.35039,17.69534,17.03965
209,4180.0,26.87052,17.69503,49.15308,16.38433
210,4200.0,68.81422,17.03972,74.71256,16.38436
211,4220.0,74.05721,18.35046,73.40183,17.69509
212,4240.0,73.40185,19.00582,73.40183,17.69509
213,4260.0,72.74649,19.00581,73.40183,17.03972
214,4280.0,72.74648,19.00582,72.74647,17.03971
215,4300.0,73.40184,19.00581,74.05718,17.69507
216,4320.0,74.05719,19.00581,74.71253,17.69507
217,4340.0,75.36789,19.0058,75.36788,17.69507
218,4360.0,75.36789,19.0058,76.02323,17.69506
219,4380.0,75.36788,19.66116,76.02323,17.69506
220,4400.0,75.36788,19.66115,76.02323,17.69506
221,4420.0,83.23229,20.31655,91.7521,19.66121
222,4440.0,95.02898,21.62732,94.3736,20.97194
223,4460.0,94.37361,22.28267,94.37359,20.97194
224,4480.0,94.3736,22.28267,95.02895,20.97194
225,4500.0,94.37361,22.28267,95.02895,20.31657
226,4520.0,94.3736,21.6273,94.37358,20.31657
227,4540.0,94.3736,21.6273,94.37359,20.31657
228,4560.0,94.3736,21.6273,94.37358,20.31656
229,4580.0,93.71823,22.28266,94.37358,20.97193
230,4600.0,93.71823,22.28266,93.71821,20.31655
231,4620.0,81.92159,19.66117,49.15309,16.3843
232,4640.0,13.1077,14.4182,-13.7625,12.4521
233,4660.0,-20.31617,13.76281,-18.35006,13.76281
234,4680.0,-18.35003,16.38427,-18.35004,15.72889
235,4700.0,-18.35002,17.69498,-17.69467,16.38425
236,4720.0,-17.69465,18.35034,-17.03931,17.03961
237,4740.0,-17.69465,19.0057,-17.69467,17.69497
238,4760.0,-17.69465,19.66106,-51.77339,17.69496
239,4780.0,-17.69465,19.66106,-17.69466,18.35032
240,4800.0,-18.35001,19.66105,-17.69467,17.69496
241,4820.0,-17.69465,19.66105,-17.69466,17.69496
242,4840.0,-17.69465,19.00569,-17.0393,17.69496
243,4860.0,-17.69464,18.35032,-20.97149,16.38423
244,4880.0,-32.11275,17.03959,-36.70037,15.72886
245,4900.0,-37.35571,17.69497,-36.70035,17.03959
246,4920.0,-37.3557,18.35032,-37.35571,16.38422
247,4940.0,-36.70034,17.69496,-37.35571,16.38423
248,4960.0,-36.70033,17.69496,-36.04498,16.38422
249,4980.0,-36.04497,17.03959,-34.73428,16.38422
250,5000.0,-34.07891,17.69494,-33.42357,16.3842
251,5020.0,-32.7682,17.69493,-32.76822,15.72884
252,5040.0,-33.42357,17.03957,-32.76823,15.72883
253,5060.0,-32.76821,17.03957,-32.11287,15.07347
254,5080.0,-32.11286,16.3842,-32.11287,15.07347
255,5100.0,-32.76821,16.3842,-32.11287,14.4181
256,5120.0,-32.11286,16.3842,-32.11287,14.4181
257,5140.0,-32.11287,16.38419,-31.45752,14.4181
258,5160.0,-31.4575,15.72883,-31.45752,13.76273
259,5180.0,-31.45751,15.07346,-30.80216,13.76272
260,5200.0,-20.97162,15.07347,-9.17496,13.76274
261,5220.0,-5.89807,15.72884,-5.89808,13.76275
262,5240.0,-5.89807,15.72884,-5.89809,13.76275
263,5260.0,-5.89807,15.07348,-5.89809,13.76274
264,5280.0,-5.89809,15.07347,-5.8981,13.10737
265,5300.0,-6.55345,14.4181,-5.89811,12.45201
266,5320.0,-5.89809,14.4181,-5.8981,12.452
267,5340.0,-5.89809,13.76274,-5.89811,12.452
268,5360.0,-5.89809,13.76273,-5.8981,12.45199
269,5380.0,-5.89809,13.76273,-5.8981,11.79663
270,5400.0,-6.55345,13.76272,-5.8981,11.14127
271,5420.0,-5.89808,13.10736,-6.55346,11.14127
272,5440.0,-6.55345,12.452,3.27706,10.48591
273,5460.0,17.69526,11.79666,24.90434,10.48593
274,5480.0,23.59364,11.79667,23.59362,11.14129
275,5500.0,24.249,11.79667,24.24899,10.48594
276,5520.0,23.59364,12.45203,23.59363,10.48594
277,5540.0,23.59365,12.45203,23.59363,9.83058
278,5560.0,22.93828,11.79667,22.93827,9.83057
279,5580.0,22.93828,11.1413,22.93827,9.83057
280,5600.0,22.93829,11.1413,22.28291,9.17521
281,5620.0,22.28293,11.1413,22.93828,9.17521
282,5640.0,22.28293,10.48594,22.28293,9.1752
283,5660.0,22.93829,10.48593,22.93827,9.1752
284,5680.0,18.3507,10.48593,15.72918,9.83056
285,5700.0,15.72918,11.79666,16.38452,9.83056
286,5720.0,16.38453,11.79665,16.38451,9.83055
287,5740.0,16.38452,11.14129,16.38451,9.83055
288,5760.0,17.03987,11.14128,16.3845,9.83055
289,5780.0,16.38452,11.14128,16.3845,9.17518
290,5800.0,16.38451,11.14128,16.3845,9.83054
291,5820.0,16.38452,11.14127,16.3845,9.83054
292,5840.0,17.03987,11.14127,17.03986,9.83054
293,5860.0,17.03987,10.48591,26.21501,8.51982
294,5880.0,43.91002,9.83057,51.77447,8.51985
295,5900.0,51.77449,10.48594,50.46375,9.17521
296,5920.0,51.11913,11.14131,51.11911,8.51984
297,5940.0,50.46376,10.48593,51.1191,8.51984
298,5960.0,50.46375,10.48593,51.11909,9.1752
299,5980.0,50.46375,9.83056,51.1191,8.51983
300,6000.0,50.46375,9.83057,51.11909,8.51983
301,6020.0,51.1191,10.48592,51.11909,8.51982
302,6040.0,51.11911,9.83056,50.46373,8.51982
303,6060.0,50.46374,9.83055,51.11909,7.86447
304,6080.0,50.46375,9.83055,50.46373,7.86446
305,6100.0,51.1191,9.17519,59.63889,7.86448
306,6120.0,76.02316,9.8306,83.23224,9.17525
307,6140.0,85.19837,10.48599,84.54299,9.17526
308,6160.0,84.543,11.14136,84.54298,9.83062
309,6180.0,84.543,10.48599,84.54299,9.17525
310,6200.0,84.543,10.48599,84.543,8.51989
311,6220.0,83.88765,10.48598,83.88764,8.51989
312,6240.0,83.88765,9.83062,83.88764,9.17525
313,6260.0,83.23229,10.48598,83.23228,8.51989
314,6280.0,83.2323,9.83063,83.23228,9.17525
315,6300.0,82.57693,10.48599,83.23228,8.51989
316,6320.0,82.57694,9.83062,85.85375,7.86453
317,6340.0,97.65042,8.51993,107.48094,7.20921
318,6360.0,109.44706,8.51994,109.44702,7.86457
319,6380.0,109.44703,9.1753,110.10236,8.51992
320,6400.0,110.10237,9.1753,110.10236,7.86457
321,6420.0,110.10237,9.1753,110.10235,7.86456
322,6440.0,110.10236,9.83065,110.7577,7.86456
323,6460.0,110.75772,9.17529,110.7577,7.86456
324,6480.0,110.75772,9.83065,110.75771,7.86456
325,6500.0,111.41308,9.83065,111.41307,7.86456
326,6520.0,112.06843,9.17529,113.37914,8.51992
327,6540.0,112.72379,9.83066,113.37913,7.86456
328,6560.0,106.1701,8.51993,78.6446,6.5538
329,6580.0,42.59929,6.55379,9.83077,4.5877
330,6600.0,-11.14106,8.51989,-14.41792,9.8306
331,6620.0,-13.76252,14.41815,-14.41791,15.72888
332,6640.0,-15.07326,19.00571,-15.72863,19.00572
333,6660.0,-16.38399,20.97183,-16.384,21.62719
334,6680.0,-17.03935,24.24866,-17.69474,23.59329
335,6700.0,-18.35008,26.21476,-18.35009,25.55939
336,6720.0,-18.35007,27.52549,-18.35007,26.21476
337,6740.0,-18.35005,28.18086,-17.69469,26.87012
338,6760.0,-17.03931,28.18085,-17.69468,26.21475
339,6780.0,-28.18054,27.52547,-35.38965,25.55937
340,6800.0,-36.04502,26.87011,-35.38965,25.55937
341,6820.0,-34.73426,26.87009,-34.73427,24.904
342,6840.0,-34.07888,26.21472,-33.42353,24.24862
343,6860.0,-33.42351,25.55935,-32.1128,23.59326
344,6880.0,-32.11278,25.55936,-32.11279,22.93789
345,6900.0,-31.45741,24.90398,-31.45742,22.93788
346,6920.0,-31.4574,24.24862,-30.80205,22.28252
347,6940.0,-30.80203,22.93789,-30.80204,20.97179
348,6960.0,-30.80202,22.28252,-30.14667,20.97179
349,6980.0,-30.14666,22.28252,-28.83596,20.97178
350,7000.0,-29.49132,22.28251,-30.80208,20.97178
351,7020.0,-30.80207,22.28252,-29.49137,20.97178
352,7040.0,-29.49136,22.28252,-29.49137,20.97178
353,7060.0,-30.14672,22.28251,-29.49137,20.97178
354,7080.0,-30.14671,22.28252,-30.14672,20.31642
355,7100.0,-30.80206,22.28252,-30.80207,20.31642
356,7120.0,-31.45741,21.62716,-31.45742,20.97179
357,7140.0,-31.45741,22.93789,-31.45742,21.62715
358,7160.0,-32.11277,22.93789,-32.11278,20.9718
359,7180.0,-32.11276,22.28253,-32.11277,20.31644
360,7200.0,-31.45739,21.62717,-32.76813,20.31643
361,7220.0,-36.70033,21.62716,-36.70036,20.31643
362,7240.0,-36.04498,21.62716,-36.045,20.31642
363,7260.0,-35.38962,20.97179,-34.73427,19.66106
364,7280.0,-34.73426,20.97179,-34.73427,19.00569
365,7300.0,-34.73426,20.31643,-34.07891,19.00569
366,7320.0,-34.07889,20.31642,-34.07891,18.35032
367,7340.0,-34.07889,20.31642,-34.0789,18.35032
368,7360.0,-27.52521,19.00569,-13.10709,17.69496
369,7380.0,-2.62113,19.0057,0.00036000000000058,18.35033
370,7400.0,-0.65498,19.66107,-0.65499000000001,17.69497
371,7420.0,-0.65497,19.0057,0.00036999999999665,17.0396
372,7440.0,-0.65497,17.69497,-0.65499000000001,15.72886
373,7460.0,-1.96571,17.03959,-2.62109,15.72886
374,7480.0,-3.93181,17.03959,-4.58719,15.72886
375,7500.0,-4.58719,17.0396,-5.24259,15.72886
376,7520.0,-5.2426,16.38423,-4.58727,14.41813
377,7540.0,-4.58727,15.72886,-3.27658,13.10741
378,7560.0,-1.96587,14.41814,-51.77325,12.45204
379,7580.0,-0.65517,14.41812,1.31089,12.45202
380,7600.0,8.51992,13.76275,16.38434,12.45201
381,7620.0,17.03972,14.4181,17.03969,13.10737
382,7640.0,17.03969,15.07346,17.03968,13.76273
383,7660.0,17.69505,14.4181,18.3504,13.76272
384,7680.0,19.00578,14.4181,18.35041,13.10736
385,7700.0,18.35042,14.41809,18.35042,13.10736
386,7720.0,18.35044,15.07345,18.35043,13.10736
387,7740.0,18.35045,14.41809,17.69508,13.10736
388,7760.0,17.6951,14.41809,18.35045,13.10735
389,7780.0,17.69511,15.07344,18.35046,13.10735
390,7800.0,17.69511,14.41808,17.69511,12.45199
391,7820.0,25.55957,13.76273,34.07938,12.45201
392,7840.0,35.39015,13.76275,35.39013,11.79665
393,7860.0,35.39015,13.10739,36.70086,11.14128
394,7880.0,36.04551,12.45201,36.70086,10.48591
395,7900.0,36.04552,11.14128,36.70086,9.83054
396,7920.0,36.70088,11.14127,36.70087,9.17518
397,7940.0,36.70089,10.48591,37.35624,8.51981
398,7960.0,37.35625,9.83054,36.70088,8.5198
399,7980.0,36.7009,9.83053,36.70089,8.5198
400,8000.0,36.04554,9.83053,36.7009,8.51979
401,8020.0,36.70091,9.83053,36.70091,8.51979
402,8040.0,44.56534,9.83053,57.01737,8.51982
403,8060.0,63.5711,10.48592,64.22648,9.17519
404,8080.0,62.91576,10.48592,63.5711,9.17519
405,8100.0,62.91577,10.48592,62.91575,8.51983
406,8120.0,62.2604,9.83056,62.26038,8.51982
407,8140.0,62.2604,9.17519,62.26039,7.86446
408,8160.0,61.60505,8.51983,62.26039,7.20909
409,8180.0,61.60505,8.51982,62.91575,6.55372
410,8200.0,62.91575,7.86445,64.22645,6.55372
411,8220.0,64.22645,7.86445,64.8818,5.89835
412,8240.0,64.8818,7.86444,64.88178,6.55371
413,8260.0,64.88179,7.86444,64.88177,5.89834
414,8280.0,64.22642,7.20908,64.22641,5.24298
415,8300.0,64.22641,6.55372,63.57102,5.24298
416,8320.0,65.53713,5.89835,78.6445,3.93228
417,8340.0,94.37338,5.8984,100.92709,4.58768
418,8360.0,100.9271,6.55377,100.27171,4.58767
419,8380.0,100.27172,5.89841,100.27171,4.58767
420,8400.0,100.92708,5.8984,101.58242,3.9323
421,8420.0,101.58243,5.24302,100.92706,3.27693
422,8440.0,100.92708,3.9323,101.58242,3.27692
