,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,0.65536,0.65537,0.0
2,40.0,0.65536,0.65537,1.31073,0.65535999999999
3,60.0,0.65536,1.96609,1.31073,1.9661
4,80.0,0.65536,2.62146,0.65537,3.27682
5,100.0,0.65536,3.93219,1.31073,3.27682
6,120.0,0.65537,4.58755,0.65537,4.58755
7,140.0,1.31072,4.58755,1.31328,3.93218
8,160.0,1.31072,4.58755,1.31073,4.58755
9,180.0,1.31072,5.24291,1.31072,4.58755
10,200.0,0.65536,4.58755,1.31073,4.58755
11,220.0,0.65535,4.58755,1.31072,4.58755
12,240.0,0.65535,4.58755,1.31072,4.58755
13,260.0,0.65535,4.58755,0.65536,3.93219
14,280.0,0.65535,4.58755,0.65536,4.58754
15,300.0,0.65535,4.58755,0.65536,3.93219
16,320.0,0.65535,4.58756,0.65536,4.58755
17,340.0,-1.0000000003174e-05,4.58756,-0.65536,4.58756
18,360.0,-0.65537,5.24292,-1.31072,4.58755
19,380.0,-0.65537,5.24292,-0.65536,4.58756
20,400.0,-0.65537,5.24292,-0.65536,3.93219
21,420.0,-0.65537,3.93221,-0.65537,3.9322
22,440.0,-1.96609,3.93221,-1.96608,3.27685
23,460.0,-1.96609,3.93221,-47.84128,3.27685
24,480.0,-1.96609,3.93222,-1.96608,3.93221
25,500.0,-1.96609,4.58758,-1.96608,4.58758
26,520.0,-2.62144,4.58758,-2.62143,3.93222
27,540.0,-2.62144,4.58759,-2.62143,4.58758
28,560.0,-2.62143,4.58759,-3.27679,3.93222
29,580.0,-3.27679,3.93223,-2.62142,2.62149
30,600.0,-1.96607,0.65541,-1.96607,-1.31069
31,620.0,9.83046,-5.89823,26.87012,-15.07334
32,640.0,28.83628,-15.72871,26.87017,-12.45189
33,660.0,26.87015,-11.79651,28.18088,-12.45189
34,680.0,28.18085,-11.79652,28.18085,-10.4858
35,700.0,28.18084,-11.14115,28.8362,-15.72871
36,720.0,29.49153,-19.00553,30.80226,-30.14673
37,740.0,38.01118,-64.22568,72.08982,-142.86922
38,760.0,106.82386,-245.10569,148.76736,-287.7043
39,780.0,179.57031,-287.04759,163.18676,-287.70238
40,800.0,148.11392,-287.04701,132.38562,-287.70238
41,820.0,125.17673,-287.04701,125.17678,-287.70238
42,840.0,120.58926,-287.04701,102.23888,-287.70238
43,860.0,80.61142,-287.04711,73.4022,-287.70374
44,880.0,70.12509,-287.04906,70.78003,-271.32067
45,900.0,77.98882,-247.72767,79.29936,-226.1007
46,920.0,77.98856,-203.81832,75.36709,-187.43419
