,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65537,0.0,0.65535999999999,9.9999999960687e-06
2,40.0,0.65537,0.0,0.0,9.9999999960687e-06
3,60.0,9.9999999960687e-06,-0.65535,9.9999999960687e-06,9.9999999960687e-06
4,80.0,0.65538,-0.65536,0.65537,-0.65536
5,100.0,3.0000000002417e-05,-0.65536,0.65538,-0.65536
6,120.0,3.0000000002417e-05,-0.65535,0.65539,-0.65535
7,140.0,3.9999999998486e-05,-0.65536,0.6554,-0.65535
8,160.0,0.6554,-1.31072,0.6554,-0.65536
9,180.0,0.65541,-1.31072,1.31076,-1.31071
10,200.0,0.65542,-1.31072,1.31077,-1.31071
11,220.0,0.65542,-1.31072,1.31078,-1.31072
12,240.0,0.65543,-1.31072,1.31079,-1.31072
13,260.0,0.65543,-1.96609,1.31078,-1.31072
14,280.0,0.65543,-1.31072,1.31078,-1.31072
15,300.0,0.65542,-1.31072,1.31079,-1.31072
16,320.0,0.65542,-1.31072,1.31078,-0.65537
17,340.0,0.65542,-0.65536,1.31078,-1.31072
18,360.0,0.65543,-1.31073,0.65542,-0.65536
19,380.0,0.65543,-1.31072,1.31079,-0.65536
20,400.0,0.65543,-0.65537,1.31078,-0.65537
21,420.0,0.65543,-0.65537,1.96614,-0.65536
22,440.0,0.65543,-0.65537,1.96614,-0.65537
23,460.0,1.31079,-0.65537,1.96613,-0.65537
24,480.0,0.65542,-0.65538,1.31077,-0.65537
25,500.0,0.65542,-1.31074,1.31077,-0.65537
26,520.0,0.65541,-0.65538,1.31077,-1.0000000003174e-05
27,540.0,0.65541,-0.65538,1.31077,-1.9999999999243e-05
28,560.0,0.65542,-0.65538,1.31077,-1.9999999999243e-05
29,580.0,1.31077,-0.65538,1.31077,-1.9999999999243e-05
30,600.0,0.65541,-0.65538,1.96613,-1.9999999999243e-05
31,620.0,1.31077,-1.9999999999243e-05,1.96613,-1.9999999999243e-05
32,640.0,0.65542,-1.9999999999243e-05,1.31077,-0.65538
33,660.0,1.31077,-0.65538,1.31076,-0.65538
34,680.0,0.65541,-0.65538,1.31077,-0.65538
35,700.0,0.65541,-0.65539,1.31077,-0.65539
36,720.0,0.65541,-0.65539,1.31076,-0.65539
37,740.0,1.31077,-1.31075,1.31076,-0.65539
38,760.0,1.31077,-1.31075,1.31076,-0.65539
39,780.0,0.6554,-1.31076,0.6554,-0.65539
40,800.0,1.31076,-1.31076,1.31076,-1.31075
41,820.0,0.6554,-1.31076,1.31075,-1.31075
42,840.0,0.6554,-1.31075,1.31075,-1.31075
43,860.0,0.6554,-1.31075,1.31075,-1.31075
44,880.0,0.65539,-1.31076,1.31075,-1.31075
45,900.0,0.65539,-1.31076,1.31074,-1.96611
46,920.0,0.65539,-1.31076,1.31074,-1.31075
47,940.0,0.65538,-1.31075,1.31074,-0.65539
48,960.0,0.65539,-0.65539,1.31074,-0.65539
49,980.0,0.65538,-0.65539,1.31074,-0.65539
50,1000.0,0.65538,-3.0000000002417e-05,1.31074,-1.9999999999243e-05
51,1020.0,0.65538,-3.0000000002417e-05,1.31073,-3.0000000002417e-05
52,1040.0,0.65538,-3.0000000002417e-05,2.62147,1.96606
53,1060.0,4.58763,3.93217,4.58763,3.93218
54,1080.0,3.93225,5.24291,4.5876,6.55364
55,1100.0,4.5876,7.86437,4.58759,8.51974
56,1120.0,3.93223,9.17511,4.58758,11.1412
57,1140.0,3.93222,12.45193,4.58757,13.1073
58,1160.0,3.93221,13.1073,4.58755,13.76268
59,1180.0,3.9322,13.76267,4.58756,13.76268
60,1200.0,-58.327,14.41803,4.58755,13.76268
61,1220.0,3.93219,14.41804,4.58755,14.41804
62,1240.0,3.93219,14.41804,4.58755,15.0734
63,1260.0,3.9322,15.0734,4.58755,15.72877
64,1280.0,3.9322,15.0734,4.58755,15.72876
65,1300.0,3.9322,15.72876,4.58755,15.72876
66,1320.0,3.9322,15.72877,4.58755,15.72877
67,1340.0,3.9322,15.72876,7.86439,15.72875
68,1360.0,15.07354,16.38409,17.69507,15.72872
69,1380.0,16.38435,15.07337,16.38432,15.72873
70,1400.0,16.38433,15.72873,16.38431,15.07336
71,1420.0,15.72896,14.41799,15.72895,14.418
72,1440.0,15.07359,13.10727,15.07358,12.45189
73,1460.0,14.41824,12.45189,14.41823,13.10726
74,1480.0,13.76288,12.45189,13.76287,11.79652
75,1500.0,12.45215,10.48579,13.10751,11.14115
76,1520.0,12.45216,11.14114,12.45215,10.48577
77,1540.0,11.7968,10.48578,12.45216,10.48577
78,1560.0,11.14144,9.8304,12.45218,11.14112
79,1580.0,15.72919,12.45183,15.72926,11.79646
80,1600.0,15.07388,13.10719,15.72922,13.1072
81,1620.0,15.07387,12.45183,15.72922,11.79647
82,1640.0,15.07387,11.1411,15.72922,10.48574
83,1660.0,15.07387,9.83038,15.72922,9.83038
84,1680.0,15.07386,9.17502,15.07386,8.51966
85,1700.0,14.4185,8.51965,17.69545,9.83036
86,1720.0,19.66167,9.17499,20.9724,9.17499
87,1740.0,20.31702,9.175,20.97237,9.83036
88,1760.0,20.31701,9.175,20.97237,9.17501
89,1780.0,20.31701,9.175,20.97236,9.175
90,1800.0,20.317,9.175,20.97235,9.17501
91,1820.0,20.317,8.51964,20.97235,8.51965
92,1840.0,20.317,7.86428,20.97235,8.51964
93,1860.0,20.317,7.86428,21.62771,8.51964
94,1880.0,20.31699,7.86428,20.97235,7.20892
95,1900.0,20.97235,7.20891,33.42437,9.83035
96,1920.0,45.87641,9.83035,47.18713,9.17499
97,1940.0,47.18711,9.17499,47.84247,9.17499
98,1960.0,47.84247,9.17499,47.84246,8.51963
99,1980.0,47.84245,8.51962,48.49782,8.51963
100,2000.0,47.84246,7.86426,47.84245,7.86426
101,2020.0,48.49782,7.86426,49.15317,7.86426
102,2040.0,48.49781,7.2089,49.15317,7.2089
103,2060.0,49.15318,7.2089,66.1927,9.17498
104,2080.0,82.57703,11.14104,88.47539,10.48568
105,2100.0,87.16464,10.48569,86.50925,11.14106
106,2120.0,86.50925,10.4857,86.50923,11.14105
107,2140.0,85.85387,10.48569,85.85385,10.48568
108,2160.0,85.19849,10.48568,85.85383,10.48569
109,2180.0,84.54312,10.48568,85.85382,10.48568
110,2200.0,84.54311,10.48568,85.19845,10.48568
111,2220.0,84.5431,10.48567,84.54309,10.48567
112,2240.0,83.88773,9.83031,94.37362,13.10711
113,2260.0,109.4473,14.41783,114.69028,13.76246
114,2280.0,113.37953,13.76248,114.03487,14.41784
115,2300.0,113.37951,14.41784,114.03485,14.41784
116,2320.0,113.37949,13.76247,114.03484,14.41783
117,2340.0,113.37948,13.76247,113.37947,13.76247
118,2360.0,113.37946,13.76246,113.37945,13.76247
119,2380.0,113.37945,14.41782,113.37944,14.41783
120,2400.0,112.72408,14.41782,112.06871,14.41783
121,2420.0,112.72408,14.41782,113.37943,14.41782
122,2440.0,112.72407,13.76246,112.72406,13.76246
123,2460.0,112.72407,13.76246,113.37942,14.41782
124,2480.0,112.72406,14.41781,113.37941,14.41782
125,2500.0,112.06869,13.76246,112.72405,13.76246
126,2520.0,112.72405,13.76246,113.37941,13.76246
127,2540.0,113.37941,13.76245,113.37941,13.1071
128,2560.0,106.17035,11.14104,76.67869,3.93211
129,2580.0,29.4923,-1.31072,4.58827,-4.58749
130,2600.0,3.27743,-2.62142,6.55423,-0.65533
131,2620.0,7.20958,3.9999999998486e-05,7.86491,0.65539
132,2640.0,7.20955,1.9999999999243e-05,7.86489,0.65537
133,2660.0,7.20951,0.65537,7.86486,1.31073
134,2680.0,7.20949,0.65536,7.20948,0.65536
135,2700.0,6.55412,0.65535,7.86483,0.65536
136,2720.0,6.55411,0.65535,7.86482,-1.0000000003174e-05
137,2740.0,7.20946,-1.9999999999243e-05,5.24329,-0.65534
138,2760.0,2.62179,-0.65535,2.62177,0.65537
139,2780.0,3.27713,1.9999999999243e-05,3.27712,1.9999999999243e-05
140,2800.0,3.27712,1.9999999999243e-05,3.93247,9.9999999960687e-06
141,2820.0,3.27711,9.9999999960687e-06,3.93247,9.9999999960687e-06
142,2840.0,3.27711,0.0,3.93246,0.65536
143,2860.0,3.2771,0.0,3.93246,0.0
144,2880.0,3.2771,0.0,3.93245,0.0
145,2900.0,3.27709,-1.0000000003174e-05,3.27709,-1.0000000003174e-05
146,2920.0,3.27709,-0.65537,3.27708,-1.0000000003174e-05
147,2940.0,3.27708,-0.65538,3.93243,-0.65538
148,2960.0,3.27707,-1.31074,3.93242,-0.65538
149,2980.0,3.93243,-0.65539,3.93242,-1.31074
150,3000.0,4.58782,-1.31076,10.48626,-5.000000000166e-05
151,3020.0,10.48634,-0.65543,10.48632,-1.31079
152,3040.0,9.83095,-0.65543,9.83094,-0.65543
153,3060.0,9.83095,-1.3108,9.83094,-1.3108
154,3080.0,9.17558,-1.96617,9.83093,-1.31081
155,3100.0,8.52021,-1.96618,9.17557,-1.96617
156,3120.0,8.5202,-1.96618,9.17555,-1.96618
157,3140.0,7.86484,-1.96619,9.17555,-2.62155
158,3160.0,10.48639,-0.65548,19.66173,1.31058
159,3180.0,23.59398,-0.65553,22.93857,-0.00014999999999787
160,3200.0,22.93857,-0.00014999999999787,23.59392,1.31057
161,3220.0,22.93856,0.6552,22.93854,0.6552
162,3240.0,22.93854,0.6552,22.93853,1.31056
163,3260.0,23.59389,0.65519,23.59388,0.6552
164,3280.0,22.93853,0.65519,23.59388,0.65519
165,3300.0,22.93852,0.65518,23.59386,0.65518
166,3320.0,22.93851,-0.00018000000000029,22.9385,-0.00018000000000029
167,3340.0,22.28315,-0.65555,22.9385,-0.00019000000000347
168,3360.0,22.28314,-0.65555,22.28313,-0.65556
169,3380.0,21.62777,-1.31092,22.28312,-0.65556
170,3400.0,22.28313,-1.31092,22.28312,-1.31092
171,3420.0,21.62777,-1.96629,22.28312,-1.31093
172,3440.0,21.62776,-1.96629,22.28312,-1.96629
173,3460.0,21.62776,-2.62166,30.1475,-0.65558
174,3480.0,49.15318,0.65514,55.05149,-0.65561
175,3500.0,53.74076,-1.31096,55.05146,-0.6556
176,3520.0,54.3961,-1.31096,55.05145,-0.6556
177,3540.0,54.39609,-1.31097,54.39608,-1.31096
178,3560.0,54.39608,-1.31096,55.05143,-1.96633
179,3580.0,53.74071,-1.96633,55.05143,-1.96633
180,3600.0,55.05143,-2.6217,55.05143,-1.96633
181,3620.0,54.39608,-2.6217,55.05142,-2.6217
182,3640.0,54.39606,-3.27706,55.05141,-2.62171
183,3660.0,53.74069,-3.27707,54.39605,-2.62171
184,3680.0,53.74069,-2.62171,54.39604,-2.62171
185,3700.0,53.74068,-2.62171,53.74068,-2.62171
186,3720.0,53.08532,-2.62171,53.74067,-2.62172
187,3740.0,54.39604,-3.27708,73.4017,-0.00028000000000361
188,3760.0,89.13068,1.3104,93.06294,-0.0003200000000021
189,3780.0,91.75218,-0.00030999999999892,91.75216,1.31042
190,3800.0,91.75216,0.65505,91.75213,0.65506
191,3820.0,91.09677,1.31041,91.75212,1.96577
192,3840.0,90.44139,1.31041,90.44138,1.31041
193,3860.0,90.44138,1.96577,90.44138,1.96577
194,3880.0,90.44137,1.3104,90.44137,1.96577
195,3900.0,89.78601,1.3104,90.44136,1.3104
196,3920.0,90.44136,0.65504,90.44135,1.3104
197,3940.0,89.786,1.3104,90.44135,1.3104
198,3960.0,89.78599,1.3104,90.44135,1.3104
199,3980.0,89.786,1.31039,89.78599,0.65504
200,4000.0,89.78599,0.65503,90.44135,0.65504
201,4020.0,89.78599,-0.00032999999999817,90.44134,0.65504
202,4040.0,89.78599,-0.00032999999999817,90.44134,-0.00032999999999817
