,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,1.31073,-0.65536,1.31073
2,40.0,0.0,1.9661,-0.65536,1.9661
3,60.0,1.0000000003174e-05,2.62147,-0.65536,2.62147
4,80.0,1.0000000003174e-05,3.27684,-0.65535,3.27684
5,100.0,1.0000000003174e-05,3.93277,-0.65535,3.9322
6,120.0,-0.65535,3.93221,-1.31071,4.58757
7,140.0,-0.65535,4.58757,-1.96607,4.58757
8,160.0,-0.65535,4.58758,-1.96607,5.24294
9,180.0,-0.65535,5.24294,-1.96607,5.24294
10,200.0,-1.31071,5.24294,-1.96607,5.24294
11,220.0,-1.31071,5.8983,-1.96607,5.24294
12,240.0,-1.31072,5.24294,-1.96608,5.24293
13,260.0,-1.31071,5.89885,-1.96608,5.89829
14,280.0,-1.31072,6.55365,-1.96608,5.89829
15,300.0,-1.31072,6.55366,-1.96609,6.55366
16,320.0,-0.65537,5.8983,-0.65537,6.55366
17,340.0,-1.0000000003174e-05,6.55366,-1.0000000003174e-05,6.55366
18,360.0,0.65535,7.20903,0.65535,7.86439
19,380.0,0.65535,7.86439,0.65535,7.86439
20,400.0,0.65535,8.51975,0.65534,7.86439
21,420.0,1.3107,7.86439,0.65535,7.86439
22,440.0,1.3107,7.8644,1.31071,7.86439
23,460.0,1.96607,7.8644,1.31071,7.8644
24,480.0,1.96607,7.8644,1.96607,8.51977
25,500.0,2.62143,9.17513,1.96607,9.83049
26,520.0,2.62143,11.14122,1.31071,11.14122
27,540.0,1.96607,11.79659,1.31071,11.7966
28,560.0,1.96608,11.7966,1.31072,12.45197
29,580.0,1.96609,13.10734,1.96609,13.76271
30,600.0,1.96609,13.76272,1.9661,14.41808
31,620.0,2.62146,15.07345,1.96611,15.72881
32,640.0,2.62147,16.38419,1.96611,17.03955
33,660.0,2.62148,17.69492,1.96612,18.35029
34,680.0,1.96612,19.00566,1.96612,19.66102
35,700.0,1.96613,20.31639,1.31077,20.31639
36,720.0,1.96613,20.97176,1.31077,21.62713
37,740.0,1.96614,22.28249,1.31078,22.2825
38,760.0,1.31079,22.93787,0.65543,22.93787
39,780.0,1.31079,24.24859,0.65543,24.2486
40,800.0,0.65543,25.55933,7.9999999996971e-05,26.21469
41,820.0,7.9999999996971e-05,26.2147,-0.65528,26.87006
42,840.0,9.0000000000146e-05,27.52543,-0.65527,27.52543
