,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,0.65535000000001,0.65537
2,40.0,-9.9999999960687e-06,0.0,0.65536,0.65537
3,60.0,0.0,1.0000000003174e-05,0.65535000000001,1.31073
4,80.0,-0.65537,1.0000000003174e-05,-9.9999999960687e-06,0.65538
5,100.0,-9.9999999960687e-06,0.65537,0.0,1.31074
6,120.0,-0.65537,0.65537,0.0,1.31074
7,140.0,-0.65537,0.65537,-0.65537,1.31073
8,160.0,-1.31074,0.65537,-1.9999999999243e-05,1.31073
9,180.0,-1.31074,0.65537,-9.9999999960687e-06,0.65538
10,200.0,-1.31074,0.65537,-0.65537,1.31074
11,220.0,-1.31073,2.0000000006348e-05,-0.65537,0.65538
12,240.0,-1.31073,1.31073,-0.65537,0.65538
13,260.0,-1.31073,0.65537,-0.65537,0.65538
14,280.0,-1.31073,1.0000000003174e-05,-1.31073,0.65538
15,300.0,-1.96609,0.65538,-0.65537,1.31074
16,320.0,-1.31073,2.0000000006348e-05,-1.31073,1.31075
17,340.0,-1.31073,0.65539,-0.65537,1.31074
18,360.0,-1.96609,0.65538,-1.31073,1.31075
19,380.0,-1.96608,1.31075,-1.31072,1.31075
20,400.0,-1.96608,0.65539,-1.31072,1.31075
21,420.0,-1.96608,0.65539,-1.31073,1.31075
22,440.0,-1.96608,0.65539,-1.31073,0.65539
23,460.0,-2.62145,0.65539,-1.96609,1.31075
24,480.0,-2.62144,0.65539,-1.31072,0.65539
25,500.0,-3.27682,0.65539,-9.17513,-0.65534
26,520.0,-15.07346,-1.31073,-14.4181,-1.31072
27,540.0,-14.4181,-1.31073,-13.76273,-0.65536
28,560.0,-14.4181,-1.31072,-13.76274,9.9999999960687e-06
29,580.0,-14.4181,-0.65535,-13.76274,9.9999999960687e-06
30,600.0,-15.07346,-0.65535,-13.76274,-0.65534
31,620.0,-14.4181,-0.65534,-13.76274,1.9999999999243e-05
32,640.0,-14.4181,-0.65535,-13.76273,1.9999999999243e-05
33,660.0,-15.07346,-0.65534,-13.76274,2.9999999995312e-05
34,680.0,-14.4181,-0.65534,-13.76274,1.9999999999243e-05
35,700.0,-14.4181,-0.65535,-13.76274,1.9999999999243e-05
36,720.0,-13.76274,-1.31071,-13.10739,-0.65535000000001
37,740.0,-13.76275,-0.65535,-13.10739,-0.65535000000001
38,760.0,-13.76276,-0.65535,-13.10739,-0.65535000000001
39,780.0,-13.10484,-1.31072,-3.93222,-1.9661
40,800.0,0.65541,-3.93219,0.65541,-3.27683
41,820.0,-0.65533,-3.93219,0.65539,-2.62147
42,840.0,-0.65533,-3.93218,3.0000000002417e-05,-2.62146
43,860.0,-0.65533,-3.27683,3.0000000002417e-05,-3.27682
44,880.0,-0.65533,-3.27682,2.0000000006348e-05,-2.62147
45,900.0,-0.65534,-3.27682,2.0000000006348e-05,-2.62146
46,920.0,-0.65535,-2.62146,0.65538,-1.9661
47,940.0,-0.65535,-2.62146,1.0000000003174e-05,-1.96609
48,960.0,-0.65535,-2.62146,0.65537,-1.9661
49,980.0,-2.62146,-2.62146,-9.83052,-2.62147
50,1000.0,-14.41812,-3.27684,-13.1074,-1.96611
51,1020.0,-13.1074,-1.96611,-13.10739,-1.31074
52,1040.0,-13.76276,-1.31074,-13.10739,-0.65537
53,1060.0,-13.76275,-1.31074,-13.10739,-0.65537
54,1080.0,-13.10738,-0.65537,-12.45202,0.0
55,1100.0,-12.45202,-9.9999999960687e-06,-11.79666,0.0
56,1120.0,-11.79665,0.0,-11.14128,0.65535999999999
57,1140.0,-12.45201,1.0000000003174e-05,-11.14128,0.65537
58,1160.0,-11.79664,0.65537,-11.14128,0.65537
59,1180.0,-11.79663,1.0000000003174e-05,-11.14127,0.65537
60,1200.0,-11.79663,1.0000000003174e-05,-11.14127,0.65537
61,1220.0,-11.79663,0.65538,-11.14128,0.65537
