,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65537,-1.31073,0.65536,0.0
2,40.0,0.65535999999999,-0.65537,0.0,1.31072
3,60.0,0.65537,0.65535,9.9999999960687e-06,1.96607
4,80.0,1.9999999999243e-05,0.65535,-0.65534,1.96607
5,100.0,3.9999999998486e-05,1.31071,-0.65532,1.96607
6,120.0,4.9999999994554e-05,1.31071,-1.31067,1.96607
7,140.0,-0.6553,1.3107,-1.31067,2.62143
8,160.0,-1.31066,2.62142,-2.62138,3.27679
9,180.0,-1.96601,1.96606,-2.62137,2.62141
10,200.0,-2.62136,2.62141,-3.27672,3.27677
11,220.0,-2.62134,1.96605,-3.27671,1.96604
12,240.0,-1.96597,1.31067,-2.62133,1.31067
13,260.0,-2.62133,-0.65541,-7.20888,-5.000000000166e-05
14,280.0,-6.55351,0.65531,-7.86423,1.96604
15,300.0,-7.20887,1.96606,-8.5196,3.27678
16,320.0,-8.51959,3.27678,-9.17496,4.58752
17,340.0,-8.5196,3.93216,-9.17498,5.2429
18,360.0,-8.51963,4.58755,-9.17503,7.86439
19,380.0,-8.51968,9.83051,-9.83045,13.76273
20,400.0,-9.8305,15.72887,-11.14129,20.97185
21,420.0,-12.45205,23.59338,-14.41817,27.5256
22,440.0,-15.72889,29.49172,-17.0396,31.45784
23,460.0,-16.38422,31.45785,-16.3842,32.11322
24,480.0,-15.07345,30.8025,-14.41808,32.11321
25,500.0,-13.10734,30.80248,-13.10733,32.1132
26,520.0,-11.79659,30.80247,-11.79659,30.80246
27,540.0,-11.14121,30.14709,-11.79657,30.14708
28,560.0,-11.1412,28.83635,-11.14121,28.83635
29,580.0,-10.48583,26.87026,-11.14121,26.87026
30,600.0,-10.48584,24.90417,-11.1412,24.90417
31,620.0,-10.48583,22.93808,-11.1412,23.59343
32,640.0,-10.48582,21.62734,-11.14119,21.62734
33,660.0,-9.83046,20.97197,-10.48581,21.62732
34,680.0,-9.17509,19.66123,-10.48581,20.31659
35,700.0,-9.83044,19.66123,-11.14116,19.00586
36,720.0,-9.83042,18.35049,-1.31068,19.6612
37,740.0,18.35028,20.97189,21.62713,20.97189
38,760.0,19.66105,20.31654,18.35033,20.9719
39,780.0,19.0057,20.31653,17.69497,20.97189
40,800.0,17.69497,20.31652,16.38425,21.62723
41,820.0,16.38426,20.31651,15.7289,20.97186
42,840.0,15.72891,20.3165,15.07355,20.31649
43,860.0,15.72891,19.66112,15.07354,19.66111
44,880.0,15.7289,19.00575,15.07354,19.66111
45,900.0,15.07354,18.35039,14.41817,19.00574
46,920.0,14.41818,17.69501,14.41817,17.695
47,940.0,14.41817,17.03963,13.76281,17.03962
48,960.0,13.10746,15.72889,15.7289,16.38424
49,980.0,34.73447,16.38422,37.35596,17.03958
50,1000.0,35.38987,15.0735,32.76842,15.72886
51,1020.0,33.42379,14.41814,31.45769,15.07349
52,1040.0,31.45769,14.41813,30.80231,14.41813
53,1060.0,30.8023,13.10741,30.14693,14.41813
54,1080.0,30.8023,13.1074,30.14692,13.76275
55,1100.0,30.80229,12.45202,30.14691,12.45202
56,1120.0,30.80228,11.1413,30.14691,11.79665
57,1140.0,31.45764,10.48592,30.80227,11.14128
58,1160.0,31.45763,9.83056,30.80226,9.83056
59,1180.0,31.45642,8.51983,30.80225,8.51983
60,1200.0,18.35034,6.55377,1.31085,6.55378
61,1220.0,-3.93207,5.24307,-4.58743,5.89843
62,1240.0,-3.27669,5.89843,-4.58743,6.5538
63,1260.0,-3.93206,5.89844,-4.58743,6.5538
64,1280.0,-3.2767,5.89843,-3.27671,5.89843
65,1300.0,-1.96598,4.5877,-1.96599,5.24305
66,1320.0,9.0000000000146e-05,3.93232,0.65545,3.27695
67,1340.0,20.97174,4.58764,42.5988,7.20906
68,1360.0,49.15246,5.24297,47.18638,5.24297
69,1380.0,47.84174,5.24297,47.84174,5.89833
70,1400.0,48.4971,5.24296,47.18637,5.89833
71,1420.0,47.84173,5.89833,47.18636,6.55369
72,1440.0,47.84172,5.89833,47.18635,6.55369
