,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-1.0000000003174e-05,1.0000000003174e-05,-0.65537
2,40.0,0.0,-1.0000000003174e-05,1.0000000003174e-05,-0.65537
3,60.0,0.0,-1.9999999999243e-05,1.0000000003174e-05,-0.65537
4,80.0,0.65536,-0.65538,0.65537,-1.31073
5,100.0,0.65536,-0.65538,0.65536,-1.31074
6,120.0,0.65535000000001,-1.31075,0.65536,-1.96612
7,140.0,1.31072,-1.31076,1.31072,-1.96612
8,160.0,1.31072,-1.31076,1.31072,-1.96612
9,180.0,1.31072,-1.31076,1.31072,-1.96612
10,200.0,1.31071,-1.31077,1.31072,-1.96613
11,220.0,1.31071,-1.96613,1.31071,-2.62149
12,240.0,1.96607,-1.96614,1.31071,-2.62149
13,260.0,1.3107,-1.31078,1.3107,-1.96614
14,280.0,1.3107,-1.31078,1.31069,-1.96614
15,300.0,1.31069,-1.31078,1.31069,-1.96613
16,320.0,0.65532,-1.31077,0.65532,-1.31076
17,340.0,0.65531,-1.31077,0.65532,-1.31076
18,360.0,0.65531,-0.65541,0.65532,-1.31076
19,380.0,0.65531,-0.6554,0.65531,-1.31076
20,400.0,0.6553,-0.6554,0.6553,-1.31076
21,420.0,0.6553,-0.6554,0.6553,-0.6554
22,440.0,0.65529,-0.6554,0.65529,-0.65541
23,460.0,0.65529,-0.65541,1.31065,-0.65541
24,480.0,1.31065,-0.65541,0.65529,-0.65542
25,500.0,1.31065,-6.0000000004834e-05,1.31065,-0.65542
26,520.0,0.65529,-0.65542,0.6553,-1.31078
27,540.0,1.31065,-0.65542,0.65529,-1.96615
28,560.0,1.31065,-0.65543,1.31064,-1.3108
29,580.0,1.31065,-0.65544000000001,1.31065,-1.96617
30,600.0,1.31064,-1.31081,1.31064,-1.31081
31,620.0,1.966,-1.31081,1.31064,-1.96618
32,640.0,1.31064,-1.31082,1.31064,-1.96617
33,660.0,1.31063,-1.31082,1.31063,-2.62153
34,680.0,1.31064,-1.96618,1.31064,-2.62154
35,700.0,1.966,-1.96619,1.31064,-2.62154
36,720.0,1.31064,-1.96618,1.31064,-2.62153
37,740.0,1.31064,-1.96617,0.65528,-1.96617
38,760.0,1.31064,-1.31081,0.65528,-1.31081
39,780.0,1.966,-0.00010000000000332,2.62137,0.65526000000001
40,800.0,3.93209,1.31061,4.58745,1.3106
41,820.0,5.89817,1.96595,6.55354,0.6552
42,840.0,7.86426,1.31054,9.17498,-0.00018999999999636
43,860.0,11.79644,0.65517,21.62699,-0.00018999999999636
44,880.0,30.14689,0.65519,28.18082,-0.0001399999999947
45,900.0,26.87005,1.31059,26.87006,1.31059
46,920.0,26.21471,1.31059,25.55935,0.65524000000001
47,940.0,24.90398,1.3106,24.90398,-0.00012999999999863
48,960.0,24.90399,0.65523,24.90399,-0.00011999999999546
49,980.0,25.55935,0.65524,25.55934,-0.00011999999999546
50,1000.0,25.55934,-0.00013000000000574,25.55934,-0.00012999999999863
51,1020.0,25.55934,0.65524,24.90398,-0.00010999999999939
52,1040.0,24.90398,0.65526,24.90398,0.65526000000001
53,1060.0,25.55935,0.65526999999999,36.70066,-9.9999999996214e-05
54,1080.0,67.50291,1.31063,74.71201,1.96604
55,1100.0,67.503,2.62142,65.5369,3.93217
56,1120.0,65.53692,4.58754,64.88156,3.9322
57,1140.0,64.22619,4.58755,64.22619,3.93219
58,1160.0,63.57083,4.58756,63.57083,4.58757
59,1180.0,63.57083,5.24292,63.57084,4.58757
60,1200.0,63.57083,5.24293,63.57084,4.58759
61,1220.0,63.57083,5.8983,63.57083,5.24296
62,1240.0,63.57083,5.89831,67.503,5.24295
63,1260.0,98.96054,7.86437,123.2093,9.17512
64,1280.0,125.1755,9.83052,120.58792,9.83055
65,1300.0,119.93254,11.14129,120.58792,11.14131
66,1320.0,119.93255,11.79667,119.93255,11.14132
67,1340.0,119.93254,12.45204,119.93254,12.45205
68,1360.0,119.27717,12.45205,120.5879,12.45206
69,1380.0,119.93253,13.10742,120.58789,13.10743
70,1400.0,120.58788,13.7628,120.58788,13.10745
71,1420.0,120.58788,13.76281,120.58788,13.76281
72,1440.0,125.17544,14.41817,138.93828,15.07355
73,1460.0,144.83674,16.38431,143.52602,15.72896
74,1480.0,142.21526,17.0397,142.21527,17.03971
75,1500.0,142.21527,17.69508,142.21527,17.03972
76,1520.0,142.21526,17.69508,142.21526,17.03973
77,1540.0,142.8706,17.69508,142.21524,17.03972
78,1560.0,142.8706,17.03971,142.21523,17.03971
79,1580.0,142.21523,17.69507,142.21522,17.03971
80,1600.0,140.9045,17.69506,140.90449,17.03969
81,1620.0,127.14165,12.45212,83.2318,2.62162
82,1640.0,18.35041,-4.58743,3.93214,-3.93207
83,1660.0,4.58754,0.65551,6.5537,1.31091
84,1680.0,5.89831,2.62166,5.8983,3.27702
85,1700.0,6.55367,3.93239,6.55367,3.93239
86,1720.0,7.20903,4.58775,7.20903,4.58776
87,1740.0,7.86439,5.24313,7.86439,4.58777
88,1760.0,7.86439,5.24313,7.86438,5.24314
89,1780.0,7.86438,5.8985,8.51974,5.89851
90,1800.0,7.86438,7.20963,7.86438,7.20927
91,1820.0,7.86438,7.86465,7.20902,8.52003
92,1840.0,7.20902,9.83077,7.20904,9.8308
93,1860.0,13.10747,13.10762,25.5596,15.07374
94,1880.0,28.18109,17.03985,25.55961,17.03989
95,1900.0,25.55962,18.35062,25.55963,19.00599
96,1920.0,25.55963,19.66136,24.90427,19.66137
