,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,9.9999999960687e-06,0.0,-0.65535999999999,0.0
2,40.0,9.9999999960687e-06,0.0,-0.65535,0.65536
3,60.0,-0.65535,0.0,-0.65535,0.0
4,80.0,-0.65535,0.0,-0.65535,0.0
5,100.0,-0.65535,-0.65535999999999,0.0,0.0
6,120.0,-1.0000000003174e-05,-0.65537,0.65534,-0.65535999999999
7,140.0,0.65535,-0.65535999999999,0.65534,0.0
8,160.0,1.31071,-0.65535999999999,1.31069,0.0
9,180.0,1.3107,-9.9999999960687e-06,1.31069,0.0
10,200.0,1.3107,0.0,1.31069,0.65536
11,220.0,0.65533,0.65536,0.65533000000001,0.65536
12,240.0,1.31069,0.0,0.65532,0.65536
13,260.0,1.31069,0.65536,1.31068,0.65536
14,280.0,1.31068,0.0,0.65532,0.65536
15,300.0,0.65532,0.65536,1.31068,2.62146
16,320.0,1.31068,3.93218,1.96603,3.93218
17,340.0,1.31068,3.93218,1.96603,3.93218
18,360.0,1.96604,3.93218,1.31067,3.93218
19,380.0,1.96605,3.93218,1.31068,3.93218
20,400.0,1.31069,3.27682,1.31068,3.27682
21,420.0,1.31069,3.27682,1.96605,3.27683
22,440.0,1.96605,3.27682,1.31068,3.27683
23,460.0,1.96605,3.27683,1.96605,3.9322
24,480.0,1.96605,3.27683,1.96605,3.27684
25,500.0,1.96606,3.27683,1.3107,3.27684
26,520.0,1.31071,3.27684,1.3107,3.27684
27,540.0,1.31072,3.27684,1.31071,2.62148
28,560.0,1.31072,1.96612,0.65536,2.62149
29,580.0,0.65537,2.62149,0.65536,3.27685
30,600.0,0.65537,2.62149,0.0,2.6215
31,620.0,0.65537,2.62149,7.86443,2.62148
32,640.0,16.38423,2.62147,17.03962,3.27684
33,660.0,15.7289,3.93219,15.72889,4.58756
34,680.0,16.38426,4.58755,15.7289,4.58756
35,700.0,15.7289,4.58755,15.7289,4.58755
36,720.0,15.72891,3.9322,15.7289,4.58756
37,740.0,15.72891,3.93219,15.7289,3.9322
38,760.0,15.72891,3.93219,15.72891,3.9322
39,780.0,15.72892,3.93219,15.07354,3.9322
40,800.0,15.72892,3.93219,15.73147,4.58756
41,820.0,15.72893,4.58755,15.07356,3.9322
42,840.0,15.07357,3.93219,15.72893,3.9322
43,860.0,15.07358,3.27683,15.07357,3.9322
44,880.0,15.07358,3.27684,15.07358,3.27684
45,900.0,15.07359,3.27683,15.07359,3.27684
46,920.0,13.10751,1.96613,5.24308,1.3108
47,940.0,1.31087,1.3108,1.31087,1.96617
48,960.0,1.96623,2.62152,1.96623,3.27688
49,980.0,1.96623,2.62151,1.96623,2.62152
50,1000.0,1.96623,2.62152,1.31087,2.62152
51,1020.0,1.31088,1.96615,1.96623,2.62152
52,1040.0,1.96623,2.62151,1.96622,1.96616
53,1060.0,3.27694,1.96615,3.27693,2.62152
