,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65536,0.65537,-1.0000000003174e-05,0.0
2,40.0,-1.31072,1.31074,-0.65537,1.31075
3,60.0,-1.31072,1.96612,-0.65537,1.9661
4,80.0,-1.31072,1.96612,-0.65537,1.96611
5,100.0,-1.31072,2.62148,-0.65537,3.27685
6,120.0,-1.31072,3.93222,-1.31073,3.93222
7,140.0,-1.96608,4.5876,-1.30819,4.58759
8,160.0,-1.96609,4.58761,-1.9661,4.5876
9,180.0,-1.96608,5.89834,-1.9661,5.24297
10,200.0,-2.62145,6.55371,-1.9661,5.89834
11,220.0,-3.27681,7.20908,-1.9661,5.89836
12,240.0,-3.27681,7.2091,-2.62146,7.2091
13,260.0,-3.27681,7.86448,-2.62146,7.2091
14,280.0,-3.27681,7.86448,-1.96609,6.55374
15,300.0,-2.62145,7.20911,-1.9661,5.89837
16,320.0,-2.62144,6.55374,-1.96609,5.243
17,340.0,-2.62144,5.89837,-1.96609,5.243
18,360.0,-2.62144,5.24301,-1.96609,4.58762
19,380.0,-2.62144,3.93227,-1.31072,2.62152
20,400.0,-1.96608,3.27689,-0.65536,1.96614
21,420.0,-1.31072,2.62152,-0.65536,1.96614
22,440.0,-1.31071,2.6215,-0.65536,1.96614
23,460.0,-1.31071,2.62152,-0.65536,1.96614
24,480.0,-1.96607,2.62151,-0.65536,1.96614
25,500.0,-1.31071,2.62151,-0.65536,2.6215
26,520.0,-1.31071,3.27687,-0.65535,2.6215
27,540.0,-1.31071,3.27688,-0.65536,2.62151
28,560.0,-1.31071,3.27688,-0.65535,2.62151
29,580.0,-1.96606,3.93225,-0.65535,2.62152
30,600.0,-1.3107,3.93225,-1.31071,3.27688
31,620.0,-1.96606,3.93225,-0.65534,3.93224
32,640.0,-1.96606,3.93225,-0.65534,3.27687
33,660.0,-1.96606,4.58761,-1.3107,4.5876
34,680.0,-1.96606,4.58762,-1.3107,3.93225
35,700.0,-1.96605,5.24298,-2.62143,4.5876
36,720.0,-12.45191,5.89834,-15.07339,6.55372
37,740.0,-15.72872,7.86447,-14.418,7.2091
38,760.0,-15.07337,7.2091,-15.07337,6.55373
39,780.0,-15.72872,7.86446,-14.418,7.20909
40,800.0,-15.07335,7.86447,-14.418,7.20909
41,820.0,-15.72871,7.2091,-14.418,6.55372
42,840.0,-14.41799,6.55373,-14.41799,5.89836
43,860.0,-15.07334,6.55372,-13.76263,5.89835
44,880.0,-14.41798,6.55372,-13.76262,5.24298
45,900.0,-15.07334,6.55372,-13.76262,5.89834
46,920.0,-14.41798,5.89835,-13.76263,5.89834
47,940.0,-14.41798,6.55371,-11.14117,5.24298
48,960.0,-5.24285,7.86446,-5.24284,7.20909
49,980.0,-7.20893,7.86447,-5.89822,7.20909
50,1000.0,-6.55358,7.86446,-5.89822,7.20909
51,1020.0,-6.55357,8.51983,-6.55358,7.2091
52,1040.0,-7.20894,7.86447,-5.89822,7.2091
53,1060.0,-6.55358,7.86446,-5.89822,6.55372
54,1080.0,-6.55357,6.55372,-5.24286,5.89835
55,1100.0,-5.89822,4.58761,-5.24287,2.6215
56,1120.0,-5.89822,3.27687,-5.24287,2.6215
57,1140.0,-6.55358,3.93223,-5.89823,3.27686
58,1160.0,-7.20895,3.93224,-7.20895,3.27687
59,1180.0,-7.86431,3.93224,-7.86431,3.93222
60,1200.0,-9.17503,4.5876,-1.96602,5.24297
61,1220.0,6.55381,7.86448,8.51994,8.51983
62,1240.0,5.89848,8.51985,6.55382,7.86446
