,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,9.9999999960687e-06,-0.65536
2,40.0,9.9999999960687e-06,-0.65537,0.65537,-0.65537
3,60.0,0.65537,-0.65537,0.65537,-0.65537
4,80.0,0.65537,-1.31073,0.65537999999999,-1.31073
5,100.0,0.65537,-1.31074,0.65537,-1.31074
6,120.0,0.65537999999999,-1.31074,1.31074,-1.31074
7,140.0,0.65537999999999,-1.96609,0.65537999999999,-1.9661
8,160.0,0.65539,-1.31074,0.65537999999999,-1.31074
9,180.0,0.65539,-1.96611,0.65539,-1.9661
10,200.0,0.65539,-1.96611,0.65539,-1.9661
11,220.0,0.65539,-1.96611,0.65539,-1.9661
12,240.0,0.6554,-1.31074,0.6554,-1.31074
13,260.0,0.65541,-1.31074,0.65541,-0.65538
14,280.0,0.65541,-1.31074,0.65541,-1.31074
15,300.0,0.65542,-1.0000000003174e-05,1.96616,2.62146
16,320.0,1.96618,2.62146,1.96619,2.62146
17,340.0,2.62156,2.62147,2.62156,2.62147
18,360.0,2.62156,2.62147,2.62157,3.27684
19,380.0,2.62156,3.27684,2.62156,3.27684
20,400.0,2.62157,61.60388,1.9662,3.27685
21,420.0,1.9662,3.9322,1.31084,3.93221
22,440.0,0.65548,3.93221,4.58767,3.93222
23,460.0,17.0397,2.62152,19.6612,2.62151
24,480.0,17.03973,3.27687,17.69508,3.93224
25,500.0,17.69508,3.93225,17.69507,3.93225
26,520.0,17.69507,3.93226,17.69507,4.58763
27,540.0,17.69507,3.93227,17.69507,4.58763
28,560.0,18.35044,5.24299,17.69508,5.243
29,580.0,17.69509,5.89836,18.35045,5.89836
30,600.0,18.35046,6.55372,18.35046,6.55373
31,620.0,18.35046,6.55372,18.35047,6.55373
32,640.0,17.6951,6.55373,17.69511,6.55373
33,660.0,17.69511,7.20909,19.00585,7.86446
34,680.0,19.66123,7.20909,19.66123,7.20909
35,700.0,19.66123,7.86445,19.66123,7.86446
36,720.0,19.66123,7.86446,19.66123,7.86446
37,740.0,19.66123,7.86446,19.66123,8.51982
38,760.0,19.66123,7.86446,19.66123,8.51983
39,780.0,19.66123,9.17519,19.66123,9.17519
40,800.0,19.66123,8.51983,20.97196,61.60399
41,820.0,33.42395,9.83058,43.25451,9.17522
42,840.0,42.59916,8.51985,42.59916,9.17521
43,860.0,42.59916,9.17521,43.25453,9.83058
44,880.0,42.59917,9.83058,42.59916,10.48595
45,900.0,43.25452,9.83059,42.59917,10.48595
46,920.0,42.59917,10.48595,42.59917,10.48595
47,940.0,42.59917,10.48596,42.59917,11.14132
48,960.0,42.59917,11.14132,41.94382,11.14132
49,980.0,41.94382,11.14133,41.94382,11.14133
50,1000.0,42.59918,11.14133,53.08508,11.7967
51,1020.0,62.91566,11.14135,-42.59724,11.14135
52,1040.0,64.22644,11.7967,64.22644,11.79671
53,1060.0,64.8818,11.79671,64.22644,11.79672
54,1080.0,64.22644,11.79673,64.22644,12.45209
55,1100.0,64.22644,12.4521,64.22644,12.4521
56,1120.0,64.22644,13.10747,64.22644,13.10747
57,1140.0,63.57108,13.10747,62.91572,13.76284
58,1160.0,62.91572,13.76284,62.91572,14.41821
59,1180.0,63.57108,14.41821,70.78015,15.72896
60,1200.0,79.95536,15.72896,80.61077,15.0736
61,1220.0,79.30003,15.72896,78.64467,16.38433
62,1240.0,79.30004,17.03969,78.64468,17.0397
63,1260.0,78.64468,17.04001,78.64468,17.03971
64,1280.0,78.64468,17.03971,78.64468,17.69507
65,1300.0,77.98931,17.69507,77.98932,17.69507
66,1320.0,77.98932,17.69507,78.64467,17.69508
67,1340.0,78.64466,17.69508,79.30002,17.69508
68,1360.0,79.95537,17.69508,80.61073,17.69509
69,1380.0,79.95537,17.69509,80.61073,18.35046
70,1400.0,80.61073,17.6951,80.61073,18.35047
71,1420.0,80.61073,18.35048,80.61073,19.00584
72,1440.0,80.61073,18.35048,80.61073,18.35048
73,1460.0,80.61073,18.35048,79.95537,19.00585
74,1480.0,81.92146,19.00584,94.37352,19.00588
75,1500.0,102.89339,18.35054,100.27195,19.00589
76,1520.0,98.30585,19.66125,98.96121,19.66126
77,1540.0,99.61657,19.66125,98.96121,20.31662
78,1560.0,99.61657,19.66126,99.61657,19.66127
79,1580.0,99.61657,19.66126,98.96121,19.66127
80,1600.0,99.61657,19.66127,99.61656,19.66127
81,1620.0,99.61656,19.00591,99.61656,19.66127
82,1640.0,100.27191,19.00591,99.61656,19.66127
83,1660.0,100.27192,19.66127,100.27192,19.00591
84,1680.0,100.27192,19.00591,100.27192,19.66127
85,1700.0,100.27192,19.66127,100.27193,19.66128
86,1720.0,100.92729,19.66128,100.27193,19.66128
87,1740.0,100.27193,19.00591,88.47524,18.35049
88,1760.0,52.42979,15.72891,11.7969,14.41807
89,1780.0,-8.51951,17.03945,-7.20876,19.6609
90,1800.0,-4.58727,19.66091,-4.58728,19.00554
91,1820.0,-3.27656,18.35018,-1.96584,16.38408
92,1840.0,-0.65512,13.76261,0.6556,11.14116
93,1860.0,1.31097,8.51969,1.96634,6.5536
94,1880.0,1.96635,5.24286,3.27708,5.24285
95,1900.0,-1.96584,9.17504,-4.58731,10.48577
96,1920.0,-3.93192,9.17505,-3.27655,9.17505
97,1940.0,-3.27655,9.83041,-3.93191,9.83042
98,1960.0,-3.93191,9.17506,-3.9319,9.83043
99,1980.0,-4.58726,10.4858,-5.89798,11.14117
100,2000.0,-5.24262,11.14117,-5.89798,11.79653
101,2020.0,-5.89799,11.79654,-5.898,12.45191
102,2040.0,-5.89801,12.45192,-5.89802,13.76265
103,2060.0,-5.89803,15.0734,-6.5534,17.03949
104,2080.0,-6.5534,17.69487,-7.20876,19.0056
105,2100.0,-4.5873,20.9717,0.00030999999999892,21.62709
106,2120.0,1.31106,22.28246,0.65569,23.59319
107,2140.0,0.65569,23.5932,0.65568,24.90392
108,2160.0,0.00032999999999817,24.90394,0.65568,24.90394
109,2180.0,0.00031999999999499,24.90395,-0.65504000000001,25.55932
110,2200.0,0.00031999999999499,25.55933,-0.65504000000001,26.21468
111,2220.0,1.31105,25.55933,11.79698,24.90399
112,2240.0,19.66141,24.90399,19.00606,25.55935
113,2260.0,19.00606,26.21471,19.00606,26.87008
114,2280.0,19.00606,26.87008,19.00606,26.87009
115,2300.0,19.00606,27.52545,19.00606,28.18081
116,2320.0,19.66142,28.18081,19.00606,28.83618
117,2340.0,19.00606,28.18082,19.00605,28.83618
118,2360.0,19.00605,28.83619,19.00605,29.49155
119,2380.0,21.62751,29.49156,33.42415,29.49159
120,2400.0,39.97785,28.83623,39.97787,28.83623
121,2420.0,39.97787,28.83623,40.63579,29.49159
122,2440.0,40.63323,29.4916,40.63324,29.4916
123,2460.0,40.63324,29.49161,40.63324,30.14697
124,2480.0,40.63324,30.14697,40.63324,30.14697
125,2500.0,39.97788,30.80233,39.97788,30.80233
126,2520.0,39.97788,30.14697,39.97788,30.80233
127,2540.0,39.97787,30.80233,39.32252,30.80233
128,2560.0,43.91009,30.80234,49.15308,29.49163
129,2580.0,48.49773,29.49163,47.84235,30.14699
130,2600.0,48.49772,30.14698,48.49772,30.14699
131,2620.0,47.84235,30.14699,47.84236,30.14699
132,2640.0,47.84236,30.14698,47.84235,30.14698
133,2660.0,47.84235,30.14698,47.84235,29.49163
134,2680.0,47.84234,29.49162,48.49769,29.49162
135,2700.0,49.15305,28.83627,49.15304,28.83627
136,2720.0,49.8084,28.83627,49.80839,28.83627
137,2740.0,49.80839,28.18091,49.15303,28.18091
138,2760.0,49.15302,27.52555,56.36205,26.87019
139,2780.0,72.09091,24.90412,78.64466,24.90413
140,2800.0,76.67858,24.90412,75.36785,25.55949
141,2820.0,76.02321,25.55949,76.67857,25.55949
142,2840.0,76.02322,26.21485,76.02321,26.21485
143,2860.0,76.02321,26.21505,76.02321,26.87022
144,2880.0,76.67857,26.87022,76.02321,27.52558
145,2900.0,76.67857,26.87022,76.02321,27.52558
146,2920.0,76.67857,26.87022,76.02321,27.52558
147,2940.0,76.0232,26.87021,76.0232,26.87021
148,2960.0,76.0232,26.87021,76.0232,26.87021
149,2980.0,76.02319,26.21484,76.02319,26.8702
150,3000.0,75.36783,26.21484,75.36782,26.21484
151,3020.0,79.30003,26.21485,88.47524,27.52561
152,3040.0,90.4414,27.5256,89.13066,28.18096
153,3060.0,88.47529,28.83632,89.78602,28.83632
154,3080.0,89.78601,28.83632,89.13065,28.83632
155,3100.0,89.78601,29.49168,89.78601,29.49168
156,3120.0,89.78602,30.14703,89.78602,30.14704
157,3140.0,89.78602,30.14703,90.44138,30.14703
158,3160.0,89.78602,30.14703,90.44138,30.14703
159,3180.0,89.78602,30.14703,89.78603,30.14703
160,3200.0,89.78602,30.14702,90.44139,29.49166
161,3220.0,90.44139,28.83629,81.92411,24.9041
162,3240.0,49.15301,22.28255,5.24329,23.59321
163,3260.0,-18.34998,27.52533,-22.28217,28.1807
164,3280.0,-19.0053,28.83608,-19.0053,28.83609
165,3300.0,-18.34994,28.8361,-17.69457,29.49146
166,3320.0,-16.38385,28.8361,-15.72848,28.8361
167,3340.0,-15.07312,28.8361,-13.76241,28.18074
168,3360.0,-13.10705,28.18074,-13.10705,28.18074
169,3380.0,-11.79633,27.52538,-11.79633,27.52538
170,3400.0,-11.14097,27.52538,-11.14097,26.87002
171,3420.0,-10.48561,26.87002,-11.14097,26.87003
172,3440.0,-10.48561,26.87002,-10.4856,26.87002
173,3460.0,-9.83024,26.87001,-5.89801,26.87004
174,3480.0,-4.58726,26.21467,-3.93189,26.21467
175,3500.0,-3.93189,26.21467,-3.27652,26.21467
176,3520.0,-3.27652,26.21467,-3.27652,26.21468
177,3540.0,-3.27652,25.55931,0.65566999999999,26.21469
178,3560.0,13.10769,25.55935,17.03993,24.24861
179,3580.0,15.07383,24.24861,15.07383,24.24861
180,3600.0,15.07383,24.24861,15.07383,24.24861
181,3620.0,15.07382,24.24861,15.07383,24.90397
182,3640.0,15.07382,24.90397,15.07382,25.55933
183,3660.0,15.07382,24.90398,15.07382,24.90398
184,3680.0,15.07382,24.90398,15.72918,24.90398
185,3700.0,15.72917,24.90398,15.07382,24.90398
