,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65535,0.0,0.65537,0.0
2,40.0,0.65535,9.9999999960687e-06,0.65536,0.65536
3,60.0,0.65534,9.9999999960687e-06,0.65536,0.65537
4,80.0,0.65535,0.65537,0.65536,0.65536
5,100.0,-1.0000000003174e-05,0.65537,0.0,0.65537
6,120.0,-1.0000000003174e-05,9.9999999960687e-06,0.65536,0.0
7,140.0,0.65536,-0.65535,0.65537,-0.65536
8,160.0,0.65536,-1.31072,0.65537,-1.96608
9,180.0,0.65535,-1.96607,0.65537,-1.96608
10,200.0,0.65536,-1.31072,0.65537,-0.65536
11,220.0,0.65536,-1.31072,0.65537,-1.31072
12,240.0,0.65536,-1.31072,0.65537,-1.96608
13,260.0,0.65536,-1.96608,0.65537,-1.31072
14,280.0,0.65535,-1.96607,0.65537,-1.96608
15,300.0,0.65536,-2.62143,0.65537,-1.96608
16,320.0,0.65536,-2.62144,0.65537,-1.96608
17,340.0,0.65536,-2.62143,0.65538,-1.96608
18,360.0,0.65537,-2.62143,0.65538,-1.96608
19,380.0,0.65537,-2.62144,3.0000000002417e-05,-3.2768
20,400.0,9.9999999960687e-06,-3.2768,3.0000000002417e-05,-2.62144
21,420.0,9.9999999960687e-06,-3.2768,-0.65533,-2.62144
22,440.0,1.9999999999243e-05,-3.2768,-0.65533,-3.2768
23,460.0,-0.65534,-3.93216,-0.65533,-3.2768
24,480.0,-1.3107,-3.93216,-1.31069,-3.27681
25,500.0,-1.31069,-3.93216,-1.31069,-3.93216
26,520.0,-1.3107,-3.93216,-1.31068,-3.27681
27,540.0,-1.96605,-3.2768,3.2769,-0.65535
28,560.0,7.86451,-0.65534,6.5538,0.65537
29,580.0,6.55378,1.31074,6.55379,1.9661
30,600.0,6.55378,1.9661,5.89843,1.96609
31,620.0,6.55378,1.9661,5.89843,1.96609
32,640.0,5.89842,1.9661,5.89843,2.62146
33,660.0,5.89843,1.9661,5.89844,2.62146
34,680.0,5.89843,1.9661,5.89844,2.62146
35,700.0,5.89843,2.62146,5.24309,2.62146
36,720.0,5.24307,1.9661,5.24309,1.96609
37,740.0,5.89843,1.31073,5.89844,1.0000000003174e-05
38,760.0,6.55379,-0.65535,3.27696,-0.65534
39,780.0,1.31084,-0.65533,2.62158,1.9999999999243e-05
40,800.0,3.27693,-0.65533,3.93231,1.9999999999243e-05
41,820.0,3.9323,-0.65534,3.93231,-0.65534
42,840.0,14.4182,3.9999999998486e-05,20.31657,3.9999999998486e-05
43,860.0,19.6612,3.9999999998486e-05,19.66118,1.31076
44,880.0,19.0058,1.31076,19.66118,1.96612
45,900.0,19.66117,0.6554,19.66118,1.96612
46,920.0,19.66116,1.96612,19.66117,1.96612
47,940.0,19.66115,1.96612,19.66116,2.62148
48,960.0,19.66115,3.27685,19.66116,3.27684
49,980.0,19.66115,2.62149,19.66116,3.27684
50,1000.0,19.66114,3.27685,19.66115,3.27684
51,1020.0,19.66113,2.62148,19.66115,2.62148
52,1040.0,19.00578,2.62148,22.28262,2.62148
53,1060.0,34.07929,3.93222,44.56527,4.58759
54,1080.0,48.4975,4.5876,48.4975,5.24295
55,1100.0,48.49748,5.24295,48.4975,5.89831
56,1120.0,49.15285,6.55367,49.15286,6.55367
57,1140.0,49.15284,6.55367,49.15286,7.20903
58,1160.0,49.15285,7.20903,49.15286,7.86439
59,1180.0,49.8082,7.86439,49.80821,8.51975
60,1200.0,49.8082,8.51975,49.80821,9.83047
61,1220.0,49.8082,9.83047,49.15285,10.48583
62,1240.0,49.15284,10.48583,49.15285,10.48583
63,1260.0,49.15283,10.48583,49.15284,11.14119
64,1280.0,49.15283,10.48583,50.46357,11.14119
65,1300.0,62.91559,13.10731,72.74621,13.10732
66,1320.0,76.02309,13.76269,76.67844,15.07341
67,1340.0,76.02306,15.72878,76.02307,17.0395
68,1360.0,76.67841,18.35022,77.33378,20.3163
69,1380.0,77.33376,21.62703,77.33376,23.59311
70,1400.0,77.33375,24.24847,77.33375,25.55919
71,1420.0,77.33373,26.21455,77.33375,28.18064
72,1440.0,77.33373,28.836,77.9891,30.14672
73,1460.0,77.98908,30.80209,77.98909,32.1128
74,1480.0,77.98908,32.76816,77.98909,33.42352
75,1500.0,77.98907,33.42352,78.64443,33.42352
76,1520.0,78.64442,33.42352,79.29979,34.07889
77,1540.0,79.95514,33.42353,79.95514,34.07889
78,1560.0,79.95512,34.73425,79.95513,34.73425
79,1580.0,79.9551,34.73425,79.95512,35.38961
80,1600.0,79.29973,34.73424,78.64438,34.73424
81,1620.0,85.19806,34.73426,94.37331,34.73427
82,1640.0,99.61629,34.07891,99.6163,34.73427
83,1660.0,98.9609,34.73427,98.30556,34.73426
84,1680.0,98.9609,34.73426,98.30555,34.73425
85,1700.0,98.30554,34.73425,98.30554,34.73425
86,1720.0,97.65017,34.07889,96.99481,33.42352
87,1740.0,96.9948,32.76816,95.68408,32.11279
88,1760.0,95.68406,30.80207,94.37334,30.1467
89,1780.0,93.06259,27.52525,93.06259,25.55916
90,1800.0,91.75185,20.97162,90.44113,19.00552
91,1820.0,89.13039,16.38407,87.81966,14.41798
92,1840.0,86.50892,11.14117,84.54285,8.51971
93,1860.0,83.23211,5.24291,73.40161,3.0000000002417e-05
94,1880.0,40.63316,-11.14111,3.27718,-20.31618
95,1900.0,-23.59289,-24.24833,-28.18046,-23.593
96,1920.0,-25.55901,-22.28227,-24.24827,-20.97156
97,1940.0,-24.90365,-19.66084,-24.90364,-18.35013
98,1960.0,-24.2483,-17.0394,-23.59293,-16.38404
99,1980.0,-23.59294,-15.07333,-22.93757,-13.76261
100,2000.0,-22.93759,-13.10725,-23.59294,-12.45189
101,2020.0,-22.93759,-12.45189,-23.59295,-11.14117
102,2040.0,-23.59297,-11.14117,-23.59296,-10.48581
103,2060.0,-27.52517,-11.79652,-41.28789,-13.7626
104,2080.0,-42.59863,-13.7626,-40.63253,-11.79652
105,2100.0,-39.97719,-11.14116,-39.97718,-9.83044
106,2120.0,-40.63256,-9.83044,-41.28791,-9.17509
107,2140.0,-40.63256,-9.83044,-40.63255,-9.83044
108,2160.0,-41.28793,-9.83044,-41.28792,-9.83044
109,2180.0,-41.28794,-10.4858,-40.63258,-10.48581
110,2200.0,-40.6326,-11.14116,-40.6326,-10.4858
111,2220.0,-40.63261,-11.79652,-38.6665,-11.14116
112,2240.0,-28.83597,-9.83043,-21.62688,-9.83043
113,2260.0,-20.31616,-9.83042,-20.97154,-9.17508
114,2280.0,-20.97156,-9.17507,-20.97156,-8.51971
115,2300.0,-20.97158,-9.17507,-20.97158,-8.51971
116,2320.0,-21.62695,-8.51971,-21.62694,-8.51972
117,2340.0,-21.62696,-9.17507,-21.62695,-8.51972
118,2360.0,-21.62696,-9.17507,-20.97159,-8.51972
119,2380.0,-20.97161,-8.51971,-20.97159,-8.51972
120,2400.0,-21.62697,-9.17508,-15.07328,-7.86436
121,2420.0,0.65559,-6.55363,13.10768,-5.89825
122,2440.0,15.72915,-6.55361,15.07378,-5.24291
123,2460.0,15.07376,-5.2429,15.72912,-4.58754
124,2480.0,15.72911,-3.93218,15.72912,-3.93219
125,2500.0,15.7291,-3.93219,15.72911,-3.27683
126,2520.0,15.72909,-3.93218,16.38446,-3.27683
127,2540.0,16.38445,-3.93219,16.38446,-3.27683
128,2560.0,16.38445,-3.27683,16.38446,-3.27683
129,2580.0,16.38444,-3.27683,15.72909,-2.62147
130,2600.0,16.38444,-2.62147,15.72909,-2.62148
131,2620.0,16.38444,-2.62147,15.72908,-1.96612
132,2640.0,15.72907,-2.62148,15.72909,-2.62148
133,2660.0,18.35053,-1.96612,32.11331,-1.31074
134,2680.0,46.53147,-3.27681,54.39595,-2.62145
135,2700.0,54.39593,-2.62145,53.74058,-1.96609
136,2720.0,54.39592,-1.31073,54.39594,-1.31073
137,2740.0,55.05129,-1.31073,55.0513,-0.65538
138,2760.0,55.05129,-0.65537,55.05131,-1.9999999999243e-05
139,2780.0,55.0513,0.65535,55.05131,0.65534
140,2800.0,55.70666,-1.9999999999243e-05,55.70668,1.31071
141,2820.0,55.70667,1.31071,56.36204,1.96607
142,2840.0,55.70667,1.96607,55.70668,2.62143
143,2860.0,56.36203,1.3107,56.36203,1.3107
144,2880.0,58.32812,-1.0000000003174e-05,62.91572,0.65536
145,2900.0,64.88182,0.65537,65.53718,1.31072
146,2920.0,65.53715,0.65535999999999,65.53716,0.65535
147,2940.0,64.88179,-1.31073,53.74055,-5.24288
148,2960.0,20.97208,-14.41793,-14.4178,-20.31618
149,2980.0,-32.76811,-21.62689,-32.11275,-17.69473
150,3000.0,-28.83594,-15.72865,-27.52523,-13.76257
151,3020.0,-27.52525,-11.79649,-26.86989,-10.48577
