,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-0.65537,0.0,-0.65536
2,40.0,0.65536,-1.31073,-0.65536,-1.9661
3,60.0,-1.0000000003174e-05,-2.62147,-0.65537,-3.27682
4,80.0,-1.0000000003174e-05,-3.27682,-0.65537,-3.27683
5,100.0,-1.0000000003174e-05,-3.93219,-0.65537,-4.58755
6,120.0,-1.0000000003174e-05,-4.58756,-0.65537,-5.24292
7,140.0,0.65535,-5.89829,-1.0000000003174e-05,-5.89829
8,160.0,1.3107,-6.55366,1.3107,-6.55366
9,180.0,2.62142,-7.86439,3.27677,-7.86439
10,200.0,11.79652,-8.51975,28.1808,-9.83047
11,220.0,41.94361,-9.83045,44.56517,-8.5197
12,240.0,45.22054,-6.55361,44.56519,-5.24289
13,260.0,45.87591,-4.58752,45.22055,-3.2768
14,280.0,45.87591,-3.27679,45.22056,-2.62144
15,300.0,46.53127,-1.96608,45.87592,-1.96607
16,320.0,46.53128,-1.31071,46.53129,-0.65535
17,340.0,47.18665,-0.65535,46.5313,1.0000000003174e-05
18,360.0,47.84202,-0.65534,47.84202,1.9999999999243e-05
19,380.0,47.84203,0.65538,47.84203,1.9999999999243e-05
20,400.0,40.63283,1.9999999999243e-05,15.07342,1.31077
21,420.0,3.27678,4.58761,1.31073,8.51981
22,440.0,1.9661,9.83055,1.31075,10.48592
23,460.0,1.9661,11.14128,0.65537,11.14129
24,480.0,1.31072,11.14129,0.65534,11.1413
25,500.0,1.31068,10.48593,0.65532,10.48593
26,520.0,1.31067,10.48593,0.6553,9.83056
27,540.0,1.31065,9.83056,0.65528999999999,9.1752
28,560.0,1.966,8.51983,1.31065,9.17519
29,580.0,2.62136,8.51982,1.31065,9.17519
30,600.0,2.62137,9.17519,1.96601,9.17519
31,620.0,3.27674,9.83055,1.96603,9.83055
32,640.0,3.27674,9.83054,2.62139,9.17518
33,660.0,3.27675,9.17518,2.62139,9.83054
34,680.0,3.27675,9.83054,2.6214,9.83055
35,700.0,3.27675,9.83054,2.6214,10.48591
36,720.0,-48.49668,9.83055,1.96604,10.48591
37,740.0,2.62141,10.48591,1.96606,11.14128
38,760.0,2.62141,10.48592,1.31069,10.48592
