,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-9.9999999960687e-06,0.0,-0.65536,0.0
2,40.0,-9.9999999960687e-06,-9.9999999960687e-06,-0.65537,-0.65536
3,60.0,-0.65537,-9.9999999960687e-06,-1.0000000003174e-05,0.0
4,80.0,-0.65537,0.65536,-0.65536,0.0
5,100.0,-9.9999999960687e-06,1.31072,-0.65536,0.65536
6,120.0,-0.65537,1.31073,-0.65536,0.65537
7,140.0,-0.65537,1.31072,-1.31073,1.31073
8,160.0,-1.31073,1.96609,-1.31072,1.31073
9,180.0,-1.31073,1.96609,-1.96609,1.31074
10,200.0,-1.31073,1.9661,-1.31073,1.31074
11,220.0,-1.31074,1.96609,-1.31073,1.31073
12,240.0,-0.65537,1.96609,-0.65536,1.9661
13,260.0,-9.9999999960687e-06,1.96609,0.0,1.31073
14,280.0,-9.9999999960687e-06,1.96609,-1.0000000003174e-05,1.31073
15,300.0,-9.9999999960687e-06,1.96609,0.0,1.96609
16,320.0,-1.9999999999243e-05,2.62145,0.0,1.96609
17,340.0,-9.9999999960687e-06,2.62145,0.65535999999999,1.96609
18,360.0,0.65536,2.62145,0.65535999999999,1.96609
19,380.0,0.65535,1.96609,1.31073,1.96609
20,400.0,0.65535,2.62145,-2.62147,2.62146
21,420.0,-7.86443,3.93219,-8.5198,3.93219
22,440.0,-7.86443,5.24291,-7.86443,4.58755
23,460.0,-8.51979,3.93219,-8.51978,3.27682
24,480.0,-7.86444,3.27682,-7.86442,3.27681
25,500.0,-7.86443,3.27681,-7.86443,3.27681
26,520.0,-7.86443,3.27681,-7.86442,2.62145
27,540.0,-7.86443,3.27681,-8.51978,2.62145
28,560.0,-7.86444,3.27681,-7.86442,2.62146
29,580.0,-7.86443,3.27681,-7.86442,2.62145
30,600.0,-7.86443,3.2768,-7.86441,2.62145
31,620.0,-7.86443,3.27681,-7.86441,3.2768
32,640.0,-7.86442,3.2768,-7.86442,2.62144
33,660.0,-7.86443,3.27679,-7.86442,2.62143
34,680.0,-7.86443,2.62143,-7.86443,2.62143
35,700.0,-8.51979,3.27679,-8.51978,1.96607
36,720.0,-8.5198,2.62142,-8.51979,2.62143
37,740.0,-8.5198,3.27746,-8.51979,2.62143
38,760.0,-9.17516,3.27678,-9.17515,2.62142
39,780.0,-9.17516,3.27679,-9.17515,1.96606
40,800.0,-9.17516,2.62142,-9.17515,1.96606
41,820.0,-9.17516,2.62142,-9.83051,1.96606
42,840.0,-9.83052,2.62142,-9.83051,1.96606
43,860.0,-10.48588,1.96606,-9.83051,1.96606
44,880.0,-5.24293,3.2768,-1.96607,3.27682
45,900.0,-2.62143,3.93218,-2.62143,3.27683
46,920.0,-3.2768,3.93218,-3.27679,3.93218
47,940.0,-3.2768,3.27682,-3.27679,2.62146
48,960.0,-3.27681,3.27682,-2.62144,2.62146
49,980.0,-2.62144,3.27682,-2.62144,2.62146
50,1000.0,-1.96609,2.62145,-1.96608,1.96609
51,1020.0,-1.96609,2.62145,-1.96608,2.62146
52,1040.0,-1.96608,3.27682,-1.96608,2.62146
53,1060.0,-1.96608,3.27682,-1.31072,2.62146
54,1080.0,-1.96609,3.27682,-1.31072,2.62146
55,1100.0,-1.31072,3.27682,-1.31072,3.27683
56,1120.0,-1.31072,3.93219,-1.31071,3.27684
57,1140.0,-1.31073,3.9322,-1.31072,3.27683
58,1160.0,-1.31073,3.9322,-1.31072,4.58756
59,1180.0,-1.31073,4.58756,-1.31073,4.58756
60,1200.0,-1.31074,5.24292,-1.31073,4.58757
61,1220.0,-1.31074,5.24293,-1.31073,4.58757
62,1240.0,-1.31074,4.58757,-1.31073,4.58757
