,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,0.0,-0.65536
2,40.0,0.0,-1.0000000003174e-05,0.65536,-1.0000000003174e-05
3,60.0,0.65536,-1.0000000003174e-05,0.65537,-1.0000000003174e-05
4,80.0,0.65536,0.65535,0.65537,-1.0000000003174e-05
5,100.0,1.0000000003174e-05,0.65535,0.65537,-1.0000000003174e-05
6,120.0,0.0,1.31072,0.65537,-1.0000000003174e-05
7,140.0,0.0,1.31071,0.65537,-1.0000000003174e-05
8,160.0,0.65536,1.31072,0.65537,0.65535
9,180.0,0.65537,1.96608,0.65537,1.31071
10,200.0,0.65537,1.96608,0.65537,1.96608
11,220.0,1.0000000003174e-05,2.62144,0.65537,1.96608
12,240.0,0.0,2.62143,0.0,1.96607
13,260.0,-0.65537,3.2768,0.0,1.96607
14,280.0,-9.9999999960687e-06,3.27679,0.0,1.96607
15,300.0,-9.9999999960687e-06,2.62143,0.0,1.96606
16,320.0,0.65536,1.3107,2.62158,-2.62147
17,340.0,3.93238,-1.31076,3.93237,-1.96612
18,360.0,3.27699,-1.31075,3.277,-2.62147
19,380.0,3.27699,-1.31075,3.27699,-2.62147
20,400.0,3.27699,-1.96611,3.27699,-3.27684
21,420.0,2.62163,-2.62147,2.62163,-3.27684
22,440.0,2.62163,-2.62148,3.277,-3.27685
23,460.0,3.27699,-2.62149,3.277,-3.27685
24,480.0,3.277,-2.62148,3.277,-3.93222
25,500.0,3.277,-3.27685,2.62164,-3.93222
26,520.0,2.62164,-3.27686,3.27701,-3.93222
27,540.0,2.62164,-3.27686,3.27701,-3.93223
28,560.0,2.62164,-3.27686,2.62165,-4.58759
29,580.0,2.62164,-3.93223,3.27701,-5.24296
30,600.0,2.62165,-4.5876,3.27701,-5.89832
31,620.0,2.62165,-5.24296,3.27701,-6.55369
32,640.0,2.62165,-5.89833,3.27701,-7.20905
33,660.0,2.62164,-7.20905,3.277,-7.86441
34,680.0,2.62164,-6.55369,3.277,-7.20905
35,700.0,2.62163,-5.89832,2.62164,-5.89832
36,720.0,2.62163,-4.58759,1.96627,-5.24294
37,740.0,1.96627,-3.93221,1.96627,-3.93221
38,760.0,1.96627,-3.27685,1.96627,-3.27685
39,780.0,1.31091,-1.96514,1.31091,-2.62148
40,800.0,1.31091,-1.31076,0.65555,-1.96611
41,820.0,0.65554,-0.65537999999999,0.65554,-1.31074
42,840.0,0.65553000000001,-1.0000000003174e-05,0.65554,-0.65537
43,860.0,0.00017000000000422,0.65536,0.00016999999999712,-1.0000000003174e-05
44,880.0,0.65553000000001,1.31072,0.00016999999999712,0.65535999999999
45,900.0,0.00017000000000422,1.31072,0.00018999999999636,1.31072
46,920.0,1.31096,3.93218,1.96633,2.62146
47,940.0,1.31095,3.27683,1.31096,3.27683
48,960.0,1.31096,3.9322,1.31096,2.62147
49,980.0,0.6556,3.27683,1.31097,2.62146
50,1000.0,1.31096,3.27682,0.65561,1.9661
51,1020.0,0.6556,2.62146,0.65561,1.96609
52,1040.0,0.65561,2.62145,1.31097,1.31073
53,1060.0,0.65561,1.31072,-1.31053,3.93218
54,1080.0,-5.24287,10.48585,-7.209,10.48586
55,1100.0,-5.89825,11.14121,-5.24288,10.48585
56,1120.0,-5.89825,10.48584,-5.89824,9.17511
57,1140.0,-5.24288,9.83047,-5.24288,8.51974
58,1160.0,-5.24288,9.1751,-4.58751,7.86438
59,1180.0,-4.58752,9.1751,-4.58751,7.86437
60,1200.0,-4.58752,7.86438,-3.93216,6.55365
61,1220.0,-4.58752,7.86437,-3.93216,6.55364
62,1240.0,-4.58752,6.55364,-4.58752,6.55363
63,1260.0,-4.58753,6.55363,-3.93216,5.89827
64,1280.0,-4.58752,5.89826,-3.93216,4.58754
65,1300.0,-4.58753,5.2429,-3.93216,3.93217
66,1320.0,-4.58752,4.58753,-3.93216,3.2768
67,1340.0,-4.58752,3.93216,-3.93216,3.27679
68,1360.0,-3.93216,2.62143,-3.93216,1.96606
69,1380.0,-3.93216,1.96607,-3.93215,0.65533
