,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-1.0000000003174e-05,1.0000000003174e-05,-1.0000000003174e-05,-0.65536
2,40.0,-2.0000000006348e-05,1.0000000003174e-05,-1.0000000003174e-05,-0.65537
3,60.0,-0.65538,0.0,-0.65537,-1.31072
4,80.0,-0.65538,1.0000000003174e-05,-1.0000000003174e-05,-1.31072
5,100.0,-1.0000000003174e-05,-0.65535,-1.0000000003174e-05,-0.65536
6,120.0,-1.0000000003174e-05,-0.65535,-1.0000000003174e-05,-1.31071
7,140.0,-1.0000000003174e-05,-0.65535,-1.0000000003174e-05,-1.96607
8,160.0,-1.0000000003174e-05,-1.96606,0.0,-2.62143
9,180.0,0.65535,-1.96606,0.0,-2.62143
10,200.0,-1.0000000003174e-05,-1.96607,0.0,-3.27679
11,220.0,0.65535999999999,-2.62142,0.0,-2.62143
12,240.0,0.65535999999999,-2.62142,0.65535999999999,-3.27679
13,260.0,-1.0000000003174e-05,-3.27678,0.0,-3.93215
14,280.0,0.0,-3.27678,-0.65536,-3.93215
15,300.0,0.0,-3.27678,-0.65536,-3.93215
16,320.0,-1.0000000003174e-05,-3.27678,-1.0000000003174e-05,-4.58751
17,340.0,-2.0000000006348e-05,-3.27678,0.65534,-3.93214
18,360.0,0.65534,-3.27678,0.65534,-3.27679
19,380.0,0.65533,-2.62142,0.65533,-2.62143
20,400.0,1.31068,-1.96606,0.65533,-2.62143
21,420.0,0.65532,-1.96606,1.31068,-2.62143
22,440.0,0.65532,-1.3107,0.65532,-2.62143
23,460.0,0.65531,-1.96606,1.31068,-2.62143
24,480.0,1.31067,-1.96606,1.31068,-2.62142
25,500.0,1.31067,-1.96605,1.96604,-2.6214
26,520.0,1.96603,-1.31068,2.6214,-1.96604
27,540.0,3.27676,-1.31068,2.6214,-1.96605
28,560.0,2.6214,-1.31069,2.6214,-1.96605
29,580.0,2.62139,-1.96605,2.6214,-2.62142
30,600.0,2.62139,-1.96605,1.96604,-2.62142
31,620.0,2.6214,-1.96605,2.6214,-2.62142
32,640.0,2.62139,-1.96606,1.96603,-2.62142
33,660.0,2.62139,-1.96606,2.6214,-2.62142
34,680.0,2.62138,-1.96606,1.96604,-2.62143
35,700.0,2.62138,-1.96606,2.62139,-3.27679
36,720.0,2.62138,-2.62143,1.96604,-3.27679
37,740.0,1.96603,-3.27678,3.27676,-3.27679
38,760.0,13.76268,0.65539,20.31638,1.9999999999243e-05
39,780.0,19.00565,-0.65534,17.69494,-1.31072
40,800.0,16.38422,-0.65537,16.38422,-1.96611
41,820.0,15.72885,-0.65539999999999,15.07349,-1.31077
42,840.0,15.07349,-1.31076,14.41813,-1.96614
43,860.0,14.41813,-1.31077,13.76277,-2.6215
44,880.0,13.76276,-1.96615,13.76276,-3.27688
45,900.0,13.76274,-2.62152,13.76274,-3.93225
46,920.0,13.76271,-3.93226,13.76268,-5.24299
47,940.0,13.76263,-5.243,13.76258,-6.55375
48,960.0,14.41788,-7.20912,15.07321,-9.17522
49,980.0,15.07316,-9.83059,15.72849,-12.45204
50,1000.0,15.72846,-13.1074,16.3838,-15.72886
