,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.0000000003174e-05,-3.27682,0.0,-2.62146
2,40.0,-0.65535,-5.24291,-0.65536,-5.24291
3,60.0,-1.3107,-7.86435,-1.3107,-7.20899
4,80.0,-2.62142,-9.83044,-3.93214,-9.83044
5,100.0,-3.93212,-11.14117,-4.58749,-9.83045
6,120.0,-4.58748,-11.14118,-3.93213,-10.48582
7,140.0,-4.58747,-11.14119,-4.58748,-9.83047
8,160.0,-5.8982,-11.1412,-5.8982,-9.83047
9,180.0,-5.89819,-11.1412,-5.24283,-9.17511
10,200.0,-5.89817,-9.17511,-6.55354,-7.86439
11,220.0,-7.20889,-8.51976,-7.2089,-7.86439
12,240.0,-6.55353,-7.86439,-7.2089,-6.55367
13,260.0,-7.20888,-6.55367,-7.2089,-5.24295
14,280.0,-6.55353,-5.89831,-7.2089,-3.27686
15,300.0,-8.51961,-1.96615,-8.51962,1.96602
16,320.0,-7.86425,4.58745,-5.24282,9.83034
17,340.0,-1.96602,13.76249,1.31077,19.66075
18,360.0,7.86438,28.83578,13.7626,37.35546
19,380.0,22.28231,43.90905,38.01109,52.42874
20,400.0,66.19165,51.11804,108.79003,52.42877
21,420.0,142.21338,51.11807,183.50102,52.42881
22,440.0,230.03155,51.1181,294.25677,52.42885
23,460.0,294.25669,51.11817,294.25654,52.42893
24,480.0,294.25635,51.11819,294.25611,52.42894
25,500.0,294.25597,51.11824,294.25596,52.42902
26,520.0,294.25597,51.11836,294.25596,52.42911
27,540.0,294.25597,51.1184,294.25596,52.42913
28,560.0,294.25597,51.11841,294.25596,52.42915
29,580.0,294.25597,51.11844,294.25596,52.42917
30,600.0,294.25597,51.11846,294.25596,52.4292
31,620.0,294.25597,51.11848,294.25596,52.42921
32,640.0,294.25597,51.11849,294.25596,52.42922
33,660.0,294.25597,51.11849,294.25596,52.42922
34,680.0,294.25599,51.1185,294.25599,52.42923
35,700.0,294.25601,51.11849,294.25603,52.42922
36,720.0,294.25604,51.11849,294.25604,52.42922
37,740.0,294.25606,51.11849,294.25604,52.42922
38,760.0,294.25607,51.11849,294.25608,52.42922
39,780.0,294.2561,51.11848,294.25611,52.42921
40,800.0,294.25613,51.11848,294.25614,52.42921
41,820.0,294.25616,51.11848,294.25618,52.4292
42,840.0,294.2562,51.11847,294.2562,52.4292
43,860.0,294.25622,51.11847,294.25623,52.42919
44,880.0,294.25626,51.11847,294.25626,52.42919
45,900.0,294.25628,51.11846,294.25628,52.42918
46,920.0,294.25629,51.11846,294.25883,52.42918
47,940.0,294.25631,51.11845,294.2563,52.42917
48,960.0,294.25632,51.11845,294.25633,52.42918
49,980.0,286.39203,51.11845,289.66883,52.42917
50,1000.0,285.08132,51.11845,289.01347,52.42918
51,1020.0,294.25635,51.11845,285.73666,52.42917
52,1040.0,281.80451,51.11845,283.77059,52.42918
53,1060.0,281.80452,51.11845,281.14916,52.42918
54,1080.0,281.80453,51.11845,283.11526,52.42918
55,1100.0,283.11546,51.11846,284.42632,52.42919
56,1120.0,289.0139,51.11847,286.39244,52.42919
57,1140.0,280.49422,51.11846,278.52815,52.4292
58,1160.0,279.18352,51.11847,277.87279,52.42919
59,1180.0,282.46031,51.11846,279.83885,52.42918
60,1200.0,275.90671,51.11845,283.77099,52.42917
61,1220.0,283.11563,51.11844,277.87272,52.42916
62,1240.0,277.21737,51.11843,277.21737,52.42916
63,1260.0,272.62986,51.11842,265.4209,52.42915
64,1280.0,259.52267,51.11841,256.24586,52.42915
65,1300.0,247.72619,51.11841,239.20651,52.42913
66,1320.0,230.03149,51.11838,216.26895,52.42911
67,1340.0,199.22962,51.11836,184.15635,52.42907
68,1360.0,170.39381,51.11833,157.94199,52.42904
69,1380.0,148.76698,51.11829,142.86875,52.429
70,1400.0,134.34909,51.11825,125.82943,52.42896
71,1420.0,115.3437,51.11822,109.44547,51.11821
72,1440.0,104.20261,48.49676,100.27047,47.84139
73,1460.0,104.20283,48.49672,115.34426,51.77352
74,1480.0,118.62129,49.80743,114.0338,50.4628
75,1500.0,108.13556,49.80744,105.51413,51.77352
76,1520.0,102.89272,48.4967,98.3052,48.4967
77,1540.0,95.02843,46.53062,90.44092,47.18599
78,1560.0,87.16414,45.87527,83.23198,48.49671
79,1580.0,78.64448,47.18599,75.36768,47.18601
80,1600.0,72.09089,45.87528,68.15874,45.21993
81,1620.0,63.57123,42.59848,60.29443,44.56458
82,1640.0,56.36228,43.90921,57.01768,44.56457
83,1660.0,57.01782,41.28776,54.39641,41.94314
84,1680.0,50.46426,40.63242,47.84282,39.97707
85,1700.0,45.2214,38.66634,43.25533,39.32171
86,1720.0,40.63391,36.0449,38.66784,36.04491
87,1740.0,36.70179,33.42345,35.39107,33.42346
88,1760.0,34.08037,31.45736,34.08036,31.45737
89,1780.0,33.42501,28.83591,32.11429,28.83592
90,1800.0,30.14823,27.52519,30.14822,29.49128
91,1820.0,29.49288,26.86982,29.49288,26.86983
92,1840.0,28.18217,23.59302,28.83752,24.24839
93,1860.0,28.83754,22.2823,27.52681,23.59303
94,1880.0,26.87146,21.62694,26.21609,22.2823
95,1900.0,26.21611,20.31622,26.21609,20.97159
96,1920.0,26.2161,19.00549,26.21609,19.66086
97,1940.0,25.56074,17.03942,25.56073,17.69478
98,1960.0,26.87145,15.72868,26.87142,16.38405
99,1980.0,28.18215,14.41796,36.70192,17.03941
100,2000.0,38.66803,15.72869,36.04655,15.7287
101,2020.0,36.04656,13.76261,35.39374,13.7626
102,2040.0,34.73583,11.79651,33.42509,12.45188
103,2060.0,32.76974,10.48579,32.76974,11.79651
104,2080.0,32.11438,10.48578,32.76973,9.83043
105,2100.0,32.11438,7.86433,31.45902,9.17506
106,2120.0,30.80367,7.20896,30.80366,7.86433
107,2140.0,30.14832,6.5536,30.14832,7.20896
108,2160.0,30.14833,6.55359,30.14832,7.86432
109,2180.0,29.49297,5.24286,28.8376,5.89823
110,2200.0,28.18225,4.5875,28.18225,5.89822
111,2220.0,28.83762,4.5875,28.83761,4.5875
112,2240.0,29.49298,3.27677,36.70201,5.89822
113,2260.0,43.91108,5.89822,45.22182,6.55359
114,2280.0,43.25573,5.24286,43.91108,6.55358
115,2300.0,44.56645,4.58749,43.91107,5.8982
116,2320.0,43.25572,5.24284,43.25571,5.8982
117,2340.0,43.91108,5.24282,44.56643,6.55355
118,2360.0,44.56645,4.58746,44.56643,4.58747
119,2380.0,43.91109,2.62138,43.91108,3.9321
120,2400.0,44.56645,2.62137,44.56644,3.27673
121,2420.0,43.91109,0.65528,43.91108,0.65528
122,2440.0,43.91108,-1.96619,45.22161,-6.55379
123,2460.0,50.4643,-26.21472,67.50307,-51.7737
124,2480.0,85.1974,-82.57532,93.71665,-95.02685
