,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65536,0.65535,-1.31073,-0.65537
2,40.0,-1.31073,0.65536,-1.31074,-1.31073
3,60.0,-1.31074,-1.9999999999243e-05,-1.31075,-0.65538
4,80.0,-1.9661,-0.65537,-1.96611,-1.9661
5,100.0,-1.96611,-1.31074,-2.62147,-1.31074
6,120.0,-3.27683,-1.0000000003174e-05,-2.62148,-0.65536
7,140.0,-3.27684,0.0,-3.27684,-0.65536
8,160.0,-3.9322,0.65536,-4.58756,0.0
9,180.0,-4.58756,0.65536,-5.24292,9.9999999960687e-06
10,200.0,-5.24292,0.65537,-5.24293,1.9999999999243e-05
11,220.0,-5.89829,0.65537,-5.24294,9.9999999960687e-06
12,240.0,-5.89829,0.65537,-5.8983,1.9999999999243e-05
13,260.0,-6.55365,1.31074,-6.55366,-0.65534
14,280.0,-6.55366,0.65538,-7.20902,1.9999999999243e-05
15,300.0,-7.20902,1.31075,-7.20902,3.9999999998486e-05
16,320.0,-7.20903,1.31075,-7.20902,0.6554
17,340.0,-7.86439,1.31076,-6.55367,3.9999999998486e-05
18,360.0,-6.55367,1.9999999999243e-05,-4.58757,-1.96606
19,380.0,1.31078,-3.93211,3.93226,-4.58747
20,400.0,3.93224,-1.31064,2.62151,9.0000000000146e-05
21,420.0,3.27687,1.31082,3.93222,1.31083
22,440.0,3.93222,2.62156,3.93222,1.96621
23,460.0,4.58759,2.62157,4.58758,1.31086
24,480.0,4.58758,2.62158,4.58758,1.31087
25,500.0,4.58757,1.96622,4.58758,1.31087
26,520.0,4.58758,1.31088,4.58757,0.00015999999999394
27,540.0,4.58757,1.31089,4.58757,0.65553999999999
28,560.0,3.93221,2.62162,4.58756,1.96625
29,580.0,4.58757,2.62162,4.58756,1.96625
30,600.0,3.9322,2.62161,4.58756,1.96625
31,620.0,3.9322,2.62161,4.58756,1.96624
32,640.0,4.58757,1.96624,4.58757,1.96623
33,660.0,3.93222,3.27696,3.93222,1.96625
34,680.0,2.62149,3.27695,-11.7966,-1.96605
35,700.0,-28.8362,-5.24292,-36.04527,-6.55362
36,720.0,-34.73454,0.65544,-32.1131,3.9323
37,740.0,-32.1131,5.24303,-32.76848,5.24304
38,760.0,-32.11311,6.55376,-32.11312,5.8984
39,780.0,-32.11313,6.55376,-32.76849,5.8984
40,800.0,-33.42385,7.20913,-33.42386,6.55376
41,820.0,-33.42386,7.86448,-34.07923,7.20912
42,840.0,-34.07922,7.86447,-34.07923,7.86447
43,860.0,-34.73459,8.51983,-34.7346,7.20911
44,880.0,-36.04532,7.86447,-35.38996,6.55373
45,900.0,-35.38995,7.2091,-36.04532,7.20909
46,920.0,-36.70068,7.86444,-36.70069,7.20908
47,940.0,-36.70069,7.20908,-36.04534,6.55371
48,960.0,-36.7007,5.89835,-36.7007,5.89835
49,980.0,-36.7007,5.89834,-36.7007,5.24299
50,1000.0,-37.35607,5.24298,-37.35607,4.58761
51,1020.0,-38.01142,4.58761,-37.35607,3.93224
52,1040.0,-38.01142,4.5876,-38.01143,3.93223
53,1060.0,-38.01143,4.58759,-38.01143,3.93223
54,1080.0,-38.66679,3.93224,-36.04532,1.96616
55,1100.0,-30.14695,-0.65526,-26.8701,0.65546
56,1120.0,-29.49156,3.27693,-29.49156,5.24303
57,1140.0,-29.49156,6.55376,-28.83621,5.8984
58,1160.0,-29.49157,6.55375,-30.14694,5.24302
59,1180.0,-30.14693,6.55374,-30.14694,5.89838
60,1200.0,-30.14694,7.86446,-30.14694,5.89837
61,1220.0,-30.14694,5.89834,-29.49159,4.58761
62,1240.0,-30.14696,5.24296,-30.14697,3.93224
63,1260.0,-30.14697,3.93224,-30.14699,3.27688
64,1280.0,-29.49162,3.93224,-29.49162,3.93224
65,1300.0,-29.49162,4.58761,-30.14698,4.5876
66,1320.0,-30.14697,5.24297,-29.49161,5.24296
67,1340.0,-29.4916,5.89832,-29.4916,5.24296
68,1360.0,-30.14695,5.89833,-29.49159,5.24297
69,1380.0,-29.49158,7.20904,-28.83622,5.89831
70,1400.0,-28.18084,6.55366,-27.52548,5.8983
71,1420.0,-26.8701,6.55366,-17.03955,0.65544
72,1440.0,-7.86436,7.9999999996971e-05,-7.20898,3.27691
73,1460.0,-7.86435,9.1752,-6.55361,9.83057
74,1480.0,-5.24287,11.1413,-4.5875,10.48595
75,1500.0,-3.27677,10.48594,-1.96604,9.83058
76,1520.0,-1.31067,10.48593,-0.6553,10.48592
77,1540.0,-0.65529,11.14126,7.9999999996971e-05,10.48589
78,1560.0,7.9999999996971e-05,10.48589,7.9999999996971e-05,9.83051
79,1580.0,-0.65528,10.48587,-0.65529,9.17515
80,1600.0,-0.65529,9.8305,-1.31066,9.17514
81,1620.0,-1.96602,9.17515,-2.62138,8.51979
82,1640.0,-3.27675,9.17515,-2.6214,8.51979
83,1660.0,-2.6214,9.17515,-3.27678,8.51981
84,1680.0,-3.93213,9.17515,-3.27678,8.5198
85,1700.0,-3.93215,9.83052,-3.93216,8.51981
86,1720.0,-5.24288,9.83053,-3.93216,8.5198
87,1740.0,-4.58752,9.17516,-4.58752,8.51981
88,1760.0,-4.58751,9.83052,-5.24287,8.5198
89,1780.0,-57.67167,9.83051,-5.24288,9.83051
90,1800.0,-7.20899,11.79659,-6.55363,11.7966
91,1820.0,-5.89825,13.10733,-5.89825,13.10734
92,1840.0,-5.89825,13.7627,-5.24289,13.10734
93,1860.0,-5.24289,13.76269,-5.24288,12.45196
94,1880.0,-5.24288,13.76268,-5.24288,13.10732
95,1900.0,-5.89823,13.76267,-5.89824,12.45195
96,1920.0,-5.89823,13.10731,-6.55359,12.45195
97,1940.0,-6.55359,11.79659,-5.24287,9.8305
98,1960.0,1.31089,4.58763,7.20925,1.96618
99,1980.0,7.20924,6.55373,5.24314,8.51984
100,2000.0,5.24314,9.1752,5.24314,8.51984
101,2020.0,4.58778,9.83058,4.58777,8.51986
102,2040.0,3.93241,9.17523,4.58776,8.51986
103,2060.0,3.9324,8.51985,3.93238,7.86449
104,2080.0,3.93236,7.86448,3.93236,6.55376
105,2100.0,3.93235,6.55374,3.27698,4.58766
106,2120.0,3.27697,4.58765,3.27696,3.9323
107,2140.0,2.62158,4.58764,3.27694,3.93228
108,2160.0,2.62157,3.93228,3.27692,2.62155
109,2180.0,2.62156,3.93227,2.62156,2.62156
110,2200.0,1.96619,3.27692,1.9662,2.62156
111,2220.0,1.31084,3.93228,1.31083,3.27691
112,2240.0,0.65547,3.2769,1.31083,1.96618
113,2260.0,0.65547,2.62154,0.00010000000000332,1.31081
114,2280.0,0.65546,2.62153,9.0000000000146e-05,1.96617
115,2300.0,0.00010000000000332,1.31081,9.0000000000146e-05,1.31081
116,2320.0,9.0000000000146e-05,1.3108,0.65545,-0.65528
117,2340.0,9.17783,-5.89816,13.10753,-8.51962
118,2360.0,12.45215,-3.93207,10.48604,-1.3106
119,2380.0,10.48605,-0.65523,9.83069,-1.31058
120,2400.0,9.17534,0.00012999999999863,8.51998,-1.31059
121,2420.0,7.20929,-1.96597,6.55393,-3.27669
122,2440.0,6.55394,-2.62134,5.24322,-3.93207
123,2460.0,4.58786,-3.27673,4.58786,-4.58746
124,2480.0,4.58787,-4.58747,4.58787,-5.8982
125,2500.0,3.93252,-5.89823,4.58788,-6.55359
126,2520.0,4.58787,-6.5536,4.58787,-7.86433
127,2540.0,4.58788,-7.86434,4.58788,-9.17507
128,2560.0,3.93252,-9.17507,3.93251,-10.4858
129,2580.0,3.27715,-10.4858,4.58787,-11.14117
130,2600.0,3.93251,-11.14117,4.58786,-11.79654
131,2620.0,3.93251,-11.79654,3.9325,-12.4519
132,2640.0,3.93251,-11.79653,3.9325,-12.45189
133,2660.0,3.93251,-11.79653,4.58786,-11.79653
134,2680.0,4.58787,-10.48581,4.58786,-11.79653
135,2700.0,2.62177,-9.83046,0.00028000000000361,-9.83046
136,2720.0,0.00028999999999968,-9.17507,0.65566,-8.51968
