,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65535999999999,-1.0000000003174e-05,-0.65535999999999,0.0
2,40.0,-0.65535999999999,0.0,-0.65535,0.65536
3,60.0,-1.31071,0.65536,-1.31071,0.65536
4,80.0,-1.31071,0.65535,-1.31071,0.65536
5,100.0,-1.96607,0.65536,-1.31072,0.65536
6,120.0,-1.31072,0.65536,-1.31072,0.65536
7,140.0,-0.65538,0.65535,-0.65538,0.65535
8,160.0,-0.65539,1.31071,-0.65539,1.31072
9,180.0,-0.6554,1.31072,-3.9999999998486e-05,1.31072
10,200.0,-3.9999999998486e-05,1.31072,-3.9999999998486e-05,1.96608
11,220.0,-4.9999999994554e-05,1.31072,-3.9999999998486e-05,1.31072
12,240.0,-0.65541,1.31072,-0.6554,1.31072
13,260.0,-4.9999999994554e-05,1.31072,0.65531,1.31072
14,280.0,-4.9999999994554e-05,1.31072,-4.9999999994554e-05,1.31072
15,300.0,-5.9999999997729e-05,1.31072,-5.9999999997729e-05,1.96608
16,320.0,0.6553,1.96608,0.6553,1.96608
17,340.0,-7.0000000000903e-05,1.96607,-7.0000000000903e-05,1.96607
18,360.0,-5.9999999997729e-05,1.31072,-7.0000000000903e-05,1.96607
19,380.0,-7.0000000000903e-05,1.96607,-0.65542,1.96607
20,400.0,-7.0000000000903e-05,1.96607,-5.9999999997729e-05,1.96607
21,420.0,-1.96616,1.31071,-15.72888,-1.96606
22,440.0,-23.59333,-3.27678,-23.59333,-1.31069
23,460.0,-22.93796,-0.65533,-22.93796,3.0000000002417e-05
24,480.0,-22.93796,3.0000000002417e-05,-22.93796,3.0000000002417e-05
25,500.0,-22.93796,3.0000000002417e-05,-22.2826,0.65539
26,520.0,-22.93796,3.0000000002417e-05,-22.93795,0.65539
27,540.0,-22.93795,0.65539,-22.28259,1.31075
28,560.0,-22.28259,0.65539,-22.28259,1.31075
29,580.0,-22.93795,1.31075,-22.93795,0.65539
30,600.0,-22.93795,0.65538,-22.93795,0.65538
31,620.0,-22.93795,0.65538,-23.59331,0.65539
32,640.0,-23.5933,0.65538,-23.59331,0.65538
33,660.0,-23.5933,0.65538,-23.5933,0.65537
34,680.0,-23.5933,0.65537,-24.24866,0.65538
35,700.0,-24.24866,0.65537,-23.59329,0.65537
36,720.0,-23.59329,0.65537,-24.24865,0.65537
37,740.0,-24.24866,0.65537,-24.24864,1.0000000003174e-05
38,760.0,-24.24865,1.0000000003174e-05,-24.24864,1.0000000003174e-05
39,780.0,-16.38425,0.65536,2.62143,3.93217
40,800.0,15.07346,3.93217,13.76277,5.2429
41,820.0,12.45202,5.89901,11.1413,6.55362
42,840.0,11.1413,5.24289,10.48594,5.89825
43,860.0,9.83057,5.24289,9.83057,5.24289
44,880.0,9.83057,4.58752,9.17521,4.58752
45,900.0,9.17521,3.93215,9.17522,3.93215
46,920.0,8.51985,3.93215,8.51986,3.27679
47,940.0,8.51986,3.27678,7.8645,3.27679
48,960.0,7.8645,2.62142,6.55377,1.96607
49,980.0,1.9662,1.96607,-0.65527,1.96608
50,1000.0,9.0000000000146e-05,1.96608,0.00010000000000332,1.96609
51,1020.0,9.0000000000146e-05,1.96608,-0.65526,1.96608
52,1040.0,-0.65526,1.31072,-0.65526,1.96608
53,1060.0,-0.65526,1.96608,-0.65526,1.31072
54,1080.0,-0.65526,1.31072,9.0000000000146e-05,1.31071
55,1100.0,9.0000000000146e-05,1.31071,0.65544,0.65535
56,1120.0,0.65543,0.65534,0.65543,0.65534
57,1140.0,0.65542,0.65534,1.31078,0.65535
58,1160.0,1.31077,0.65534,1.31077,0.65535
59,1180.0,1.31077,0.65534,1.31076,1.31071
60,1200.0,1.31076,0.65534,1.31076,0.65535
61,1220.0,1.31076,0.65535,1.31076,0.65535
62,1240.0,1.31075,0.65535,1.31075,0.65535
63,1260.0,1.9661,0.65535,1.9661,0.65535
64,1280.0,1.9661,0.65535,1.96609,0.65535
65,1300.0,1.96609,0.65534,2.62145,0.65535
66,1320.0,1.96608,0.65535,1.96608,0.65535
67,1340.0,1.96609,-1.0000000003174e-05,1.96608,0.65535
68,1360.0,3.93218,0.65535,19.00561,3.93216
69,1380.0,26.87006,5.2429,25.55934,6.55363
70,1400.0,24.24861,7.20899,24.2486,7.20899
71,1420.0,23.59324,7.20899,24.2486,7.20898
72,1440.0,24.2486,7.20899,23.59324,7.20899
73,1460.0,23.59324,7.20898,23.59324,7.20899
74,1480.0,23.59323,7.20898,22.93788,6.55363
75,1500.0,23.59324,6.55362,23.59324,6.55362
76,1520.0,22.93788,5.89825,22.93789,6.55362
77,1540.0,23.59325,5.89825,22.93789,5.89826
