,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,0.65535999999999,-0.65537,3.27685
2,40.0,-0.65537,3.93222,-0.65537,3.93223
3,60.0,-1.0000000003174e-05,3.93222,-0.65538,4.58759
4,80.0,-1.0000000003174e-05,3.93222,-1.9999999999243e-05,3.93222
5,100.0,0.65534,4.58758,-1.9999999999243e-05,4.58759
6,120.0,0.65534,3.93222,-1.9999999999243e-05,4.58758
7,140.0,0.65534,3.93222,-1.9999999999243e-05,4.58759
8,160.0,-1.9999999999243e-05,4.58758,-3.0000000002417e-05,4.58759
9,180.0,0.65533,4.58759,-3.9999999998486e-05,4.58759
10,200.0,0.65532,5.24295,-3.9999999998486e-05,5.89832
11,220.0,0.65532,5.24296,-5.000000000166e-05,5.89832
12,240.0,0.65531,5.24296,-6.0000000004834e-05,5.89833
13,260.0,-5.000000000166e-05,5.24296,0.6553,6.55368
14,280.0,0.65531,5.89832,0.65531,5.89832
15,300.0,0.6553,5.89832,0.6553,6.55369
16,320.0,1.31066,5.89832,0.65529,6.55369
17,340.0,-7.0000000000903e-05,6.55369,-5.89836,8.51979
18,360.0,-7.86447,9.83054,-7.86447,10.48592
19,380.0,-7.2091,9.83055,-7.20911,10.48592
20,400.0,-7.20911,11.14128,-8.51983,11.79665
21,420.0,-7.86447,11.79664,-8.51983,12.45201
22,440.0,-7.86446,12.452,-8.51983,12.45201
23,460.0,-7.86446,12.452,-8.51982,12.452
24,480.0,-8.51982,12.452,-8.51982,12.45201
25,500.0,-8.51982,12.452,-9.17518,12.452
26,520.0,-7.86446,11.79663,-9.17518,12.45199
27,540.0,-8.51982,11.79663,-9.17518,12.452
28,560.0,-9.17518,11.79663,-9.17518,12.45199
29,580.0,-9.17518,11.79662,-9.83054,11.79663
30,600.0,-9.17518,11.79662,-9.17518,11.79663
31,620.0,-9.17517,11.14126,-9.17517,11.79662
32,640.0,-8.51981,11.14125,-9.17517,11.79662
33,660.0,-8.51981,11.14125,-9.83053,11.79661
34,680.0,-8.5198,11.14125,-9.17517,11.14125
35,700.0,-9.17517,11.14124,-9.17517,11.14125
36,720.0,-8.5198,9.83052,-11.79662,10.48587
37,740.0,-13.10737,10.48588,-12.452,11.14124
38,760.0,-11.14127,9.83051,-11.79663,10.48588
39,780.0,-11.14127,10.48587,-11.79663,10.48587
40,800.0,-11.14127,9.83106,-11.79663,9.8305
41,820.0,-11.14126,9.17513,-11.14127,9.17513
42,840.0,-10.48591,8.51976,-11.14127,9.17512
43,860.0,-11.14126,8.51975,-11.14126,8.51975
44,880.0,-10.4859,7.86438,-11.14126,7.86439
45,900.0,-10.4859,7.20901,-11.14126,7.20902
46,920.0,-9.83053,7.209,-10.4859,7.20901
47,940.0,-9.83053,6.55364,-9.83053,7.209
48,960.0,-9.17516,5.89827,-9.83052,6.55363
49,980.0,-9.17516,5.89826,-9.83052,5.89826
50,1000.0,-8.5198,5.89825,-9.17516,5.89825
51,1020.0,-8.5198,5.24288,-9.17516,5.24288
52,1040.0,-7.86443,4.58751,-8.51725,4.58752
53,1060.0,-7.86444,3.93215,-9.17516,4.58752
54,1080.0,-8.51979,3.93216,-9.17516,4.58753
55,1100.0,-8.51979,4.58752,-9.17516,5.24289
56,1120.0,-8.51979,4.58752,-9.17516,5.24289
57,1140.0,-8.5198,5.24289,-9.17516,5.89825
58,1160.0,-8.51979,4.58752,-9.17515,5.24289
59,1180.0,-8.51979,4.58752,-8.51979,5.24288
60,1200.0,-8.51978,4.58752,-8.51986,4.58752
61,1220.0,-8.51978,4.58752,-9.17514,5.24288
62,1240.0,-8.51978,4.58751,-9.17514,3.93216
63,1260.0,-8.51978,3.93215,-9.17514,4.58752
64,1280.0,-9.17514,3.93215,-9.17514,3.93215
65,1300.0,-9.17514,3.27678,-9.17515,3.93215
66,1320.0,-8.51978,3.27678,-9.17514,3.93214
67,1340.0,-8.51977,3.27678,-9.17514,3.27678
68,1360.0,-7.86441,3.27677,-8.51977,2.62141
69,1380.0,-7.86441,2.62141,-8.51977,3.27677
70,1400.0,-7.8644,2.62141,-8.51977,3.27677
71,1420.0,-7.86441,2.6214,-8.51977,2.62141
72,1440.0,-7.86441,1.96604,-8.51977,2.6214
73,1460.0,-7.8644,1.96604,-7.86441,2.6214
74,1480.0,-7.20904,1.96603,-7.20904,1.96603
75,1500.0,-6.55368,1.96602,-7.20904,1.96603
76,1520.0,-6.55367,1.96602,-7.20903,1.96602
77,1540.0,-6.55367,1.31066,-7.20904,1.96602
78,1560.0,-6.55368,1.31065,-7.20904,1.31065
79,1580.0,-6.55368,0.65528,-6.55367,0.65529
80,1600.0,-5.89831,-8.0000000004077e-05,-6.55367,0.65528
81,1620.0,-5.89831,-9.0000000000146e-05,-5.89831,0.65528
82,1640.0,-5.8983,0.65526999999999,-6.55366,-7.9999999996971e-05
83,1660.0,-5.24294,-0.65546000000001,-5.8983,-9.0000000000146e-05
84,1680.0,-5.24294,-0.65546000000001,-5.8983,-0.65544999999999
85,1700.0,-5.24293,-0.65546000000001,-5.8983,-0.65546
86,1720.0,-5.24294,-1.31082,-5.8983,-0.65544999999999
87,1740.0,-4.58758,-1.31082,-5.8983,-1.31082
88,1760.0,-5.24294,-1.96618,-5.89829,-1.31082
89,1780.0,-5.24293,-1.31082,-5.89829,-0.65544999999999
90,1800.0,-5.24294,-1.31082,-5.89829,-0.65544999999999
91,1820.0,-5.89829,-0.65545,-6.55366,-7.9999999996971e-05
92,1840.0,-5.89829,-0.65544000000001,-6.55366,-0.65544
93,1860.0,-5.24292,-8.0000000004077e-05,-1.31072,2.62141
94,1880.0,1.9999999999243e-05,2.62143,-1.3107,2.62144
95,1900.0,-0.65534,3.93216,-0.65534,3.93217
96,1920.0,-0.65534,3.93217,-1.3107,4.58754
97,1940.0,-1.3107,4.58754,-1.96606,4.58755
98,1960.0,-1.96607,4.58754,-2.62142,5.24291
99,1980.0,-1.96606,4.58754,-2.62142,5.24291
100,2000.0,-1.96606,4.58755,-2.62142,5.89828
101,2020.0,-1.96606,5.89828,-3.27678,6.55365
102,2040.0,-2.62142,5.89828,-3.27678,5.89829
103,2060.0,-2.62142,5.89828,-0.65532,6.55365
104,2080.0,17.69492,6.55369,25.55938,7.86443
105,2100.0,24.90403,7.20908,23.59329,8.5198
106,2120.0,24.24865,8.5198,23.59329,8.51981
107,2140.0,24.24866,8.5198,24.24866,9.17517
108,2160.0,24.24866,9.17516,23.59329,9.17517
109,2180.0,24.24865,9.17516,23.59329,9.17517
110,2200.0,24.24865,9.17516,23.59329,9.17516
111,2220.0,24.24865,46.53068,23.59328,9.17517
112,2240.0,23.59329,8.5198,23.59328,9.17517
113,2260.0,24.24865,8.5198,23.59329,8.5198
114,2280.0,24.24865,8.51978,26.21476,8.51979
115,2300.0,27.52551,8.5198,26.87014,8.5198
116,2320.0,27.5255,8.51979,26.87014,9.17515
117,2340.0,27.5255,8.51978,26.87014,8.51979
118,2360.0,27.5255,7.86442,26.87014,8.51978
119,2380.0,27.5255,8.51978,26.87014,7.86442
120,2400.0,27.5255,7.86441,26.87013,7.86441
121,2420.0,27.5255,7.20904,27.52549,7.20905
122,2440.0,27.52549,7.20904,27.5255,7.86441
123,2460.0,27.5255,7.20904,30.14696,7.86442
124,2480.0,43.25436,9.17517,49.15276,9.83055
125,2500.0,49.15276,9.17519,47.84201,10.48591
126,2520.0,48.49737,10.48591,48.49738,11.14128
127,2540.0,48.49738,10.48591,48.49738,10.48592
128,2560.0,49.15274,10.48592,48.49738,11.14128
129,2580.0,49.15274,10.48592,48.49738,11.14128
130,2600.0,49.15274,10.48591,48.49739,11.14127
131,2620.0,49.15275,11.14127,48.49738,11.14127
132,2640.0,49.15274,11.14127,48.49738,11.14127
133,2660.0,49.15275,11.14126,49.15274,11.14126
134,2680.0,49.80811,9.83053,41.9437,8.51979
135,2700.0,26.21481,7.86442,17.69499,7.86442
136,2720.0,20.31645,8.51978,20.97182,8.51979
137,2740.0,20.97182,7.86442,19.66109,8.51979
138,2760.0,20.31644,7.86442,19.66107,8.51978
139,2780.0,19.66108,7.86441,18.35034,8.51977
140,2800.0,18.35034,7.86441,18.35033,7.86441
141,2820.0,18.35033,7.20904,17.69496,7.20904
142,2840.0,17.69497,7.20903,17.03959,7.86441
143,2860.0,17.69496,7.20905,17.0396,7.86441
144,2880.0,17.69496,7.8644,17.0396,7.86441
145,2900.0,17.69497,7.20903,11.79668,5.8983
146,2920.0,-5.24286,5.8983,-13.10728,6.55366
147,2940.0,-11.79654,7.20902,-11.14117,7.20903
148,2960.0,-10.48581,7.20902,-11.14117,7.20903
149,2980.0,-10.4858,6.55365,-10.4858,6.55366
150,3000.0,-9.83044,5.89829,-10.4858,5.89829
151,3020.0,-9.83044,5.89828,-10.4858,6.55364
152,3040.0,-9.83044,5.89828,-10.48581,5.89829
153,3060.0,-10.48581,5.89828,-11.14117,5.89828
154,3080.0,-10.48581,5.24292,-10.48581,5.24292
155,3100.0,-10.48581,4.58755,-11.14117,5.24292
156,3120.0,-10.48582,4.58755,-12.4519,4.58755
157,3140.0,-19.66093,4.58754,-22.28241,5.24292
158,3160.0,-20.97168,5.24292,-20.97168,5.24293
159,3180.0,-20.31632,5.24292,-21.62704,5.89829
160,3200.0,-20.97168,5.89827,-21.62704,5.24292
161,3220.0,-21.62704,4.58755,-21.62705,5.24291
162,3240.0,-21.62705,4.58754,-22.28242,4.58754
163,3260.0,-21.62706,3.93217,-22.28243,3.93217
164,3280.0,-21.62707,3.2768,-22.28243,3.27679
165,3300.0,-21.62708,2.62142,-22.28244,2.62142
166,3320.0,-21.62708,1.31069,-22.28245,1.31069
167,3340.0,-22.28245,1.31069,-22.28246,1.3107
168,3360.0,-22.28246,1.3107,-22.93782,1.31071
169,3380.0,-22.93782,0.65535,-22.93783,1.31071
170,3400.0,-22.93783,0.65535,-22.93783,0.65535000000001
171,3420.0,-22.93783,-1.0000000003174e-05,-19.661,1.31072
172,3440.0,5.89827,1.96611,21.6272,3.27688
173,3460.0,22.93796,3.27688,20.31648,3.93225
174,3480.0,20.31648,3.93223,20.97185,3.93224
175,3500.0,21.62722,3.93224,20.97185,4.5876
176,3520.0,20.97186,4.5876,20.3165,4.5876
177,3540.0,20.97187,4.58759,20.31651,5.24296
178,3560.0,20.97187,4.58759,19.66115,5.24295
179,3580.0,20.31651,5.24294,19.66115,5.24293
180,3600.0,20.31651,4.58756,19.66115,3.9322
181,3620.0,20.31651,3.27683,19.66115,3.27683
182,3640.0,20.97187,2.62146,20.31651,2.62147
183,3660.0,20.31651,1.9661,19.66116,2.62146
184,3680.0,20.97188,1.96609,19.66117,1.9661
185,3700.0,20.31653,2.62146,19.66116,2.62146
186,3720.0,21.62726,1.96609,23.59336,1.9661
187,3740.0,37.35614,3.93224,45.22063,5.89837
188,3760.0,45.22064,5.243,43.90989,5.89837
189,3780.0,45.22062,5.243,45.22062,5.24301
190,3800.0,46.53135,4.58764,45.87599,5.24301
191,3820.0,47.18672,5.24301,47.18672,5.89838
192,3840.0,48.49745,5.89838,47.8421,6.55375
193,3860.0,49.15283,6.55374,48.49747,7.20911
194,3880.0,49.8082,7.20911,49.15285,7.86448
195,3900.0,50.46358,7.86447,53.08505,8.51985
196,3920.0,62.91561,9.83062,66.19249,10.486
197,3940.0,66.19248,9.17527,64.88175,10.48599
198,3960.0,66.19247,9.83062,66.19502,9.17527
199,3980.0,66.19247,9.17526,65.5371,9.83062
200,4000.0,66.19246,9.17525,66.19246,9.17525
201,4020.0,66.19246,8.51988,65.5371,9.17524
202,4040.0,66.19245,9.17523,65.53708,9.17523
203,4060.0,65.53707,8.51985,65.53707,9.17521
204,4080.0,66.19243,8.51984,64.8817,7.86448
205,4100.0,66.19241,7.20909,75.36759,9.17522
206,4120.0,92.40733,11.14138,102.23796,11.79679
207,4140.0,102.23797,12.45216,99.6165,13.10751
208,4160.0,100.92722,13.1075,100.92721,13.10751
209,4180.0,101.58257,13.76286,100.92721,13.76286
