,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65537,-9.9999999960687e-06,0.65536,0.0
2,40.0,0.0,0.0,0.0,0.65536
3,60.0,0.0,0.65536,0.0,0.65535
4,80.0,0.65791,0.65535,0.65536,0.65535
5,100.0,0.65536,0.65535,0.0,0.65601
6,120.0,0.65537,0.65535,0.65536,1.31071
7,140.0,1.31072,0.65535,1.31073,1.31071
8,160.0,1.31072,1.31071,1.96608,1.31071
9,180.0,1.31073,1.31072,1.31073,1.96608
10,200.0,1.31074,1.96607,1.31073,1.96608
11,220.0,1.31074,1.96608,1.31074,2.62144
12,240.0,1.31074,2.62143,1.31074,3.27679
13,260.0,1.31074,2.62142,1.31074,3.27678
14,280.0,1.31074,3.27678,1.31074,3.27678
15,300.0,1.31074,3.27678,1.9661,3.27678
16,320.0,1.31075,3.93214,1.31074,3.93214
17,340.0,1.31075,3.93213,1.31075,4.58749
18,360.0,1.31075,4.58748,1.31075,5.24285
19,380.0,1.31075,5.24285,1.31076,5.89821
20,400.0,1.31076,5.89821,1.31076,5.89821
21,420.0,1.31075,5.89821,1.31076,6.55358
22,440.0,0.6554,7.20894,1.31076,6.55358
23,460.0,0.6554,6.55357,1.31076,7.20893
24,480.0,1.31076,7.20892,1.31075,7.20893
25,500.0,1.31076,7.20893,1.31076,7.20893
26,520.0,1.31076,7.20892,1.31075,7.20893
27,540.0,1.31075,7.20892,1.31075,7.20892
28,560.0,1.96611,7.20892,1.31075,7.86428
29,580.0,1.31075,7.20892,1.31075,7.86429
30,600.0,1.31075,8.51965,1.31075,8.51966
31,620.0,1.31076,9.17502,0.6554,9.17503
32,640.0,0.6554,9.83039,0.6554,10.48576
33,660.0,0.6554,11.14113,5.000000000166e-05,11.79649
34,680.0,5.000000000166e-05,12.45186,5.9999999997729e-05,13.10723
35,700.0,-0.65529,13.76259,-0.65529,14.41796
36,720.0,-0.65529,15.07333,-1.31064,16.38406
37,740.0,-1.966,16.38407,-1.31064,17.69479
38,760.0,-1.96599,17.69479,-1.96599,17.6948
39,780.0,-1.96599,18.35016,-2.62134,19.00553
40,800.0,-2.62134,19.66089,-3.27669,19.66089
41,820.0,-2.62133,20.31625,-2.62133,20.31626
42,840.0,-3.27669,20.97162,-3.27668,21.62699
43,860.0,-3.27668,21.627,-3.27668,21.627
44,880.0,-3.27668,21.627,-3.27413,22.28237
45,900.0,-3.27668,22.28237,-3.93204,22.93774
46,920.0,-3.93204,22.93774,-3.27668,22.93775
47,940.0,-3.93204,22.93775,-3.27668,23.59311
48,960.0,-3.27667,23.59311,-3.93203,24.24848
49,980.0,-3.93203,23.59313,-3.93203,24.24849
50,1000.0,-3.93203,24.24849,-3.93203,24.90385
51,1020.0,-3.93203,24.90385,-3.93202,25.55922
52,1040.0,-3.93202,24.90386,-3.93203,25.55923
53,1060.0,-3.93202,25.55923,-3.93203,25.55923
54,1080.0,-3.93202,25.55922,-3.93203,26.21459
55,1100.0,-3.93202,25.55923,-3.93203,25.55923
56,1120.0,-3.93202,25.55922,-2.62129,25.55923
57,1140.0,3.93247,26.21459,7.86477,25.55923
58,1160.0,7.86478,26.21459,7.2094,26.86996
59,1180.0,7.86477,27.52531,7.20941,28.18068
60,1200.0,7.20941,28.18067,7.86477,28.83604
61,1220.0,7.86477,28.18067,7.86477,28.18068
62,1240.0,7.86477,28.83604,7.20941,28.83604
63,1260.0,7.86477,28.83603,7.2094,28.83604
64,1280.0,7.2094,28.83604,6.55404,29.4914
65,1300.0,6.55405,28.18066,5.89868,28.83603
66,1320.0,6.55405,27.5253,6.55405,26.86993
67,1340.0,5.89869,26.86992,5.89869,26.21455
68,1360.0,3.93257,25.5592,-4.58722,26.86996
69,1380.0,-9.17483,26.86996,-8.51947,26.86996
70,1400.0,-8.51946,27.52532,-8.51947,26.86997
71,1420.0,-8.51947,27.52532,-8.51947,27.52533
72,1440.0,-8.51947,27.52533,-8.51948,28.1807
73,1460.0,-9.17484,28.83607,-9.17484,28.83607
74,1480.0,-8.51948,29.49143,-9.17484,29.49144
75,1500.0,-9.17484,30.1468,-9.17485,30.80217
76,1520.0,-9.17485,30.80217,-9.17484,30.80217
77,1540.0,-9.17485,30.80217,-9.17485,31.45754
78,1560.0,-9.17485,31.45754,-9.17485,32.11291
79,1580.0,-9.17485,32.11291,-9.17485,32.11291
80,1600.0,-9.17485,32.11291,-9.17485,32.76827
81,1620.0,-9.17486,32.76828,-9.17486,33.42365
82,1640.0,-9.17486,33.42365,-9.17486,33.42365
83,1660.0,-9.17486,34.07901,-9.17486,34.07902
84,1680.0,-9.17487,34.07901,-9.17487,34.73438
85,1700.0,-9.17486,34.07902,-9.17487,34.07902
86,1720.0,-9.17487,34.07902,-9.17488,34.07903
87,1740.0,-8.51951,34.73438,-8.51952,34.07902
88,1760.0,-8.51952,34.07902,-8.51952,34.73438
89,1780.0,-5.89805,34.07901,0.6557,33.42365
90,1800.0,3.27722,33.42363,3.27721,34.07901
91,1820.0,3.2772,34.73437,2.62184,35.38974
92,1840.0,2.62185,36.0451,1.96649,36.0451
93,1860.0,1.96649,35.38974,1.96649,36.04511
94,1880.0,1.31113,36.04511,1.96649,36.04511
95,1900.0,1.31112,36.0451,1.31112,36.04511
96,1920.0,1.31113,36.04511,1.31113,36.70047
97,1940.0,1.31113,36.04511,1.31113,36.04512
98,1960.0,0.65577,36.04512,0.65577,36.04512
99,1980.0,0.65577,36.04512,0.65577,36.04512
100,2000.0,0.65577,35.38975,0.00041000000000224,36.04511
101,2020.0,0.00041000000000224,36.04511,0.00041000000000224,36.04512
102,2040.0,0.00041000000000224,36.04511,0.65577,36.04512
103,2060.0,0.65577,35.38975,0.65577,35.38975
104,2080.0,0.00041000000000224,35.38975,0.65577,35.38975
105,2100.0,0.00041000000000224,36.04511,0.00039999999999907,36.04511
106,2120.0,4.58804,35.38973,10.48646,36.04508
107,2140.0,14.41872,35.38971,13.76335,36.70044
108,2160.0,14.41871,37.3558,14.4187,38.01117
109,2180.0,14.41871,37.3558,15.07407,37.3558
110,2200.0,15.07407,37.3558,15.72943,37.35581
