,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,-9.9999999960687e-06,-1.0000000003174e-05
2,40.0,-9.9999999960687e-06,-0.65537,-9.9999999960687e-06,-0.65537
3,60.0,-9.9999999960687e-06,-0.65537,-9.9999999960687e-06,-0.65537
4,80.0,-9.9999999960687e-06,-1.31073,-1.9999999999243e-05,-1.31073
5,100.0,0.65534,-1.31073,0.65533,-1.31073
6,120.0,0.65534,-1.96609,0.65533,-1.31074
7,140.0,0.65534,-1.31073,0.65534,-1.9661
8,160.0,0.65534,-1.96609,0.65533,-1.9661
9,180.0,0.65534,-1.96609,0.65533,-1.9661
10,200.0,0.65533,-1.9661,0.65532,-1.96611
11,220.0,0.65533,-1.9661,1.31069,-2.62146
12,240.0,0.65533,-2.62146,0.65532,-2.62146
13,260.0,0.65533,-2.62146,0.65532,-2.62147
14,280.0,0.65533,-3.27683,0.65532,-3.27683
15,300.0,0.65532,-3.27682,0.65531,-3.27683
16,320.0,0.65531,-3.27683,1.31067,-3.27683
17,340.0,1.31067,-3.27683,1.31067,-3.27683
18,360.0,1.31067,-2.62147,1.96603,-3.27683
19,380.0,1.31067,-3.27683,1.31066,-3.27683
20,400.0,1.31067,-2.62147,1.31066,-3.27683
21,420.0,0.6553,-2.62147,1.96602,-2.62147
22,440.0,1.31067,-2.62147,1.31066,-2.62147
23,460.0,0.6553,-2.62147,0.65531,-3.27683
24,480.0,0.65531,-2.62147,0.65531,-2.62147
25,500.0,0.65531,-2.62147,-4.9999999994554e-05,-2.62147
26,520.0,-4.9999999994554e-05,-2.62146,-4.9999999994554e-05,-1.9661
27,540.0,-0.6554,-1.9661,-0.6554,-1.31074
28,560.0,-0.6554,-1.31073,-0.6554,-0.65537
29,580.0,-1.31075,0.0,-1.31075,0.0
30,600.0,-1.31075,0.65537,-1.96611,1.31074
31,620.0,-1.9661,1.96611,-1.9661,2.62147
32,640.0,-2.62144,3.27685,-2.62145,3.93222
33,660.0,-0.6553,5.24296,1.96622,5.89834
34,680.0,1.31089,7.86445,0.65554,9.83055
35,700.0,0.00019999999999953,11.79667,0.00022000000000588,13.76278
36,720.0,-0.65513,14.41815,-0.65513,15.07353
37,740.0,-1.31047,16.38426,-1.31048,17.03963
38,760.0,-1.31047,16.38428,-1.31047,17.03964
39,780.0,-1.31047,17.03964,-1.31047,17.03964
40,800.0,-1.96583,17.03964,-3.27658,17.69499
41,820.0,-6.55343,19.0057,-6.55344,18.35034
42,840.0,-5.89806,18.35035,-5.89807,17.69498
43,860.0,-5.89806,18.35034,-5.89807,18.35034
44,880.0,-5.89806,17.69498,-5.89806,17.69497
45,900.0,-5.89806,17.69497,-5.89806,17.0396
46,920.0,-6.55341,17.03961,-6.55341,17.03959
47,940.0,-6.5534,17.0396,-6.5534,17.0396
48,960.0,-7.20875,16.38423,-7.20875,16.38423
49,980.0,-7.86411,16.38423,-7.20875,15.72886
50,1000.0,-7.86411,15.72886,-7.86411,15.0735
51,1020.0,-7.8641,15.0735,-8.51947,15.07349
52,1040.0,-8.51947,14.41813,-8.51947,14.41813
53,1060.0,-9.17483,13.76277,-9.17483,13.1074
54,1080.0,-9.17483,13.76276,-9.83019,13.1074
55,1100.0,-9.83019,13.1074,-9.83019,12.45203
56,1120.0,-10.48555,12.45203,-9.8302,11.79666
57,1140.0,-7.86408,10.48594,-1.31034,10.48594
58,1160.0,5.89874,11.1413,5.89876,11.1413
59,1180.0,4.58803,11.1413,5.24339,11.1413
60,1200.0,4.58803,11.1413,5.24338,11.1413
61,1220.0,5.24339,11.1413,4.58802,11.14129
62,1240.0,4.58802,11.14129,4.58802,11.14129
63,1260.0,5.24338,11.14129,5.24338,11.14129
64,1280.0,5.24338,10.48593,5.89874,10.48592
65,1300.0,5.89874,10.48592,5.89873,9.83055
66,1320.0,5.24338,9.83055,5.89873,9.83055
67,1340.0,5.24338,9.83055,5.89873,9.83054
68,1360.0,5.24337,9.17518,5.89872,9.17518
69,1380.0,5.24337,9.17518,5.24336,8.51981
70,1400.0,4.588,8.51981,4.58799,8.51981
71,1420.0,7.86481,7.86444,20.97209,7.86444
72,1440.0,24.90431,8.5198,22.93822,8.5198
73,1460.0,22.93822,8.51981,22.93822,7.86444
74,1480.0,22.28285,7.86444,22.28285,7.86444
75,1500.0,22.28285,7.86444,21.62749,7.86444
76,1520.0,21.62749,7.20907,21.62748,6.55371
77,1540.0,20.97212,6.55371,21.62748,6.5537
78,1560.0,20.97212,6.55371,20.97212,5.89834
79,1580.0,20.97211,6.5537,20.97211,5.89834
80,1600.0,20.31676,5.89834,19.66139,5.89833
81,1620.0,19.00603,5.89834,22.93821,5.89834
82,1640.0,41.2884,6.5537,51.11891,7.20906
83,1660.0,50.46357,7.86443,48.49748,7.86443
84,1680.0,48.49748,7.86443,47.84212,7.20907
85,1700.0,47.18676,7.86443,47.18675,7.20907
86,1720.0,45.87603,7.20907,45.22066,7.20906
87,1740.0,44.5653,7.86443,43.90993,7.20907
88,1760.0,43.90993,7.20907,43.25457,7.20907
89,1780.0,43.25457,7.86443,43.25456,7.20906
90,1800.0,42.59921,7.20907,43.25456,7.20906
91,1820.0,42.5992,7.20906,43.25456,6.55369
92,1840.0,43.90992,6.5537,43.90992,6.55369
93,1860.0,43.90992,7.20905,44.56528,6.55369
94,1880.0,44.56528,6.55369,44.56527,6.55369
95,1900.0,44.56528,6.55369,43.90991,6.55369
96,1920.0,43.90992,7.20905,43.90991,6.55369
97,1940.0,43.25456,6.55369,49.15281,7.20904
98,1960.0,62.91551,7.86441,71.43531,8.51977
99,1980.0,72.09071,8.51978,70.77997,8.51977
100,2000.0,70.77998,8.51978,70.77997,7.86442
101,2020.0,70.77997,7.86442,70.77997,7.86441
102,2040.0,70.12461,7.86442,70.12461,7.86442
103,2060.0,69.46925,7.86442,70.1246,7.86442
104,2080.0,70.12461,8.51978,70.12461,7.86441
105,2100.0,69.46925,7.86442,69.46924,7.86442
106,2120.0,69.46925,7.86442,69.46924,7.86442
107,2140.0,69.46924,8.51978,69.46924,7.86442
108,2160.0,69.46924,8.51978,68.81388,8.51978
109,2180.0,68.81388,8.51978,69.46923,8.51978
110,2200.0,69.46924,8.51978,69.46923,8.51977
111,2220.0,69.46924,8.51978,69.46924,8.51978
112,2240.0,69.46925,7.86442,69.46924,7.86442
113,2260.0,69.46925,7.86442,68.81389,7.86441
114,2280.0,68.81389,7.86442,68.81389,7.86441
115,2300.0,68.15853,7.86442,70.12462,7.86442
116,2320.0,76.02295,8.51978,78.64443,9.17514
117,2340.0,76.67834,8.51979,76.67834,8.51979
118,2360.0,76.02298,8.51979,76.02298,7.86443
119,2380.0,75.36762,7.86443,75.36761,7.86442
120,2400.0,75.36761,7.20906,74.71224,6.5537
121,2420.0,74.05688,6.5537,74.05687,5.89834
122,2440.0,73.40151,5.89834,73.4015,5.89834
123,2460.0,72.74614,5.89834,72.09077,5.89835
124,2480.0,72.09077,5.89835,72.09077,5.89835
125,2500.0,72.09077,6.55371,71.4354,7.20907
126,2520.0,70.78005,7.20908,70.78004,7.20908
127,2540.0,70.78004,7.86444,71.4354,7.86444
128,2560.0,70.78004,7.86444,71.4354,7.86444
129,2580.0,71.4354,7.86444,76.02296,8.5198
130,2600.0,84.54276,9.17517,90.44108,9.17517
131,2620.0,89.78574,9.83053,89.13036,9.83053
132,2640.0,89.78573,9.17518,90.44108,9.17517
133,2660.0,90.44109,9.17517,90.44109,8.51981
134,2680.0,89.78573,8.5198,89.78572,7.86444
135,2700.0,89.78572,7.86444,89.78572,7.20907
136,2720.0,89.13036,7.20908,89.78571,7.20907
137,2740.0,89.78571,7.20907,89.7857,6.55371
138,2760.0,89.13035,5.89835,89.13034,5.89834
139,2780.0,89.13034,5.89834,89.7857,5.89834
140,2800.0,89.7857,5.89834,89.78569,5.24297
141,2820.0,89.13033,5.24297,89.13033,5.24297
142,2840.0,88.47497,4.58761,91.75179,4.58761
143,2860.0,93.7179,4.58761,93.71791,4.58761
144,2880.0,93.06254,4.58761,93.7179,4.58761
145,2900.0,93.06254,4.58761,93.06254,4.58761
146,2920.0,93.06254,4.58761,92.40717,3.93225
147,2940.0,92.40718,4.5876,92.40717,3.93224
148,2960.0,92.40718,4.58761,92.40717,4.5876
149,2980.0,92.40717,3.93225,92.40718,3.93224
150,3000.0,92.40718,4.5876,92.40718,3.93224
151,3020.0,92.40718,4.5876,91.75182,3.93224
152,3040.0,91.75182,4.58761,91.09646,4.58761
153,3060.0,91.09646,4.58761,91.09646,4.5876
154,3080.0,91.09647,4.58761,91.09646,4.58761
155,3100.0,89.78574,4.58761,90.44109,4.58761
156,3120.0,89.78573,4.58761,90.44108,4.58761
157,3140.0,89.78573,4.5876,89.78573,4.5876
158,3160.0,89.13037,5.24297,89.78572,4.58761
159,3180.0,89.13036,5.24297,88.47499,5.24297
160,3200.0,88.47499,5.24297,93.06253,5.89833
161,3220.0,108.13598,8.5198,123.20944,9.17517
162,3240.0,129.10781,10.48591,127.79709,10.48591
163,3260.0,125.83099,10.48591,126.48634,10.48591
164,3280.0,125.17563,9.83055,126.48634,9.17519
165,3300.0,126.48634,9.83055,126.48634,9.17519
166,3320.0,125.83098,9.17519,126.48634,9.17519
167,3340.0,126.48634,9.83056,126.48633,9.17519
168,3360.0,126.48633,9.17519,127.14169,9.17519
169,3380.0,126.48633,9.17519,127.14168,9.17519
170,3400.0,126.48632,9.17519,127.14167,9.17519
171,3420.0,126.48631,9.17519,126.4863,8.51983
172,3440.0,127.14166,8.51983,127.14165,8.51982
173,3460.0,127.14164,8.51983,126.48627,8.51983
174,3480.0,127.79698,8.51983,127.14161,8.51983
175,3500.0,128.45234,8.51983,128.45233,8.51983
176,3520.0,128.45233,7.86446,128.45233,7.86446
177,3540.0,129.10769,7.86446,127.79697,6.55373
178,3560.0,114.68963,1.96617,85.19805,-2.62142
179,3580.0,49.15278,-5.89825,1.31111,-7.20899
180,3600.0,-13.10709,-5.89828,-17.03933,-4.58756
181,3620.0,-15.07319,-3.93218,-14.41782,-2.62146
182,3640.0,-14.41781,-1.9661,-13.76243,-1.9661
183,3660.0,-13.10706,-1.31074,-12.4517,-1.31074
184,3680.0,-12.45169,-1.31074,-11.14098,-1.31075
185,3700.0,-11.14097,-1.31075,-10.48561,-1.96611
186,3720.0,-10.4856,-1.96611,-9.83024,-1.96611
187,3740.0,-9.83024,-1.96611,-9.17488,-1.96612
188,3760.0,-8.51951,-1.96612,-8.51952,-1.96612
189,3780.0,-7.86416,-1.96612,-7.86416,-1.96612
190,3800.0,-7.86416,-1.96612,-7.20881,-1.96612
191,3820.0,-7.2088,-2.62148,-7.20881,-2.62148
192,3840.0,-7.2088,-2.62148,-7.86417,-2.62148
193,3860.0,-7.86417,-2.62148,-7.86418,-2.62148
194,3880.0,-7.20882,-3.27684,-4.58735,-3.93221
195,3900.0,-3.93196,-3.9322,-4.58734,-3.27684
196,3920.0,-4.58734,-3.27684,-4.58734,-3.9322
197,3940.0,-4.58735,-3.27684,-4.58735,-3.9322
198,3960.0,-5.24271,-3.27683,-5.89808,-3.27683
199,3980.0,-5.24272,-2.62147,-5.89809,-3.27683
200,4000.0,-5.89809,-3.27683,-5.89809,-3.27683
201,4020.0,-5.89809,-2.62147,-5.24273,-3.27683
202,4040.0,-5.89809,-2.62147,-5.89809,-3.27683
203,4060.0,-5.89809,-2.62147,-5.89809,-3.27683
