,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-0.65536,0.0,-0.65537
2,40.0,9.9999999960687e-06,-0.65536,0.0,-0.65537
3,60.0,0.0,-1.31073,0.65535999999999,-0.65537
4,80.0,0.65535999999999,-1.31073,0.0,-0.65537
5,100.0,0.65537,-1.31073,0.0,-1.31073
6,120.0,0.65535999999999,-1.96609,9.9999999960687e-06,-1.31074
7,140.0,9.9999999960687e-06,-1.96609,0.0,-1.9661
8,160.0,0.0,-1.96609,0.0,-1.9661
9,180.0,-0.65535000000001,-1.96609,-1.31072,-1.96609
10,200.0,-0.65535000000001,-2.62145,-1.31072,-1.96609
11,220.0,-1.31071,-2.62145,-1.96608,-1.96609
12,240.0,-1.96608,-2.62144,-2.62144,-1.96608
13,260.0,-2.62144,-1.96607,-3.2768,-1.96607
14,280.0,-3.93216,-1.96607,-3.93216,-1.31071
15,300.0,-4.58753,-1.96606,-4.58753,-1.96606
16,320.0,-4.58753,-2.62142,-4.58754,-1.96606
17,340.0,-5.24289,-2.62142,-5.2429,-1.96606
18,360.0,-5.24289,-2.62141,-5.24289,-1.96605
19,380.0,-5.89824,-1.96605,-5.24289,-1.31069
20,400.0,-5.89825,-1.96604,-5.89825,-1.31068
21,420.0,-5.89824,-1.31068,-5.89824,-0.65532
22,440.0,-5.89824,-1.31068,-5.89824,-1.31068
23,460.0,-5.89824,-1.31068,-5.24289,-0.65532
24,480.0,-5.89824,-1.96603,-5.89824,-1.31068
25,500.0,-5.89824,-1.31067,-5.89825,-1.31067
26,520.0,-5.24289,-1.31067,-4.58755,-1.31068
27,540.0,-4.58755,-1.31067,-4.58755,-0.65532
28,560.0,-4.58756,-1.31067,-4.58757,-0.65531
29,580.0,-4.58757,-1.31067,-4.58757,-0.65531
30,600.0,-4.58757,-0.65531,-4.58822,-0.65531
31,620.0,-4.58757,-0.65531,-4.58757,-0.65531
32,640.0,-4.58757,-0.65531,-4.58758,0.65541
33,660.0,-5.24294,5.9999999997729e-05,-5.24294,0.65541
34,680.0,-5.24294,1.31078,-5.24294,1.96614
35,700.0,-5.24294,1.31078,-5.24295,1.96614
36,720.0,-5.24294,1.96614,-5.24295,1.96614
37,740.0,-5.24294,1.96615,-5.24295,1.96615
38,760.0,-5.24295,1.96615,-5.24294,1.96615
39,780.0,-5.8983,1.96615,-5.8983,2.62151
40,800.0,-5.24294,2.62152,-5.24295,2.62151
41,820.0,-5.24295,2.62152,-5.24295,3.27688
42,840.0,-5.24295,2.62152,-5.24295,3.93224
43,860.0,-5.24295,3.27688,-5.89831,3.93224
44,880.0,-5.89831,3.93225,-5.89831,4.58761
45,900.0,-5.8983,3.93225,-5.89831,3.93225
46,920.0,-5.8983,3.93225,-5.89831,3.93225
47,940.0,-5.8983,3.93225,-5.8983,4.58761
48,960.0,-5.8983,3.93225,-6.55366,3.93225
49,980.0,-6.55366,3.27689,-6.55366,3.93225
50,1000.0,-6.55366,3.27689,-7.20902,3.93225
51,1020.0,-7.20902,3.27688,-7.20902,3.27688
52,1040.0,-7.20901,3.27689,-7.20902,3.93225
53,1060.0,-7.20901,3.27689,-7.20902,3.93225
54,1080.0,-7.20901,3.27689,-7.20901,3.93224
55,1100.0,-7.86437,3.27689,-7.86437,3.27688
56,1120.0,-5.2429,3.93225,-4.58752,3.93226
57,1140.0,-5.24288,3.93227,-5.24289,4.58763
58,1160.0,-5.24288,3.93227,-5.24289,4.58762
59,1180.0,-5.24288,3.2769,-5.24288,3.93226
60,1200.0,-5.24288,3.2769,-5.24288,3.2769
61,1220.0,-4.58752,2.62154,-4.58752,3.27689
62,1240.0,-4.58752,2.62153,-3.93217,3.27689
63,1260.0,-3.93217,3.2769,-3.93218,3.27688
64,1280.0,-3.93218,2.62153,-3.93218,2.62152
65,1300.0,-3.93217,2.62152,-3.93218,2.62152
66,1320.0,-3.93218,1.96616,-3.93218,2.62152
67,1340.0,-4.58753,1.96617,-3.93217,2.62152
68,1360.0,-4.58753,1.96616,-4.58754,2.62153
69,1380.0,-4.58752,1.96617,-4.58753,2.62152
70,1400.0,-4.58752,2.62153,-4.58752,2.62153
71,1420.0,-4.58751,2.62153,-4.58752,2.62153
72,1440.0,-4.58751,1.96617,-5.24287,1.96617
73,1460.0,-5.24286,1.31081,-5.24286,1.96617
74,1480.0,-3.93212,3.93227,-4.58746,3.93227
75,1500.0,-4.58746,3.27691,-4.58746,3.93227
76,1520.0,-3.9321,3.27691,-3.9321,3.2769
77,1540.0,-3.9321,2.62155,-3.9321,3.2769
78,1560.0,-3.93209,2.62154,-3.93209,2.62154
79,1580.0,-3.93208,1.96618,-3.93209,2.62154
80,1600.0,-4.58744,1.31082,-3.93208,1.96617
81,1620.0,-4.58744,1.31083,-4.58744,1.96617
82,1640.0,-4.58743,0.65546,-4.58743,1.31082
83,1660.0,-5.24279,0.65546,-5.24279,0.65545
84,1680.0,-5.24278,9.9999999996214e-05,-5.24279,0.65545
85,1700.0,-5.24279,9.9999999996214e-05,-5.89815,0.65545
86,1720.0,-5.89814,9.9999999996214e-05,-5.89814,9.0000000000146e-05
87,1740.0,-5.89814,-0.65527,-5.89814,-0.65527
88,1760.0,-5.89813,-1.31062,-6.55349,9.0000000000146e-05
89,1780.0,-5.89812,-1.31062,-5.89812,-0.65527
90,1800.0,-5.89812,-1.96599,-6.55348,-1.96599
