,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65537,0.65536,-0.65537,0.0
2,40.0,-1.31073,0.65536,-1.31072,0.65537
3,60.0,-1.31073,0.65536,-1.96609,0.65537
4,80.0,-1.31073,1.31073,-1.96609,0.65537
5,100.0,-1.96609,1.96609,-1.96609,1.31073
6,120.0,-1.96609,1.9661,-2.62145,1.9661
7,140.0,-1.9661,3.27682,-2.62145,2.62146
8,160.0,-1.9661,2.62147,-2.62145,2.62147
9,180.0,-2.62145,3.27682,-2.62145,2.62146
10,200.0,-2.62145,3.27683,-2.62145,2.62147
11,220.0,-1.96609,3.27682,-1.96609,2.62146
12,240.0,-1.31073,3.27682,-1.96608,2.62147
13,260.0,-1.31072,2.62146,-0.65536,2.62146
14,280.0,9.9999999960687e-06,1.9661,1.9999999999243e-05,0.65537999999999
15,300.0,1.31074,9.9999999960687e-06,1.96611,-0.65536
16,320.0,2.62147,-1.31073,2.62149,-1.96609
17,340.0,3.27685,-1.31073,3.93222,-1.31073
18,360.0,3.93223,-1.31074,4.5876,-2.62146
19,380.0,3.93223,-2.62147,3.93223,-3.27683
20,400.0,4.58758,-3.27683,4.58758,-4.58755
21,420.0,3.9322,-3.9322,3.9322,-3.93219
22,440.0,3.93219,-3.27684,3.27683,-3.93219
23,460.0,3.27682,-2.62147,3.27682,-3.27683
24,480.0,3.27681,-1.96611,2.62145,-1.9661
25,500.0,2.62145,-0.65539,1.96609,-2.0000000006348e-05
26,520.0,1.96609,0.65534,1.96609,0.65534
27,540.0,1.96609,1.96606,1.31073,1.96606
28,560.0,1.96609,3.27678,1.96609,2.62142
29,580.0,1.96607,3.27677,1.31072,2.62142
30,600.0,1.31071,3.93213,1.31071,3.27678
31,620.0,1.31071,4.5875,0.65535,3.93214
32,640.0,1.3107,3.93214,0.65535,3.93214
33,660.0,1.31071,4.58749,0.65535,3.93214
34,680.0,1.3107,4.5875,1.31071,4.5875
35,700.0,0.65534,5.24285,-1.0000000003174e-05,4.5875
36,720.0,0.65534,5.24286,-1.9999999999243e-05,5.24287
37,740.0,-1.9999999999243e-05,5.89822,-1.9999999999243e-05,5.89823
38,760.0,-3.0000000002417e-05,6.55359,-3.0000000002417e-05,6.55359
39,780.0,-0.65539,6.55359,-0.65539,6.55359
40,800.0,-0.6554,7.20895,-1.31075,6.5536
41,820.0,-1.31076,7.20896,-1.31075,6.55359
42,840.0,-1.31075,7.20895,-1.31074,6.55359
43,860.0,-1.31074,7.20895,-0.65537,6.55359
44,880.0,-0.65537,7.20895,-1.31073,5.89823
45,900.0,-0.65537,7.20895,-1.31072,6.55359
46,920.0,-1.31073,6.55359,-1.96609,5.89824
47,940.0,-1.31073,6.55359,-1.96609,5.24287
48,960.0,-1.96609,5.89823,-1.96609,4.58752
49,980.0,-1.96609,5.24288,-2.62145,4.58752
50,1000.0,-2.62146,5.24288,-2.62145,3.93216
51,1020.0,-2.62145,5.24288,-2.62144,3.93216
52,1040.0,-2.62144,4.58753,-2.62144,3.93216
53,1060.0,-2.62144,4.58752,-2.62143,3.2768
54,1080.0,-2.62144,3.93216,-2.62143,3.2768
55,1100.0,-2.62143,3.27679,-2.62142,3.27679
56,1120.0,-2.62143,3.27679,1.31078,3.27679
57,1140.0,6.5538,3.27679,5.24306,3.27679
58,1160.0,4.58768,5.24288,5.24305,5.24288
59,1180.0,5.24304,5.89823,5.24303,5.89824
60,1200.0,5.24302,5.89824,5.24302,5.89824
61,1220.0,5.24301,5.89824,5.24301,5.89824
62,1240.0,5.24301,6.5536,5.24301,5.89825
63,1260.0,4.58764,6.55425,4.58764,6.55361
64,1280.0,4.58763,7.20897,3.93227,5.89825
65,1300.0,3.93226,6.55361,3.27691,6.55362
66,1320.0,3.2769,7.20898,2.62154,7.20898
67,1340.0,2.62154,7.86434,2.62154,7.20899
68,1360.0,3.2769,7.86434,3.2769,7.86435
69,1380.0,3.27689,8.5197,3.27691,7.86434
70,1400.0,3.2769,9.17505,3.27691,8.5197
71,1420.0,-56.36086,9.17505,3.27692,9.17506
72,1440.0,3.93227,10.48577,3.27692,9.83041
73,1460.0,3.93228,9.17504,3.93229,9.17505
74,1480.0,3.93227,10.48577,3.27692,9.83041
75,1500.0,-56.36084,11.14113,3.93228,11.14113
76,1520.0,3.93228,11.79648,3.93228,11.14112
77,1540.0,3.93137,11.79648,3.27692,11.14113
78,1560.0,3.93227,11.79649,3.27691,11.14113
79,1580.0,3.93227,11.79649,3.27691,11.79649
80,1600.0,2.62155,13.10721,3.27691,13.10721
81,1620.0,3.2769,13.76257,3.2769,13.76257
82,1640.0,3.2769,13.76258,3.2769,13.10721
83,1660.0,2.62154,13.76257,3.2769,13.76257
84,1680.0,3.2769,14.41792,3.2769,13.10721
85,1700.0,3.2769,13.76257,3.2769,13.76257
86,1720.0,3.27689,15.07329,2.62154,14.41793
87,1740.0,3.27689,15.0733,2.62153,14.41794
88,1760.0,5.24299,14.41793,9.83063,12.45185
89,1780.0,11.79675,13.76257,12.45213,15.0733
90,1800.0,13.10748,16.38403,12.45212,16.38403
91,1820.0,13.10749,17.69474,13.10749,17.03939
92,1840.0,13.10749,17.69474,13.10749,17.69475
93,1860.0,13.10749,19.00547,13.10748,19.00547
94,1880.0,13.10747,19.00547,12.45211,19.00548
95,1900.0,13.10745,19.66084,12.4521,20.31621
96,1920.0,12.45209,20.31621,12.45209,20.31621
97,1940.0,12.45208,20.97157,11.79672,20.31621
98,1960.0,11.79672,20.97157,11.79672,20.31622
99,1980.0,11.79671,20.31621,11.14136,20.31622
100,2000.0,13.76283,20.97157,20.31661,21.62694
101,2020.0,20.97201,20.31621,19.66128,21.62694
102,2040.0,20.31664,22.2823,19.66129,22.2823
103,2060.0,19.66129,22.93765,19.00594,22.93766
104,2080.0,19.6613,23.59301,19.00595,22.93765
105,2100.0,19.6613,23.59301,19.00594,22.93766
106,2120.0,19.66129,23.59301,19.00593,22.28229
107,2140.0,19.66129,22.93764,19.66129,22.28228
108,2160.0,19.66129,22.28228,20.31666,21.62692
109,2180.0,27.52576,22.93763,28.83655,21.62692
110,2200.0,28.83654,22.28226,28.83653,21.62691
111,2220.0,28.18118,22.28227,28.18118,21.6269
112,2240.0,28.18118,22.28226,28.18119,21.6269
113,2260.0,28.18118,22.28226,28.18118,21.6269
114,2280.0,28.18118,22.28226,28.18119,21.6269
115,2300.0,28.18119,22.28226,27.52583,21.6269
116,2320.0,28.18119,22.28226,27.52583,21.6269
117,2340.0,27.52583,22.28226,27.52583,21.6269
118,2360.0,27.52583,22.28226,27.52583,22.28226
119,2380.0,27.52583,22.93763,27.52583,22.28227
120,2400.0,27.52583,22.93762,27.52583,22.93763
121,2420.0,27.52583,22.93763,30.14731,22.28227
122,2440.0,38.66715,22.28225,43.91013,21.62689
123,2460.0,43.91013,22.28225,43.25476,21.62691
124,2480.0,43.25475,22.28226,42.5994,22.28226
125,2500.0,42.59939,22.28226,42.59939,21.62691
126,2520.0,42.59938,22.28227,42.59938,21.6269
127,2540.0,42.59937,22.28226,42.59937,21.62691
128,2560.0,42.59936,22.28227,42.59936,22.28228
129,2580.0,43.25471,22.93763,43.25471,22.93763
130,2600.0,43.25471,22.93764,43.25471,22.93764
131,2620.0,43.91006,23.59299,43.2547,22.93764
132,2640.0,43.2547,22.93764,43.91005,22.28228
133,2660.0,43.91005,22.28227,43.91005,21.62692
134,2680.0,43.91004,21.62691,43.91004,20.97155
135,2700.0,43.91003,20.97155,43.91003,19.66083
136,2720.0,43.91002,19.66083,43.91002,18.3501
137,2740.0,44.56538,19.00546,44.56538,18.3501
138,2760.0,45.22073,19.00546,45.22073,18.3501
139,2780.0,45.87609,19.00546,45.8761,18.3501
140,2800.0,46.53145,17.69473,45.8761,17.03938
141,2820.0,47.18681,17.03937,46.53146,17.03937
142,2840.0,45.87609,17.69472,46.53145,17.03937
143,2860.0,46.53145,17.03937,45.87609,16.38401
144,2880.0,46.53145,17.69473,46.53145,17.03937
145,2900.0,46.53145,17.69474,45.87609,16.38402
146,2920.0,46.53144,17.69473,45.87609,16.38401
147,2940.0,46.53144,17.03937,-56.36008,16.38402
148,2960.0,41.2885,18.35012,46.53145,19.00547
149,2980.0,47.18682,19.66084,46.53145,19.00549
150,3000.0,47.1868,20.31621,47.18681,19.00548
151,3020.0,47.18681,19.00548,47.18681,18.35012
152,3040.0,47.18681,18.35012,47.84217,17.69475
153,3060.0,48.49753,18.35011,48.49753,17.69475
154,3080.0,48.49754,18.35011,48.49755,17.69475
155,3100.0,48.49755,18.35011,47.84219,17.69475
156,3120.0,47.84219,18.35011,47.84219,17.69475
157,3140.0,57.67268,19.00547,71.43548,17.69474
158,3160.0,74.71232,17.03937,73.40158,17.69475
159,3180.0,72.7462,19.00547,71.43548,19.00547
160,3200.0,72.09083,19.66082,71.43547,19.66083
161,3220.0,71.43546,20.31618,71.43546,20.31618
162,3240.0,71.43545,20.97154,71.43545,20.97154
163,3260.0,71.43545,21.62689,72.09081,20.97153
164,3280.0,72.0908,21.62689,72.74616,20.97153
165,3300.0,73.40152,20.97152,73.40152,20.97153
166,3320.0,73.40151,21.62688,73.40152,21.62688
167,3340.0,73.40151,21.62688,73.40151,20.97152
168,3360.0,73.4015,21.62688,74.05686,20.97152
169,3380.0,73.40149,21.62688,73.40149,20.97152
170,3400.0,74.05684,21.62687,73.40149,20.97151
171,3420.0,73.40148,21.62687,73.40148,20.31615
172,3440.0,72.74612,20.97151,72.74611,20.97151
173,3460.0,72.74611,21.62687,72.09075,20.97151
174,3480.0,72.09073,21.62687,72.09074,20.97151
175,3500.0,72.09073,21.62687,71.43537,21.62688
176,3520.0,72.09073,21.62687,71.43537,21.62687
177,3540.0,71.43537,22.28223,71.43537,21.62687
178,3560.0,70.78001,22.28222,70.78002,21.62687
179,3580.0,70.78001,21.62686,70.78002,21.62687
180,3600.0,70.78002,22.28222,70.78003,20.9715
181,3620.0,71.43538,21.62686,70.78003,20.9715
182,3640.0,71.43539,21.62686,70.78004,20.9715
183,3660.0,72.09075,21.62686,72.09077,20.9715
184,3680.0,72.09076,21.62686,71.4354,20.97151
185,3700.0,72.09076,22.28223,72.09077,21.62688
186,3720.0,72.09076,22.28224,76.02295,22.28224
187,3740.0,95.02861,25.55905,106.16995,24.9037
188,3760.0,106.82533,26.21443,105.51458,28.83588
189,3780.0,104.85921,31.45733,104.85922,33.42341
190,3800.0,104.20385,36.04486,104.20385,36.04486
191,3820.0,104.20385,37.35557,104.20385,36.70021
192,3840.0,104.8592,36.70021,104.8592,36.70021
193,3860.0,105.51456,36.04484,105.51455,35.38948
194,3880.0,106.16991,35.38949,105.51455,34.73413
195,3900.0,106.1699,35.38948,106.1699,34.73412
196,3920.0,106.16989,35.38949,106.16989,34.73413
197,3940.0,105.51453,35.38948,105.51453,35.38948
198,3960.0,105.51452,36.04484,104.85917,35.38948
199,3980.0,104.85916,36.04484,104.85916,35.38947
200,4000.0,105.51451,36.04483,104.85916,34.73411
201,4020.0,104.85915,35.38947,104.85915,34.7341
202,4040.0,104.85916,34.7341,105.51452,34.07874
203,4060.0,105.51452,34.07874,94.3733,31.45735
204,4080.0,61.60494,28.836,30.14726,22.28247
205,4100.0,13.76297,22.28249,10.48607,25.5593
206,4120.0,13.76288,27.52538,15.07361,26.21465
207,4140.0,15.0736,24.90391,14.41824,23.59318
208,4160.0,14.41824,23.59317,14.41824,23.59317
209,4180.0,14.41823,25.55925,15.07358,25.55925
210,4200.0,14.41821,26.86997,13.76285,26.86997
211,4220.0,13.76284,26.86996,13.76285,26.2146
212,4240.0,14.4182,26.21459,14.4182,25.55923
213,4260.0,14.4182,26.21458,9.83064,22.9378
214,4280.0,3.27694,20.31634,0.65545,19.66098
215,4300.0,1.31081,20.31634,1.96618,19.66098
216,4320.0,1.96617,20.31634,2.62153,19.66098
217,4340.0,2.62153,20.31633,2.62153,19.66097
218,4360.0,2.62153,20.31633,2.62154,19.66097
219,4380.0,2.62154,20.31633,2.62155,19.66097
220,4400.0,2.62155,19.66096,2.62156,19.0056
221,4420.0,2.62155,19.00561,2.62156,18.35025
222,4440.0,2.62156,18.35024,2.62156,17.03953
223,4460.0,3.27691,17.69489,3.27691,17.03953
224,4480.0,3.93226,17.03952,3.2769,16.38417
225,4500.0,3.93226,16.38416,3.93226,15.72881
226,4520.0,1.96615,15.72882,0.6554,15.72884
227,4540.0,1.31076,17.03956,1.31076,16.38421
228,4560.0,1.96612,17.03957,1.96612,17.03957
229,4580.0,1.96611,17.69493,1.96612,17.03958
230,4600.0,1.96611,18.35029,1.96612,17.03957
231,4620.0,1.96612,17.69493,1.96612,17.03957
232,4640.0,1.96612,17.69493,1.96612,17.03956
233,4660.0,1.96611,16.3842,1.31075,15.72884
234,4680.0,1.31075,16.3842,1.31075,15.72883
235,4700.0,1.31075,16.38419,1.31075,15.72883
236,4720.0,1.31075,16.38419,0.65539,16.38419
237,4740.0,0.65539,16.38419,0.65539,16.38418
238,4760.0,3.0000000002417e-05,16.38418,0.65539,15.72882
239,4780.0,0.65539,16.38417,9.17519,16.38416
240,4800.0,16.38428,15.72879,17.69504,15.07344
241,4820.0,17.69502,16.38416,17.03966,16.38416
242,4840.0,17.69502,17.03951,17.03966,16.38416
243,4860.0,17.69502,17.69487,17.03966,17.03951
244,4880.0,17.03965,18.35022,17.03966,17.69486
245,4900.0,17.03966,17.69485,17.03967,17.69486
246,4920.0,17.03966,19.00557,16.3843,18.35021
247,4940.0,16.38429,19.00557,16.3843,17.69484
248,4960.0,16.38429,18.3502,16.38429,18.3502
249,4980.0,16.38429,18.3502,15.72893,18.35019
250,5000.0,15.72893,19.00555,15.07358,18.35019
251,5020.0,15.07357,19.6609,14.41821,19.00554
252,5040.0,15.07357,20.31626,14.41822,20.31625
253,5060.0,14.41821,20.31625,14.41822,19.66089
254,5080.0,14.41822,20.31625,14.41822,20.31625
255,5100.0,13.76285,20.31624,14.41821,19.66089
256,5120.0,14.41821,19.66088,14.41821,19.00552
257,5140.0,14.4182,19.66088,14.41821,19.00552
258,5160.0,14.4182,19.66088,14.42074,19.00552
259,5180.0,14.41819,19.00553,15.07355,17.69481
260,5200.0,22.28262,17.69479,29.49177,16.38407
261,5220.0,33.42398,16.38407,33.42397,16.38407
262,5240.0,34.07931,17.03943,34.07931,15.72871
263,5260.0,34.73465,16.38407,35.39,15.07335
264,5280.0,36.04535,15.07334,36.04534,14.41798
265,5300.0,36.70069,14.41798,36.70069,13.76261
266,5320.0,37.35604,13.76261,37.35604,12.45189
267,5340.0,37.35603,12.45189,38.01139,11.79653
268,5360.0,38.01138,12.45188,38.01139,11.14116
269,5380.0,38.01138,11.79652,38.01139,11.14116
270,5400.0,38.01138,11.14116,38.01139,10.48579
271,5420.0,38.01139,11.14115,37.35603,10.4858
272,5440.0,37.35603,11.14115,36.70068,10.4858
273,5460.0,38.01141,11.14115,47.842,10.48641
274,5480.0,53.74036,10.48577,54.39573,10.48577
275,5500.0,53.74036,11.14113,53.74037,11.14113
276,5520.0,53.085,11.79649,52.42964,11.14113
277,5540.0,53.085,11.14112,52.42964,10.48576
278,5560.0,53.085,10.48576,52.42964,9.8304
279,5580.0,52.42964,9.8304,52.42964,9.17503
280,5600.0,52.42964,9.83039,52.42964,9.17503
281,5620.0,52.42964,9.83039,52.42965,9.17503
282,5640.0,53.085,9.83039,52.42964,9.17503
283,5660.0,52.42964,9.83039,52.42964,8.51967
284,5680.0,52.42964,8.51967,52.42964,8.51967
285,5700.0,52.42963,9.17503,52.42963,8.51967
286,5720.0,52.42961,8.51967,52.42961,7.86431
287,5740.0,51.77424,8.51967,52.4296,7.86431
288,5760.0,65.53694,9.83038,79.2997,6.55357
289,5780.0,84.54264,7.20893,83.88727,6.55358
290,5800.0,83.23189,7.8643,83.2319,7.20894
291,5820.0,83.23189,7.20893,82.57653,6.55358
292,5840.0,83.23189,7.86429,82.57653,7.20893
293,5860.0,82.57653,7.86429,82.57652,6.55357
294,5880.0,82.57652,7.86429,81.92116,7.20893
295,5900.0,81.26579,7.20893,81.26579,6.55357
296,5920.0,81.26579,6.55357,79.95507,5.89821
297,5940.0,79.95506,5.89821,79.95506,5.24285
298,5960.0,80.61042,5.8982,79.95506,4.58748
299,5980.0,79.95505,5.24284,79.29969,4.58749
300,6000.0,79.95504,5.24284,79.29969,4.58748
301,6020.0,79.29968,5.24284,79.29968,4.58748
302,6040.0,79.29967,5.8982,81.26577,4.58748
303,6060.0,91.75165,6.55356,95.02851,4.58748
304,6080.0,98.30534,5.24283,98.30534,4.58748
305,6100.0,97.64997,5.24284,97.64997,4.58749
306,6120.0,96.99461,5.24285,96.99461,4.58749
307,6140.0,96.33924,4.58749,96.33924,4.5875
308,6160.0,95.68388,4.5875,95.68388,4.58751
309,6180.0,95.68387,4.58751,95.68388,3.93215
310,6200.0,95.68388,5.24287,95.02852,4.58751
311,6220.0,95.68388,5.24287,95.02853,3.93215
312,6240.0,95.68389,4.58751,95.02853,3.93215
313,6260.0,95.68389,3.93214,95.6839,3.93213
314,6280.0,95.6839,4.58749,96.33926,3.93214
315,6300.0,96.33925,3.93213,96.33924,3.27676
316,6320.0,96.33924,3.93212,100.27143,3.93212
317,6340.0,106.16977,4.58748,106.16977,3.93212
318,6360.0,105.51439,5.24284,105.51439,5.24284
319,6380.0,105.51439,5.8982,104.85903,5.24285
320,6400.0,104.85903,5.8982,104.85902,5.24285
321,6420.0,104.85902,5.8982,104.85902,5.8982
322,6440.0,105.51437,7.20892,104.85901,6.55357
323,6460.0,104.85901,7.20892,104.859,7.20892
324,6480.0,104.859,8.51964,104.20364,7.86428
325,6500.0,104.20363,8.51964,104.20363,8.51964
326,6520.0,103.54826,9.175,103.54826,9.83037
327,6540.0,104.20361,10.48572,103.54826,10.48572
