,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-1.0000000003174e-05,0.0,0.0025499999999994,0.65536
2,40.0,0.65535,0.65535,0.65537,0.65536
3,60.0,0.65536,0.65536,0.65537,1.31072
4,80.0,1.31072,0.65535,1.31073,1.31072
5,100.0,1.31072,0.65535,1.96609,1.31072
6,120.0,1.96609,1.31071,1.96611,1.96608
7,140.0,1.96609,1.96608,2.62147,1.96608
8,160.0,2.62146,1.96607,2.62148,1.96608
9,180.0,2.62146,1.96608,2.62148,1.96608
10,200.0,2.62147,1.96607,2.62148,1.96608
11,220.0,3.27683,1.96607,2.62149,1.96607
12,240.0,3.27684,1.31071,2.62149,1.96607
13,260.0,3.27684,1.96607,3.27686,1.96607
14,280.0,3.27685,1.96606,3.27686,1.96607
15,300.0,2.62149,1.31071,3.27687,1.96607
16,320.0,3.27685,1.96607,2.62151,1.96607
17,340.0,3.27685,1.3107,2.62151,1.96607
18,360.0,3.27685,1.3107,2.62151,1.31071
19,380.0,2.6215,0.65534,5.24296,1.3107
20,400.0,11.14125,1.31069,13.10736,1.96605
21,420.0,11.14124,1.96605,10.48588,2.62142
22,440.0,6.55367,1.96606,-1.9999999999243e-05,2.62143
23,460.0,-0.6554,2.62143,0.65535000000001,3.2768
24,480.0,1.3107,3.27679,0.65535000000001,3.2768
25,500.0,1.3107,3.27679,1.31072,3.93216
26,520.0,1.96607,3.93216,1.96609,4.58753
27,540.0,1.96608,4.58753,1.96609,5.24289
28,560.0,1.96608,5.24289,1.96609,5.89826
29,580.0,1.96608,5.89825,1.96609,5.89826
30,600.0,3.93218,5.89825,7.8644,6.55362
31,620.0,9.17513,6.55361,9.17514,7.20899
32,640.0,8.51976,7.20898,8.51978,7.86435
33,660.0,9.17513,7.86433,9.17514,7.86434
34,680.0,9.17513,7.86434,9.17514,7.86434
35,700.0,9.17513,7.86433,9.17515,7.86434
36,720.0,9.17513,7.86433,9.17515,8.5197
37,740.0,9.17513,7.86433,9.17514,8.5197
38,760.0,9.17514,7.86433,8.51979,8.51969
39,780.0,8.51978,8.51969,8.51979,8.5197
40,800.0,8.51978,8.51969,8.5198,8.5197
41,820.0,8.51978,8.51969,7.86443,9.17506
42,840.0,8.51978,8.51969,7.86443,9.17506
43,860.0,7.86442,8.51969,7.86443,9.17506
44,880.0,7.86442,9.17505,7.86443,9.17506
45,900.0,7.86442,9.17505,8.51979,9.17506
46,920.0,7.86442,9.17505,7.86443,9.17506
47,940.0,7.20906,9.17506,7.20908,9.17506
48,960.0,7.86443,9.17505,11.79664,9.17505
49,980.0,12.45201,8.51968,11.14129,9.83041
50,1000.0,11.14128,9.83041,11.14384,10.48579
51,1020.0,11.14128,9.83042,10.48593,10.48578
52,1040.0,11.14127,9.83042,11.14128,9.83042
53,1060.0,11.14127,9.83041,11.79664,9.83042
54,1080.0,12.45198,9.17505,12.45199,9.83041
55,1100.0,12.45197,9.17505,12.45198,9.83042
56,1120.0,12.45198,9.17505,12.45199,9.83041
57,1140.0,12.45198,9.17505,12.45199,9.83042
58,1160.0,12.45198,9.17505,12.45199,9.83041
59,1180.0,12.45198,9.17505,12.45198,9.17505
60,1200.0,12.45198,9.17505,11.79663,9.17505
61,1220.0,12.45197,9.17504,12.45199,9.17505
62,1240.0,12.45197,9.17505,11.79663,9.17505
63,1260.0,12.45198,9.17504,15.07345,9.17504
64,1280.0,21.62712,9.17503,24.90399,9.83039
65,1300.0,24.24862,9.83039,23.59326,10.48577
66,1320.0,23.59325,10.48576,24.24862,10.48576
67,1340.0,24.2486,10.48576,23.59326,10.48576
68,1360.0,23.59324,10.48576,24.24861,10.48576
69,1380.0,23.59324,10.48576,23.59324,10.48577
70,1400.0,23.59323,10.48577,23.59324,11.14113
71,1420.0,23.59323,11.14112,22.93788,11.14113
72,1440.0,22.93787,11.14112,22.93788,10.48577
73,1460.0,22.28251,10.48577,22.28251,11.14113
74,1480.0,22.28251,10.48576,22.28251,11.14113
75,1500.0,22.2825,10.48577,22.28251,10.48577
76,1520.0,22.2825,10.48576,21.62715,10.48577
77,1540.0,21.62714,10.48576,21.62716,10.48577
78,1560.0,25.55934,10.48576,32.11305,10.48575
79,1580.0,33.42379,11.14111,31.45771,11.79648
80,1600.0,31.45769,11.79648,31.45771,11.79649
81,1620.0,31.4577,11.79648,31.45771,11.79648
82,1640.0,31.4577,11.14112,31.45771,11.14112
83,1660.0,31.4577,11.14112,31.45771,11.79648
84,1680.0,31.4577,11.14111,31.45771,11.14112
85,1700.0,31.45769,10.48575,32.11305,11.14112
86,1720.0,32.11304,10.48574,33.42377,10.48575
87,1740.0,38.66671,10.48574,41.2882,11.79647
88,1760.0,40.63283,11.14111,40.63283,11.79647
89,1780.0,39.97745,11.14111,40.63282,11.79648
90,1800.0,39.97745,11.14111,39.97746,11.79648
91,1820.0,39.97744,11.14111,39.32209,11.79647
92,1840.0,39.32208,11.14111,-41.94255,11.79648
93,1860.0,38.66671,11.14111,39.32208,11.79647
94,1880.0,39.32207,11.14111,38.66672,11.14111
95,1900.0,38.6667,11.1411,38.66671,11.14111
96,1920.0,38.01134,10.48574,38.01135,10.48575
97,1940.0,38.01133,10.48575,37.35598,10.48575
98,1960.0,38.01133,10.48574,37.35598,10.48575
99,1980.0,37.35597,10.48574,37.35597,11.14111
100,2000.0,37.35596,10.48575,36.70062,11.14111
101,2020.0,36.7006,10.48575,36.70061,11.14111
102,2040.0,36.7006,10.48575,39.97745,11.14111
103,2060.0,47.84187,11.79647,52.42947,12.45184
104,2080.0,52.42947,12.45184,51.11876,13.1072
105,2100.0,51.11874,13.1072,51.11876,13.1072
106,2120.0,51.11875,12.45184,51.11877,13.10721
107,2140.0,50.4634,12.45184,50.46341,13.10721
108,2160.0,50.4634,12.45184,50.46341,13.10721
109,2180.0,50.46341,12.45184,50.46342,13.10721
110,2200.0,50.46341,12.45184,49.80806,13.10799
111,2220.0,50.46341,12.45184,49.80807,13.10721
112,2240.0,49.80806,12.45184,49.80807,13.10721
113,2260.0,49.80807,12.45184,49.80808,13.10721
114,2280.0,49.80806,13.10721,49.80808,13.10721
115,2300.0,49.1527,13.10721,49.80807,13.10721
116,2320.0,49.1527,12.45185,49.80807,13.10721
117,2340.0,49.80806,12.45184,50.46342,12.45185
118,2360.0,51.11877,12.45184,51.11878,12.45185
119,2380.0,51.11876,12.45184,51.11878,12.45185
120,2400.0,51.11876,11.79648,51.11877,12.45185
121,2420.0,51.11877,11.79648,53.74024,12.45185
122,2440.0,54.3956,13.10721,53.08488,14.41795
123,2460.0,53.08486,13.76258,53.08487,14.41795
124,2480.0,52.4295,13.76258,52.42951,14.41795
125,2500.0,52.42949,14.41794,52.4295,14.41795
126,2520.0,52.42949,14.41794,52.42951,14.41795
127,2540.0,52.4295,14.41794,52.42951,14.41795
128,2560.0,53.08486,14.41794,52.42951,14.41794
129,2580.0,52.4295,14.41794,52.42952,14.41794
130,2600.0,52.4295,14.41793,52.42952,14.41794
131,2620.0,52.42951,14.41793,52.42952,14.41794
132,2640.0,52.4295,14.41793,52.42951,14.41794
133,2660.0,52.4295,14.41793,52.42951,14.41794
134,2680.0,52.42951,14.41793,52.42952,14.41794
135,2700.0,51.77415,13.76257,48.49731,13.76257
136,2720.0,47.18654,13.10721,47.18657,14.41794
137,2740.0,47.84192,14.41793,47.84193,14.41794
138,2760.0,47.18656,14.41793,47.18657,14.41794
