,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.65536,0.65536,1.96608
2,40.0,0.65535000000001,2.62146,1.31071,3.27682
3,60.0,1.96607,3.27682,2.62144,3.93217
4,80.0,3.27679,5.89828,4.58752,6.55364
5,100.0,5.24288,7.86437,5.89826,7.86436
6,120.0,5.89827,7.86437,5.89828,6.55364
7,140.0,5.89829,7.20902,6.55368,7.86438
8,160.0,6.55369,8.51976,6.5537,8.51975
9,180.0,6.55371,9.83049,5.89836,9.83048
10,200.0,5.89835,9.17512,5.243,9.83048
11,220.0,3.27701,9.83049,2.62167,10.48585
12,240.0,1.96629,11.79659,1.31092,11.79659
13,260.0,0.65555000000001,11.14124,0.65554,11.14124
14,280.0,0.65553000000001,10.48589,0.00016000000000105,11.14125
15,300.0,0.00015000000000498,11.14126,0.00015000000000498,12.45198
16,320.0,0.00015000000000498,12.45199,0.00014000000000181,13.7627
17,340.0,0.00015000000000498,13.76271,0.00015000000000498,15.07343
18,360.0,0.00015000000000498,15.7288,0.00015000000000498,16.38416
19,380.0,0.00016000000000105,17.69489,-0.65519999999999,17.69487
20,400.0,0.00016000000000105,17.03953,-0.65519999999999,17.03951
21,420.0,-1.31056,17.03952,-1.31055,17.03951
22,440.0,-1.31055,16.38416,-1.31055,16.38416
23,460.0,-1.31055,17.03952,-1.31054,17.03951
24,480.0,-2.62127,15.72879,-2.62126,15.07342
25,500.0,-2.62129,13.10734,-2.62131,13.10732
26,520.0,-2.6213,13.10733,-2.6213,12.45196
27,540.0,-2.62129,12.45196,-3.27665,12.45195
28,560.0,-3.27665,12.45196,-3.93199,11.79659
29,580.0,-3.93199,11.79659,-4.58734,11.79658
30,600.0,-4.58734,11.79659,-5.24268,11.79658
31,620.0,-5.89803,12.45195,-6.55338,11.79658
32,640.0,-6.55338,12.45196,-6.55337,12.45195
33,660.0,-7.86409,12.45196,-7.86408,13.10732
34,680.0,-8.51944,12.45196,-8.51943,12.45196
35,700.0,-9.17479,12.45196,-9.83014,12.45195
36,720.0,-9.83014,12.45196,-10.48549,13.10732
37,740.0,-10.48549,12.45196,-10.48548,13.10732
38,760.0,-11.14084,12.45197,-10.48548,13.10732
39,780.0,-10.48549,12.45197,-9.83014,12.45195
40,800.0,-8.51944,11.14123,-7.86408,11.14121
41,820.0,-7.20874,10.48586,-7.20875,10.48585
42,840.0,-6.5534,9.83049,-7.20875,9.83049
43,860.0,-7.20876,9.83049,-7.20876,9.83048
44,880.0,-6.5534,9.83049,-7.20875,10.48585
45,900.0,-7.86411,10.48585,-7.20875,10.48584
46,920.0,-7.20875,9.83049,-7.86411,9.83047
47,940.0,-7.86411,9.17512,-7.86411,9.17511
48,960.0,-8.51947,9.17511,-7.86412,8.51975
49,980.0,-7.86413,9.17511,-7.86412,9.1751
50,1000.0,-7.86413,9.17511,-7.86413,8.51974
51,1020.0,-8.51949,9.17511,-7.86413,9.1751
52,1040.0,-8.5195,9.17511,-8.51949,9.1751
53,1060.0,-7.86414,9.17511,-7.86414,9.83047
54,1080.0,-7.86414,9.17512,-7.86414,9.17511
55,1100.0,-7.86415,9.17511,-8.5195,9.1751
56,1120.0,-8.5195,9.17511,-8.51951,9.17511
57,1140.0,-8.51951,8.52029,-9.17486,9.17511
58,1160.0,-9.17486,8.51975,-9.17486,8.51974
59,1180.0,-9.17486,7.8644,-9.17486,8.51975
60,1200.0,-9.17486,7.8644,-9.83022,7.86439
61,1220.0,-9.83022,7.8644,-9.83022,7.86439
62,1240.0,-9.83022,7.8644,-9.83022,7.86439
63,1260.0,-10.48558,7.20904,-10.48558,6.55367
64,1280.0,-10.48559,7.20904,-10.48558,7.20903
65,1300.0,-11.14094,7.20904,-11.14094,7.20904
66,1320.0,-11.14094,7.20904,-11.14094,7.20904
67,1340.0,-11.14094,6.55368,-11.79629,6.55367
68,1360.0,-11.14093,6.55368,-11.79629,5.89831
69,1380.0,-11.79629,5.89832,-12.45165,5.8983
70,1400.0,-12.45165,5.24295,-12.45165,5.24294
71,1420.0,-13.107,5.24294,-13.76223,4.58757
72,1440.0,-13.7622,3.27687,-15.07293,4.58758
73,1460.0,-15.07294,4.58759,-15.72829,4.58758
74,1480.0,-15.72829,4.58759,-15.72829,4.58759
