,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.65536,0.0,1.31071
2,40.0,0.0,1.31071,-1.0000000003174e-05,1.96606
3,60.0,0.65535,1.96607,0.65535,1.96606
4,80.0,0.65535,1.96607,0.65534,2.62141
5,100.0,0.65534,1.96606,-1.9999999999243e-05,2.62141
6,120.0,0.65534,1.96606,0.65534,1.96605
7,140.0,0.65534,2.62142,0.65533,1.96605
8,160.0,0.65533,1.96606,0.65534,1.96605
9,180.0,0.65534,1.96606,0.65534,1.96604
10,200.0,0.65534,0.65533,0.65534,1.31068
11,220.0,0.65534,0.65533,0.65535,-3.9999999998486e-05
12,240.0,0.65535,0.65533,0.65534,-3.9999999998486e-05
13,260.0,-1.0000000003174e-05,-3.0000000002417e-05,0.65535,-3.9999999998486e-05
14,280.0,-1.0000000003174e-05,-3.0000000002417e-05,-1.0000000003174e-05,0.65532
15,300.0,0.0,-3.9999999998486e-05,-1.0000000003174e-05,-3.9999999998486e-05
16,320.0,-1.0000000003174e-05,-3.9999999998486e-05,-1.0000000003174e-05,-4.9999999994554e-05
17,340.0,0.65534,-3.0000000002417e-05,-1.0000000003174e-05,-3.9999999998486e-05
18,360.0,-1.0000000003174e-05,-3.9999999998486e-05,0.65535,0.65531
19,380.0,0.65535,0.65532,0.65535,1.31067
20,400.0,0.65535,1.31067,0.65535,1.31067
21,420.0,0.65535,1.31067,1.31071,1.96603
22,440.0,0.65534,1.96603,1.31071,2.62139
23,460.0,1.31071,2.62139,1.31071,2.62139
24,480.0,1.3107,3.27675,0.65534,2.62139
25,500.0,1.3107,3.27675,1.3107,3.27674
26,520.0,0.65534,2.62139,0.65534,3.27675
27,540.0,0.65535,1.96603,-1.96613,1.31066
28,560.0,-1.96614,0.65529,-1.31078,1.31065
29,580.0,-0.65542,1.31066,-0.65542,1.31064
30,600.0,-0.65542,0.65529,-0.65542,0.65527
31,620.0,-0.65542,0.65528,-0.65542,-9.0000000000146e-05
32,640.0,-0.65543,-9.0000000000146e-05,-0.65543,-9.9999999996214e-05
33,660.0,-0.65542,-0.65545,-0.65543,-0.65546
34,680.0,-0.65543,-0.65545,-0.65543,-9.9999999996214e-05
35,700.0,-0.65542,-0.00010000000000332,-0.65542,-0.65547
36,720.0,-5.9999999997729e-05,-0.65546000000001,-0.65542,-0.65547
37,740.0,-5.000000000166e-05,-1.31082,-5.9999999997729e-05,-0.65547
38,760.0,-5.000000000166e-05,-1.31083,-5.000000000166e-05,-1.31084
39,780.0,-5.000000000166e-05,-1.31083,-0.65542,-1.96621
40,800.0,-5.9999999997729e-05,-1.96619,-5.000000000166e-05,-1.96621
41,820.0,-5.000000000166e-05,-1.9662,-5.9999999997729e-05,-1.96621
42,840.0,-5.9999999997729e-05,-2.62156,-0.65542,-1.96621
43,860.0,-5.9999999997729e-05,-1.31084,-5.9999999997729e-05,-1.31084
44,880.0,-5.9999999997729e-05,-1.31084,-5.9999999997729e-05,-1.31084
45,900.0,-5.9999999997729e-05,-0.65547,0.6553,-0.65548
46,920.0,0.65529,-0.00010000000000332,0.6553,-0.00011999999999546
47,940.0,1.31067,-0.00010999999999939,-7.0000000000903e-05,-0.65548
48,960.0,-11.1414,-0.65548,-33.42401,1.31055
49,980.0,-47.18668,2.62127,-48.4974,5.24272
50,1000.0,-43.90988,9.83027,-41.9438,15.0732
51,1020.0,-41.28844,20.31611,-41.28844,23.59293
52,1040.0,-39.97772,23.59295,-39.97772,24.24832
53,1060.0,-39.32236,24.90371,-39.32236,25.55907
54,1080.0,-38.667,26.21445,-38.01164,29.49124
55,1100.0,-36.70092,30.14662,-36.70092,30.14662
56,1120.0,-36.70092,30.14662,-36.04556,29.49126
57,1140.0,-35.38765,29.49126,-30.14732,26.86981
58,1160.0,-24.90435,21.62692,-26.21507,22.93762
59,1180.0,-26.21508,24.90373,-26.21508,25.5591
60,1200.0,-26.87044,25.5591,-27.52581,26.21446
61,1220.0,-27.52581,26.21447,-27.52583,24.24837
62,1240.0,-27.52583,23.59302,-27.52585,21.62693
