,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65535999999999,1.9661,0.0,1.9661
2,40.0,-0.65535,3.27684,-0.65535999999999,1.9661
3,60.0,0.0,3.9322,-1.9999999999243e-05,1.9661
4,80.0,-1.9999999999243e-05,3.9322,-2.9999999995312e-05,2.62147
5,100.0,0.65533,3.27684,1.31067,1.0000000003174e-05
6,120.0,7.86433,3.27685,17.03948,6.0000000004834e-05
7,140.0,26.21465,0.65541,34.73443,-6.5536
8,160.0,42.59882,-9.83044,51.11856,-10.48581
9,180.0,64.22588,-8.51971,70.77955,-7.86434
10,200.0,68.15813,-7.20897,66.8474,-7.86433
11,220.0,66.8474,-6.5536,66.8474,-7.86433
12,240.0,66.19204,-6.5536,65.53668,-7.86433
13,260.0,64.88132,-6.5536,65.53667,-8.5197
14,280.0,65.53668,-7.86433,65.53668,-9.17506
15,300.0,65.53668,-7.86433,64.88132,-9.83042
16,320.0,64.88132,-9.17506,64.88132,-10.48579
17,340.0,65.53668,-9.17506,64.88132,-11.14115
18,360.0,36.70066,-16.38404,5.89834,-17.03943
19,380.0,-3.27696,-6.55362,-5.24306,-1.96608
20,400.0,-3.93231,0.65539,-3.93232,1.9999999999243e-05
21,420.0,-4.58767,1.31075,-3.93231,0.65538
22,440.0,-4.58767,1.96611,-4.58768,0.65538
23,460.0,-4.58768,1.96612,-4.58767,1.9999999999243e-05
24,480.0,-44.56464,1.31076,-4.58768,-0.65533
25,500.0,-4.58768,3.9999999998486e-05,-3.93232,-1.31069
26,520.0,-4.58768,3.9999999998486e-05,-4.58768,-1.31069
27,540.0,-4.58767,0.6554,-4.58768,3.0000000002417e-05
28,560.0,-4.58768,1.31077,-4.58768,3.9999999998486e-05
29,580.0,-4.58767,2.6215,-4.58768,1.31076
30,600.0,-4.58767,2.6215,-3.93231,0.65541
31,620.0,-4.58767,2.6215,-4.58767,1.31077
32,640.0,-4.58767,1.96614,-3.93231,0.6554
33,660.0,-3.93231,1.31077,-3.93231,-0.65532
34,680.0,-2.62159,0.65541,-2.6216,-0.65533
35,700.0,-2.6216,0.6554,-1.96624,-1.31069
36,720.0,-1.96623,0.6554,-1.96624,-1.3107
37,740.0,-1.31086,3.0000000002417e-05,-1.31087,-1.96606
38,760.0,-1.31086,-0.65534,-1.31086,-2.62143
39,780.0,-0.65549,-1.3107,-0.65549,-3.27619
40,800.0,-0.65549,-3.27679,-0.65549,-4.58752
41,820.0,-0.00011999999999546,-3.93215,-0.00011999999999546,-5.24289
42,840.0,-0.00011999999999546,-3.93216,-0.65546999999999,-5.89825
43,860.0,-0.65546999999999,-3.93217,-0.65546999999999,-5.2429
44,880.0,-0.65546999999999,-4.58754,-1.31083,-5.89827
45,900.0,-1.31082,-4.58755,-1.31082,-5.24293
46,920.0,-2.62155,-3.9322,-5.24304,-3.93221
47,940.0,-5.24302,-1.31076,-5.24301,-1.31077
48,960.0,-5.24301,-3.9999999998486e-05,-5.89838,-1.31078
49,980.0,-5.89836,0.6553,-6.55373,-0.65543
50,1000.0,-6.55372,-7.0000000000903e-05,-6.55373,-1.96616
51,1020.0,-6.55372,-1.96616,-5.89836,-3.93225
52,1040.0,-5.89836,-2.62152,-5.89836,-4.58761
53,1060.0,-5.89835,-3.93224,-5.24299,-5.89834
54,1080.0,-5.89835,-4.58761,-5.24299,-6.5537
55,1100.0,-5.89834,-5.24296,-5.24298,-6.5537
56,1120.0,-5.24298,-5.89833,-5.24298,-7.86442
57,1140.0,-5.24298,-6.55369,-5.24298,-8.51979
58,1160.0,-4.58762,-7.86441,-4.58762,-9.83051
59,1180.0,-4.58761,-9.17513,-4.58762,-11.14123
60,1200.0,-4.5876,-9.8305,-4.5876,-11.79659
61,1220.0,-4.5876,-11.14123,-4.5876,-11.7966
62,1240.0,-4.5876,-11.79658,-3.93224,-13.10732
63,1260.0,-3.93224,-13.10731,-3.27689,-14.41805
64,1280.0,-3.27689,-14.41804,-2.62154,-15.72877
65,1300.0,-2.62154,-14.41804,-2.62154,-16.38414
66,1320.0,-3.2769,-15.07341,-2.62154,-16.38414
67,1340.0,-2.62154,-15.72878,-2.62154,-17.03951
68,1360.0,-3.2769,-16.38414,-3.2769,-17.69487
69,1380.0,-3.2769,-17.69486,-3.27691,-19.66096
70,1400.0,-3.2769,-18.35023,-2.62154,-20.31632
71,1420.0,-2.62154,-19.00559,-2.62155,-20.31633
72,1440.0,-3.2769,-19.00559,-3.27691,-20.97169
73,1460.0,-3.27691,-19.66096,-3.27691,-21.62705
74,1480.0,-3.2769,-20.31632,-3.27691,-22.28241
75,1500.0,-3.93227,-20.97169,-1.96618,-19.00559
76,1520.0,-0.65546,-15.07338,-1.96618,-17.03948
77,1540.0,-1.96618,-15.72875,-1.96618,-17.03949
78,1560.0,-1.96618,-15.72875,-1.96619,-17.69485
79,1580.0,-2.62154,-16.38412,-1.96618,-18.35021
80,1600.0,-1.96618,-17.69485,-1.96618,-19.00558
81,1620.0,-2.62154,-19.00558,-2.62154,-20.97167
82,1640.0,-2.62154,-19.66094,-2.62154,-21.62704
83,1660.0,-2.62153,-20.31631,-2.62153,-21.62704
84,1680.0,-2.62152,-20.31631,-2.62152,-20.97168
85,1700.0,-2.62152,-20.31631,-2.62153,-22.2824
86,1720.0,-2.62152,-20.97167,-2.62152,-22.93777
87,1740.0,-2.62152,-22.2824,-3.27688,-23.59313
88,1760.0,-2.62152,-22.93776,-2.62152,-24.90386
89,1780.0,-3.27687,-23.59313,-3.27687,-26.21459
90,1800.0,-3.27687,-25.55922,-3.27687,-27.52531
91,1820.0,-3.27686,-25.55922,-3.93223,-27.52531
92,1840.0,-3.93222,-26.21458,-3.93222,-27.52531
93,1860.0,-3.93221,-26.21458,-3.93222,-28.18067
94,1880.0,-3.93222,-26.86995,-3.27687,-28.83604
95,1900.0,-3.27687,-27.52531,-2.62151,-28.83604
96,1920.0,-2.62152,-27.52531,-2.62152,-28.83604
97,1940.0,-3.27688,-27.52531,-2.62152,-28.18069
98,1960.0,-3.27689,-26.86996,-3.27688,-28.18069
99,1980.0,-2.62152,-27.52532,2.62146,-30.14676
100,2000.0,5.24296,-31.45746,3.93223,-31.45747
101,2020.0,3.27687,-28.836,3.27687,-30.14674
102,2040.0,3.27688,-28.83601,3.27688,-30.14675
103,2060.0,3.27688,-28.83602,3.27688,-30.14675
104,2080.0,2.62152,-28.83602,2.62152,-30.14675
105,2100.0,2.62152,-29.49138,2.62152,-30.80211
106,2120.0,2.62152,-29.49139,2.62152,-31.45748
107,2140.0,1.96616,-30.14675,2.62152,-31.45748
108,2160.0,1.96617,-30.14674,1.96617,-30.80212
109,2180.0,1.96618,-28.83602,2.62153,-29.49139
110,2200.0,1.96618,-28.18066,1.96618,-29.49139
111,2220.0,1.96619,-28.18066,1.96619,-29.49139
112,2240.0,1.96619,-28.83602,1.96619,-30.14675
113,2260.0,1.9662,-28.83602,1.9662,-30.80211
114,2280.0,5.24306,-26.86992,5.89843,-26.21456
115,2300.0,4.58771,-24.24847,4.58771,-24.90383
116,2320.0,5.24307,-23.5931,4.58771,-24.90383
117,2340.0,4.58771,-23.59309,4.58771,-24.90382
118,2360.0,4.58771,-23.59309,4.58771,-25.55919
119,2380.0,4.58771,-24.24845,4.58771,-24.90382
120,2400.0,5.24308,-24.24845,4.58771,-24.90381
121,2420.0,4.58771,-24.24844,5.24307,-25.55917
122,2440.0,5.24308,-24.24844,5.24308,-26.21453
123,2460.0,5.24308,-25.55916,15.07358,-24.9038
124,2480.0,26.21484,-22.93768,26.87024,-24.24841
125,2500.0,24.90415,-22.28231,24.90415,-23.59304
126,2520.0,24.90414,-22.93767,24.90414,-24.90377
127,2540.0,24.90414,-24.2484,24.90413,-26.2145
128,2560.0,24.90413,-25.55913,25.55949,-26.2145
129,2580.0,24.90413,-24.90377,24.90412,-26.21451
130,2600.0,24.90413,-24.90378,24.90413,-26.86987
131,2620.0,24.24877,-26.2145,25.55949,-27.52524
132,2640.0,24.90413,-26.2145,24.90413,-28.18059
133,2660.0,25.55949,-26.86986,24.90413,-28.1806
134,2680.0,24.90413,-26.86987,24.90413,-28.1806
135,2700.0,24.90413,-26.86986,24.90413,-27.52524
136,2720.0,24.90413,-26.2145,24.90413,-27.52524
137,2740.0,24.90414,-26.21451,24.90413,-28.1806
138,2760.0,24.90413,-27.52523,24.90414,-28.83596
139,2780.0,24.90413,-27.52523,-44.56403,-28.83596
140,2800.0,24.90414,-27.52524,24.90413,-28.83596
141,2820.0,24.24878,-27.52524,24.90414,-28.83596
142,2840.0,24.24878,-27.52523,24.24878,-28.83596
143,2860.0,24.24878,-27.52523,24.90414,-28.83596
144,2880.0,34.07926,-24.2484,41.2883,-24.24838
145,2900.0,40.63295,-21.62692,39.32223,-21.62692
146,2920.0,39.32223,-20.31618,39.32223,-20.97156
147,2940.0,38.66687,-19.00546,38.66687,-19.66083
148,2960.0,38.66687,-19.00545,39.32223,-20.31619
149,2980.0,38.66687,-19.00545,39.32223,-20.97155
150,3000.0,38.66688,-19.66082,39.32223,-20.97155
151,3020.0,39.32223,-20.31618,39.32223,-20.97155
152,3040.0,39.32224,-20.31617,39.32224,-21.6269
153,3060.0,39.32224,-20.31617,39.32224,-22.28227
154,3080.0,39.32224,-20.97154,39.9776,-22.28227
155,3100.0,39.97761,-20.97154,39.9776,-22.28227
156,3120.0,40.63297,-21.6269,40.63296,-22.93763
157,3140.0,40.63297,-21.6269,40.63296,-23.593
158,3160.0,40.63296,-22.28226,46.53122,-22.28227
159,3180.0,51.77415,-20.31616,51.11878,-22.28227
160,3200.0,50.46342,-19.6608,50.46341,-20.97153
