,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65536,0.65537,0.0,0.65537
2,40.0,-0.65536,1.31074,-0.65536,1.31073
3,60.0,-1.31072,2.62146,-0.65536,1.9661
4,80.0,-1.31071,2.62146,-1.31072,2.62146
5,100.0,-1.96607,2.62146,-1.31072,2.62146
6,120.0,-1.96606,3.93218,-1.96607,3.27682
7,140.0,-2.62141,3.93219,-2.62142,3.93218
8,160.0,-3.27678,4.58755,-2.62142,5.24291
9,180.0,-3.27677,5.89827,-2.62141,6.55363
10,200.0,-3.27677,7.209,-2.62141,7.86436
11,220.0,-3.27676,9.17509,-3.27676,9.17509
12,240.0,-3.27675,10.48581,-2.6214,11.79653
13,260.0,-3.27674,13.76262,-2.6214,15.07334
14,280.0,-2.62139,17.03941,-1.31067,17.69477
15,300.0,-1.31066,19.66085,-0.65531,20.31621
16,320.0,-0.65531,21.62693,0.65541,22.28227
17,340.0,1.31077,22.28228,2.62148,22.28226
18,360.0,3.27684,22.28226,3.9322,22.28225
19,380.0,4.58756,22.93761,5.24291,22.93761
20,400.0,4.58756,24.24833,5.24291,23.59297
21,420.0,5.24292,23.59298,5.24291,22.93761
22,440.0,4.58756,22.93762,5.24291,22.28225
23,460.0,3.93219,22.28226,4.58755,21.62689
24,480.0,3.9322,21.62691,3.9322,21.62691
25,500.0,3.27685,21.62691,3.9322,20.97155
26,520.0,3.27685,20.97155,3.27684,20.31619
27,540.0,3.27685,20.3162,3.93221,20.31619
28,560.0,2.6215,20.97156,2.62149,20.3162
29,580.0,1.96613,20.3162,8.51989,21.62691
30,600.0,19.00609,21.62693,22.28307,20.97157
31,620.0,20.97233,22.28231,20.31696,22.93767
32,640.0,19.66162,24.24841,20.31698,24.24842
33,660.0,19.00627,25.55916,20.31699,24.9038
34,680.0,19.00627,26.21453,19.00627,26.21453
35,700.0,18.35092,26.86991,18.35092,26.86991
36,720.0,17.69557,27.52528,17.69557,27.52528
37,740.0,17.04022,28.83601,17.04021,28.18065
38,760.0,16.38486,28.83602,17.04022,28.83602
39,780.0,16.38486,29.49138,16.38484,28.83602
40,800.0,19.00639,30.14676,32.11385,31.45756
41,820.0,36.70136,32.113,37.35671,33.42372
42,840.0,36.04598,34.73445,36.70135,35.38982
43,860.0,36.046,36.70055,37.35672,37.35591
44,880.0,37.35674,39.322,37.35675,39.322
45,900.0,37.35676,39.97736,38.01213,39.322
46,920.0,37.35679,39.97736,37.3568,39.322
47,940.0,36.70146,39.97736,37.35684,39.32199
48,960.0,36.04612,39.97736,35.39077,39.32198
49,980.0,34.73543,39.97733,34.73543,39.32196
50,1000.0,34.08008,39.97732,34.08008,39.32196
51,1020.0,32.76936,39.97733,32.76935,39.32197
52,1040.0,31.45864,39.97734,31.45863,39.32199
53,1060.0,30.14792,39.97735,29.49255,39.32199
54,1080.0,28.18184,39.97736,28.18183,39.322
55,1100.0,26.87113,39.97737,26.87112,39.322
56,1120.0,26.21577,39.97737,26.21577,39.322
57,1140.0,24.90505,39.97737,25.56041,39.322
58,1160.0,24.90505,39.97736,24.24969,39.322
59,1180.0,24.24969,38.66665,23.59433,37.35593
60,1200.0,22.93898,36.70058,22.28362,35.38985
61,1220.0,21.62826,34.7345,21.62826,34.07915
62,1240.0,20.97291,34.07915,20.9729,33.4238
63,1260.0,20.31754,33.42381,20.9729,32.76845
64,1280.0,20.31755,33.42382,20.9729,33.42382
65,1300.0,19.66219,33.42384,20.31754,32.76847
66,1320.0,20.31754,33.42384,20.9729,32.76848
67,1340.0,20.31754,32.11312,20.31753,30.80239
68,1360.0,26.87109,32.76856,35.39072,32.76869
69,1380.0,34.7354,32.11333,34.08,32.76868
70,1400.0,33.42465,32.11332,34.08,31.45796
71,1420.0,33.42464,31.45795,33.42464,30.80259
72,1440.0,32.76929,31.45795,33.42463,30.80259
73,1460.0,32.76928,31.45795,32.76927,30.80258
74,1480.0,32.11392,30.80259,32.11392,30.80259
75,1500.0,32.11393,30.80258,32.11393,30.14722
76,1520.0,30.80322,30.14722,30.80321,29.49185
77,1540.0,30.80321,29.49186,30.80322,29.49184
78,1560.0,30.14786,29.49184,30.14786,29.49183
79,1580.0,29.49251,30.14719,29.4925,28.83647
80,1600.0,28.18179,29.49183,28.83715,28.83646
81,1620.0,28.83715,29.49184,38.66757,29.49195
82,1640.0,44.566,29.49196,45.22137,29.49195
83,1660.0,43.91063,30.80268,44.56601,30.80267
84,1680.0,43.25529,31.45804,43.91064,31.45803
85,1700.0,42.59992,30.80268,42.59991,30.14731
86,1720.0,41.28919,30.14732,41.28917,29.49195
87,1740.0,40.63381,28.8366,41.28915,28.18123
88,1760.0,39.97843,28.18124,39.32306,27.52587
89,1780.0,38.66769,28.18124,38.66768,27.52587
90,1800.0,38.01232,27.52588,38.01486,26.8705
91,1820.0,36.04623,26.8705,36.70159,26.21512
92,1840.0,35.39087,26.87047,35.39086,25.55973
93,1860.0,34.7355,25.55972,35.39084,24.90434
94,1880.0,34.73549,24.90434,35.39083,24.24897
95,1900.0,34.73548,24.90433,36.04618,24.90433
96,1920.0,36.04619,25.55969,36.04618,24.90433
97,1940.0,36.04619,25.5597,36.70154,25.55969
98,1960.0,36.04618,24.90433,36.70154,24.90432
99,1980.0,36.04619,24.90432,36.04619,24.90432
100,2000.0,36.04619,24.24895,36.04618,23.59357
101,2020.0,36.04619,24.24893,36.70154,23.59355
102,2040.0,36.04618,24.24891,36.70154,23.59354
103,2060.0,36.70154,24.90426,37.35689,24.90425
104,2080.0,37.35689,25.55961,38.01224,24.90424
105,2100.0,38.01225,25.5596,38.66761,25.5596
106,2120.0,38.01225,25.5596,39.32296,25.5596
107,2140.0,38.66761,26.21496,38.6676,25.5596
108,2160.0,38.66761,26.21496,39.32296,25.5596
109,2180.0,39.32296,26.87032,39.32295,26.21496
110,2200.0,39.32296,26.87032,39.32296,26.87032
111,2220.0,39.97832,26.87033,39.97831,26.87032
112,2240.0,40.63368,26.87033,40.63367,26.87033
113,2260.0,39.97832,27.5257,40.63367,26.87034
114,2280.0,39.97832,26.87034,40.63367,26.87034
115,2300.0,39.97831,27.52571,40.63367,26.87034
116,2320.0,39.97831,27.52571,41.28902,27.5257
117,2340.0,40.63367,27.52571,41.28902,27.5257
118,2360.0,40.63366,27.52571,41.28902,27.5257
119,2380.0,39.9783,27.52571,41.28902,27.5257
120,2400.0,40.63365,27.5257,41.28901,26.21498
121,2420.0,40.63365,27.5257,41.289,26.87033
122,2440.0,40.63364,26.87033,40.63364,27.52569
123,2460.0,40.63364,27.5257,40.63364,27.52569
124,2480.0,39.97828,27.52569,40.63362,26.87033
125,2500.0,40.63364,27.52569,40.63363,26.87033
126,2520.0,39.97827,27.5257,40.63363,27.5257
127,2540.0,39.97827,28.18107,39.97826,27.5257
128,2560.0,39.32291,28.83643,39.3229,28.18107
129,2580.0,38.66755,28.83643,39.32291,28.83643
130,2600.0,38.66755,28.83644,39.3229,28.83643
131,2620.0,38.66755,29.4918,39.3229,29.4918
132,2640.0,38.66755,29.4918,39.97826,29.4918
133,2660.0,39.97826,30.14717,40.63362,28.83644
134,2680.0,40.63363,30.14717,41.28898,29.49181
135,2700.0,41.28898,30.14717,42.59969,29.4918
136,2720.0,41.94434,30.14718,42.59969,29.49181
137,2740.0,41.94433,30.80253,42.59969,30.14716
138,2760.0,41.94433,30.80253,42.59968,30.14716
139,2780.0,42.59969,30.80253,42.59968,30.14717
140,2800.0,42.59969,30.14718,42.59969,30.14717
141,2820.0,42.59969,30.80254,43.25504,30.14717
142,2840.0,43.25505,30.14717,44.56576,29.49181
143,2860.0,43.91041,30.14717,41.28895,28.83638
144,2880.0,27.52645,28.18092,22.28356,28.83626
145,2900.0,22.93894,29.49163,24.24967,29.49163
146,2920.0,23.59431,29.49164,23.59431,29.49164
147,2940.0,23.59431,30.14701,24.24967,30.14701
148,2960.0,23.59432,30.80237,24.24967,30.14701
149,2980.0,23.59432,30.14701,24.24967,30.14701
150,3000.0,22.93896,30.80238,23.59431,30.14701
151,3020.0,23.59433,30.80238,23.59431,30.14701
152,3040.0,22.93896,30.80238,23.59431,30.80238
153,3060.0,22.93896,31.45775,24.24968,30.80238
154,3080.0,22.93896,31.45775,23.59431,31.45775
155,3100.0,22.93896,32.11311,23.59431,31.45774
156,3120.0,22.93895,32.11311,23.59431,31.45775
157,3140.0,22.93896,32.11311,23.59431,32.1131
158,3160.0,22.93896,32.11311,23.59431,31.45774
159,3180.0,22.93896,32.76847,22.93896,32.11311
160,3200.0,22.93897,32.11311,23.59432,32.11311
161,3220.0,22.93897,32.11311,22.93896,31.45775
162,3240.0,22.93897,32.76847,22.93897,31.45774
163,3260.0,22.93897,32.1131,22.93895,31.45774
164,3280.0,22.28361,31.45774,22.93896,31.45773
165,3300.0,22.28361,31.45774,22.93897,30.80237
166,3320.0,22.28361,30.80237,22.93896,30.147
167,3340.0,22.28361,30.80237,22.93895,30.147
168,3360.0,22.2836,30.14701,22.2836,30.147
169,3380.0,22.2836,30.147,22.93895,29.49163
170,3400.0,22.28359,30.14699,22.28359,29.49163
171,3420.0,23.59431,29.49164,32.76928,29.49175
172,3440.0,36.70149,29.49182,36.0461,30.14716
173,3460.0,34.73537,30.14716,35.39074,30.14716
174,3480.0,34.73539,30.14716,34.73538,29.4918
175,3500.0,34.08002,30.14716,34.73538,30.14715
176,3520.0,34.08002,30.14716,34.08001,30.14716
177,3540.0,34.08002,30.14717,34.73537,30.14716
178,3560.0,34.08001,30.14717,35.39073,30.14717
179,3580.0,35.39074,30.14718,36.04609,30.14717
180,3600.0,36.04609,30.80254,37.35681,30.14718
181,3620.0,36.70145,30.80255,37.3568,30.80254
182,3640.0,36.70146,30.80255,37.35681,30.80254
183,3660.0,36.70145,30.80255,37.35681,30.14718
184,3680.0,36.70146,30.80255,37.35681,30.80255
185,3700.0,36.70146,30.80256,37.35681,30.80256
186,3720.0,36.70146,30.14719,26.21577,26.87024
187,3740.0,9.83173,25.55945,7.21009,24.90407
188,3760.0,9.17622,25.55944,9.83158,25.55944
189,3780.0,9.17623,26.21481,9.83159,26.21481
190,3800.0,9.8316,26.87018,9.8316,26.21482
191,3820.0,9.83161,26.87018,10.48696,26.87019
192,3840.0,9.83161,27.52556,10.48696,27.52555
193,3860.0,9.83161,28.18091,10.48696,27.52555
194,3880.0,10.48697,28.18092,11.14232,28.18091
195,3900.0,10.48696,28.83628,11.14232,28.83627
196,3920.0,11.14233,29.49164,11.14232,28.83627
197,3940.0,11.14234,29.49164,11.79769,29.49164
198,3960.0,11.14234,29.49164,11.14233,29.49164
199,3980.0,11.14234,30.14701,11.14233,30.147
200,4000.0,10.48698,30.80237,11.14233,30.147
201,4020.0,13.76642,30.80237,19.00684,30.14704
202,4040.0,19.00686,31.45777,19.00684,31.45776
203,4060.0,18.35149,32.11313,18.3515,32.11313
204,4080.0,18.35149,32.76851,19.00685,32.76851
205,4100.0,17.69613,33.42388,18.35149,32.76851
206,4120.0,17.69613,34.07924,17.69612,34.07924
207,4140.0,17.04077,34.07926,17.04077,34.07925
208,4160.0,16.38541,34.73462,17.04077,34.73462
209,4180.0,16.38542,35.38998,17.04077,34.73462
210,4200.0,16.38541,35.38999,16.38541,34.73462
211,4220.0,15.73005,35.38998,16.3854,34.73462
212,4240.0,15.73005,34.73462,16.3854,34.73461
213,4260.0,15.73004,34.73461,15.73003,34.07923
214,4280.0,1.96721,32.11312,-8.51904,29.49166
215,4300.0,-7.86372,29.49164,-5.24223,30.147
216,4320.0,-7.20831,30.147,-6.55295,30.147
217,4340.0,-7.20829,30.80237,-6.55295,30.80237
218,4360.0,-7.20831,31.45774,-6.55296,30.80237
219,4380.0,-7.2083,31.45774,-6.55296,30.80237
220,4400.0,-7.20831,31.45774,-6.55296,31.45773
221,4420.0,-7.20832,32.1131,-6.55296,31.45773
222,4440.0,-7.20832,32.1131,-6.55296,32.11309
223,4460.0,-5.89759,32.1131,-5.24224,32.11309
224,4480.0,-5.8976,32.76846,-5.24225,31.45773
225,4500.0,-5.24224,31.45773,-3.93154,31.45772
226,4520.0,-4.58689,31.45773,-4.5869,30.80236
227,4540.0,-4.5869,31.45773,-4.5869,31.45772
228,4560.0,-5.89762,31.45773,-4.58689,31.45772
229,4580.0,-5.24225,31.45773,-5.24226,31.45772
230,4600.0,-5.89761,31.45773,-5.24226,31.45773
231,4620.0,-5.89762,32.11309,-5.24226,31.45773
232,4640.0,-5.89762,32.11309,-5.24227,31.45773
233,4660.0,-5.89762,32.76846,-5.24227,32.11309
234,4680.0,-6.55298,32.76846,-5.89762,32.1131
235,4700.0,-6.55298,33.42383,-6.55298,33.42382
236,4720.0,-6.55296,33.42383,-6.55297,32.76847
237,4740.0,-6.55296,34.07919,-5.8976,33.42382
238,4760.0,-6.55295,34.07919,-6.55296,34.07919
239,4780.0,-6.55295,34.07919,-5.89759,33.42382
240,4800.0,-8.51908,32.76846,-22.28194,27.52556
241,4820.0,-36.7001,25.55946,-37.35552,24.24871
242,4840.0,-34.73403,25.55944,-34.73404,25.55944
243,4860.0,-35.38939,26.21481,-34.73403,26.2148
244,4880.0,-34.73402,26.21481,-34.73402,26.21481
245,4900.0,-34.73401,27.52554,-34.07866,26.87017
246,4920.0,-34.07866,27.52554,-34.07866,27.52554
247,4940.0,-34.73401,28.1809,-34.73401,28.1809
248,4960.0,-34.07865,28.18091,-34.07865,28.83626
249,4980.0,-34.734,28.83627,-34.07865,28.83626
250,5000.0,-34.734,29.49163,-34.07864,29.49163
251,5020.0,-34.734,30.147,-34.07864,29.49163
252,5040.0,-34.734,30.147,-34.07864,29.49163
253,5060.0,-34.734,30.14699,-34.07864,29.49163
254,5080.0,-34.734,30.14699,-34.73401,28.83627
255,5100.0,-34.734,29.49163,-34.07865,29.49162
256,5120.0,-34.734,29.49162,-34.07865,29.49162
257,5140.0,-34.73401,29.49162,-34.07864,28.83626
258,5160.0,-34.734,29.49162,-34.07609,28.83625
259,5180.0,-30.8018,30.80234,-20.97122,32.11308
260,5200.0,-19.00501,32.76845,-19.00504,33.42381
261,5220.0,-19.66041,33.42381,-19.00504,33.42381
262,5240.0,-19.66039,33.42381,-19.00505,32.76844
263,5260.0,-19.00504,32.76845,-18.34969,32.11308
264,5280.0,-18.34968,32.11308,-17.03897,31.45771
265,5300.0,-17.03896,31.45771,-16.38362,30.80235
266,5320.0,-16.38361,30.80235,-15.0729,30.14697
267,5340.0,-15.72826,30.14698,-15.07291,29.49161
268,5360.0,-15.72826,28.83625,-15.07291,28.18088
269,5380.0,-10.48529,28.83624,0.00090999999999752,26.87015
270,5400.0,1.31176,23.59331,0.65631,18.35035
271,5420.0,0.65627,10.48593,1.3116,5.89834
272,5440.0,0.00086000000000297,5.24296,0.00081999999999738,3.93291
273,5460.0,-1.30993,4.58761,-1.96531,4.58761
274,5480.0,-2.6207,4.58762,-3.27609,4.58762
275,5500.0,-4.58428,5.89835,-4.58685,5.24299
276,5520.0,-5.24221,5.89836,-4.58687,5.24299
277,5540.0,-5.24223,6.55372,-5.24223,5.89836
278,5560.0,-5.89759,6.55373,-5.24224,6.55374
279,5580.0,-5.8976,7.86446,-5.8976,8.51983
280,5600.0,-7.20832,8.51985,-3.27607,10.48593
281,5620.0,3.93331,11.14133,5.89948,12.45206
