,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,1.31072,0.0,-9.9999999889633e-06
2,40.0,-0.65537,0.65536,-1.0000000003174e-05,-9.9999999889633e-06
3,60.0,-1.9999999999243e-05,0.65535,-1.0000000003174e-05,-9.9999999889633e-06
4,80.0,-1.0000000003174e-05,0.65536,-1.0000000003174e-05,-0.65537999999999
5,100.0,-1.9999999999243e-05,0.65536,-1.9999999999243e-05,-0.65537999999999
6,120.0,-1.9999999999243e-05,0.65535,0.65534,-1.9999999992137e-05
7,140.0,-1.9999999999243e-05,0.65535,0.65534,-1.9999999992137e-05
8,160.0,0.65533,0.65535,0.65534,-1.9999999992137e-05
9,180.0,0.65534,0.65534,-1.9999999999243e-05,-0.65537999999999
10,200.0,0.65534,0.65534,0.65534,-2.9999999995312e-05
11,220.0,0.65534,-2.0000000006348e-05,0.65534,-0.65539
12,240.0,-3.0000000002417e-05,0.65532999999999,-1.9999999999243e-05,-2.9999999995312e-05
13,260.0,0.65534,0.65532999999999,-1.9999999999243e-05,0.65533000000001
14,280.0,0.65534,1.31069,0.65534,-2.9999999995312e-05
15,300.0,-3.0000000002417e-05,1.3107,0.65534,-2.9999999995312e-05
16,320.0,0.65533,0.65532999999999,0.65534,-2.9999999995312e-05
17,340.0,-3.0000000002417e-05,1.31069,-1.9999999999243e-05,-2.9999999995312e-05
18,360.0,-3.0000000002417e-05,1.31069,-3.0000000002417e-05,0.65533000000001
19,380.0,-3.0000000002417e-05,1.31069,-0.65539,0.65533000000001
20,400.0,-0.6554,1.31069,-3.0000000002417e-05,0.65532000000001
21,420.0,-0.65539,1.31069,-0.65539,-2.9999999995312e-05
22,440.0,-3.0000000002417e-05,-2.9999999995312e-05,-3.0000000002417e-05,-1.31075
23,460.0,-3.0000000002417e-05,-0.65539,-3.9999999998486e-05,-1.96612
24,480.0,-3.9999999998486e-05,-1.31075,-0.6554,-1.96612
25,500.0,-3.9999999998486e-05,-0.65539,-0.6554,-1.96612
26,520.0,-0.6554,-0.65539,-0.6554,-0.65539
27,540.0,-0.65541,-2.9999999995312e-05,-0.6554,-0.65539999999999
28,560.0,-0.65542,-2.9999999995312e-05,-2.62151,0.65533000000001
29,580.0,-3.27687,1.96606,-2.62151,1.31068
30,600.0,-2.62151,2.62141,-2.62151,1.96604
31,620.0,-2.62151,2.62141,-2.62151,1.31068
32,640.0,-1.96616,1.96605,-1.96616,1.96604
33,660.0,-1.96616,2.62141,-1.96616,1.96604
34,680.0,-1.96616,2.62141,-1.96616,1.96604
35,700.0,-1.96616,1.96604,-1.96615,1.31068
36,720.0,-1.96616,2.62141,-1.96616,1.31068
37,740.0,-1.96616,1.96604,-1.96616,1.96604
38,760.0,-1.96616,2.6214,-1.96616,1.96604
39,780.0,-1.96616,2.6214,-1.96616,1.31067
40,800.0,-1.96616,1.96604,-1.96616,1.31068
41,820.0,-1.96616,1.96604,-1.96615,0.65531000000001
42,840.0,-1.3108,1.96604,-1.96616,0.65531000000001
43,860.0,-1.3108,1.96604,-1.96615,0.65531000000001
44,880.0,-1.3108,1.31068,-1.31079,-4.9999999987449e-05
45,900.0,-1.3108,0.65532,-0.65543,-1.31077
46,920.0,-7.9999999996971e-05,-0.65541,-0.65543,-1.96613
47,940.0,-0.65543,-1.31076,-0.65543,-1.96613
48,960.0,-0.65543,-1.31077,-0.65543,-1.96613
49,980.0,-0.65544,-1.96613,-0.65543,-2.62149
50,1000.0,-0.65543,-1.96613,1.31067,-1.96613
51,1020.0,9.1751,-6.0000000004834e-05,11.79661,-0.65541999999999
52,1040.0,10.48588,-5.000000000166e-05,10.48587,-4.9999999987449e-05
53,1060.0,10.48587,0.65531,10.48587,-5.9999999990623e-05
54,1080.0,11.14123,0.65531,11.14123,-4.9999999987449e-05
55,1100.0,11.14123,-5.000000000166e-05,11.14123,-0.65541999999999
56,1120.0,11.14122,-5.000000000166e-05,11.14123,-4.9999999987449e-05
57,1140.0,11.14122,-3.9999999998486e-05,11.14122,-4.9999999987449e-05
58,1160.0,11.14122,-3.9999999998486e-05,11.14122,-0.65540999999999
59,1180.0,10.48586,0.65531,10.48586,-4.9999999987449e-05
60,1200.0,10.48586,-3.9999999998486e-05,10.48586,-0.65540999999999
61,1220.0,10.48586,-3.9999999998486e-05,10.48586,-4.9999999987449e-05
62,1240.0,10.48586,-3.9999999998486e-05,10.48587,-0.65540999999999
63,1260.0,10.48586,-3.9999999998486e-05,10.48586,-0.65540999999999
64,1280.0,10.48586,0.65532,-59.63766,-4.9999999987449e-05
65,1300.0,10.48586,0.65532,10.48587,-4.9999999987449e-05
66,1320.0,11.14123,0.65532,13.76271,-4.9999999987449e-05
67,1340.0,13.76272,0.65532,13.76272,0.65531000000001
68,1360.0,14.41807,1.31068,14.41808,1.31067
69,1380.0,14.41808,1.96604,14.41809,0.65531000000001
70,1400.0,15.07344,1.96604,15.07345,1.31067
71,1420.0,15.07344,1.96603,15.72881,1.31067
72,1440.0,15.7288,1.96603,15.72881,0.65531000000001
73,1460.0,15.72881,1.96603,15.72881,1.31067
74,1480.0,15.72881,1.96603,15.72881,0.65531000000001
75,1500.0,15.72881,1.31068,16.38417,0.65531000000001
76,1520.0,22.93786,3.27675,33.4238,4.58746
77,1540.0,34.07921,4.58747,32.76848,3.93211
78,1560.0,33.42383,5.24284,34.0792,4.58747
79,1580.0,34.73456,5.24284,34.73456,4.58747
80,1600.0,34.73455,5.24284,35.38992,3.93211
81,1620.0,35.38991,4.58748,35.38992,3.93211
82,1640.0,35.38992,4.58747,36.04528,3.9321
83,1660.0,36.04527,3.27675,36.04527,2.62138
84,1680.0,36.70062,2.62139,37.35599,1.96602
85,1700.0,37.35598,2.62138,36.70063,1.31066
86,1720.0,37.35598,1.96602,36.70063,1.31066
87,1740.0,36.70062,1.96603,37.35599,1.96602
88,1760.0,37.35599,1.96602,37.35599,1.31066
89,1780.0,37.35599,1.96602,37.35599,1.31066
90,1800.0,37.35599,2.62138,37.356,1.31066
91,1820.0,37.35599,1.96603,37.356,1.31066
92,1840.0,43.90968,3.93211,49.80803,3.9321
93,1860.0,49.15268,4.58746,49.15267,3.9321
94,1880.0,49.15266,5.24283,49.15267,5.24282
95,1900.0,49.15267,5.24283,49.80803,64.22522
96,1920.0,49.15266,5.24283,49.15267,4.58746
97,1940.0,49.80802,5.89819,49.80802,5.24282
98,1960.0,50.46338,5.24283,49.80802,4.58746
99,1980.0,50.46338,5.24283,49.80802,4.58746
100,2000.0,50.46338,5.24283,50.46338,4.58747
101,2020.0,49.80802,5.24283,50.46338,4.58746
102,2040.0,50.46338,5.24283,49.80802,5.24282
103,2060.0,50.46338,5.89819,50.46338,5.24283
104,2080.0,50.46338,6.55355,50.46338,5.89819
105,2100.0,50.46338,6.55355,50.46338,5.89819
106,2120.0,50.46338,6.55355,49.80802,5.24283
107,2140.0,51.77412,7.20892,55.70635,6.55355
108,2160.0,55.05099,7.86428,55.05098,7.86426
109,2180.0,54.39562,8.51964,55.05099,7.86427
110,2200.0,54.39562,8.51964,55.05099,8.51963
111,2220.0,55.05098,9.17499,55.05099,8.51963
112,2240.0,55.05098,9.17499,55.70635,8.51963
113,2260.0,55.70635,9.175,55.05099,8.51963
114,2280.0,55.05099,9.17499,55.05099,8.51962
115,2300.0,55.05099,9.17499,55.05099,8.51962
116,2320.0,55.05099,9.17499,55.05099,8.51962
117,2340.0,54.39563,9.17498,55.05099,8.51961
118,2360.0,54.39562,8.51962,54.39563,8.51961
119,2380.0,55.05098,9.17498,55.05099,8.51961
120,2400.0,55.05098,7.86426,55.05099,7.20889
121,2420.0,55.05098,7.20889,58.32781,8.51961
122,2440.0,-59.63683,11.14106,70.12453,10.48569
123,2460.0,68.15844,11.14107,68.15844,11.14106
124,2480.0,68.15844,11.79643,68.81381,11.14106
125,2500.0,68.8138,11.79642,68.8138,11.79641
126,2520.0,68.81379,11.79642,68.8138,11.14106
127,2540.0,69.46916,11.79642,70.12452,11.14106
128,2560.0,70.12452,12.45179,70.7799,11.79642
129,2580.0,70.77989,11.79643,71.43526,11.79642
130,2600.0,71.43526,11.79643,71.43526,11.14107
131,2620.0,71.43526,11.79644,71.43527,11.14107
