,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,0.0,0.0
2,40.0,0.65535,0.65536,1.0000000003174e-05,-0.65535999999999
3,60.0,0.0,0.65536,0.0,0.0
4,80.0,0.65536,0.65535,1.0000000003174e-05,0.0
5,100.0,0.65536,0.65536,1.0000000003174e-05,-0.65537
6,120.0,0.65536,0.65535,-0.65535,-0.65537
7,140.0,0.0,-9.9999999960687e-06,-1.31071,-0.65537
8,160.0,-0.65536,-9.9999999960687e-06,-1.31071,-0.65537
9,180.0,-0.65535,-9.9999999960687e-06,-1.31071,-1.31074
10,200.0,-1.31071,-9.9999999960687e-06,-1.31071,-1.31074
11,220.0,-0.65535,-9.9999999960687e-06,-1.31071,-0.65537
12,240.0,-1.31071,-1.9999999999243e-05,-1.96607,-1.9999999999243e-05
13,260.0,-1.31071,0.65535,-1.96606,-1.9999999999243e-05
14,280.0,-1.96607,0.65534,-1.96606,-1.9999999999243e-05
15,300.0,-1.3107,0.65533,-2.62141,-1.9999999999243e-05
16,320.0,-1.96606,0.65533,-2.62141,0.65534
17,340.0,-1.96606,0.65534,-2.62142,0.65534
18,360.0,-1.96606,1.31069,-1.96605,0.65534
19,380.0,-1.96606,1.31069,-2.62141,0.65533000000001
20,400.0,-1.96605,1.31069,-3.27676,0.65533000000001
21,420.0,-2.62141,1.31069,-2.62141,0.65533000000001
22,440.0,-2.62141,1.31069,-2.6214,0.65533000000001
23,460.0,-2.62141,1.31069,-3.27676,0.65532
24,480.0,-2.62141,1.31068,-3.93212,0.65533000000001
25,500.0,-3.27676,1.31068,-3.93212,1.31068
26,520.0,-3.93212,1.96604,-3.93211,1.31068
27,540.0,-3.27676,1.96604,-3.93211,1.31068
28,560.0,-2.6214,1.96604,-2.6214,1.31068
29,580.0,-1.31069,1.96604,-1.3107,1.31069
30,600.0,-0.65534,1.96604,-0.65535,1.31069
31,620.0,1.0000000003174e-05,1.96604,-0.65535,0.65532
32,640.0,0.65536,1.96604,1.0000000003174e-05,1.31069
33,660.0,0.65536,1.96604,0.65536,1.96604
34,680.0,1.31072,2.6214,1.31072,1.96604
35,700.0,1.31071,2.6214,1.31072,1.96604
36,720.0,1.96607,2.6214,1.31327,1.96604
37,740.0,1.96607,2.6214,1.31071,1.96604
38,760.0,1.96606,2.6214,1.96607,1.96604
39,780.0,2.62142,2.6214,1.96606,1.96603
40,800.0,2.62141,2.6214,1.96606,1.96603
41,820.0,2.62141,2.62139,1.96606,1.96604
42,840.0,1.96605,2.62139,1.96605,1.96603
43,860.0,1.96605,2.62139,1.31069,1.96603
44,880.0,1.96605,2.62139,0.65533,1.96603
45,900.0,0.65533,2.62139,-3.0000000002417e-05,1.31067
46,920.0,-3.9999999998486e-05,1.96603,-0.65539,1.31067
47,940.0,-3.9999999998486e-05,1.96603,-0.65539,1.31067
48,960.0,-0.6554,1.96603,-1.31075,1.31067
49,980.0,-1.31076,1.96603,-1.96612,1.31067
50,1000.0,-1.96612,1.96603,-2.62148,1.31067
51,1020.0,-3.27684,1.96603,-3.93221,1.31067
52,1040.0,-4.58759,1.31067,-6.55368,0.65531
53,1060.0,-7.86442,0.65532,-9.83051,-0.6554
54,1080.0,-11.14126,-0.6554,-13.76271,-1.96611
55,1100.0,-14.41811,-1.31075,-17.03956,-2.62147
56,1120.0,-17.69494,-1.96611,-19.66103,-3.27682
57,1140.0,-20.31641,-2.62146,-21.62713,-3.27682
58,1160.0,-22.28251,-2.62053,-22.93786,-3.27681
59,1180.0,-22.28252,-2.62145,-23.59322,-3.93216
60,1200.0,-23.59323,-3.93216,-24.24858,-4.58751
61,1220.0,-23.59322,-3.93214,-24.24856,-4.5875
62,1240.0,-24.24856,-4.58749,-24.9039,-5.8982
63,1260.0,-19.66093,-5.89819,-21.62696,-7.2089
64,1280.0,-22.93768,-7.2089,-23.59304,-7.86425
65,1300.0,-24.24839,-7.86424,-25.5591,-8.5196
66,1320.0,-25.5591,-8.5196,-26.21445,-9.17495
67,1340.0,-26.86981,-9.17495,-28.18052,-9.8303
68,1360.0,-27.52517,-9.17494,-29.49124,-10.48565
69,1380.0,-28.83589,-10.48565,-29.49124,-11.14101
70,1400.0,-30.1466,-11.14101,-31.45732,-12.45173
71,1420.0,-30.80196,-11.79637,-32.11267,-13.10708
72,1440.0,-32.11267,-13.10708,-32.76802,-14.4178
73,1460.0,-32.76803,-14.41781,-34.7341,-15.72852
74,1480.0,-34.7341,-15.07316,-35.38945,-16.3831
75,1500.0,-35.38946,-15.07317,-34.0787,-15.07316
76,1520.0,-29.49109,-15.07315,-30.14641,-15.07315
77,1540.0,-30.80178,-13.76243,-32.1125,-14.41779
78,1560.0,-32.11251,-14.41779,-33.42322,-15.07315
79,1580.0,-33.42323,-15.07315,-34.07859,-15.72851
80,1600.0,-33.42323,-15.07315,-33.42324,-15.7285
81,1620.0,-32.76789,-15.07315,-32.76789,-15.07314
82,1640.0,-32.7679,-14.41778,-32.7679,-14.41778
83,1660.0,-32.76791,-13.76242,-32.76791,-14.41778
84,1680.0,-32.76791,-13.76243,-33.42327,-14.41778
85,1700.0,-32.76791,-13.76243,-33.42327,-14.41779
86,1720.0,-32.76791,-13.10707,-33.42327,-13.76243
87,1740.0,-33.42327,-13.10707,-34.07864,-13.76242
88,1760.0,-33.42328,-13.10707,-33.42328,-13.76242
89,1780.0,-32.76793,-13.10706,-33.42328,-13.10706
90,1800.0,-32.76793,-12.4517,-32.76793,-13.76242
91,1820.0,-32.76794,-12.4517,-33.42329,-13.76242
92,1840.0,-33.4233,-12.45171,-33.42329,-13.10707
93,1860.0,-33.4233,-12.4517,-34.07866,-13.10706
94,1880.0,-34.07867,-13.10629,-34.73404,-13.76243
95,1900.0,-34.73405,-13.10707,-35.38941,-13.76242
96,1920.0,-36.04478,-13.76242,-36.70014,-14.41778
97,1940.0,-35.38943,-13.10706,-32.11256,-13.76241
98,1960.0,-32.11254,-13.10705,-32.11255,-13.76241
99,1980.0,-32.11256,-12.45169,-32.76791,-13.10704
100,2000.0,-32.11256,-12.45169,-32.76792,-13.10704
101,2020.0,-32.11256,-12.45168,-32.76792,-13.10704
102,2040.0,-32.11256,-11.79633,-32.11256,-12.45168
103,2060.0,-31.4572,-11.14097,-32.11256,-11.79632
104,2080.0,-32.11256,-11.14096,-32.11256,-11.79632
105,2100.0,-32.11256,-11.14096,-32.76792,-11.79632
106,2120.0,-32.11256,-10.4856,-32.76792,-11.79632
107,2140.0,-32.11257,-10.4856,-32.11257,-11.14097
108,2160.0,-32.76793,-11.14097,-32.76793,-11.79632
109,2180.0,-32.76793,-11.14097,-30.14645,-11.14096
110,2200.0,-27.52495,-11.14096,-28.83567,-11.79632
111,2220.0,-28.83567,-10.48559,-29.49102,-11.79632
112,2240.0,-28.83566,-11.14096,-29.49102,-11.79632
113,2260.0,-28.83566,-11.14096,-28.83566,-11.79632
114,2280.0,-28.1803,-11.14096,-28.83566,-11.79632
115,2300.0,-28.1803,-11.14096,-28.1803,-11.79632
116,2320.0,-27.52494,-10.48561,-28.1803,-11.14097
117,2340.0,-24.90349,-9.83024,-19.00512,-9.83022
118,2360.0,-17.03899,-9.17485,-18.3497,-9.83021
119,2380.0,-18.34971,-9.83021,-19.00506,-10.48558
120,2400.0,-18.34971,-9.83022,-18.34971,-10.48558
121,2420.0,-17.69435,-9.83022,-52.42843,-10.48559
122,2440.0,-18.34971,-9.83023,-18.34971,-11.14095
123,2460.0,-17.039,-10.48559,-17.69436,-11.14095
124,2480.0,-17.03902,-10.48559,-17.69438,-11.14096
125,2500.0,-17.69439,-11.14096,-17.69439,-11.79632
126,2520.0,-17.03904,-11.14097,-18.34976,-12.45169
127,2540.0,-17.69441,-11.79633,-18.34977,-13.10706
128,2560.0,-17.69441,-11.79634,-18.34977,-12.4517
129,2580.0,-18.34978,-12.45171,-19.00514,-13.76243
130,2600.0,-18.34979,-12.45171,-19.00515,-13.10707
131,2620.0,-18.34979,-12.45171,-19.00515,-12.4517
132,2640.0,-17.69444,-11.79635,-18.34979,-12.45171
133,2660.0,-18.3498,-11.14099,-17.69443,-11.79636
134,2680.0,-17.69444,-11.141,-18.3498,-12.45172
135,2700.0,-17.69444,-11.141,-17.69444,-11.141
136,2720.0,-17.03909,-10.48565,-17.03908,-11.79636
137,2740.0,-16.38373,-10.48565,-17.03908,-11.141
138,2760.0,-16.38373,-11.14101,-15.72836,-11.141
139,2780.0,-9.17467,-9.83026,-5.2424,-10.48561
140,2800.0,-4.58702,-9.17489,-4.58702,-9.83024
141,2820.0,-3.2763,-9.17488,-3.27629,-9.17488
142,2840.0,-2.62093,-9.17487,-1.96556,-9.83023
143,2860.0,-1.96556,-9.17487,-1.96555,-9.83023
144,2880.0,-1.31019,-9.17488,-1.31018,-9.83024
145,2900.0,-0.65484,-9.1749,-1.96557,-9.83027
146,2920.0,-2.62094,-10.48564,-2.62094,-11.14099
147,2940.0,-3.27632,-11.14099,-4.58703,-11.79634
148,2960.0,-4.58704,-11.14098,-5.24241,-12.45171
149,2980.0,-5.89779,-11.79636,-6.55315,-12.45171
150,3000.0,-7.20853,-12.45172,-8.51925,-13.10708
151,3020.0,-7.8639,-12.45172,-9.17462,-13.10708
152,3040.0,-7.20854,-11.79636,-3.93166,-12.45171
153,3060.0,-3.93166,-11.79635,-4.58702,-11.79635
154,3080.0,-4.58704,-10.48564,-5.24241,-11.141
155,3100.0,-5.24241,-9.83028,-5.89778,-9.83029
156,3120.0,-5.89779,-7.86421,-5.8978,-8.51958
157,3140.0,-5.89782,-6.55351,-6.55318,-6.55351
158,3160.0,-6.5532,-5.89816,-7.86393,-6.55352
159,3180.0,-7.20859,-5.89817,-7.86396,-6.55353
160,3200.0,-7.86398,-5.89817,-9.17471,-6.55353
161,3220.0,-9.17473,-6.55353,-10.48546,-7.2089
162,3240.0,-10.48548,-7.2089,-11.14084,-7.86426
163,3260.0,-11.14086,-7.86426,-11.79622,-8.51961
164,3280.0,-11.79624,-7.86426,-12.4516,-8.51962
165,3300.0,-12.45161,-9.17498,-13.76233,-9.83034
166,3320.0,-13.10698,-9.83035,-14.41769,-10.4857
167,3340.0,-13.76234,-10.48571,-14.41769,-11.14107
168,3360.0,-14.4177,-10.48571,-14.41769,-10.48571
169,3380.0,-13.10697,-9.83036,-13.76232,-10.48572
170,3400.0,-13.10697,-9.17501,-13.76233,-9.83037
171,3420.0,-13.10697,-9.17501,-13.76234,-9.17502
172,3440.0,-13.76234,-8.51966,-13.76234,-9.83038
173,3460.0,-13.10699,-8.51967,-13.76234,-9.17502
174,3480.0,-13.10699,-7.86431,-13.10698,-8.51967
175,3500.0,-13.10699,-7.86431,-13.76234,-8.51967
176,3520.0,-13.10699,-7.86431,-13.10698,-7.86432
177,3540.0,-7.86405,-5.89822,-0.65494,-5.8982
178,3560.0,1.3112,-4.58748,0.65586,-5.24283
179,3580.0,1.31121,-4.58747,1.31122,-5.24283
180,3600.0,1.96658,-3.93211,1.31123,-4.58747
181,3620.0,1.96658,-3.93212,1.31123,-5.24284
182,3640.0,1.96658,-4.58748,1.31123,-5.24284
183,3660.0,1.31122,-4.58748,1.31122,-5.24284
184,3680.0,1.31122,-4.58748,0.65587,-4.58748
185,3700.0,1.96658,-3.93212,1.31123,-4.58748
186,3720.0,1.96659,-3.93212,1.31124,-4.58748
187,3740.0,1.96659,-3.93213,1.9666,-3.93213
188,3760.0,1.9666,-3.27677,1.96661,-3.93213
189,3780.0,2.62196,-3.27678,2.62197,-3.93214
190,3800.0,2.62197,-3.27678,1.96662,-3.27678
191,3820.0,2.62197,-3.27678,1.31126,-3.93214
192,3840.0,1.96662,-2.62143,1.31126,-3.27678
193,3860.0,1.31126,-2.62143,1.31127,-3.27679
194,3880.0,1.96662,-2.62143,1.96663,-3.27679
195,3900.0,1.96663,-1.96608,1.96664,-2.62143
196,3920.0,2.622,-1.96607,1.96665,-2.62143
197,3940.0,2.622,-1.96608,2.62201,-1.96608
198,3960.0,2.62201,-1.31072,2.62202,-1.96608
199,3980.0,2.62201,-1.96608,1.96666,-2.62144
200,4000.0,1.96666,-1.96608,1.96666,-2.62143
201,4020.0,1.96666,-1.96608,1.96666,-2.62144
202,4040.0,1.3113,-1.96609,1.3113,-3.2768
203,4060.0,1.96665,-1.96609,0.65594,-3.27681
204,4080.0,-2.62094,-3.27682,-4.58704,-3.27683
205,4100.0,-4.58702,-2.62147,-4.58701,-3.27683
206,4120.0,-4.58702,-2.62147,-5.24237,-3.27682
207,4140.0,-3.93165,-2.62147,-3.93165,-3.27683
208,4160.0,-2.62094,-2.62147,-2.62093,-3.27682
209,4180.0,-1.96558,-2.62147,-1.96558,-3.27682
210,4200.0,-1.31023,-2.62147,-1.96558,-3.27683
211,4220.0,-1.31022,-1.96611,-1.31022,-3.27683
212,4240.0,-0.65487,-2.62147,-0.65486,-2.62147
213,4260.0,0.00050000000000239,-1.96611,-1.31022,-2.62147
214,4280.0,0.00050000000000239,-1.96611,-0.65486,-2.62148
215,4300.0,0.00050000000000239,-1.96612,-0.65486,-3.27684
216,4320.0,-6.55322,-3.27685,-11.14082,-4.58758
217,4340.0,-11.14083,-3.93223,-11.14081,-4.58759
218,4360.0,-10.48545,-3.93223,-10.48545,-4.58759
219,4380.0,-9.8301,-3.93223,-10.48546,-4.58759
220,4400.0,-9.8301,-3.93224,-10.48545,-5.24296
221,4420.0,-9.8301,-4.5876,-10.48545,-5.24296
222,4440.0,-9.83009,-4.58761,-9.83008,-5.89832
223,4460.0,-9.83009,-4.58761,-10.48544,-5.89832
224,4480.0,-9.83008,-5.24297,-10.48544,-6.55369
225,4500.0,-10.48545,-5.24297,-9.83008,-5.89833
226,4520.0,-6.55323,-5.89832,-6.5532,-5.89831
227,4540.0,-6.55321,-5.89831,-7.20857,-6.55367
228,4560.0,-6.55321,-6.55367,-6.5532,-7.20903
229,4580.0,-6.55321,-6.55368,-7.20856,-7.86439
230,4600.0,-6.5532,-6.55367,-6.5532,-7.20903
231,4620.0,-6.55321,-6.55367,-7.20856,-7.20904
232,4640.0,-6.55321,-7.20904,-7.86393,-7.86439
233,4660.0,-6.55321,-7.20904,-7.20857,-7.20904
234,4680.0,-6.55321,-6.55368,-7.86392,-7.20904
235,4700.0,-7.20857,-6.55369,-7.20857,-7.20904
236,4720.0,-7.20857,-6.55368,-7.20857,-7.20904
237,4740.0,-6.55321,-6.55368,-6.55321,-6.55368
238,4760.0,-6.55321,-5.89832,-7.20856,-6.55368
239,4780.0,-6.55321,-6.55368,-7.86392,-7.20904
240,4800.0,-7.20857,-6.55368,-8.51928,-7.20905
241,4820.0,-7.86392,-6.55368,-8.51928,-7.20904
242,4840.0,-8.5193,-6.55369,-13.76225,-7.86441
243,4860.0,-13.76226,-6.55369,-14.4176,-7.86441
244,4880.0,-14.4176,-6.55369,-14.4176,-7.20905
245,4900.0,-14.4176,-6.55369,-15.07295,-7.86441
246,4920.0,-15.07295,-6.55369,-15.7283,-7.8644
247,4940.0,-15.07295,-6.55368,-15.72831,-7.20904
248,4960.0,-15.72831,-6.55369,-16.38366,-6.55368
249,4980.0,-15.7283,-5.89833,-16.38366,-7.20905
250,5000.0,-16.38366,-5.89833,-17.03902,-6.55368
251,5020.0,-17.03902,-5.89832,-17.69438,-6.55368
252,5040.0,-17.03902,-5.89832,-17.69437,-6.55368
253,5060.0,-17.03902,-5.89833,-18.34973,-6.55369
254,5080.0,-17.69437,-5.89833,-19.00508,-6.55369
255,5100.0,-18.34972,-5.89834,-19.66044,-6.5537
256,5120.0,-19.00508,-5.89835,-19.00507,-6.5537
257,5140.0,-19.00508,-5.89835,-19.00507,-6.5537
258,5160.0,-19.00507,-5.89835,-19.66043,-6.55371
259,5180.0,-19.66043,-6.55371,-20.31578,-7.20907
260,5200.0,-19.66043,-6.55372,-19.66042,-7.20907
261,5220.0,-19.00507,-6.55372,-19.00507,-7.20908
262,5240.0,-17.69437,-6.55372,-18.34973,-7.86444
263,5260.0,-17.69438,-7.86444,-18.34973,-8.5198
264,5280.0,-17.69438,-7.86444,-18.34974,-8.5198
265,5300.0,-17.69439,-7.86444,-17.69438,-8.5198
266,5320.0,-17.03903,-7.86444,-17.03903,-8.5198
267,5340.0,-16.38368,-7.86444,-17.03903,-8.5198
268,5360.0,-16.38368,-8.5198,-17.03903,-8.5198
269,5380.0,-16.38368,-8.51981,-16.38368,-9.17517
270,5400.0,-15.72832,-7.86444,-15.72832,-8.51981
271,5420.0,-15.07298,-8.51981,-15.07297,-9.17516
272,5440.0,-15.07298,-8.51981,-15.07298,-9.17517
273,5460.0,-12.45152,-7.86444,-9.83002,-9.17514
274,5480.0,-10.48538,-8.51978,-10.48538,-9.17514
275,5500.0,-10.48538,-8.51978,-10.48538,-9.17514
276,5520.0,-9.83002,-8.51978,-9.83002,-9.17514
277,5540.0,-9.17466,-8.51978,-9.17466,-9.17514
278,5560.0,-8.5193,-8.51978,-9.17465,-9.17514
279,5580.0,-9.17466,-9.17515,-9.83001,-9.8305
280,5600.0,-9.17466,-9.17514,-9.83001,-10.48586
281,5620.0,-9.17466,-9.8305,-9.83001,-10.48586
282,5640.0,-9.83001,-10.48587,-10.48536,-11.14122
283,5660.0,-9.83001,-10.48587,-10.48536,-11.14123
284,5680.0,-9.17464,-10.48587,-10.48536,-11.14123
285,5700.0,-9.83,-11.14124,-10.48536,-11.14123
286,5720.0,-9.83,-11.14123,-10.48535,-11.79659
287,5740.0,-10.48535,-11.14124,-10.48535,-11.79659
288,5760.0,-10.48535,-11.14124,-11.14071,-11.7966
289,5780.0,-11.14071,-11.14124,-11.79607,-11.7966
290,5800.0,-11.14072,-11.14123,-11.79606,-11.7966
291,5820.0,-11.14071,-11.14124,-11.79606,-12.45196
292,5840.0,-11.14071,-11.7966,-11.79606,-12.45196
293,5860.0,-11.79607,-11.14125,-11.79606,-11.79661
294,5880.0,-11.79606,-11.14125,-12.45142,-12.45197
295,5900.0,-12.45142,-11.7966,-13.10678,-12.45197
296,5920.0,-13.10678,-11.14125,-13.10678,-12.45196
297,5940.0,-13.10678,-11.79661,-13.76214,-12.45197
298,5960.0,-13.10678,-11.14125,-13.76213,-12.45197
299,5980.0,-13.76213,-11.79661,-14.41749,-12.45198
300,6000.0,-14.41749,-11.79662,-15.07284,-12.45198
301,6020.0,-15.07285,-11.79662,-15.7282,-12.45198
302,6040.0,-15.7282,-12.45198,-16.38356,-13.10733
303,6060.0,-16.38356,-11.79662,-17.03891,-12.45198
304,6080.0,-16.38356,-11.79662,-17.69427,-13.10734
305,6100.0,-17.03891,-11.79662,-17.69426,-12.45198
306,6120.0,-17.69427,-11.79662,-18.34962,-12.45198
307,6140.0,-18.34962,-11.79662,-19.00498,-12.45197
308,6160.0,-19.00498,-11.14126,-19.66033,-12.45198
309,6180.0,-19.66034,-11.79662,-20.31569,-12.45198
310,6200.0,-20.31569,-11.79662,-20.31569,-11.79662
311,6220.0,-19.66034,-11.14126,-19.66034,-12.45197
312,6240.0,-18.34962,-11.14125,-19.00498,-12.45197
313,6260.0,-18.34964,-11.14125,-18.34964,-12.45197
314,6280.0,-18.34964,-11.79661,-18.34964,-12.45197
315,6300.0,-17.69428,-11.79661,-18.34964,-12.45197
316,6320.0,-17.69429,-11.79661,-17.69428,-12.45197
317,6340.0,-17.69428,-11.79662,-18.34964,-12.45197
318,6360.0,-17.03893,-11.79662,-17.69428,-13.10734
319,6380.0,-17.69429,-12.45197,-18.34964,-13.76269
320,6400.0,-18.34965,-13.76269,-18.34964,-14.41805
321,6420.0,-18.34965,-13.76269,-19.005,-14.41805
322,6440.0,-18.34965,-13.7627,-18.34965,-14.41805
323,6460.0,-18.34966,-13.7627,-19.00501,-15.07341
324,6480.0,-18.34966,-14.41806,-18.34966,-15.07342
325,6500.0,-17.6943,-13.7627,-17.69429,-14.41805
326,6520.0,-17.03894,-13.76269,-17.69429,-14.41805
327,6540.0,-17.03894,-13.76269,-17.03894,-14.41805
328,6560.0,-15.72822,-13.10733,-16.38357,-13.76269
329,6580.0,-15.72822,-13.10733,-16.38358,-13.76269
330,6600.0,-16.38358,-13.10733,-17.03894,-13.76268
331,6620.0,-16.38358,-13.10733,-17.03894,-13.76269
332,6640.0,-17.03894,-13.10733,-17.03893,-13.76269
333,6660.0,-16.38358,-13.10733,-17.03894,-13.76269
334,6680.0,-16.38358,-12.45197,-17.03894,-13.10733
335,6700.0,-16.38358,-13.10733,-17.03893,-13.76269
336,6720.0,-17.03894,-13.10733,-17.69429,-13.76269
337,6740.0,-17.6943,-13.10734,-17.69429,-13.76269
338,6760.0,-17.03894,-13.10733,-18.34967,-13.7627
339,6780.0,-22.28189,-13.10735,-22.28189,-13.76271
340,6800.0,-21.62652,-13.10735,-22.93723,-14.41807
341,6820.0,-22.28188,-13.76271,-23.59259,-14.41807
342,6840.0,-23.5926,-14.41807,-23.59259,-14.41806
343,6860.0,-23.59259,-14.41807,-24.24795,-15.07343
344,6880.0,-23.59259,-14.41807,-24.24795,-15.07343
345,6900.0,-24.24795,-13.76271,-24.90331,-15.07342
346,6920.0,-24.24795,-14.41807,-24.90331,-15.07343
347,6940.0,-24.24795,-13.76271,-24.90331,-14.41806
348,6960.0,-24.24795,-13.76271,-24.90331,-14.41807
349,6980.0,-24.90331,-13.76271,-24.90331,-13.7627
350,7000.0,-24.90332,-13.10735,-25.55867,-13.7627
351,7020.0,-24.90332,-13.10734,-24.90331,-13.10735
352,7040.0,-24.90331,-12.45199,-25.55867,-13.10735
353,7060.0,-24.90331,-12.45199,-25.55612,-13.10735
354,7080.0,-24.90332,-12.45199,-24.90331,-13.76271
355,7100.0,-23.5926,-12.45199,-23.5926,-13.10734
356,7120.0,-22.2819,-12.45199,-22.93726,-12.45198
357,7140.0,-22.2819,-11.79662,-22.2819,-12.45198
358,7160.0,-21.62655,-11.79661,-22.2819,-12.45197
359,7180.0,-20.97119,-11.14125,-21.62655,-11.79661
360,7200.0,-20.9712,-11.14124,-20.9712,-11.7966
361,7220.0,-20.31585,-10.48588,-20.31584,-11.14124
362,7240.0,-19.66049,-10.48588,-19.66048,-11.14123
363,7260.0,-19.00513,-9.83051,-19.00513,-10.48586
364,7280.0,-19.00514,-9.83051,-19.00513,-10.48586
365,7300.0,-19.00514,-9.8305,-19.6605,-10.48586
366,7320.0,-19.00514,-10.48586,-19.66049,-10.48585
367,7340.0,-19.00514,-9.8305,-19.00514,-9.8305
368,7360.0,-18.34979,-9.8305,-19.00515,-10.48586
369,7380.0,-20.97128,-10.48586,-22.282,-10.48586
370,7400.0,-20.97128,-9.8305,-21.62664,-9.8305
371,7420.0,-20.97129,-9.17514,-20.97128,-9.83049
372,7440.0,-20.31593,-9.17514,-20.31592,-9.8305
373,7460.0,-19.66056,-9.17514,-20.31593,-9.8305
374,7480.0,-20.31593,-9.17514,-20.97129,-9.8305
375,7500.0,-20.31593,-9.17514,-20.97129,-9.8305
376,7520.0,-20.31593,-9.17514,-20.97129,-9.8305
377,7540.0,-20.31593,-9.17514,-20.97129,-10.48586
378,7560.0,-20.31593,-9.17514,-20.97128,-9.83049
379,7580.0,-20.31593,-9.17513,-20.97129,-9.83049
380,7600.0,-20.97129,-9.17514,-20.97129,-9.83049
381,7620.0,-19.0052,-8.51977,-14.41759,-8.51975
382,7640.0,-13.10683,-7.86439,-13.76219,-7.86439
383,7660.0,-13.10684,-7.20903,-13.10683,-7.86438
384,7680.0,-12.45148,-7.20902,-13.10683,-8.51974
385,7700.0,-13.10684,-7.20902,-13.10683,-7.86438
386,7720.0,-13.10683,-6.55366,-13.10683,-7.86437
387,7740.0,-13.10683,-6.55365,-13.76218,-7.20901
388,7760.0,-13.76219,-7.20901,-13.76218,-7.20901
389,7780.0,-13.76219,-7.20901,-14.41754,-7.86437
390,7800.0,-13.76218,-6.55365,-14.41754,-7.20901
391,7820.0,-13.76218,-6.55364,-14.41754,-7.209
392,7840.0,-13.76218,-6.55364,-14.41754,-7.209
393,7860.0,-14.41754,-6.55364,-15.07289,-7.20899
394,7880.0,-15.07289,-6.55364,-15.07289,-7.20899
395,7900.0,-15.0729,-6.55364,-15.72825,-7.209
396,7920.0,-15.0729,-6.55364,-15.72825,-7.20899
397,7940.0,-16.38362,-6.55363,-17.03897,-7.86435
398,7960.0,-16.38361,-6.55363,-17.03897,-7.20899
399,7980.0,-17.03897,-6.55363,-17.03896,-7.20899
400,8000.0,-17.03897,-6.55363,-17.69433,-7.20899
401,8020.0,-17.69433,-6.55363,-17.69432,-7.20899
402,8040.0,-17.03897,-6.55364,-17.03897,-7.86435
403,8060.0,-15.72826,-7.20899,-16.38362,-7.86435
404,8080.0,-15.72826,-7.20898,-15.72827,-7.86434
405,8100.0,-15.07292,-7.86435,-15.72827,-7.86434
406,8120.0,-14.41756,-7.86435,-14.41756,-8.5197
407,8140.0,-13.76221,-7.20899,-15.07293,-7.86434
408,8160.0,-13.76221,-7.86435,-14.41756,-8.5197
409,8180.0,-13.10685,-7.86435,-13.76221,-8.5197
410,8200.0,-13.10686,-7.86435,-13.76221,-8.5197
411,8220.0,-10.48538,-7.86433,-9.82999,-8.51969
